Date,Open,High,Low,Close,Adj Close,Volume
16/06/2011,31.15,35.49,31.0,35.49,35.49,1827600
17/06/2011,35.03,35.5,34.75,35.05,35.05,435900
20/06/2011,35.8,35.8,34.75,34.95,34.95,299400
21/06/2011,34.92,38.45,34.9,35.0,35.0,335700
22/06/2011,35.17,35.54,35.15,35.54,35.54,26700
23/06/2011,34.99,35.97,34.99,35.0,35.0,1607800
24/06/2011,35.5,36.38,35.38,35.55,35.55,1580000
27/06/2011,35.99,36.22,35.6,36.21,36.21,309000
28/06/2011,36.66,39.98,36.08,37.5,37.5,222400
29/06/2011,37.47,40.73,37.26,39.91,39.91,617900
30/06/2011,40.33,44.21,38.78,43.5,43.5,10767400
01/07/2011,39.75,40.24,39.0,39.85,39.85,4560400
05/07/2011,39.12,39.5,38.0,38.53,38.53,2965500
06/07/2011,38.34,39.89,38.33,38.78,38.78,1539700
07/07/2011,39.18,40.23,39.0,39.52,39.52,1860900
08/07/2011,38.93,39.15,37.77,38.54,38.54,1153800
11/07/2011,37.2,37.9,36.63,37.06,37.06,1681400
12/07/2011,36.66,37.62,36.62,37.05,37.05,1454400
13/07/2011,37.01,37.12,36.96,37.01,37.01,1304100
14/07/2011,37.05,37.63,37.0,37.25,37.25,1305200
15/07/2011,37.24,37.78,37.0,37.09,37.09,1303300
18/07/2011,37.0,37.34,36.08,36.46,36.46,1879700
19/07/2011,36.77,37.45,36.55,36.97,36.97,3586400
20/07/2011,36.99,37.42,36.36,37.32,37.32,892000
21/07/2011,36.91,39.14,36.55,38.29,38.29,960600
22/07/2011,38.12,38.66,37.05,37.51,37.51,515400
25/07/2011,37.28,39.12,37.28,37.63,37.63,281800
26/07/2011,37.87,38.1,36.7,37.62,37.62,191000
27/07/2011,37.49,38.28,36.96,37.35,37.35,414500
28/07/2011,37.46,37.69,36.88,37.45,37.45,178600
29/07/2011,36.88,37.6,36.52,37.19,37.19,358100
01/08/2011,37.59,37.99,36.77,37.3,37.3,525500
02/08/2011,36.91,38.98,36.82,37.01,37.01,827800
03/08/2011,37.21,37.71,36.11,36.14,36.14,662300
04/08/2011,35.66,36.33,34.83,35.04,35.04,520500
05/08/2011,35.42,35.67,32.35,35.22,35.22,993500
08/08/2011,34.07,34.35,30.64,30.71,30.71,1437300
09/08/2011,33.0,33.0,29.66,31.06,31.06,771500
10/08/2011,31.05,31.38,30.09,30.28,30.28,479500
11/08/2011,33.17,36.06,31.25,34.31,34.31,900800
12/08/2011,34.64,34.7,32.45,33.67,33.67,487000
15/08/2011,33.69,35.04,32.59,33.98,33.98,479700
16/08/2011,33.75,34.71,33.23,34.55,34.55,217600
17/08/2011,34.58,34.68,34.05,34.49,34.49,90400
18/08/2011,33.65,33.66,32.47,32.96,32.96,312600
19/08/2011,32.32,34.44,32.32,33.05,33.05,694600
22/08/2011,33.81,34.54,31.77,32.23,32.23,418000
23/08/2011,32.3,33.97,32.19,33.06,33.06,309100
24/08/2011,33.03,34.26,32.19,33.72,33.72,125500
25/08/2011,34.02,34.87,32.54,33.26,33.26,159400
26/08/2011,33.0,34.44,31.29,34.3,34.3,166600
29/08/2011,34.4,35.27,34.11,34.82,34.82,349700
30/08/2011,35.5,36.75,35.44,36.49,36.49,360100
31/08/2011,36.88,38.9,36.77,37.0,37.0,726400
01/09/2011,37.27,37.49,35.39,35.94,35.94,455200
02/09/2011,35.0,35.52,33.99,34.02,34.02,153500
06/09/2011,32.96,34.45,32.56,32.87,32.87,322100
07/09/2011,33.27,34.14,32.86,33.97,33.97,226300
08/09/2011,33.63,36.68,32.83,33.41,33.41,214600
09/09/2011,32.62,33.38,32.07,32.98,32.98,934000
12/09/2011,32.3,33.17,31.41,32.8,32.8,223900
13/09/2011,32.92,34.42,32.35,33.83,33.83,151700
14/09/2011,33.95,36.56,33.02,36.25,36.25,208500
15/09/2011,36.86,36.9,35.65,36.33,36.33,504600
16/09/2011,36.26,36.96,35.98,36.35,36.35,543200
19/09/2011,35.66,36.92,35.04,36.46,36.46,100300
20/09/2011,36.74,36.75,35.7,35.99,35.99,306100
21/09/2011,36.0,36.73,34.72,35.48,35.48,459000
22/09/2011,33.71,35.01,33.4,34.01,34.01,413200
23/09/2011,33.91,35.08,33.63,34.1,34.1,181200
26/09/2011,34.38,34.99,33.17,34.41,34.41,137300
27/09/2011,34.46,35.87,33.48,34.03,34.03,171400
28/09/2011,34.2,35.05,33.3,33.41,33.41,215600
29/09/2011,33.99,34.92,32.24,33.19,33.19,216800
30/09/2011,32.7,33.95,31.46,31.95,31.95,548200
03/10/2011,31.77,32.15,30.53,31.46,31.46,421800
04/10/2011,30.92,32.32,30.51,30.99,30.99,538900
05/10/2011,31.23,31.85,30.72,31.0,31.0,626700
06/10/2011,31.0,33.14,31.0,32.7,32.7,308000
