Date,Open,High,Low,Close,Adj Close,Volume
17/06/2015,22.75,22.75,22.75,22.75,22.75,100
18/06/2015,22.75,22.75,22.75,22.75,22.75,100
19/06/2015,22.75,22.75,22.75,22.75,22.75,0
22/06/2015,22.75,22.75,22.75,22.75,22.75,200
23/06/2015,22.75,22.75,22.75,22.75,22.75,0
24/06/2015,25.9,25.9,25.9,25.9,25.9,300
25/06/2015,25.9,25.9,25.9,25.9,25.9,100
26/06/2015,25.9,25.9,25.9,25.9,25.9,100
29/06/2015,25.94,26.01,25.9,26.0,26.0,2800
30/06/2015,26.95,30.4,26.6,29.0,29.0,5558800
01/07/2015,27.95,29.22,26.67,27.0,27.0,5140200
02/07/2015,27.9,28.41,27.48,27.81,27.81,1957700
06/07/2015,27.75,28.99,27.5,28.99,28.99,1297800
07/07/2015,28.41,29.02,27.76,28.14,28.14,1289500
08/07/2015,27.13,27.89,26.92,27.1,27.1,1619900
09/07/2015,27.0,27.45,26.86,26.95,26.95,2155800
10/07/2015,27.02,29.12,27.0,28.79,28.79,1641800
13/07/2015,28.5,29.97,28.11,29.57,29.57,1772100
14/07/2015,29.04,30.28,29.0,30.1,30.1,1225700
15/07/2015,29.92,29.99,28.64,29.19,29.19,1427100
16/07/2015,29.01,29.58,28.96,29.34,29.34,1721000
17/07/2015,29.04,31.43,28.77,31.11,31.11,1401900
20/07/2015,31.67,33.0,30.93,31.44,31.44,1514300
21/07/2015,30.74,31.53,29.88,31.13,31.13,1264600
22/07/2015,31.12,31.52,30.12,30.88,30.88,1007700
23/07/2015,31.0,31.0,30.25,30.61,30.61,456300
24/07/2015,30.53,30.64,29.8,30.33,30.33,435500
27/07/2015,30.36,30.86,30.14,30.23,30.23,462400
28/07/2015,29.91,30.85,28.81,30.0,30.0,933700
29/07/2015,30.14,30.22,29.13,29.3,29.3,538900
30/07/2015,29.3,29.3,28.79,29.09,29.09,643000
31/07/2015,28.94,29.08,28.56,28.76,28.76,690900
03/08/2015,28.21,29.35,28.21,29.25,29.25,697500
04/08/2015,28.97,29.44,28.3,28.83,28.83,501300
05/08/2015,28.5,29.51,28.5,28.7,28.7,753500
06/08/2015,28.46,28.9,28.46,28.78,28.78,543600
07/08/2015,28.88,28.92,28.07,28.5,28.5,265700
10/08/2015,28.48,30.04,28.48,28.97,28.97,730900
11/08/2015,29.0,30.03,28.53,29.77,29.77,905100
12/08/2015,29.47,29.69,28.89,29.62,29.62,287900
13/08/2015,29.56,30.28,29.29,30.06,30.06,663700
14/08/2015,30.06,30.4,29.64,30.35,30.35,308000
17/08/2015,30.08,32.22,29.81,31.88,31.88,558300
18/08/2015,32.15,33.88,32.09,32.32,32.32,974600
19/08/2015,32.01,32.7,32.01,32.57,32.57,568900
20/08/2015,32.39,33.72,32.22,32.71,32.71,345700
21/08/2015,32.59,32.65,31.74,31.98,31.98,757000
24/08/2015,29.9,32.16,29.8,30.63,30.63,343300
25/08/2015,31.55,31.55,30.2,30.35,30.35,749400
26/08/2015,30.84,30.97,29.87,30.64,30.64,275400
27/08/2015,31.0,31.12,29.73,30.27,30.27,587200
28/08/2015,30.36,31.6,30.36,31.51,31.51,362700
31/08/2015,31.47,31.87,30.98,31.72,31.72,349500
