Date,Open,High,Low,Close,Adj Close,Volume
30/10/2014,19.0,19.5,16.88,17.45,17.45,6884200
31/10/2014,17.79,18.14,17.66,17.75,17.75,429100
03/11/2014,17.56,17.7,17.5,17.56,17.56,112000
04/11/2014,17.75,17.75,17.09,17.38,17.38,187700
05/11/2014,17.14,17.57,16.91,17.04,17.04,361400
06/11/2014,17.0,17.44,17.0,17.25,17.25,440300
07/11/2014,17.17,17.27,17.06,17.22,17.22,56600
10/11/2014,17.52,18.19,17.15,18.0,18.0,157800
11/11/2014,18.14,18.99,18.04,18.78,18.78,125100
12/11/2014,18.85,18.98,18.27,18.86,18.86,122200
13/11/2014,18.64,19.55,18.51,19.26,19.26,99800
14/11/2014,19.0,20.0,19.0,20.0,20.0,73900
17/11/2014,19.95,20.45,19.38,20.19,20.19,98500
18/11/2014,20.2,20.2,19.36,19.65,19.65,108200
19/11/2014,19.65,20.15,19.4,19.74,19.74,111100
20/11/2014,20.0,20.4,19.68,20.28,20.28,83500
21/11/2014,20.45,20.83,19.8,20.0,20.0,147800
24/11/2014,20.21,20.74,19.5,20.65,20.65,190600
25/11/2014,20.79,21.65,20.75,21.37,21.37,175700
26/11/2014,21.39,21.9,21.11,21.48,21.48,129200
28/11/2014,21.71,21.89,21.25,21.6,21.6,69100
01/12/2014,21.98,22.1,20.77,20.9,20.9,122500
02/12/2014,20.76,21.86,20.75,20.98,20.98,123100
03/12/2014,20.76,22.09,20.75,22.08,22.08,118100
04/12/2014,22.0,22.31,21.38,22.17,22.17,94400
05/12/2014,22.37,22.37,21.59,22.2,22.2,96400
08/12/2014,22.0,23.12,21.83,22.09,22.09,128300
09/12/2014,22.28,22.28,21.41,21.61,21.61,101800
10/12/2014,21.97,22.1,20.6,21.92,21.92,97100
11/12/2014,21.87,22.64,20.06,20.99,20.99,140700
12/12/2014,21.14,21.48,20.62,20.88,20.88,74800
15/12/2014,21.02,21.48,20.34,20.42,20.42,281200
16/12/2014,20.52,21.06,19.51,19.79,19.79,196600
17/12/2014,19.6,20.45,18.8,19.18,19.18,217100
18/12/2014,19.23,19.44,18.14,18.8,18.8,228800
19/12/2014,18.71,20.45,18.2,19.56,19.56,761700
22/12/2014,19.65,20.17,18.82,19.2,19.2,190100
23/12/2014,19.2,19.58,18.36,19.3,19.3,209400
24/12/2014,19.21,19.23,18.51,18.7,18.7,213100
26/12/2014,18.8,19.02,18.4,18.42,18.42,106300
29/12/2014,18.34,19.04,18.18,18.35,18.35,263900
30/12/2014,18.33,18.7,17.89,18.3,18.3,319400
31/12/2014,18.38,18.86,17.91,18.2,18.2,399600
02/01/2015,18.15,18.79,17.94,17.94,17.94,172100
05/01/2015,17.86,19.43,17.55,18.0,18.0,179300
06/01/2015,18.1,18.64,17.65,18.29,18.29,127100
07/01/2015,18.23,18.89,18.17,18.54,18.54,166000
08/01/2015,18.56,19.47,18.56,19.3,19.3,315600
