Date,Open,High,Low,Close,Adj Close,Volume
30/09/2021,34.81,37.5,34.81,35.63,35.63,5000
01/10/2021,37.06,47.01,37.0,45.0,45.0,27400
04/10/2021,49.84,52.0,49.75,50.9,50.9,9600
05/10/2021,54.99,55.29,49.76,55.0,55.0,98800
06/10/2021,55.3,61.95,53.7,60.0,60.0,132600
07/10/2021,60.9,60.9,55.79,56.04,56.04,76000
08/10/2021,52.0,68.89,52.0,64.88,64.88,4243100
11/10/2021,63.55,66.0,59.6,60.92,60.92,917000
12/10/2021,61.99,66.0,59.12,63.61,63.61,641600
13/10/2021,61.56,66.56,61.08,66.09,66.09,419200
14/10/2021,66.52,66.86,60.5,65.25,65.25,687300
15/10/2021,65.34,65.78,63.0,63.67,63.67,421800
18/10/2021,62.47,64.0,61.43,61.73,61.73,321600
19/10/2021,62.39,63.41,60.06,60.93,60.93,488900
20/10/2021,62.26,63.91,58.9,59.89,59.89,403700
21/10/2021,59.86,64.22,59.06,63.48,63.48,371400
22/10/2021,63.27,65.99,63.27,65.4,65.4,84100
25/10/2021,65.1,65.18,62.75,62.99,62.99,118600
26/10/2021,62.66,65.71,62.66,64.9,64.9,83100
27/10/2021,65.0,65.85,63.13,64.29,64.29,94600
28/10/2021,64.46,65.4,63.1,64.0,64.0,103000
29/10/2021,63.85,64.95,62.97,63.33,63.33,140800
01/11/2021,63.39,64.6,61.59,62.01,62.01,178800
02/11/2021,61.66,64.0,61.1,62.31,62.31,208300
03/11/2021,61.78,64.26,61.78,63.74,63.74,190800
04/11/2021,63.7,65.5,63.69,64.26,64.26,110600
05/11/2021,65.38,65.8,63.4,65.0,65.0,236200
08/11/2021,65.0,65.65,64.41,64.67,64.67,140900
09/11/2021,64.68,69.31,64.02,64.99,64.99,143300
10/11/2021,64.28,65.54,63.73,64.36,64.36,179400
11/11/2021,64.0,64.8,61.87,62.97,62.97,146300
12/11/2021,63.56,63.56,61.44,61.93,61.93,200600
15/11/2021,61.78,66.29,61.78,65.17,65.17,162400
16/11/2021,64.68,66.03,62.45,65.0,65.0,110300
17/11/2021,65.0,65.24,62.71,62.75,62.75,127700
18/11/2021,62.75,63.33,61.78,63.1,63.1,154800
19/11/2021,63.16,65.29,62.73,63.69,63.69,69500
22/11/2021,63.36,63.87,59.63,61.91,61.91,145500
23/11/2021,61.6,61.83,59.37,59.92,59.92,102600
24/11/2021,60.16,61.49,59.73,59.99,59.99,71700
26/11/2021,59.05,59.63,57.49,58.99,58.99,78400
29/11/2021,58.91,61.63,58.57,61.44,61.44,98700
30/11/2021,61.66,63.03,60.91,62.64,62.64,249000
01/12/2021,63.65,65.37,61.65,62.47,62.47,135500
02/12/2021,62.18,65.48,62.14,64.28,64.28,76700
03/12/2021,64.06,64.15,59.21,59.75,59.75,71300
06/12/2021,60.37,61.54,57.51,61.15,61.15,107300
07/12/2021,62.08,65.68,62.08,63.25,63.25,117600
08/12/2021,63.77,64.02,61.09,61.57,61.57,105800
09/12/2021,61.36,62.19,59.05,59.75,59.75,72700
10/12/2021,59.7,61.37,56.13,56.78,56.78,118000
13/12/2021,56.3,58.73,55.67,57.33,57.33,95000
14/12/2021,57.24,59.91,53.79,53.98,53.98,135900
15/12/2021,54.0,57.71,52.2,57.15,57.15,220300
16/12/2021,57.5,58.03,54.45,54.81,54.81,104500
17/12/2021,54.52,57.48,53.15,56.62,56.62,999400
20/12/2021,55.38,55.86,54.14,54.48,54.48,95100
21/12/2021,55.21,57.57,55.07,57.05,57.05,55400
22/12/2021,57.07,57.59,55.85,57.58,57.58,37700
23/12/2021,57.84,59.48,57.58,58.53,58.53,36600
27/12/2021,58.98,60.47,58.45,59.5,59.5,63800
28/12/2021,59.49,60.54,58.17,59.17,59.17,52300
29/12/2021,59.23,59.47,57.87,58.19,58.19,44100
30/12/2021,58.52,60.34,58.39,58.78,58.78,103000
31/12/2021,61.98,61.98,57.03,57.87,57.87,53300
03/01/2022,58.16,59.14,57.52,58.93,58.93,140100
04/01/2022,59.2,60.5,56.25,57.95,57.95,72000
05/01/2022,57.73,60.0,55.55,56.06,56.06,60500
06/01/2022,55.44,57.4,54.4,56.56,56.56,50700
07/01/2022,56.52,58.76,55.29,56.8,56.8,63800
10/01/2022,55.78,58.22,54.83,58.07,58.07,55400
11/01/2022,55.05,60.46,55.05,59.53,59.53,41500
12/01/2022,59.92,60.73,58.74,59.23,59.23,59300
13/01/2022,59.3,60.23,57.93,58.49,58.49,57300
14/01/2022,57.56,59.72,57.56,59.12,59.12,52600
18/01/2022,58.35,59.41,57.56,57.64,57.64,73600
19/01/2022,57.6,59.13,57.36,58.38,58.38,85100
20/01/2022,58.61,60.85,58.27,58.43,58.43,62100
21/01/2022,57.61,59.72,56.41,56.64,56.64,101500
24/01/2022,55.67,58.36,51.98,57.66,57.66,107800
25/01/2022,57.07,57.13,54.26,55.95,55.95,81300
26/01/2022,57.08,58.02,54.09,55.19,55.19,89700
27/01/2022,55.78,56.4,53.08,53.38,53.38,102300
28/01/2022,53.46,55.78,51.47,55.24,55.24,66700
31/01/2022,54.79,56.97,54.57,56.7,56.7,91700
