Date,Open,High,Low,Close,Adj Close,Volume
01/07/2003,9.5,10.19,9.26,10.0,10.0,424600
02/07/2003,9.88,11.25,9.75,10.75,10.75,590200
03/07/2003,11.2,11.2,10.0,10.0,10.0,221200
07/07/2003,10.0,10.25,9.05,9.07,9.07,335800
08/07/2003,9.0,9.95,8.85,9.3,9.3,295000
09/07/2003,9.05,9.43,9.01,9.06,9.06,430600
10/07/2003,9.01,9.22,9.0,9.06,9.06,204400
11/07/2003,9.05,9.48,8.98,8.98,8.98,238800
14/07/2003,8.92,10.69,8.63,10.27,10.27,376000
15/07/2003,10.5,10.69,9.88,10.32,10.32,483200
16/07/2003,10.0,10.15,9.55,9.73,9.73,158000
17/07/2003,9.56,9.85,9.5,9.62,9.62,185600
18/07/2003,9.62,10.0,9.25,9.28,9.28,99400
21/07/2003,10.18,10.18,9.12,9.23,9.23,288800
22/07/2003,9.63,9.7,9.25,9.5,9.5,170400
23/07/2003,9.57,9.94,9.4,9.57,9.57,99400
24/07/2003,9.38,9.67,9.38,9.55,9.55,109200
25/07/2003,9.55,9.75,9.5,9.57,9.57,77400
28/07/2003,9.6,9.83,9.57,9.64,9.64,40200
29/07/2003,9.83,9.95,9.35,9.5,9.5,350600
30/07/2003,9.7,9.7,9.5,9.51,9.51,104000
31/07/2003,9.5,9.77,9.35,9.6,9.6,83800
01/08/2003,9.3,9.56,9.02,9.3,9.3,98600
04/08/2003,9.86,9.86,9.35,9.65,9.65,28000
05/08/2003,9.4,10.0,9.4,9.62,9.62,101200
06/08/2003,9.07,9.82,9.07,9.55,9.55,54400
07/08/2003,9.56,9.99,9.3,9.9,9.9,64600
08/08/2003,10.12,10.12,9.73,9.82,9.82,65200
11/08/2003,9.85,10.23,9.85,10.2,10.2,42000
12/08/2003,10.06,10.25,9.99,10.15,10.15,86200
13/08/2003,10.2,10.65,10.15,10.35,10.35,86600
14/08/2003,10.3,10.3,9.75,9.84,9.84,78800
15/08/2003,9.8,10.15,9.8,9.85,9.85,10200
18/08/2003,10.25,10.25,9.85,9.95,9.95,6600
19/08/2003,9.85,10.12,9.85,9.97,9.97,6600
20/08/2003,9.9,10.15,9.8,9.84,9.84,34000
21/08/2003,9.9,9.9,9.45,9.62,9.62,72400
22/08/2003,9.5,9.88,9.5,9.52,9.52,31000
25/08/2003,9.6,9.6,9.55,9.6,9.6,21800
26/08/2003,9.69,9.8,9.45,9.65,9.65,51200
27/08/2003,9.53,9.65,9.5,9.65,9.65,55600
28/08/2003,9.6,9.7,9.6,9.65,9.65,15000
29/08/2003,9.5,9.7,9.5,9.53,9.53,139400
02/09/2003,9.82,9.82,9.62,9.7,9.7,89400
03/09/2003,9.75,9.84,9.62,9.68,9.68,17400
04/09/2003,9.62,9.88,9.62,9.75,9.75,26400
05/09/2003,9.5,9.9,9.5,9.77,9.77,21200
08/09/2003,9.9,10.18,9.8,9.85,9.85,10400
09/09/2003,9.99,9.99,9.77,9.98,9.98,994600
10/09/2003,9.95,9.95,9.5,9.85,9.85,25800
11/09/2003,9.77,9.8,9.5,9.6,9.6,40200
12/09/2003,9.62,9.75,9.55,9.55,9.55,21200
15/09/2003,9.62,9.72,9.62,9.69,9.69,57000
16/09/2003,9.7,9.75,9.7,9.75,9.75,1600
17/09/2003,9.86,10.2,9.86,10.12,10.12,8600
18/09/2003,10.1,10.22,9.96,10.0,10.0,17600
19/09/2003,9.85,10.02,9.8,9.98,9.98,100800
22/09/2003,10.0,10.0,9.85,9.98,9.98,14600
23/09/2003,10.0,10.15,10.0,10.05,10.05,4800
24/09/2003,10.12,10.34,10.12,10.34,10.34,21000
25/09/2003,10.07,10.2,10.07,10.15,10.15,15400
26/09/2003,10.2,10.28,10.12,10.23,10.23,34800
29/09/2003,10.02,10.34,10.02,10.23,10.23,43200
30/09/2003,10.25,10.75,10.15,10.72,10.72,28400
01/10/2003,10.9,11.0,10.5,10.85,10.85,22200
02/10/2003,10.68,10.76,10.68,10.76,10.76,25000
03/10/2003,10.73,11.49,10.73,11.24,11.24,23600
06/10/2003,11.49,11.5,10.63,10.77,10.77,53800
07/10/2003,10.76,11.25,10.75,10.9,10.9,14400
08/10/2003,11.25,11.25,10.85,10.85,10.85,18200
09/10/2003,10.91,11.0,10.75,11.0,11.0,8400
10/10/2003,10.93,11.5,10.93,11.5,11.5,7800
13/10/2003,11.52,11.52,11.3,11.35,11.35,9000
14/10/2003,11.12,11.57,10.75,11.57,11.57,16000
15/10/2003,10.88,11.52,10.88,11.38,11.38,38200
16/10/2003,11.38,11.38,11.12,11.23,11.23,11600
17/10/2003,11.22,11.5,11.22,11.35,11.35,17400
20/10/2003,11.5,11.5,11.25,11.5,11.5,31000
21/10/2003,11.45,11.55,11.3,11.38,11.38,12600
22/10/2003,11.15,11.74,11.15,11.74,11.74,23400
23/10/2003,11.77,11.95,11.73,11.88,11.88,79800
24/10/2003,11.9,11.95,11.88,11.9,11.9,178800
27/10/2003,11.88,11.98,11.88,11.98,11.98,7800
28/10/2003,11.88,11.96,11.88,11.88,11.88,7800
29/10/2003,11.88,12.12,11.85,11.98,11.98,25800
30/10/2003,12.1,12.18,11.82,12.05,12.05,54600
31/10/2003,12.07,12.1,11.88,12.1,12.1,5400
03/11/2003,12.24,12.25,11.85,12.05,12.05,8800
04/11/2003,12.05,12.05,11.98,12.05,12.05,8600
05/11/2003,12.02,12.06,11.95,12.05,12.05,27600
06/11/2003,12.0,12.05,11.69,11.75,11.75,57200
07/11/2003,12.0,12.02,11.93,12.0,12.0,2800
10/11/2003,11.77,12.02,11.77,11.85,11.85,3800
11/11/2003,11.75,12.02,11.75,12.0,12.0,20800
12/11/2003,12.01,12.02,11.8,11.8,11.8,5200
13/11/2003,11.75,11.88,11.7,11.88,11.88,18000
14/11/2003,11.56,11.98,11.39,11.5,11.5,56400
17/11/2003,11.35,11.45,11.03,11.3,11.3,150000
18/11/2003,11.4,11.48,11.4,11.48,11.48,1000
19/11/2003,11.5,11.65,11.48,11.6,11.6,1200
20/11/2003,11.65,11.75,11.65,11.65,11.65,3800
21/11/2003,11.59,11.7,11.38,11.7,11.7,9400
24/11/2003,11.67,11.75,11.48,11.59,11.59,8000
25/11/2003,11.55,11.79,11.55,11.65,11.65,11000
26/11/2003,11.5,11.75,11.5,11.6,11.6,11000
28/11/2003,11.6,11.75,11.6,11.75,11.75,600
01/12/2003,11.48,11.62,11.48,11.55,11.55,30600
02/12/2003,11.5,11.6,11.5,11.5,11.5,49800
03/12/2003,11.52,11.55,11.5,11.52,11.52,7000
04/12/2003,11.55,11.55,11.52,11.52,11.52,22000
05/12/2003,11.52,11.55,11.52,11.52,11.52,1400
08/12/2003,11.5,11.74,11.49,11.74,11.74,5800
09/12/2003,11.52,11.75,11.52,11.64,11.64,4600
10/12/2003,11.6,11.7,11.6,11.65,11.65,5000
11/12/2003,11.62,11.65,11.52,11.6,11.6,6200
12/12/2003,11.52,11.6,11.52,11.55,11.55,11600
15/12/2003,11.5,11.55,11.25,11.48,11.48,27200
16/12/2003,11.4,11.73,11.4,11.61,11.61,40800
17/12/2003,11.61,11.61,11.54,11.55,11.55,22400
18/12/2003,11.55,11.9,11.5,11.62,11.62,10600
19/12/2003,11.6,11.7,11.5,11.5,11.5,22600
22/12/2003,11.55,11.69,11.55,11.69,11.69,9400
23/12/2003,11.55,11.9,11.55,11.66,11.66,18400
24/12/2003,11.73,11.95,11.62,11.69,11.69,18200
26/12/2003,11.8,11.8,11.7,11.7,11.7,3000
29/12/2003,11.98,11.98,11.62,11.98,11.98,12600
30/12/2003,11.65,11.82,11.65,11.75,11.75,11200
31/12/2003,11.65,12.09,11.62,12.0,12.0,38200
02/01/2004,11.69,12.0,11.69,11.8,11.8,110800
05/01/2004,11.8,12.12,11.75,11.93,11.93,9800
06/01/2004,11.99,12.3,11.75,12.3,12.3,8600
07/01/2004,12.31,12.55,12.23,12.5,12.5,4600
08/01/2004,12.0,13.0,12.0,13.0,13.0,16200
09/01/2004,12.78,12.92,12.45,12.75,12.75,23800
12/01/2004,13.94,14.51,13.8,14.0,14.0,123200
13/01/2004,14.25,14.25,13.88,13.91,13.91,19200
14/01/2004,14.24,14.24,13.93,14.24,14.24,59200
15/01/2004,14.25,14.34,14.1,14.3,14.3,7000
16/01/2004,14.3,15.0,14.12,15.0,15.0,46600
20/01/2004,14.99,15.0,14.12,14.78,14.78,47200
21/01/2004,14.91,14.91,14.51,14.51,14.51,12800
22/01/2004,14.62,14.74,14.5,14.5,14.5,13800
23/01/2004,14.98,16.17,14.98,15.6,15.6,78600
26/01/2004,15.54,16.56,15.35,16.47,16.47,48800
27/01/2004,16.55,16.61,15.82,16.27,16.27,10800
28/01/2004,16.62,16.77,15.6,15.6,15.6,29800
29/01/2004,15.91,15.91,15.23,15.59,15.59,83200
30/01/2004,15.62,15.75,15.62,15.75,15.75,3000
02/02/2004,15.05,16.35,15.05,16.35,16.35,8600
03/02/2004,16.45,16.97,16.22,16.75,16.75,7200
04/02/2004,16.75,18.01,16.62,17.8,17.8,29800
05/02/2004,17.85,17.92,17.64,17.74,17.74,6600
06/02/2004,17.68,17.74,17.6,17.7,17.7,6200
09/02/2004,17.51,17.97,17.5,17.95,17.95,25600
10/02/2004,18.01,20.3,17.55,19.9,19.9,194200
11/02/2004,20.0,20.0,19.0,19.0,19.0,91600
12/02/2004,19.88,19.88,18.89,18.95,18.95,56400
13/02/2004,19.1,19.42,18.62,18.65,18.65,10400
17/02/2004,18.63,18.74,18.55,18.55,18.55,3000
18/02/2004,18.5,19.89,18.14,19.62,19.62,33400
19/02/2004,19.75,20.48,19.23,19.5,19.5,40000
20/02/2004,20.0,20.0,19.34,19.35,19.35,2600
23/02/2004,20.4,20.4,19.0,19.03,19.03,12000
24/02/2004,19.0,19.05,18.75,18.75,18.75,20000
25/02/2004,18.7,19.0,18.7,18.8,18.8,19200
26/02/2004,19.0,19.07,18.73,18.77,18.77,9200
27/02/2004,19.25,19.25,18.69,18.88,18.88,62600
01/03/2004,19.5,19.5,18.62,18.62,18.62,19200
02/03/2004,18.9,18.97,18.54,18.54,18.54,20400
03/03/2004,18.62,18.9,18.4,18.42,18.42,21400
04/03/2004,18.39,18.59,18.11,18.48,18.48,20400
05/03/2004,18.5,18.91,18.45,18.54,18.54,75800
08/03/2004,18.27,18.89,18.27,18.8,18.8,11400
09/03/2004,18.77,19.1,18.77,19.0,19.0,6600
10/03/2004,18.75,19.12,18.75,18.98,18.98,44000
11/03/2004,19.0,19.04,18.85,19.03,19.03,28200
12/03/2004,19.05,19.09,18.98,19.09,19.09,5200
15/03/2004,19.09,19.09,19.0,19.02,19.02,2200
16/03/2004,18.98,19.02,18.85,19.02,19.02,5600
17/03/2004,18.85,19.17,18.85,19.0,19.0,31600
18/03/2004,19.0,19.05,18.85,19.05,19.05,4000
19/03/2004,19.05,19.05,18.91,18.94,18.94,9600
22/03/2004,18.95,18.95,18.5,18.73,18.73,71600
23/03/2004,18.72,18.9,18.62,18.62,18.62,48200
24/03/2004,18.55,18.55,18.5,18.5,18.5,1400
25/03/2004,18.6,18.7,18.5,18.5,18.5,13200
26/03/2004,18.7,18.7,18.27,18.27,18.27,12400
29/03/2004,18.28,18.6,18.23,18.23,18.23,82800
30/03/2004,18.39,18.5,17.65,17.75,17.75,101000
31/03/2004,17.8,18.5,17.6,18.42,18.42,62800
01/04/2004,18.3,18.8,18.3,18.7,18.7,44000
02/04/2004,18.75,18.75,18.38,18.5,18.5,21600
05/04/2004,17.9,19.25,17.9,18.81,18.81,27800
06/04/2004,18.83,18.92,18.5,18.7,18.7,19000
07/04/2004,18.62,18.97,18.62,18.75,18.75,9800
08/04/2004,19.0,19.1,18.92,19.1,19.1,5600
12/04/2004,19.0,19.0,18.75,18.75,18.75,2000
13/04/2004,18.58,19.3,18.58,19.23,19.23,6800
14/04/2004,19.1,19.25,19.1,19.1,19.1,3000
15/04/2004,19.44,19.48,19.44,19.48,19.48,7600
16/04/2004,19.5,20.0,19.3,20.0,20.0,19600
19/04/2004,20.0,20.0,19.72,19.98,19.98,21200
20/04/2004,19.95,20.0,19.95,19.98,19.98,12000
21/04/2004,20.0,20.02,19.84,20.0,20.0,381600
22/04/2004,20.0,20.03,19.97,20.0,20.0,97200
23/04/2004,20.0,20.01,19.89,20.0,20.0,48200
26/04/2004,20.0,20.5,20.0,20.2,20.2,120000
27/04/2004,20.25,20.25,20.03,20.15,20.15,32800
28/04/2004,20.12,20.12,19.87,20.0,20.0,23400
29/04/2004,20.6,20.6,20.03,20.03,20.03,27800
30/04/2004,19.95,20.0,19.51,19.77,19.77,62600
03/05/2004,19.7,19.92,19.7,19.92,19.92,14800
04/05/2004,19.94,20.0,19.8,20.0,20.0,11200
05/05/2004,20.02,20.05,19.97,20.02,20.02,30600
06/05/2004,19.95,20.0,19.66,19.81,19.81,12800
07/05/2004,19.7,19.78,19.5,19.52,19.52,22800
10/05/2004,19.62,19.78,19.51,19.54,19.54,22200
11/05/2004,19.5,19.65,19.41,19.52,19.52,4400
12/05/2004,19.94,19.94,19.23,19.55,19.55,59800
13/05/2004,19.5,19.51,19.07,19.11,19.11,35800
14/05/2004,19.0,19.0,18.33,18.49,18.49,123200
17/05/2004,18.32,18.32,17.5,17.94,17.94,55600
18/05/2004,18.08,18.08,17.67,17.71,17.71,43400
19/05/2004,17.81,17.85,17.59,17.7,17.7,92200
20/05/2004,17.61,18.04,17.61,18.02,18.02,27200
21/05/2004,18.0,18.5,18.0,18.5,18.5,35600
24/05/2004,18.55,18.74,18.54,18.7,18.7,141600
25/05/2004,18.6,18.8,18.5,18.75,18.75,22600
26/05/2004,18.75,18.8,18.64,18.72,18.72,13600
27/05/2004,18.8,18.8,18.48,18.75,18.75,31600
28/05/2004,18.89,19.1,18.89,18.97,18.97,23200
01/06/2004,19.0,19.03,18.88,18.97,18.97,31200
02/06/2004,19.02,19.5,19.0,19.5,19.5,36800
03/06/2004,19.5,20.3,19.5,20.05,20.05,41200
04/06/2004,20.05,20.05,19.85,20.0,20.0,67800
07/06/2004,20.0,20.27,19.93,20.27,20.27,36200
08/06/2004,20.32,20.32,20.08,20.25,20.25,3800
09/06/2004,20.32,20.32,20.0,20.2,20.2,3600
10/06/2004,20.31,20.49,20.3,20.42,20.42,7200
14/06/2004,20.25,20.25,19.94,20.07,20.07,42600
15/06/2004,19.88,20.12,19.88,19.94,19.94,70600
16/06/2004,20.0,20.05,20.0,20.05,20.05,3000
17/06/2004,20.12,20.17,19.99,20.05,20.05,86000
18/06/2004,19.99,20.17,19.88,20.0,20.0,10600
21/06/2004,20.25,20.25,20.0,20.0,20.0,35400
22/06/2004,20.12,20.12,19.94,20.0,20.0,23200
23/06/2004,20.12,20.17,20.0,20.0,20.0,17000
24/06/2004,20.05,20.05,19.97,20.0,20.0,7200
25/06/2004,20.0,20.0,19.87,20.0,20.0,8400
28/06/2004,20.0,20.12,19.95,19.97,19.97,10600
29/06/2004,20.0,20.12,19.76,19.76,19.76,7400
30/06/2004,19.7,19.89,19.69,19.84,19.84,8200
01/07/2004,19.83,19.9,19.8,19.8,19.8,40200
