Date,Open,High,Low,Close,Adj Close,Volume
1973-02-22,1.656250,1.656250,1.656250,1.656250,0.669200,92800
1973-02-23,1.703125,1.703125,1.703125,1.703125,0.688140,400000
1973-02-26,1.671875,1.671875,1.671875,1.671875,0.675513,187200
1973-02-27,1.546875,1.546875,1.546875,1.546875,0.625008,657600
1973-02-28,1.656250,1.656250,1.656250,1.656250,0.669200,235200
1973-03-01,1.679688,1.679688,1.679688,1.679688,0.678671,235200
1973-03-02,1.695313,1.695313,1.695313,1.695313,0.684984,128000
1973-03-05,1.656250,1.656250,1.656250,1.656250,0.669200,244800
1973-03-06,1.664063,1.664063,1.664063,1.664063,0.672357,235200
1973-03-07,1.695313,1.695313,1.695313,1.695313,0.684984,478400
1973-03-08,1.750000,1.750000,1.750000,1.750000,0.707080,299200
1973-03-09,1.718750,1.718750,1.718750,1.718750,0.694453,726400
1973-03-12,1.773438,1.773438,1.773438,1.773438,0.716550,166400
1973-03-13,1.765625,1.765625,1.765625,1.765625,0.713393,115200
1973-03-14,1.750000,1.750000,1.750000,1.750000,0.707080,36800
1973-03-15,1.765625,1.765625,1.765625,1.765625,0.713393,80000
1973-03-16,1.789063,1.789063,1.789063,1.789063,0.722863,86400
1973-03-19,1.765625,1.765625,1.765625,1.765625,0.713393,67200
1973-03-20,1.796875,1.796875,1.796875,1.796875,0.726019,72000
1973-03-21,1.757813,1.757813,1.757813,1.757813,0.710236,62400
1973-03-22,1.687500,1.687500,1.687500,1.687500,0.681827,516800
1973-03-23,1.687500,1.687500,1.687500,1.687500,0.681827,89600
1973-03-26,1.679688,1.679688,1.679688,1.679688,0.678671,75200
1973-03-27,1.710938,1.710938,1.710938,1.710938,0.691297,168000
1973-03-28,1.734375,1.734375,1.734375,1.734375,0.700766,148800
1973-03-29,1.750000,1.750000,1.750000,1.750000,0.707080,217600
1973-03-30,1.765625,1.765625,1.765625,1.765625,0.713393,222400
1973-04-02,1.742188,1.742188,1.742188,1.742188,0.703923,193600
1973-04-03,1.687500,1.687500,1.687500,1.687500,0.681827,307200
1973-04-04,1.695313,1.695313,1.695313,1.695313,0.684984,112000
1973-04-05,1.632813,1.632813,1.632813,1.632813,0.659731,507200
1973-04-06,1.718750,1.718750,1.718750,1.718750,0.694453,336000
1973-04-09,1.718750,1.718750,1.718750,1.718750,0.694453,121600
1973-04-10,1.750000,1.750000,1.750000,1.750000,0.707080,145600
1973-04-11,1.789063,1.789063,1.789063,1.789063,0.722863,94400
1973-04-12,1.781250,1.781250,1.781250,1.781250,0.719706,91200
1973-04-13,1.796875,1.796875,1.796875,1.796875,0.726019,49600
1973-04-16,1.804688,1.804688,1.804688,1.804688,0.729176,137600
1973-04-17,1.789063,1.789063,1.789063,1.789063,0.722863,220800
1973-04-18,1.742188,1.742188,1.742188,1.742188,0.703923,691200
1973-04-19,1.679688,1.679688,1.679688,1.679688,0.678671,360000
1973-04-23,1.609375,1.609375,1.609375,1.609375,0.650261,176000
1973-04-24,1.531250,1.531250,1.531250,1.531250,0.618695,2009600
1973-04-25,1.515625,1.515625,1.515625,1.515625,0.612381,208000
1973-04-26,1.562500,1.562500,1.562500,1.562500,0.631321,220800
1973-04-27,1.593750,1.593750,1.593750,1.593750,0.643948,403200
1973-04-30,1.585938,1.585938,1.585938,1.585938,0.640791,84800
1973-05-01,1.656250,1.656250,1.656250,1.656250,0.669200,155200
1973-05-02,1.656250,1.656250,1.656250,1.656250,0.669200,166400
1973-05-03,0.000000,1.710938,1.632813,1.710938,0.691297,476800
1973-05-04,0.000000,1.710938,1.671875,1.710938,0.691297,108800
1973-05-07,0.000000,1.750000,1.703125,1.750000,0.707080,406400
1973-05-08,0.000000,1.757813,1.710938,1.750000,0.707080,128000
1973-05-09,0.000000,1.781250,1.742188,1.750000,0.707080,134400
1973-05-10,0.000000,1.750000,1.742188,1.750000,0.707080,123200
1973-05-11,0.000000,1.750000,1.734375,1.734375,0.700766,134400
1973-05-14,0.000000,1.718750,1.679688,1.679688,0.678671,121600
1973-05-15,0.000000,1.656250,1.632813,1.632813,0.659731,278400
1973-05-16,0.000000,1.640625,1.625000,1.625000,0.656574,68800
1973-05-17,0.000000,1.625000,1.601563,1.609375,0.650261,195200
1973-05-18,0.000000,1.609375,1.562500,1.578125,0.637634,430400
1973-05-21,0.000000,1.562500,1.539063,1.546875,0.625008,107200
1973-05-22,0.000000,1.562500,1.546875,1.562500,0.631321,92800
1973-05-23,0.000000,1.625000,1.578125,1.585938,0.640791,104000
1973-05-24,0.000000,1.625000,1.578125,1.625000,0.656574,44800
1973-05-25,0.000000,1.703125,1.664063,1.703125,0.688140,128000
1973-05-29,0.000000,1.687500,1.656250,1.671875,0.675513,91200
1973-05-30,0.000000,1.656250,1.593750,1.593750,0.643948,180800
1973-05-31,0.000000,1.593750,1.562500,1.570313,0.634478,249600
1973-06-01,0.000000,1.585938,1.570313,1.570313,0.634478,49600
1973-06-04,0.000000,1.562500,1.531250,1.562500,0.631321,340800
1973-06-05,0.000000,1.554688,1.515625,1.515625,0.612381,163200
1973-06-06,0.000000,1.523438,1.476563,1.484375,0.599755,196800
1973-06-07,0.000000,1.492188,1.437500,1.468750,0.593442,139200
1973-06-08,0.000000,1.476563,1.375000,1.414063,0.571346,448000
1973-06-11,0.000000,1.398438,1.375000,1.398438,0.565033,190400
1973-06-12,0.000000,1.539063,1.382813,1.500000,0.606069,1320000
1973-06-13,0.000000,1.562500,1.500000,1.500000,0.606069,184000
1973-06-14,0.000000,1.484375,1.421875,1.429688,0.577659,404800
1973-06-15,0.000000,1.421875,1.390625,1.390625,0.561876,67200
1973-06-18,0.000000,1.398438,1.375000,1.382813,0.558719,75200
1973-06-19,0.000000,1.406250,1.375000,1.406250,0.568189,249600
1973-06-20,0.000000,1.421875,1.343750,1.343750,0.542936,102400
1973-06-21,0.000000,1.320313,1.250000,1.257813,0.508214,270400
1973-06-22,0.000000,1.289063,1.187500,1.187500,0.479804,230400
1973-06-25,0.000000,1.218750,1.195313,1.195313,0.482961,248000
1973-06-26,0.000000,1.265625,1.187500,1.265625,0.511370,414400
1973-06-27,0.000000,1.304688,1.234375,1.250000,0.505057,225600
1973-06-28,0.000000,1.273438,1.234375,1.273438,0.514527,158400
1973-06-29,0.000000,1.335938,1.273438,1.335938,0.539780,305600
1973-07-02,0.000000,1.359375,1.320313,1.351563,0.546093,60800
1973-07-03,0.000000,1.382813,1.359375,1.359375,0.549249,433600
1973-07-05,0.000000,1.359375,1.335938,1.359375,0.549249,164800
1973-07-06,0.000000,1.359375,1.359375,1.359375,0.549249,62400
1973-07-09,0.000000,1.390625,1.359375,1.359375,0.549249,121600
1973-07-10,0.000000,1.421875,1.367188,1.421875,0.574502,129600
1973-07-11,0.000000,1.468750,1.414063,1.468750,0.593442,596800
1973-07-12,0.000000,1.515625,1.437500,1.515625,0.612381,294400
1973-07-13,0.000000,1.515625,1.476563,1.484375,0.599755,284800
1973-07-16,0.000000,1.492188,1.468750,1.492188,0.602912,116800
1973-07-17,0.000000,1.546875,1.515625,1.523438,0.615538,116800
1973-07-18,0.000000,1.539063,1.515625,1.523438,0.615538,60800
1973-07-19,0.000000,1.515625,1.445313,1.445313,0.583972,534400
1973-07-20,0.000000,1.476563,1.437500,1.437500,0.580816,92800
1973-07-23,0.000000,1.500000,1.437500,1.500000,0.606069,81600
1973-07-24,0.000000,1.539063,1.460938,1.539063,0.621851,139200
1973-07-25,0.000000,1.570313,1.539063,1.562500,0.631321,150400
1973-07-26,0.000000,1.585938,1.531250,1.585938,0.640791,52800
1973-07-27,0.000000,1.578125,1.539063,1.554688,0.628165,190400
1973-07-30,0.000000,1.570313,1.539063,1.570313,0.634478,113600
1973-07-31,0.000000,1.585938,1.562500,1.578125,0.637634,249600
1973-08-01,0.000000,1.554688,1.523438,1.531250,0.618695,62400
1973-08-02,0.000000,1.554688,1.507813,1.554688,0.628165,180800
1973-08-03,0.000000,1.578125,1.570313,1.570313,0.634478,44800
1973-08-06,0.000000,1.609375,1.570313,1.585938,0.640791,80000
1973-08-07,0.000000,1.585938,1.546875,1.554688,0.628165,177600
1973-08-08,0.000000,1.546875,1.515625,1.546875,0.625008,252800
1973-08-09,0.000000,1.531250,1.476563,1.531250,0.618695,262400
1973-08-10,0.000000,1.531250,1.507813,1.515625,0.612381,116800
1973-08-13,0.000000,1.523438,1.476563,1.476563,0.596598,176000
1973-08-14,0.000000,1.492188,1.460938,1.460938,0.590285,72000
1973-08-15,0.000000,1.492188,1.460938,1.468750,0.593442,102400
1973-08-16,0.000000,1.476563,1.476563,1.476563,0.596598,14400
1973-08-17,0.000000,1.500000,1.460938,1.460938,0.590285,113600
1973-08-20,0.000000,1.453125,1.421875,1.437500,0.580816,25600
1973-08-21,0.000000,1.453125,1.429688,1.429688,0.577659,32000
