Date,Open,High,Low,Close,Adj Close,Volume
16/10/2006,290.92,290.92,285.6,288.96,211.36,76786
17/10/2006,289.66,291.2,287.28,287.56,210.33,5721
18/10/2006,287.56,289.66,287.0,287.0,209.92,15329
19/10/2006,287.0,289.38,286.3,288.4,210.95,13486
20/10/2006,287.7,288.12,286.3,286.3,209.41,3800
23/10/2006,286.3,288.4,280.84,281.96,206.24,35286
24/10/2006,283.5,285.74,283.5,284.2,207.87,24750
25/10/2006,282.8,287.42,282.8,284.34,207.98,8407
26/10/2006,283.5,285.6,282.94,284.2,207.87,4871
27/10/2006,282.8,286.72,281.96,284.2,207.87,1807
30/10/2006,284.2,284.48,282.8,283.64,207.46,6486
31/10/2006,283.5,287.7,282.8,287.7,210.43,2721
01/11/2006,287.0,287.14,284.2,284.2,207.87,6107
02/11/2006,284.2,289.1,281.54,287.28,210.13,10993
03/11/2006,283.78,285.6,283.08,284.2,207.87,6907
06/11/2006,282.94,283.78,281.4,282.8,206.85,8400
07/11/2006,282.1,282.66,280.7,282.66,206.75,4086
08/11/2006,281.68,283.5,281.26,281.4,205.83,8150
09/11/2006,280.7,281.12,274.54,280.0,204.8,30786
10/11/2006,280.0,281.26,280.0,280.7,205.31,3643
13/11/2006,281.68,282.52,280.0,282.1,206.34,2993
14/11/2006,281.68,283.5,281.68,282.8,206.85,4050
15/11/2006,288.4,291.9,287.0,289.8,211.97,35893
16/11/2006,291.48,294.0,289.94,291.48,213.2,25664
17/11/2006,293.02,293.3,290.5,291.48,213.2,9336
20/11/2006,294.98,297.22,291.2,295.54,216.17,7893
21/11/2006,299.04,303.1,295.4,301.56,220.57,8586
22/11/2006,303.1,305.9,301.14,305.48,223.44,6771
24/11/2006,306.88,307.02,301.0,306.32,224.05,3143
27/11/2006,306.6,307.3,301.14,305.2,223.23,7114
28/11/2006,305.2,305.2,298.9,304.36,222.62,8936
29/11/2006,305.2,308.0,304.78,308.0,225.28,6943
30/11/2006,310.1,317.66,310.1,313.88,229.58,10193
01/12/2006,313.6,317.1,311.78,313.6,229.38,7500
04/12/2006,313.6,315.0,311.64,311.78,228.05,8764
05/12/2006,311.78,314.86,311.64,313.88,229.58,2929
06/12/2006,313.88,314.3,310.1,313.32,229.17,3971
07/12/2006,314.02,317.8,309.26,316.12,231.22,4664
08/12/2006,315.0,326.9,315.0,324.8,237.57,4664
11/12/2006,325.5,329.0,319.2,329.0,240.64,7971
12/12/2006,328.3,332.5,326.2,332.5,243.2,9171
13/12/2006,331.1,336.0,330.26,334.6,244.74,6800
14/12/2006,335.16,336.0,332.22,335.58,245.46,7100
15/12/2006,336.0,336.7,332.92,335.86,245.66,1886
18/12/2006,336.0,336.42,325.5,331.1,242.18,2893
19/12/2006,331.8,336.56,331.1,333.2,243.71,2600
20/12/2006,333.48,334.74,331.8,332.5,243.2,1329
21/12/2006,331.8,337.4,331.8,332.5,243.2,6343
22/12/2006,333.06,337.4,331.8,333.2,243.71,2679
26/12/2006,333.9,333.9,330.12,331.1,242.18,571
27/12/2006,331.8,336.56,329.28,334.32,244.53,4236
28/12/2006,335.3,336.0,333.34,334.74,244.84,1329
29/12/2006,334.18,336.0,333.9,335.02,245.05,1171
03/01/2007,332.5,337.54,329.7,333.2,243.71,5686
04/01/2007,333.2,335.02,331.8,334.6,244.74,3079
05/01/2007,333.9,337.4,328.86,330.82,241.97,2079
08/01/2007,330.82,337.68,329.7,334.46,244.64,3429
09/01/2007,335.3,336.0,333.9,334.6,244.74,2943
10/01/2007,334.6,336.0,330.82,331.8,242.69,3664
11/01/2007,332.5,335.86,331.8,333.62,244.02,6714
12/01/2007,335.02,339.5,334.18,337.54,246.89,4257
16/01/2007,336.0,343.0,336.0,340.48,249.04,3950
17/01/2007,340.62,348.18,339.5,347.48,254.16,4343
18/01/2007,348.18,348.32,343.84,347.76,254.36,1321
19/01/2007,347.76,347.9,343.0,345.1,252.42,1307
22/01/2007,344.4,348.46,343.7,346.22,253.24,2171
23/01/2007,346.78,353.92,345.38,350.14,256.11,3471
24/01/2007,350.84,357.7,350.0,353.22,258.36,6921
25/01/2007,347.2,347.2,336.7,339.36,252.63,5164
26/01/2007,339.5,342.44,323.26,333.2,248.04,10264
29/01/2007,335.3,344.68,335.3,339.08,252.42,3086
30/01/2007,339.78,343.84,338.1,339.5,252.73,3636
31/01/2007,338.8,340.2,336.84,338.1,251.69,3743
01/02/2007,338.52,339.5,327.46,330.4,245.96,3629
02/02/2007,331.1,336.84,330.4,333.76,248.46,7114
05/02/2007,333.76,337.26,329.0,333.62,248.35,6264
06/02/2007,334.18,336.42,329.7,334.32,248.87,6429
07/02/2007,333.9,340.62,325.5,332.22,247.31,6621
08/02/2007,337.12,339.36,327.74,332.78,247.73,4357
09/02/2007,333.2,335.86,329.14,330.26,245.85,2629
12/02/2007,331.8,332.08,324.8,330.26,245.85,1321
13/02/2007,330.26,336.7,329.14,333.2,248.04,2064
14/02/2007,334.6,336.7,332.78,335.02,249.4,5650
15/02/2007,335.86,340.06,334.04,336.7,250.65,2743
16/02/2007,338.66,340.76,334.74,338.1,251.69,3293
20/02/2007,339.5,348.88,336.0,346.36,257.84,2793
21/02/2007,346.36,351.82,344.54,345.66,257.32,36214
22/02/2007,345.52,350.0,343.14,349.58,260.23,3129
23/02/2007,349.58,352.1,344.82,346.36,257.84,3250
26/02/2007,346.22,347.9,336.28,341.6,254.29,2457
27/02/2007,339.5,351.96,301.7,325.5,242.31,24793
28/02/2007,324.8,336.0,309.26,331.66,246.89,7486
01/03/2007,327.6,338.24,322.0,338.1,251.69,2957
02/03/2007,338.1,343.0,335.58,342.44,254.92,3000
05/03/2007,342.44,342.44,333.48,336.7,250.65,2750
06/03/2007,339.36,340.2,329.14,335.16,249.5,4021
07/03/2007,337.4,340.2,334.6,336.56,250.54,2343
08/03/2007,343.0,343.0,336.0,337.26,251.06,2314
09/03/2007,336.0,342.72,334.74,342.72,255.13,1864
12/03/2007,346.22,348.04,343.14,346.64,258.05,4564
13/03/2007,346.64,348.46,344.68,345.94,257.52,3421
14/03/2007,346.78,346.78,338.66,341.04,253.88,10693
15/03/2007,340.48,344.4,339.64,340.9,253.77,4964
16/03/2007,341.88,342.16,336.0,342.16,254.71,936
19/03/2007,345.66,350.0,342.72,350.0,260.55,9114
20/03/2007,349.72,360.92,347.76,360.92,268.68,6707
21/03/2007,361.2,368.34,361.06,364.84,271.59,2736
22/03/2007,365.4,367.36,364.14,366.1,272.53,1450
23/03/2007,365.4,372.96,364.7,371.42,276.49,2164
26/03/2007,373.24,375.2,370.86,371.14,276.28,2179
27/03/2007,371.0,377.3,371.0,371.0,276.18,1879
28/03/2007,373.8,375.76,369.74,370.72,275.97,2157
29/03/2007,371.0,372.4,368.76,368.9,274.62,2357
30/03/2007,369.6,369.6,367.36,368.62,274.41,1229
02/04/2007,368.62,371.42,365.54,371.42,276.49,1650
03/04/2007,370.86,380.8,370.86,380.8,283.47,3464
04/04/2007,380.8,383.6,379.4,381.64,284.1,1493
05/04/2007,382.34,397.32,381.5,395.08,294.11,2193
09/04/2007,396.76,397.74,383.74,384.02,285.87,2807
10/04/2007,384.16,384.16,375.06,375.76,279.72,1814
11/04/2007,375.9,376.88,367.5,376.88,280.56,2671
12/04/2007,377.02,384.86,376.74,381.64,284.1,1714
13/04/2007,382.34,389.06,382.34,387.52,288.48,3457
16/04/2007,385.84,393.68,385.84,390.18,290.46,2957
17/04/2007,389.76,393.4,388.36,390.88,290.98,2086
18/04/2007,390.88,393.4,388.64,390.18,290.46,1414
19/04/2007,390.18,390.6,388.5,389.2,289.73,850
20/04/2007,392.7,397.18,390.6,393.68,293.06,1500
23/04/2007,393.82,396.9,391.16,391.16,291.19,1114
24/04/2007,394.66,394.66,386.68,389.9,290.25,1493
25/04/2007,391.3,392.7,387.1,392.56,292.23,1129
26/04/2007,399.0,411.04,393.4,400.82,298.38,4343
27/04/2007,399.14,413.28,394.94,404.88,301.4,2700
30/04/2007,407.4,417.06,396.76,402.78,299.84,4307
01/05/2007,403.9,406.0,393.96,406.0,302.23,2879
02/05/2007,399.0,417.2,396.9,405.3,306.36,3336
03/05/2007,408.8,420.7,408.8,419.3,316.94,3414
04/05/2007,433.3,433.3,417.2,421.4,318.53,4279
07/05/2007,424.9,440.02,421.4,429.38,324.56,5479
08/05/2007,436.8,436.8,417.48,420.0,317.47,2529
09/05/2007,420.0,428.82,418.88,427.0,322.76,2329
10/05/2007,430.5,433.3,420.56,423.5,320.12,1793
11/05/2007,422.1,425.6,421.68,425.6,321.71,1579
14/05/2007,432.6,432.6,425.74,426.44,322.34,2100
15/05/2007,427.7,430.64,426.3,428.4,323.82,2157
16/05/2007,431.9,433.72,430.08,432.6,327.0,1829
17/05/2007,441.7,454.86,438.9,451.5,341.28,16886
18/05/2007,455.7,463.82,448.98,452.2,341.81,12979
21/05/2007,465.5,469.7,444.64,446.6,337.58,17643
22/05/2007,453.6,458.5,446.74,452.9,342.34,7136
23/05/2007,457.52,457.52,447.02,448.0,338.64,5679
24/05/2007,455.0,455.98,439.46,445.2,336.52,4364
25/05/2007,448.0,450.1,441.0,450.1,340.23,3829
29/05/2007,462.0,466.2,447.02,448.0,338.64,5493
