Date,Open,High,Low,Close,Adj Close,Volume
27/06/1997,16.0,16.12,15.75,16.0,12.88,2807400
30/06/1997,16.0,16.0,15.56,15.62,12.58,498600
01/07/1997,15.75,16.5,15.5,16.31,13.13,530900
02/07/1997,16.44,16.44,15.62,15.88,12.78,327200
03/07/1997,16.0,16.5,15.88,16.38,13.19,131800
07/07/1997,16.5,17.0,16.12,17.0,13.69,45500
08/07/1997,17.12,17.38,17.0,17.0,13.69,167700
09/07/1997,17.0,17.06,16.62,16.75,13.49,96300
10/07/1997,16.56,16.75,16.5,16.75,13.49,79900
11/07/1997,16.75,17.12,16.62,16.75,13.49,145000
14/07/1997,17.0,17.62,16.88,17.56,14.14,124700
15/07/1997,17.5,17.75,17.06,17.38,13.99,53100
16/07/1997,17.44,17.88,17.44,17.88,14.39,144200
17/07/1997,17.94,18.25,17.94,18.0,14.49,185800
18/07/1997,18.25,18.31,17.62,18.0,14.49,179700
21/07/1997,18.0,18.0,17.5,17.62,14.19,79100
22/07/1997,17.62,17.88,17.62,17.62,14.19,64700
23/07/1997,18.0,18.0,17.38,17.88,14.39,92400
24/07/1997,17.88,18.06,17.81,17.94,14.44,46300
25/07/1997,18.12,18.62,18.12,18.25,14.7,150600
28/07/1997,18.12,18.25,17.62,17.75,14.29,46800
29/07/1997,17.81,18.0,17.62,17.62,14.19,68000
30/07/1997,17.56,18.12,17.56,18.0,14.49,76200
31/07/1997,18.12,18.12,17.62,17.88,14.39,71000
01/08/1997,17.81,18.12,17.5,18.12,14.59,66800
04/08/1997,18.0,18.06,17.88,18.0,14.49,77200
05/08/1997,18.12,19.62,18.06,19.62,15.8,76800
06/08/1997,19.75,20.0,19.19,19.44,15.65,48700
07/08/1997,19.5,19.69,19.0,19.69,15.85,222200
08/08/1997,19.56,19.56,18.94,19.06,15.35,91600
11/08/1997,19.12,19.12,18.5,18.88,15.2,35400
12/08/1997,19.0,19.5,18.75,18.88,15.2,50100
13/08/1997,18.75,18.88,17.75,18.0,14.49,51600
14/08/1997,17.94,18.25,17.0,17.75,14.29,71200
15/08/1997,17.81,17.88,17.38,17.5,14.09,39000
18/08/1997,17.38,17.88,17.25,17.88,14.39,23100
19/08/1997,18.12,18.31,17.62,18.31,14.75,16400
20/08/1997,18.19,18.44,18.12,18.12,14.59,16000
21/08/1997,18.19,18.88,18.19,18.69,15.05,43000
22/08/1997,18.56,19.0,18.38,19.0,15.3,14300
25/08/1997,18.88,18.94,18.0,18.31,14.75,65300
26/08/1997,18.31,18.31,17.5,17.62,14.19,19000
27/08/1997,17.69,17.69,17.38,17.62,14.19,20600
28/08/1997,17.62,17.94,17.5,17.75,14.29,39700
29/08/1997,17.75,17.81,17.69,17.81,14.34,41300
02/09/1997,17.94,18.25,17.88,18.12,14.59,46700
03/09/1997,18.25,18.5,18.0,18.5,14.9,63100
04/09/1997,18.62,19.88,18.62,19.38,15.6,91100
05/09/1997,19.5,20.0,19.38,20.0,16.1,46300
08/09/1997,19.94,20.0,19.75,20.0,16.1,33900
09/09/1997,20.0,20.0,19.5,19.94,16.05,61400
10/09/1997,19.94,20.06,19.75,20.0,16.1,57100
11/09/1997,20.0,20.0,19.81,19.88,16.0,2200
12/09/1997,20.0,20.19,19.88,20.0,16.1,48100
15/09/1997,20.06,20.06,19.88,19.88,16.0,10000
16/09/1997,19.88,20.12,19.88,20.06,16.15,4600
17/09/1997,20.12,20.56,19.88,20.5,16.51,24400
18/09/1997,20.5,20.88,20.5,20.69,16.66,57600
19/09/1997,20.62,20.81,20.5,20.56,16.56,14700
22/09/1997,20.5,21.0,20.5,20.88,16.81,27300
23/09/1997,21.0,21.44,20.88,20.94,16.86,156600
24/09/1997,21.31,21.56,21.12,21.31,17.16,115700
25/09/1997,21.31,21.38,20.38,20.38,16.41,38700
26/09/1997,20.25,20.25,19.19,19.19,15.45,28200
29/09/1997,19.25,19.31,18.06,18.44,14.85,127900
30/09/1997,18.5,19.25,18.5,19.12,15.4,300000
01/10/1997,19.31,19.31,18.5,18.81,15.15,43200
02/10/1997,18.94,18.94,18.38,18.38,14.8,67600
03/10/1997,18.5,18.94,18.5,18.81,15.15,59600
