Date,Open,High,Low,Close,Adj Close,Volume
19/08/2020,39.99,43.0,36.0,37.01,37.01,3802800
20/08/2020,36.5,38.44,35.0,36.1,36.1,565900
21/08/2020,35.84,36.6,32.4,36.0,36.0,795000
24/08/2020,35.98,35.98,33.75,34.0,34.0,169400
25/08/2020,33.91,35.34,33.11,35.34,35.34,54800
26/08/2020,35.49,35.76,33.88,34.0,34.0,119000
27/08/2020,33.62,34.83,31.88,32.65,32.65,194700
28/08/2020,32.65,36.13,32.65,35.2,35.2,208200
31/08/2020,35.72,36.9,34.49,35.42,35.42,266300
01/09/2020,36.4,38.71,36.25,38.6,38.6,141800
02/09/2020,38.01,42.5,37.09,42.4,42.4,307900
03/09/2020,41.31,42.0,38.56,40.39,40.39,98500
04/09/2020,39.0,41.74,36.26,41.39,41.39,237800
08/09/2020,41.66,45.95,39.94,41.28,41.28,479100
09/09/2020,41.94,44.16,41.94,43.0,43.0,257600
10/09/2020,42.65,47.37,41.01,44.39,44.39,355500
11/09/2020,43.99,45.68,41.1,44.14,44.14,315000
14/09/2020,43.48,44.99,39.55,39.82,39.82,403600
15/09/2020,39.3,41.12,35.0,35.6,35.6,306800
16/09/2020,35.95,37.39,35.31,36.48,36.48,256900
17/09/2020,35.9,37.49,34.0,34.52,34.52,206800
18/09/2020,35.04,36.54,33.01,33.6,33.6,307900
21/09/2020,33.0,34.24,30.87,30.96,30.96,260000
22/09/2020,31.11,32.69,30.11,31.88,31.88,210200
23/09/2020,31.68,35.29,31.68,33.31,33.31,181600
24/09/2020,33.15,34.92,32.42,32.47,32.47,46100
25/09/2020,32.11,34.46,32.11,33.81,33.81,52400
28/09/2020,33.92,35.35,33.2,34.93,34.93,32100
29/09/2020,34.62,35.55,31.09,31.25,31.25,197500
30/09/2020,31.4,34.28,31.4,33.9,33.9,173300
01/10/2020,33.37,34.47,32.2,32.77,32.77,163300
02/10/2020,32.5,33.77,32.32,32.85,32.85,474200
05/10/2020,33.1,33.3,32.09,32.47,32.47,372400
06/10/2020,32.11,33.0,31.54,32.15,32.15,154200
07/10/2020,32.22,33.71,28.97,31.79,31.79,392300
08/10/2020,31.78,32.79,30.63,31.74,31.74,161900
09/10/2020,31.83,35.79,31.2,34.27,34.27,167400
12/10/2020,34.3,35.07,33.52,33.7,33.7,216500
13/10/2020,33.81,35.87,33.61,35.12,35.12,156400
14/10/2020,35.9,39.09,35.9,37.6,37.6,322600
15/10/2020,36.78,38.99,35.42,37.2,37.2,327200
16/10/2020,37.6,40.24,37.5,39.54,39.54,180500
19/10/2020,40.0,41.08,38.85,38.99,38.99,477100
20/10/2020,39.02,39.99,37.75,37.86,37.86,77400
21/10/2020,38.08,38.74,37.48,38.0,38.0,86200
22/10/2020,37.88,40.49,37.88,39.14,39.14,141800
23/10/2020,39.35,40.77,39.04,40.56,40.56,77700
26/10/2020,40.03,41.12,39.4,39.89,39.89,222300
27/10/2020,39.96,42.16,39.96,41.44,41.44,125700
28/10/2020,40.39,41.21,38.44,39.6,39.6,248300
29/10/2020,39.5,41.47,39.0,41.36,41.36,172100
30/10/2020,40.98,41.05,38.41,38.9,38.9,75100
02/11/2020,39.03,39.21,37.2,38.56,38.56,79000
03/11/2020,38.75,39.74,37.88,38.97,38.97,35400
04/11/2020,39.0,44.16,39.0,43.13,43.13,178800
05/11/2020,43.66,48.24,42.9,47.77,47.77,117100
06/11/2020,47.3,47.88,44.51,45.65,45.65,60700
09/11/2020,47.27,48.94,46.04,48.79,48.79,110700
10/11/2020,48.42,51.85,47.58,51.34,51.34,186100
11/11/2020,51.0,52.74,46.02,47.47,47.47,411400
12/11/2020,47.4,47.9,40.26,43.94,43.94,402900
13/11/2020,43.56,46.43,42.93,44.24,44.24,126200
16/11/2020,44.36,45.23,42.32,42.92,42.92,113200
17/11/2020,42.45,44.21,42.37,43.94,43.94,107700
18/11/2020,43.79,44.3,42.12,42.82,42.82,114900
19/11/2020,42.95,43.9,42.31,42.53,42.53,195000
20/11/2020,42.62,44.88,41.08,43.66,43.66,219800
23/11/2020,43.9,43.92,41.75,42.6,42.6,252200
24/11/2020,42.69,46.78,41.95,46.65,46.65,186700
25/11/2020,45.98,52.71,45.13,49.56,49.56,186100
27/11/2020,50.68,51.11,46.5,47.49,47.49,88700
30/11/2020,47.52,47.52,42.38,43.25,43.25,215800
01/12/2020,43.75,44.85,42.8,43.99,43.99,127600
02/12/2020,43.81,44.55,42.77,43.55,43.55,101200
03/12/2020,43.71,47.52,43.44,46.64,46.64,281100
04/12/2020,47.18,48.5,46.6,47.75,47.75,260300
07/12/2020,47.61,47.61,42.5,43.69,43.69,284500
08/12/2020,43.28,44.14,42.19,43.49,43.49,138800
09/12/2020,43.62,43.87,41.52,43.4,43.4,120100
10/12/2020,42.61,43.63,41.65,42.88,42.88,130300
11/12/2020,42.63,44.65,41.57,41.77,41.77,167800
14/12/2020,42.24,42.24,39.53,40.85,40.85,158400
15/12/2020,40.85,40.93,37.71,39.94,39.94,233100
16/12/2020,39.82,39.82,37.2,37.69,37.69,176100
17/12/2020,37.9,38.49,37.07,37.66,37.66,122600
18/12/2020,37.29,38.58,35.21,35.66,35.66,1033500
21/12/2020,35.8,36.41,34.6,36.3,36.3,232200
22/12/2020,36.55,37.48,36.01,37.47,37.47,133500
23/12/2020,37.83,39.79,37.06,37.35,37.35,167400
24/12/2020,37.3,38.54,35.82,36.48,36.48,40000
28/12/2020,36.8,37.36,35.45,35.86,35.86,55100
29/12/2020,36.15,36.64,34.87,36.02,36.02,91400
30/12/2020,36.1,37.94,36.1,36.47,36.47,112100
31/12/2020,36.23,37.65,35.27,36.15,36.15,102200
04/01/2021,36.83,37.87,35.03,35.43,35.43,88600
05/01/2021,35.24,35.97,34.65,35.26,35.26,166900
06/01/2021,35.72,37.28,35.39,36.85,36.85,92200
07/01/2021,36.88,37.6,35.51,36.54,36.54,133900
08/01/2021,36.76,38.29,35.77,36.8,36.8,180900
11/01/2021,36.51,37.24,35.01,35.44,35.44,83600
12/01/2021,35.4,37.44,35.08,37.0,37.0,104400
13/01/2021,38.46,39.83,37.57,39.5,39.5,154700
14/01/2021,39.53,40.31,37.88,38.61,38.61,150300
15/01/2021,38.27,39.08,38.2,38.82,38.82,91600
19/01/2021,39.11,39.67,36.96,37.98,37.98,95300
20/01/2021,37.79,37.79,35.71,36.95,36.95,71200
21/01/2021,36.72,37.4,36.01,36.2,36.2,51300
22/01/2021,36.03,37.0,35.93,36.58,36.58,31700
25/01/2021,36.41,37.51,36.05,37.03,37.03,132200
26/01/2021,36.8,37.14,35.52,36.17,36.17,151400
27/01/2021,35.69,37.04,34.53,35.52,35.52,146600
28/01/2021,36.27,36.71,35.42,35.71,35.71,54800
29/01/2021,35.73,37.49,35.15,35.86,35.86,87800
01/02/2021,36.33,36.7,35.37,36.04,36.04,56100
02/02/2021,36.3,38.52,36.3,37.58,37.58,95300
03/02/2021,37.39,38.73,36.58,38.42,38.42,41500
04/02/2021,38.52,39.65,38.52,38.87,38.87,67200
05/02/2021,39.39,40.3,38.9,40.05,40.05,48500
08/02/2021,39.9,40.39,39.07,40.37,40.37,32300
09/02/2021,39.97,40.99,39.45,39.77,39.77,17600
10/02/2021,40.79,40.79,39.17,39.65,39.65,28700
11/02/2021,39.93,40.47,36.84,38.33,38.33,28700
12/02/2021,38.57,38.93,36.12,37.09,37.09,38600
16/02/2021,36.94,36.94,33.34,35.56,35.56,103400
17/02/2021,35.25,36.87,35.16,36.25,36.25,29200
18/02/2021,36.12,37.43,35.52,36.99,36.99,69900
19/02/2021,36.86,39.97,36.86,37.51,37.51,64400
22/02/2021,37.52,38.95,36.95,37.34,37.34,35700
23/02/2021,37.22,37.67,36.11,36.88,36.88,47500
24/02/2021,36.44,37.77,36.44,37.15,37.15,29300
25/02/2021,37.2,37.2,35.91,36.18,36.18,32400
26/02/2021,36.14,36.3,34.53,35.47,35.47,40500
01/03/2021,35.99,36.34,34.24,36.23,36.23,104400
02/03/2021,36.32,36.79,34.65,34.9,34.9,147900
03/03/2021,35.08,35.6,34.0,34.67,34.67,33400
04/03/2021,34.43,34.69,31.63,33.02,33.02,126600
05/03/2021,33.44,33.44,30.34,32.4,32.4,76100
08/03/2021,32.69,33.46,31.27,31.81,31.81,59900
09/03/2021,32.33,34.62,32.13,33.8,33.8,107600
10/03/2021,34.19,35.39,33.06,33.62,33.62,82500
11/03/2021,33.88,34.32,31.5,32.83,32.83,259200
12/03/2021,33.08,33.44,29.88,30.52,30.52,194300
15/03/2021,30.88,32.96,29.7,30.16,30.16,141400
16/03/2021,30.63,31.34,29.55,31.01,31.01,108900
17/03/2021,31.01,31.54,29.84,30.77,30.77,333000
18/03/2021,31.09,32.5,30.01,30.94,30.94,339500
19/03/2021,31.42,33.05,30.02,31.36,31.36,321100
22/03/2021,31.84,31.84,28.76,29.11,29.11,378300
23/03/2021,29.79,30.82,27.08,28.74,28.74,296300
24/03/2021,29.65,29.9,27.78,28.75,28.75,190100
25/03/2021,28.75,31.01,28.03,29.75,29.75,159800
26/03/2021,29.42,29.42,26.51,27.56,27.56,243800
29/03/2021,29.16,29.9,28.42,29.03,29.03,307500
30/03/2021,28.55,32.04,28.2,32.03,32.03,174700
31/03/2021,31.82,33.43,31.64,33.04,33.04,149800
01/04/2021,32.93,33.41,31.3,32.09,32.09,178300
05/04/2021,31.77,33.96,31.77,33.4,33.4,239700
06/04/2021,33.0,33.01,28.25,28.98,28.98,228500
07/04/2021,28.85,28.95,27.72,28.26,28.26,171200
08/04/2021,28.52,28.55,27.97,28.27,28.27,116300
09/04/2021,28.01,29.18,27.73,28.32,28.32,147100
12/04/2021,28.41,29.59,28.0,28.72,28.72,120000
13/04/2021,29.08,29.31,28.0,28.46,28.46,313300
14/04/2021,28.6,29.33,28.56,29.08,29.08,60400
15/04/2021,29.2,29.5,27.83,28.28,28.28,128200
16/04/2021,28.39,28.97,27.55,28.15,28.15,83500
19/04/2021,28.0,28.46,26.78,27.11,27.11,60000
20/04/2021,27.11,27.8,26.78,27.42,27.42,91600
21/04/2021,27.07,28.18,27.07,28.0,28.0,121800
22/04/2021,28.16,28.7,27.69,28.0,28.0,148200
23/04/2021,28.07,28.56,27.5,28.14,28.14,130300
26/04/2021,28.22,30.15,28.14,29.4,29.4,194800
27/04/2021,29.5,29.83,28.6,29.24,29.24,60600
28/04/2021,29.33,29.6,28.62,28.99,28.99,181500
29/04/2021,28.97,29.41,28.31,29.01,29.01,92700
30/04/2021,28.82,30.3,28.53,29.3,29.3,256200
03/05/2021,29.61,29.63,28.25,29.0,29.0,79800
04/05/2021,28.82,28.82,27.52,28.07,28.07,70900
05/05/2021,28.27,28.62,27.26,27.55,27.55,65200
06/05/2021,27.38,28.11,26.84,27.41,27.41,121800
07/05/2021,27.5,28.26,27.41,27.72,27.72,134700
10/05/2021,27.91,28.27,26.67,26.8,26.8,130500
11/05/2021,26.84,28.22,25.65,25.96,25.96,373500
12/05/2021,26.1,27.5,25.73,27.13,27.13,435900
13/05/2021,27.27,27.55,25.46,26.1,26.1,235100
14/05/2021,26.45,28.3,26.28,27.88,27.88,429800
17/05/2021,27.74,30.12,27.74,29.87,29.87,170900
18/05/2021,30.14,32.14,29.78,29.99,29.99,457200
19/05/2021,29.51,31.32,28.92,31.14,31.14,338200
20/05/2021,31.15,32.65,30.81,32.5,32.5,388000
21/05/2021,32.76,34.41,31.92,32.11,32.11,241000
24/05/2021,32.19,33.29,31.93,32.65,32.65,405100
25/05/2021,32.85,33.28,31.86,32.0,32.0,374800
26/05/2021,32.27,32.71,30.67,31.51,31.51,234600
27/05/2021,31.44,32.58,31.2,32.01,32.01,434800
28/05/2021,31.98,32.69,31.79,31.96,31.96,243500
01/06/2021,32.18,33.69,31.31,33.44,33.44,260300
02/06/2021,33.45,33.78,31.94,32.23,32.23,182200
03/06/2021,32.06,33.18,31.53,32.93,32.93,174100
04/06/2021,33.04,34.18,32.65,33.19,33.19,149300
07/06/2021,33.41,33.62,32.69,33.24,33.24,384000
08/06/2021,33.4,33.75,32.57,33.11,33.11,164200
09/06/2021,33.03,33.75,32.59,32.78,32.78,210100
10/06/2021,32.98,33.24,32.13,32.64,32.64,189900
11/06/2021,32.84,32.84,31.86,31.99,31.99,171100
14/06/2021,32.0,32.27,30.73,32.0,32.0,225700
15/06/2021,32.24,32.24,30.92,31.73,31.73,196400
16/06/2021,31.65,31.81,30.75,31.5,31.5,184800
17/06/2021,31.87,32.02,30.69,31.94,31.94,227300
18/06/2021,31.98,32.33,30.43,31.31,31.31,429200
21/06/2021,31.51,32.11,31.01,31.97,31.97,319300
22/06/2021,32.06,32.06,30.9,31.16,31.16,212900
23/06/2021,31.1,31.25,30.17,30.53,30.53,161400
24/06/2021,30.7,30.7,29.65,30.1,30.1,185500
25/06/2021,30.06,30.54,29.11,29.58,29.58,2386500
28/06/2021,29.48,29.91,28.87,29.29,29.29,242500
29/06/2021,29.36,29.89,28.47,29.09,29.09,374900
30/06/2021,28.99,29.23,28.21,28.23,28.23,149000
01/07/2021,28.44,29.44,27.9,29.41,29.41,307500
02/07/2021,29.38,29.91,28.26,29.76,29.76,281800
06/07/2021,29.8,29.93,28.54,28.98,28.98,120000
07/07/2021,29.28,29.45,28.15,28.64,28.64,143800
08/07/2021,28.18,28.34,27.47,27.99,27.99,105200
09/07/2021,28.2,29.25,28.2,29.08,29.08,84300
12/07/2021,28.96,30.31,28.71,30.22,30.22,190000
13/07/2021,30.1,30.39,29.28,29.88,29.88,254900
14/07/2021,30.05,30.31,28.21,29.22,29.22,192800
