Date,Open,High,Low,Close,Adj Close,Volume
27/04/1999,14.0,14.25,13.62,14.06,9.66,3623100
28/04/1999,14.06,14.5,12.75,14.0,9.62,815400
29/04/1999,13.88,14.12,13.75,13.75,9.45,158700
30/04/1999,14.0,14.0,13.75,13.94,9.58,131800
03/05/1999,14.0,14.25,13.94,13.94,9.58,165100
04/05/1999,14.19,14.19,14.0,14.0,9.62,72500
05/05/1999,14.12,14.12,13.94,14.0,9.62,19800
06/05/1999,14.0,14.06,13.94,14.0,9.62,127400
07/05/1999,13.94,14.0,13.94,14.0,9.62,16700
10/05/1999,13.94,14.25,13.94,14.12,9.71,87200
11/05/1999,14.0,14.88,13.94,14.88,10.22,36300
12/05/1999,14.62,15.0,14.0,15.0,10.31,604100
13/05/1999,15.0,15.06,14.12,14.25,9.79,38600
14/05/1999,14.31,14.5,14.25,14.5,9.96,19600
17/05/1999,14.25,14.5,14.0,14.0,9.62,77600
18/05/1999,14.0,14.25,14.0,14.12,9.71,195700
19/05/1999,14.12,14.38,14.0,14.38,9.88,100100
20/05/1999,14.0,14.25,14.0,14.12,9.71,36100
21/05/1999,14.0,14.38,14.0,14.38,9.88,6200
24/05/1999,14.12,14.25,14.0,14.0,9.62,169800
25/05/1999,14.38,14.41,14.0,14.12,9.71,204000
26/05/1999,14.12,14.12,13.88,14.05,9.65,69100
27/05/1999,14.0,14.06,13.75,13.75,9.45,33100
28/05/1999,13.88,14.0,13.88,13.94,9.58,26500
01/06/1999,14.25,16.5,13.0,14.25,9.79,191500
02/06/1999,14.12,14.25,13.94,14.0,9.62,57500
03/06/1999,14.25,14.25,13.62,14.06,9.66,66300
04/06/1999,14.12,14.12,13.5,14.12,9.71,6200
07/06/1999,14.0,14.12,13.62,14.0,9.62,84900
08/06/1999,14.06,14.06,13.38,13.5,9.28,63700
09/06/1999,13.47,13.75,13.44,13.75,9.45,69500
10/06/1999,13.94,14.0,13.62,13.62,9.36,29800
11/06/1999,13.88,13.88,13.62,13.88,9.53,40500
14/06/1999,13.88,14.12,13.75,14.0,9.62,38600
15/06/1999,13.75,14.12,13.75,13.88,9.53,20700
16/06/1999,14.0,14.06,13.88,14.0,9.62,29500
17/06/1999,14.0,14.0,13.88,13.97,9.6,34200
18/06/1999,13.94,14.06,13.94,13.94,9.58,47800
21/06/1999,13.88,14.12,13.88,14.0,9.62,111500
22/06/1999,14.08,14.12,13.94,13.94,9.58,9600
23/06/1999,13.94,14.25,13.94,14.12,9.71,87400
24/06/1999,14.38,15.75,14.25,15.5,10.65,65300
25/06/1999,15.38,16.5,15.38,15.88,10.91,58200
28/06/1999,15.88,18.25,15.88,16.56,11.38,47500
29/06/1999,16.81,17.75,16.56,17.75,12.2,36000
30/06/1999,18.0,20.12,18.0,19.0,13.06,228000
01/07/1999,19.5,19.5,18.0,18.88,12.97,22100
02/07/1999,18.0,18.88,18.0,18.62,12.8,32900
06/07/1999,18.81,19.31,18.75,19.12,13.14,70700
07/07/1999,19.12,19.25,18.88,19.0,13.06,18500
08/07/1999,18.88,19.0,18.62,18.88,12.97,5700
09/07/1999,18.88,19.25,18.62,18.88,12.97,25500
12/07/1999,18.88,18.88,18.75,18.81,12.93,14700
13/07/1999,18.5,18.75,18.5,18.62,12.8,5100
14/07/1999,18.66,18.66,18.25,18.25,12.54,2500
15/07/1999,18.31,18.38,18.0,18.0,12.37,12500
16/07/1999,17.75,19.12,17.75,18.94,13.01,154200
19/07/1999,19.0,19.0,18.56,18.75,12.88,3600
20/07/1999,18.62,18.62,17.94,17.94,12.33,6000
21/07/1999,17.88,18.25,17.88,18.25,12.54,1100
22/07/1999,18.12,18.12,18.0,18.06,12.41,15000
23/07/1999,18.06,18.12,18.0,18.12,12.45,1200
26/07/1999,17.88,18.12,17.75,17.81,12.24,1900
27/07/1999,17.5,17.5,16.5,17.12,11.77,10100
