Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.18,3.24,3.18,3.24,0.86,15865
03/01/1990,3.24,3.24,3.2,3.2,0.84,240419
04/01/1990,3.2,3.2,3.2,3.2,0.84,0
05/01/1990,3.22,3.22,3.22,3.22,0.85,1831
08/01/1990,3.24,3.24,3.22,3.22,0.85,6102
09/01/1990,3.2,3.2,3.2,3.2,0.84,7322
10/01/1990,3.22,3.26,3.22,3.22,0.85,101903
11/01/1990,3.26,3.32,3.26,3.32,0.88,32951
12/01/1990,3.28,3.28,3.22,3.24,0.86,77495
15/01/1990,3.22,3.22,3.18,3.2,0.84,270929
16/01/1990,3.2,3.2,3.13,3.13,0.83,54918
17/01/1990,3.13,3.15,3.11,3.11,0.82,15255
18/01/1990,3.11,3.11,3.09,3.09,0.82,75665
19/01/1990,3.09,3.15,3.09,3.15,0.83,50036
22/01/1990,3.11,3.11,3.09,3.11,0.82,28679
23/01/1990,3.09,3.11,3.09,3.11,0.82,24408
24/01/1990,3.07,3.09,3.03,3.05,0.81,12814
25/01/1990,3.09,3.11,3.09,3.11,0.82,53087
26/01/1990,3.11,3.11,3.09,3.11,0.82,387477
29/01/1990,3.09,3.11,3.05,3.07,0.81,11594
30/01/1990,3.03,3.03,3.01,3.01,0.8,9763
31/01/1990,2.99,2.99,2.95,2.95,0.78,128142
01/02/1990,2.97,2.97,2.95,2.97,0.79,37832
02/02/1990,2.97,2.99,2.97,2.99,0.79,4271
05/02/1990,2.97,3.03,2.95,3.03,0.8,67122
06/02/1990,3.01,3.03,2.99,3.03,0.8,43934
07/02/1990,3.01,3.01,2.99,3.01,0.8,16475
08/02/1990,2.99,3.03,2.99,3.03,0.8,47596
09/02/1990,3.03,3.03,3.03,3.03,0.8,34171
12/02/1990,3.01,3.01,3.01,3.01,0.8,18916
13/02/1990,3.01,3.01,3.01,3.01,0.8,1831
14/02/1990,2.99,3.03,2.99,3.03,0.8,108005
15/02/1990,3.07,3.07,3.05,3.05,0.81,4882
16/02/1990,3.03,3.03,3.03,3.03,0.8,122650
20/02/1990,3.07,3.11,3.07,3.11,0.83,30510
21/02/1990,3.09,3.09,3.05,3.07,0.81,14645
22/02/1990,3.07,3.07,3.07,3.07,0.81,0
23/02/1990,3.07,3.07,3.05,3.05,0.81,31120
26/02/1990,3.03,3.05,3.03,3.03,0.8,27459
27/02/1990,3.05,3.05,3.05,3.05,0.81,43934
28/02/1990,3.07,3.11,3.07,3.09,0.82,20137
01/03/1990,3.11,3.11,3.11,3.11,0.83,91530
02/03/1990,3.09,3.13,3.07,3.13,0.83,32341
05/03/1990,3.09,3.09,3.07,3.09,0.82,6712
06/03/1990,3.09,3.11,3.09,3.11,0.83,39663
07/03/1990,3.11,3.13,3.11,3.11,0.83,142787
08/03/1990,3.11,3.11,3.11,3.11,0.83,86648
09/03/1990,3.15,3.15,3.15,3.15,0.84,3661
12/03/1990,3.15,3.24,3.15,3.22,0.85,67732
13/03/1990,3.22,3.22,3.22,3.22,0.85,7322
14/03/1990,3.22,3.22,3.22,3.22,0.85,0
15/03/1990,3.22,3.22,3.22,3.22,0.85,1220
16/03/1990,3.22,3.24,3.22,3.22,0.85,12814
19/03/1990,3.22,3.28,3.22,3.26,0.86,36002
20/03/1990,3.24,3.26,3.2,3.22,0.85,295337
21/03/1990,3.22,3.22,3.22,3.22,0.85,6102
22/03/1990,3.22,3.24,3.22,3.22,0.85,117769
23/03/1990,3.22,3.22,3.22,3.22,0.85,4882
26/03/1990,3.24,3.24,3.22,3.22,0.85,4271
27/03/1990,3.24,3.26,3.24,3.26,0.86,92140
28/03/1990,3.28,3.28,3.28,3.28,0.87,1831
29/03/1990,3.24,3.24,3.24,3.24,0.86,28679
30/03/1990,3.24,3.24,3.18,3.22,0.85,16475
02/04/1990,3.22,3.22,3.2,3.2,0.85,82377
03/04/1990,3.2,3.2,3.15,3.2,0.85,10984
04/04/1990,3.18,3.2,3.18,3.2,0.85,52477
05/04/1990,3.18,3.22,3.18,3.22,0.85,103734
06/04/1990,3.22,3.22,3.22,3.22,0.85,0
09/04/1990,3.18,3.18,3.05,3.05,0.81,57969
10/04/1990,3.05,3.05,3.05,3.05,0.81,0
11/04/1990,3.05,3.05,3.05,3.05,0.81,610
12/04/1990,3.03,3.05,3.01,3.01,0.8,40883
16/04/1990,3.01,3.01,3.01,3.01,0.8,1220
17/04/1990,2.99,3.01,2.99,3.01,0.8,19526
18/04/1990,2.99,2.99,2.93,2.95,0.78,42104
19/04/1990,2.95,2.95,2.95,2.95,0.78,24408
20/04/1990,2.93,2.93,2.93,2.93,0.78,1220
23/04/1990,2.93,2.95,2.93,2.93,0.78,4882
24/04/1990,2.91,2.91,2.87,2.87,0.76,69563
25/04/1990,2.85,2.87,2.85,2.85,0.75,20137
26/04/1990,2.85,2.85,2.85,2.85,0.75,1831
27/04/1990,2.87,2.87,2.87,2.87,0.76,29900
30/04/1990,2.85,2.85,2.83,2.83,0.75,5492
01/05/1990,2.87,2.87,2.85,2.85,0.76,23188
02/05/1990,2.85,2.85,2.85,2.85,0.76,0
03/05/1990,2.87,2.87,2.85,2.85,0.76,17086
04/05/1990,2.85,2.85,2.85,2.85,0.76,1220
07/05/1990,2.85,2.85,2.85,2.85,0.76,9153
08/05/1990,2.87,2.87,2.85,2.85,0.76,8543
09/05/1990,2.85,2.85,2.85,2.85,0.76,13424
10/05/1990,2.87,2.87,2.83,2.85,0.76,23188
11/05/1990,2.83,2.83,2.81,2.81,0.75,34781
14/05/1990,2.83,2.87,2.81,2.85,0.76,89089
15/05/1990,2.85,2.91,2.85,2.91,0.77,95191
16/05/1990,2.91,2.91,2.91,2.91,0.77,610
17/05/1990,2.95,2.95,2.95,2.95,0.78,112887
18/05/1990,2.93,2.95,2.93,2.93,0.78,64681
21/05/1990,2.93,2.93,2.93,2.93,0.78,3051
22/05/1990,2.93,2.93,2.89,2.89,0.77,23188
23/05/1990,2.87,2.87,2.79,2.79,0.74,20137
24/05/1990,2.77,2.81,2.75,2.79,0.74,170856
25/05/1990,2.79,2.79,2.75,2.75,0.73,431411
29/05/1990,2.7,2.7,2.66,2.68,0.71,9763
30/05/1990,2.68,2.79,2.68,2.75,0.73,280692
31/05/1990,2.77,2.77,2.75,2.75,0.73,61020
01/06/1990,2.75,2.79,2.75,2.79,0.74,216621
04/06/1990,2.79,2.79,2.77,2.79,0.74,125701
05/06/1990,2.79,2.87,2.79,2.87,0.76,65902
06/06/1990,2.87,2.87,2.85,2.85,0.76,57969
07/06/1990,2.87,2.87,2.85,2.85,0.76,6102
08/06/1990,2.85,2.85,2.83,2.83,0.75,100683
11/06/1990,2.87,2.87,2.87,2.87,0.76,54308
12/06/1990,2.87,2.91,2.87,2.89,0.77,74444
13/06/1990,2.89,2.89,2.87,2.87,0.76,72004
14/06/1990,2.87,2.91,2.87,2.91,0.77,34171
15/06/1990,2.89,2.91,2.89,2.91,0.77,43934
18/06/1990,2.89,2.89,2.89,2.89,0.77,6712
19/06/1990,2.89,2.91,2.89,2.91,0.77,67122
20/06/1990,2.89,2.91,2.81,2.83,0.75,245911
21/06/1990,2.87,2.97,2.87,2.95,0.78,75055
22/06/1990,2.99,2.99,2.97,2.97,0.79,54308
25/06/1990,2.93,2.93,2.89,2.91,0.77,105565
26/06/1990,2.89,2.89,2.85,2.85,0.76,36612
27/06/1990,2.87,2.87,2.83,2.83,0.75,99463
28/06/1990,2.85,2.87,2.83,2.83,0.75,190993
29/06/1990,2.83,2.91,2.83,2.91,0.77,115328
02/07/1990,2.89,2.91,2.87,2.87,0.76,68342
03/07/1990,2.89,2.89,2.87,2.89,0.77,58579
05/07/1990,2.89,2.89,2.87,2.87,0.76,18306
06/07/1990,2.87,2.87,2.87,2.87,0.76,1831
09/07/1990,2.85,2.85,2.85,2.85,0.76,13424
10/07/1990,2.85,2.85,2.85,2.85,0.76,25018
11/07/1990,2.83,2.83,2.81,2.81,0.75,29290
12/07/1990,2.81,2.83,2.81,2.83,0.75,153160
13/07/1990,2.85,2.91,2.83,2.91,0.77,181840
16/07/1990,2.87,2.89,2.87,2.89,0.77,281912
17/07/1990,2.91,2.91,2.87,2.87,0.76,20747
18/07/1990,2.87,2.87,2.85,2.85,0.76,108616
19/07/1990,2.87,2.87,2.83,2.83,0.75,84818
20/07/1990,2.85,2.85,2.83,2.83,0.75,15255
23/07/1990,2.83,2.83,2.79,2.81,0.75,21967
24/07/1990,2.81,2.81,2.7,2.72,0.72,30510
25/07/1990,2.62,2.64,2.58,2.58,0.69,127532
26/07/1990,2.6,2.6,2.58,2.58,0.69,81157
27/07/1990,2.58,2.58,2.54,2.54,0.68,92140
30/07/1990,2.52,2.58,2.52,2.58,0.69,20747
31/07/1990,2.6,2.64,2.6,2.64,0.71,18916
01/08/1990,2.68,2.75,2.68,2.75,0.73,105565
02/08/1990,2.72,2.72,2.66,2.66,0.71,18916
03/08/1990,2.62,2.62,2.58,2.58,0.69,9763
06/08/1990,2.52,2.52,2.5,2.52,0.67,18306
07/08/1990,2.5,2.5,2.48,2.48,0.66,19526
08/08/1990,2.48,2.5,2.48,2.5,0.67,6102
09/08/1990,2.5,2.5,2.5,2.5,0.67,9153
10/08/1990,2.5,2.5,2.5,2.5,0.67,15255
13/08/1990,2.54,2.54,2.54,2.54,0.68,6712
14/08/1990,2.52,2.52,2.52,2.52,0.67,1831
15/08/1990,2.52,2.52,2.52,2.52,0.67,11594
16/08/1990,2.56,2.56,2.5,2.5,0.67,18306
17/08/1990,2.48,2.5,2.48,2.48,0.66,104344
20/08/1990,2.46,2.46,2.44,2.46,0.66,19526
21/08/1990,2.46,2.46,2.44,2.44,0.65,87869
22/08/1990,2.42,2.42,2.42,2.42,0.65,22577
23/08/1990,2.4,2.42,2.4,2.42,0.65,580910
24/08/1990,2.38,2.38,2.34,2.34,0.62,20747
27/08/1990,2.36,2.36,2.34,2.34,0.62,21357
28/08/1990,2.34,2.34,2.31,2.34,0.62,25628
29/08/1990,2.38,2.38,2.34,2.34,0.62,27459
30/08/1990,2.34,2.34,2.31,2.31,0.62,7322
31/08/1990,2.29,2.29,2.29,2.29,0.61,6712
04/09/1990,2.29,2.29,2.29,2.29,0.61,0
05/09/1990,2.31,2.31,2.29,2.31,0.62,72614
06/09/1990,2.31,2.31,2.29,2.29,0.61,10984
07/09/1990,2.31,2.31,2.31,2.31,0.62,36612
