Date,Open,High,Low,Close,Adj Close,Volume
20/09/1995,5.38,5.56,5.12,5.34,5.34,15645600
21/09/1995,5.5,5.56,5.31,5.47,5.47,2330400
22/09/1995,5.47,5.56,5.25,5.34,5.34,1200000
25/09/1995,5.44,5.47,5.31,5.47,5.47,1520800
26/09/1995,5.31,5.47,5.06,5.09,5.09,1312800
27/09/1995,5.0,5.12,4.72,4.72,4.72,1209200
28/09/1995,4.81,5.12,4.81,5.0,5.0,233600
29/09/1995,5.12,5.12,5.0,5.12,5.12,532000
02/10/1995,5.09,5.31,5.09,5.12,5.12,570400
03/10/1995,5.25,5.25,4.75,4.88,4.88,271200
04/10/1995,4.88,5.0,4.81,4.81,4.81,352000
05/10/1995,4.81,5.0,4.81,5.0,5.0,215600
06/10/1995,4.81,5.0,4.75,4.78,4.78,418800
09/10/1995,4.78,4.81,4.78,4.81,4.81,296400
10/10/1995,4.78,4.81,4.62,4.62,4.62,712400
11/10/1995,4.62,5.06,4.62,4.94,4.94,666000
12/10/1995,5.06,5.06,4.94,4.94,4.94,28000
13/10/1995,5.0,5.12,4.94,5.06,5.06,806800
16/10/1995,5.06,5.06,4.94,4.94,4.94,53200
17/10/1995,4.94,5.12,4.94,4.97,4.97,62800
18/10/1995,4.97,5.12,4.94,4.94,4.94,25600
19/10/1995,4.94,5.09,4.91,4.97,4.97,264000
20/10/1995,4.88,5.12,4.88,5.12,5.12,467600
23/10/1995,5.0,5.12,4.94,5.12,5.12,431200
24/10/1995,4.94,5.12,4.78,4.78,4.78,515600
25/10/1995,4.88,4.94,4.78,4.81,4.81,186000
26/10/1995,4.81,4.94,4.81,4.88,4.88,70800
27/10/1995,4.81,4.94,4.81,4.81,4.81,12400
30/10/1995,4.94,5.25,4.94,5.25,5.25,310400
31/10/1995,5.31,5.5,5.25,5.41,5.41,746400
01/11/1995,5.41,5.5,5.38,5.44,5.44,691600
02/11/1995,5.5,5.56,5.38,5.44,5.44,727200
03/11/1995,5.38,5.5,5.25,5.38,5.38,73200
06/11/1995,5.25,5.38,5.06,5.09,5.09,86800
07/11/1995,5.19,5.19,4.94,5.03,5.03,126800
08/11/1995,5.06,5.06,4.94,4.94,4.94,42800
09/11/1995,5.06,5.06,4.94,4.94,4.94,102000
10/11/1995,4.94,5.06,4.94,5.06,5.06,183200
13/11/1995,5.19,5.44,5.12,5.38,5.38,135600
14/11/1995,5.5,5.56,5.31,5.56,5.56,241200
15/11/1995,5.47,5.56,5.25,5.31,5.31,230000
16/11/1995,5.5,5.5,5.25,5.34,5.34,69600
17/11/1995,5.25,5.44,5.25,5.44,5.44,68000
20/11/1995,5.25,5.44,5.25,5.31,5.31,584400
21/11/1995,5.44,5.44,5.06,5.16,5.16,613600
22/11/1995,5.25,5.25,5.06,5.25,5.25,62800
24/11/1995,5.25,5.25,5.06,5.12,5.12,142800
27/11/1995,5.12,5.19,5.06,5.12,5.12,117200
28/11/1995,5.06,5.12,5.0,5.12,5.12,28000
29/11/1995,5.12,5.19,5.0,5.16,5.16,42400
30/11/1995,5.0,5.16,5.0,5.12,5.12,224400
01/12/1995,5.16,5.19,5.0,5.0,5.0,344800
04/12/1995,5.06,5.09,4.97,5.06,5.06,1684800
05/12/1995,4.97,5.19,4.97,5.16,5.16,1098800
06/12/1995,5.06,5.44,5.06,5.31,5.31,247600
07/12/1995,5.5,5.56,5.38,5.38,5.38,230000
08/12/1995,5.56,5.56,5.31,5.38,5.38,49200
11/12/1995,5.31,5.5,5.31,5.5,5.5,81200
12/12/1995,5.31,5.5,5.31,5.38,5.38,336800
13/12/1995,5.38,5.88,5.38,5.44,5.44,644400
14/12/1995,5.44,5.69,5.44,5.5,5.5,73200
15/12/1995,5.44,5.69,5.44,5.56,5.56,58800
18/12/1995,5.5,5.53,5.44,5.44,5.44,92800
19/12/1995,5.53,5.56,5.44,5.56,5.56,22000
20/12/1995,5.44,5.69,5.44,5.5,5.5,76400
21/12/1995,5.5,5.69,5.5,5.62,5.62,109600
22/12/1995,5.69,5.81,5.56,5.81,5.81,103200
26/12/1995,5.75,6.38,5.75,6.22,6.22,330000
27/12/1995,6.38,6.69,6.25,6.62,6.62,449200
28/12/1995,6.69,7.0,6.69,6.94,6.94,813600
29/12/1995,6.81,7.12,6.81,6.88,6.88,317600
02/01/1996,6.88,7.0,6.88,6.94,6.94,230800
03/01/1996,6.88,7.0,6.69,6.69,6.69,1304000
04/01/1996,6.69,6.75,6.5,6.5,6.5,405600
05/01/1996,6.44,6.62,6.44,6.44,6.44,163600
08/01/1996,6.62,6.62,6.62,6.62,6.62,10000
09/01/1996,6.44,6.53,6.25,6.25,6.25,599600
10/01/1996,6.25,6.44,6.0,6.0,6.0,302400
11/01/1996,6.0,6.19,5.62,6.0,6.0,196800
12/01/1996,6.25,6.25,6.03,6.12,6.12,61600
15/01/1996,6.0,6.19,6.0,6.0,6.0,49600
16/01/1996,6.19,7.0,6.0,6.94,6.94,1241600
17/01/1996,7.0,7.38,6.81,7.12,7.12,629600
18/01/1996,7.19,7.19,6.88,6.94,6.94,924800
19/01/1996,6.75,6.88,6.69,6.72,6.72,237600
22/01/1996,6.69,6.88,6.69,6.88,6.88,147200
23/01/1996,6.81,6.94,6.69,6.69,6.69,84000
24/01/1996,6.69,7.12,6.69,6.88,6.88,144800
25/01/1996,7.12,7.31,7.06,7.22,7.22,67600
26/01/1996,7.31,7.31,7.06,7.25,7.25,11600
29/01/1996,7.06,7.88,7.06,7.88,7.88,316400
30/01/1996,7.88,8.12,7.88,8.12,8.12,1474000
31/01/1996,8.12,8.38,8.06,8.38,8.38,509200
01/02/1996,8.25,8.5,8.12,8.12,8.12,3403200
02/02/1996,8.38,8.38,8.19,8.19,8.19,260400
05/02/1996,8.19,8.81,8.19,8.72,8.72,209600
06/02/1996,8.62,8.81,8.56,8.56,8.56,87200
