Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,13.83,14.25,13.67,14.25,0.55,6509400
03/01/1990,14.33,14.58,14.25,14.46,0.56,7242000
04/01/1990,14.46,14.5,13.83,13.96,0.54,10060200
05/01/1990,13.96,14.12,13.71,14.04,0.55,9382500
08/01/1990,13.67,13.75,13.5,13.67,0.53,9951000
09/01/1990,13.67,13.75,13.42,13.42,0.52,6465300
10/01/1990,13.33,13.46,13.17,13.25,0.51,10120200
11/01/1990,13.33,13.42,13.29,13.33,0.52,6204600
12/01/1990,13.17,13.25,12.83,12.92,0.5,13090800
15/01/1990,12.96,13.0,12.67,12.71,0.49,10031700
16/01/1990,12.71,13.29,12.62,13.12,0.51,11864700
17/01/1990,13.12,13.17,12.75,12.83,0.5,7774500
18/01/1990,12.75,13.17,12.67,13.12,0.51,7102200
19/01/1990,13.25,13.25,13.04,13.08,0.51,5710200
22/01/1990,13.04,13.08,12.58,12.67,0.49,7096200
23/01/1990,12.67,12.88,12.54,12.58,0.49,7025700
24/01/1990,12.42,12.83,12.25,12.67,0.49,9230700
25/01/1990,12.75,12.79,12.33,12.33,0.48,4841400
26/01/1990,12.42,12.58,12.25,12.33,0.48,6925200
29/01/1990,12.54,12.62,12.21,12.33,0.48,4319100
30/01/1990,12.42,12.5,12.21,12.33,0.48,6588300
31/01/1990,12.5,12.71,12.46,12.62,0.49,7526700
01/02/1990,12.71,12.83,12.62,12.67,0.49,7114800
02/02/1990,12.62,12.79,12.58,12.75,0.49,7140900
05/02/1990,12.75,12.96,12.67,12.96,0.5,4427400
06/02/1990,12.88,12.92,12.75,12.75,0.49,4566600
07/02/1990,12.71,13.0,12.67,13.0,0.5,4809000
08/02/1990,13.0,13.21,13.0,13.12,0.51,5613900
09/02/1990,13.12,13.21,13.08,13.08,0.51,5361900
12/02/1990,13.04,13.08,12.88,12.88,0.5,2890200
13/02/1990,12.92,12.96,12.79,12.92,0.5,4882800
14/02/1990,12.96,13.08,12.92,13.04,0.51,4448400
15/02/1990,13.0,13.12,13.0,13.08,0.51,4226700
16/02/1990,13.0,13.12,12.75,12.75,0.49,7469700
20/02/1990,12.62,12.67,12.46,12.58,0.49,5497200
21/02/1990,12.33,12.67,12.33,12.54,0.49,6796200
22/02/1990,12.62,12.79,12.62,12.71,0.49,7794300
23/02/1990,12.58,12.67,12.33,12.5,0.49,6185400
26/02/1990,12.42,12.67,12.38,12.58,0.49,6458400
27/02/1990,12.54,12.75,12.5,12.54,0.49,4032300
28/02/1990,12.5,12.54,12.29,12.33,0.48,6759000
01/03/1990,12.42,12.42,12.0,12.0,0.47,8816700
02/03/1990,12.17,12.33,12.12,12.29,0.48,7891800
05/03/1990,12.29,12.54,12.25,12.46,0.48,6936300
06/03/1990,12.46,12.92,12.46,12.92,0.5,7076400
07/03/1990,12.88,12.92,12.62,12.92,0.5,6509400
08/03/1990,12.83,12.92,12.75,12.83,0.5,10316400
09/03/1990,12.62,12.67,12.38,12.42,0.49,6200400
12/03/1990,12.38,12.71,12.38,12.67,0.5,5316000
13/03/1990,12.54,12.67,12.46,12.54,0.49,6578700
14/03/1990,12.54,12.71,12.54,12.62,0.49,4891500
15/03/1990,12.67,12.79,12.58,12.75,0.5,4336200
16/03/1990,12.92,12.96,12.83,12.88,0.5,9804000
19/03/1990,12.83,13.08,12.75,13.0,0.51,5719800
20/03/1990,13.04,13.17,13.0,13.0,0.51,7888200
21/03/1990,13.04,13.12,12.96,12.96,0.51,3733500
22/03/1990,12.88,13.0,12.75,12.83,0.5,4980600
23/03/1990,12.88,13.17,12.83,13.12,0.51,4306500
26/03/1990,13.12,13.21,13.12,13.12,0.51,3946500
27/03/1990,13.17,13.42,13.08,13.42,0.53,3547200
28/03/1990,13.38,13.46,13.29,13.38,0.52,5233500
29/03/1990,13.38,13.46,13.29,13.33,0.52,3614700
30/03/1990,13.33,13.38,13.17,13.21,0.52,4207500
02/04/1990,13.08,13.21,13.0,13.17,0.52,4837200
03/04/1990,13.21,13.62,13.21,13.62,0.53,7781400
04/04/1990,13.62,13.79,13.46,13.5,0.53,6461400
05/04/1990,13.62,13.83,13.58,13.75,0.54,5998500
06/04/1990,13.79,13.83,13.62,13.75,0.54,4303800
09/04/1990,13.79,14.04,13.79,13.96,0.55,4558500
10/04/1990,13.96,14.08,13.92,14.08,0.55,4260300
11/04/1990,14.04,14.08,13.96,14.0,0.55,3072900
12/04/1990,14.08,14.08,13.96,14.0,0.55,4069500
16/04/1990,14.17,14.29,14.08,14.12,0.55,4998300
17/04/1990,14.08,14.33,14.04,14.33,0.56,4028400
18/04/1990,14.42,14.5,14.17,14.21,0.56,7062900
19/04/1990,14.12,14.21,13.75,13.92,0.55,5534700
20/04/1990,14.0,14.04,13.67,13.67,0.54,6068400
23/04/1990,13.67,13.88,13.62,13.88,0.54,6207600
24/04/1990,13.83,13.96,13.79,13.88,0.54,4716000
25/04/1990,13.88,14.08,13.88,14.0,0.55,5011800
26/04/1990,14.04,14.17,13.96,14.12,0.55,4255500
27/04/1990,14.12,14.17,13.83,13.83,0.54,4127700
30/04/1990,13.88,14.04,13.83,14.0,0.55,4484700
01/05/1990,14.08,14.25,14.04,14.25,0.56,4868700
02/05/1990,14.21,14.33,14.17,14.29,0.56,3485100
03/05/1990,14.33,14.38,14.12,14.21,0.56,4399800
04/05/1990,14.25,14.33,14.08,14.33,0.56,4715100
07/05/1990,14.33,14.5,14.29,14.46,0.57,4097100
08/05/1990,14.42,14.58,14.38,14.58,0.57,4419600
09/05/1990,14.5,14.58,14.42,14.58,0.57,5820600
10/05/1990,14.54,14.58,14.46,14.46,0.57,5166900
11/05/1990,14.54,14.92,14.5,14.75,0.58,10977000
14/05/1990,14.83,15.12,14.79,14.92,0.58,11120700
15/05/1990,14.79,14.96,14.75,14.96,0.59,7887000
16/05/1990,14.96,15.0,14.83,14.83,0.58,4757700
17/05/1990,14.92,14.96,14.71,14.79,0.58,5430000
18/05/1990,14.67,14.71,14.5,14.58,0.57,6477000
21/05/1990,14.54,14.92,14.54,14.83,0.58,5661000
22/05/1990,14.92,15.0,14.75,15.0,0.59,6895500
23/05/1990,14.96,15.08,14.88,15.04,0.59,5826600
24/05/1990,15.0,15.0,14.33,14.71,0.58,10998000
25/05/1990,14.58,14.62,14.17,14.17,0.55,8166000
29/05/1990,14.17,14.54,14.12,14.17,0.55,7329300
30/05/1990,14.58,14.62,14.08,14.17,0.55,7635600
31/05/1990,14.12,14.21,13.83,14.04,0.55,8327700
01/06/1990,14.12,14.5,14.0,14.42,0.56,7509900
04/06/1990,14.54,14.83,14.54,14.83,0.58,6272100
05/06/1990,14.96,15.04,14.75,14.83,0.58,9416100
06/06/1990,14.83,15.08,14.79,14.96,0.59,6196800
07/06/1990,15.04,15.17,14.92,14.96,0.59,6838500
08/06/1990,14.92,14.96,14.62,14.75,0.58,5808300
11/06/1990,14.42,14.79,14.42,14.71,0.58,3639000
12/06/1990,14.71,15.08,14.54,15.0,0.59,4317900
13/06/1990,15.04,15.08,14.75,14.83,0.59,5118300
14/06/1990,14.75,14.83,14.67,14.79,0.58,3440700
15/06/1990,14.62,14.71,14.58,14.67,0.58,6971100
18/06/1990,14.62,14.67,14.25,14.25,0.56,3962100
19/06/1990,14.25,14.75,14.25,14.75,0.58,4724700
20/06/1990,14.67,14.75,14.42,14.5,0.57,3135600
21/06/1990,14.62,14.83,14.5,14.79,0.58,4107900
22/06/1990,15.0,15.46,14.75,14.92,0.59,11727900
25/06/1990,15.25,15.54,15.21,15.54,0.61,9579600
26/06/1990,15.75,15.75,15.54,15.62,0.62,7611000
27/06/1990,15.58,15.71,15.54,15.58,0.62,5933700
28/06/1990,15.54,15.58,15.38,15.46,0.61,4877400
29/06/1990,15.42,15.58,15.38,15.5,0.61,3999300
02/07/1990,15.5,15.75,15.46,15.71,0.62,3804300
03/07/1990,15.75,16.0,15.75,16.0,0.63,7817700
05/07/1990,15.96,15.96,15.75,15.83,0.63,5042700
06/07/1990,15.88,16.42,15.83,16.42,0.65,8515800
09/07/1990,16.21,16.38,16.0,16.29,0.64,8042100
10/07/1990,16.29,16.29,16.0,16.04,0.63,4858200
11/07/1990,16.12,16.46,16.04,16.42,0.65,7274100
12/07/1990,16.42,16.62,16.33,16.58,0.65,8240400
13/07/1990,16.67,16.83,16.54,16.62,0.66,9299100
16/07/1990,16.67,16.83,16.58,16.75,0.66,5945100
17/07/1990,16.75,16.83,16.54,16.75,0.66,6426900
18/07/1990,16.79,16.92,16.67,16.71,0.66,7892100
19/07/1990,16.71,16.79,16.62,16.71,0.66,6042300
20/07/1990,16.75,17.17,16.62,16.71,0.66,7548600
23/07/1990,16.62,16.67,15.42,16.33,0.64,9881100
24/07/1990,16.33,16.54,16.17,16.54,0.65,6922200
25/07/1990,16.5,16.54,16.33,16.33,0.64,5517000
26/07/1990,16.38,16.38,15.46,15.75,0.62,9543900
27/07/1990,15.67,15.71,15.42,15.54,0.61,8613900
30/07/1990,15.5,15.96,15.42,15.83,0.63,5720700
31/07/1990,15.92,16.08,15.83,15.96,0.63,5119200
01/08/1990,15.96,16.04,15.75,15.96,0.63,4981500
02/08/1990,15.54,15.75,15.42,15.54,0.61,7242600
03/08/1990,15.46,15.5,14.25,15.5,0.61,12306000
06/08/1990,14.42,14.96,14.42,14.67,0.58,10952700
07/08/1990,15.12,15.17,14.75,15.08,0.6,8576700
08/08/1990,15.12,15.46,15.0,15.21,0.6,9078900
09/08/1990,15.38,15.5,15.29,15.5,0.61,4576800
10/08/1990,15.42,15.42,14.92,15.29,0.6,5156700
13/08/1990,15.12,15.54,15.0,15.5,0.61,4227600
14/08/1990,15.46,15.67,15.42,15.62,0.62,5160900
15/08/1990,15.71,15.79,15.67,15.75,0.62,4777500
16/08/1990,15.62,15.62,15.0,15.08,0.6,4371000
17/08/1990,14.88,15.08,14.67,15.08,0.6,8030700
20/08/1990,15.0,15.12,14.92,14.96,0.59,3941400
21/08/1990,14.67,14.79,14.33,14.62,0.58,10979100
22/08/1990,14.67,14.75,14.33,14.33,0.57,7536300
23/08/1990,13.92,14.04,13.62,13.79,0.54,12737700
24/08/1990,14.12,14.54,14.0,14.42,0.57,11626200
27/08/1990,15.0,15.08,14.83,14.92,0.59,8704500
28/08/1990,14.83,15.0,14.83,15.0,0.59,4986300
29/08/1990,15.0,15.25,14.96,15.17,0.6,7659300
30/08/1990,15.21,15.21,14.75,14.83,0.59,4158000
31/08/1990,14.88,15.04,14.83,15.04,0.59,3086700
04/09/1990,14.88,15.04,14.67,15.04,0.59,3587400
05/09/1990,15.0,15.08,14.79,15.08,0.6,3880200
06/09/1990,15.0,15.04,14.75,14.92,0.59,3433800
07/09/1990,14.83,15.17,14.83,15.08,0.6,3698700
10/09/1990,15.25,15.25,14.88,14.96,0.6,4216800
11/09/1990,15.0,15.08,14.92,15.0,0.6,3922200
12/09/1990,15.08,15.17,14.92,15.17,0.6,3207000
13/09/1990,15.08,15.08,14.83,14.96,0.6,3381000
14/09/1990,14.88,14.96,14.79,14.92,0.59,3873000
17/09/1990,14.83,15.08,14.79,14.96,0.6,4514400
18/09/1990,14.92,15.08,14.71,15.04,0.6,6849300
19/09/1990,15.04,15.42,14.96,15.33,0.61,8912100
20/09/1990,15.25,15.29,14.92,15.0,0.6,6418200
21/09/1990,14.92,15.04,14.83,14.92,0.59,7320000
24/09/1990,14.75,14.79,14.33,14.62,0.58,6009900
25/09/1990,14.75,15.04,14.62,14.96,0.6,7139400
26/09/1990,14.96,14.96,14.75,14.88,0.59,5038500
27/09/1990,15.12,15.17,14.5,14.67,0.58,5855100
28/09/1990,14.46,15.08,14.46,15.08,0.6,7933800
01/10/1990,15.29,15.92,15.25,15.92,0.63,10652100
02/10/1990,16.08,16.17,15.92,15.96,0.64,7225200
03/10/1990,15.96,16.12,15.92,16.04,0.64,5809200
04/10/1990,16.0,16.08,15.62,16.0,0.64,5743500
05/10/1990,15.62,16.08,15.58,15.92,0.63,7099500
08/10/1990,16.04,16.08,15.75,15.83,0.63,4594200
09/10/1990,15.5,15.62,15.0,15.21,0.61,6608700
10/10/1990,15.25,15.46,15.0,15.04,0.6,6759600
11/10/1990,15.17,15.21,14.67,14.79,0.59,8680800
12/10/1990,14.96,15.21,14.75,14.92,0.59,7838700
15/10/1990,15.0,15.33,14.75,15.21,0.61,7781700
16/10/1990,15.29,15.33,15.04,15.08,0.6,4568700
17/10/1990,15.0,15.21,14.92,15.0,0.6,7086900
18/10/1990,15.08,15.92,15.0,15.62,0.62,12593700
19/10/1990,15.92,16.25,15.88,16.12,0.64,12877800
22/10/1990,16.04,16.29,15.92,16.17,0.64,6878100
23/10/1990,16.08,16.17,15.96,16.0,0.64,5781600
24/10/1990,15.83,16.12,15.79,16.08,0.64,5241900
25/10/1990,16.08,16.12,15.67,15.83,0.63,3500700
26/10/1990,15.58,15.75,15.5,15.54,0.62,3964200
29/10/1990,15.54,15.71,15.12,15.29,0.61,5132100
30/10/1990,15.33,15.62,15.29,15.58,0.62,7019700
31/10/1990,15.58,15.79,15.54,15.71,0.63,6498300
01/11/1990,15.71,16.0,15.46,15.96,0.64,6988500
02/11/1990,16.0,16.21,15.96,16.17,0.64,5508600
05/11/1990,16.17,16.5,16.12,16.33,0.65,7384500
06/11/1990,16.38,16.46,16.25,16.25,0.65,5758500
07/11/1990,16.21,16.29,15.83,15.96,0.64,4793100
08/11/1990,15.96,16.17,15.88,16.0,0.64,5277300
09/11/1990,16.08,16.42,16.04,16.25,0.65,4111800
12/11/1990,16.38,16.58,16.29,16.46,0.66,6060900
13/11/1990,16.25,16.38,16.12,16.17,0.64,9039900
14/11/1990,16.08,16.38,16.04,16.29,0.65,6032400
15/11/1990,16.29,16.42,16.17,16.17,0.64,3833400
16/11/1990,16.25,16.29,16.04,16.04,0.64,4824000
19/11/1990,16.25,16.42,16.21,16.33,0.65,6494400
20/11/1990,16.33,16.42,16.17,16.21,0.65,4154400
21/11/1990,16.25,16.29,16.08,16.25,0.65,4272300
23/11/1990,16.12,16.29,16.04,16.04,0.64,1630200
26/11/1990,16.0,16.38,15.88,16.38,0.65,3974400
27/11/1990,16.33,16.54,16.25,16.29,0.65,5367300
28/11/1990,16.25,16.5,16.17,16.21,0.65,4288800
29/11/1990,16.17,16.33,16.0,16.0,0.64,57012300
30/11/1990,16.04,16.38,15.79,16.21,0.65,9024900
03/12/1990,16.33,16.38,16.17,16.29,0.65,5998500
04/12/1990,16.25,16.58,16.17,16.5,0.66,6629700
05/12/1990,16.5,16.71,16.46,16.58,0.66,6554100
06/12/1990,16.92,16.96,16.67,16.71,0.67,9424500
07/12/1990,16.67,16.79,16.58,16.67,0.66,6046800
10/12/1990,16.62,16.92,16.62,16.92,0.67,4884300
11/12/1990,16.79,16.92,16.71,16.92,0.68,4072200
12/12/1990,16.92,17.17,16.88,17.12,0.69,7525500
13/12/1990,17.12,17.25,16.96,17.08,0.69,5523900
14/12/1990,17.0,17.04,16.75,16.88,0.68,5433600
17/12/1990,16.75,16.92,16.67,16.92,0.68,3528000
18/12/1990,16.92,17.25,16.88,17.21,0.69,5963100
19/12/1990,17.21,17.29,17.0,17.0,0.68,5536800
20/12/1990,16.92,17.17,16.83,17.12,0.69,4833000
21/12/1990,17.25,17.25,17.04,17.04,0.68,9300600
24/12/1990,16.96,17.0,16.92,16.96,0.68,1105800
26/12/1990,17.0,17.33,16.96,17.04,0.68,2855700
27/12/1990,17.12,17.17,17.0,17.04,0.68,1725600
28/12/1990,17.0,17.0,16.83,16.96,0.68,2313300
31/12/1990,17.0,17.25,16.96,17.25,0.69,2573400
02/01/1991,17.12,17.25,16.83,16.96,0.68,5444400
03/01/1991,16.96,17.0,16.46,16.5,0.66,6923700
04/01/1991,16.58,16.71,16.33,16.46,0.66,5913300
07/01/1991,16.33,16.46,16.21,16.21,0.65,5116800
08/01/1991,16.25,16.38,16.17,16.25,0.65,5217900
09/01/1991,16.38,16.75,16.17,16.21,0.65,7250700
10/01/1991,16.29,16.38,16.21,16.38,0.66,4762800
11/01/1991,16.33,16.46,16.33,16.33,0.66,3140100
14/01/1991,16.12,16.33,16.08,16.29,0.65,5596200
15/01/1991,16.25,16.46,16.17,16.46,0.66,3145800
16/01/1991,16.38,16.67,16.33,16.58,0.67,4112400
17/01/1991,17.33,17.67,16.92,17.38,0.7,14755800
18/01/1991,17.33,17.67,17.29,17.54,0.71,11740800
21/01/1991,17.38,17.62,17.33,17.5,0.7,4496700
22/01/1991,17.46,17.79,17.42,17.67,0.71,6401400
23/01/1991,17.62,17.92,17.62,17.83,0.72,4584600
24/01/1991,17.92,18.38,17.88,18.17,0.73,9153900
25/01/1991,18.17,18.42,18.12,18.29,0.74,6086100
28/01/1991,18.25,18.46,18.25,18.33,0.74,4465500
29/01/1991,18.21,18.29,18.04,18.29,0.74,4315500
30/01/1991,18.17,18.58,18.04,18.58,0.75,7970700
31/01/1991,18.54,18.67,18.46,18.54,0.75,5985900
01/02/1991,18.54,19.08,18.46,18.96,0.76,9235500
04/02/1991,18.92,19.42,18.92,19.38,0.78,7146000
05/02/1991,19.29,19.58,19.21,19.25,0.77,7854000
06/02/1991,19.21,19.75,19.17,19.67,0.79,9968100
07/02/1991,19.62,19.92,19.25,19.46,0.78,9085200
08/02/1991,19.42,19.96,19.42,19.75,0.79,5145300
11/02/1991,19.83,20.58,19.79,20.54,0.83,9808500
12/02/1991,20.33,20.5,20.08,20.12,0.81,10005300
13/02/1991,20.12,20.38,19.83,20.29,0.82,7720800
14/02/1991,20.38,20.46,19.88,20.08,0.81,8586600
15/02/1991,20.08,20.67,20.04,20.67,0.83,11072400
19/02/1991,20.67,21.67,20.62,21.67,0.87,13408500
20/02/1991,21.33,21.54,21.21,21.38,0.86,9080400
21/02/1991,21.46,22.46,21.33,22.08,0.89,13943100
22/02/1991,22.0,22.83,22.0,22.58,0.91,12566100
25/02/1991,23.04,23.12,22.62,22.88,0.92,11190900
26/02/1991,22.54,22.71,22.12,22.25,0.89,8074500
27/02/1991,22.29,22.71,22.17,22.17,0.89,8205900
28/02/1991,22.42,22.42,21.75,22.0,0.88,7058700
01/03/1991,21.62,22.25,21.62,22.0,0.88,8451300
04/03/1991,22.08,22.12,21.67,21.79,0.88,7109700
05/03/1991,21.88,22.83,21.88,22.54,0.91,10855500
06/03/1991,22.62,22.92,22.33,22.46,0.9,8758800
07/03/1991,22.46,22.75,22.42,22.58,0.91,5361000
08/03/1991,22.54,22.67,22.12,22.38,0.91,5847600
11/03/1991,22.33,22.75,22.29,22.46,0.91,5855400
12/03/1991,22.42,22.67,22.0,22.12,0.89,6833100
13/03/1991,22.04,22.62,21.83,22.54,0.91,5998800
14/03/1991,22.54,22.92,22.21,22.33,0.9,7434300
15/03/1991,22.33,22.42,21.88,22.12,0.89,8922900
18/03/1991,22.0,22.5,22.0,22.33,0.9,5488200
19/03/1991,22.0,22.33,21.92,22.17,0.9,5361000
20/03/1991,22.25,22.96,22.21,22.83,0.92,6033900
21/03/1991,23.0,23.5,22.79,23.0,0.93,7150200
22/03/1991,22.92,23.17,22.75,23.17,0.94,5395500
25/03/1991,23.25,23.5,22.12,22.29,0.9,6199500
26/03/1991,21.96,22.54,21.88,22.54,0.91,19389300
27/03/1991,22.75,22.79,22.46,22.75,0.92,8884200
28/03/1991,22.83,22.88,22.54,22.67,0.92,3799500
01/04/1991,22.58,22.67,22.21,22.21,0.9,5328000
02/04/1991,22.25,23.25,22.25,23.17,0.94,7156500
03/04/1991,23.29,23.38,22.67,22.75,0.92,6748800
04/04/1991,22.83,23.08,22.46,22.88,0.93,7067100
05/04/1991,22.96,23.0,22.33,22.58,0.91,6283200
08/04/1991,22.58,22.92,22.5,22.83,0.92,4156800
09/04/1991,22.71,23.12,22.62,22.75,0.92,6465300
10/04/1991,22.79,22.88,22.46,22.75,0.92,4861200
11/04/1991,22.88,23.25,22.79,22.83,0.92,6403800
12/04/1991,22.92,22.92,22.38,22.75,0.92,6051000
15/04/1991,22.88,23.29,22.71,23.29,0.94,6009000
16/04/1991,23.25,23.92,23.17,23.88,0.97,9316800
17/04/1991,23.79,23.96,23.33,23.54,0.95,9023100
18/04/1991,23.42,23.62,23.25,23.33,0.94,6459900
19/04/1991,23.17,23.25,22.75,22.83,0.92,8923500
22/04/1991,22.54,22.62,22.38,22.54,0.91,7458300
23/04/1991,22.62,22.71,22.46,22.5,0.91,5246400
24/04/1991,22.5,22.67,22.33,22.58,0.91,4518000
25/04/1991,22.54,22.92,22.54,22.62,0.92,4452600
26/04/1991,22.5,22.71,22.46,22.54,0.91,3980700
29/04/1991,22.58,22.75,22.29,22.38,0.91,3835800
30/04/1991,22.54,22.67,22.04,22.25,0.9,7029000
01/05/1991,22.29,23.08,22.25,22.92,0.93,6726000
02/05/1991,22.96,23.04,22.83,22.83,0.92,4593600
03/05/1991,22.83,23.08,22.83,23.04,0.93,3174900
06/05/1991,23.0,23.0,22.71,22.92,0.93,2901000
07/05/1991,22.92,23.08,22.62,22.67,0.92,3546900
08/05/1991,22.75,22.83,22.54,22.58,0.91,3708900
09/05/1991,22.71,23.04,22.62,22.88,0.93,5465700
10/05/1991,22.92,22.96,22.42,22.5,0.91,4884000
13/05/1991,22.54,22.58,22.42,22.54,0.91,3800700
14/05/1991,22.46,22.5,22.08,22.17,0.9,4611300
15/05/1991,22.17,22.29,21.5,21.71,0.88,9750600
16/05/1991,21.92,22.04,21.83,21.92,0.89,6906600
17/05/1991,21.83,21.83,21.46,21.62,0.87,10328400
20/05/1991,21.62,21.71,21.29,21.54,0.87,5943900
21/05/1991,21.62,22.12,21.62,21.96,0.89,8487900
22/05/1991,22.0,22.29,21.92,22.29,0.9,5560200
23/05/1991,22.33,22.67,22.33,22.5,0.91,7635000
24/05/1991,22.58,22.75,22.54,22.67,0.92,4215900
28/05/1991,22.79,23.04,22.71,23.04,0.93,6510600
29/05/1991,23.21,23.21,22.67,22.83,0.92,6126900
30/05/1991,22.79,23.17,22.5,22.79,0.92,7878000
31/05/1991,22.79,22.83,22.38,22.79,0.92,7588800
03/06/1991,22.79,22.92,22.25,22.29,0.9,5612100
04/06/1991,22.29,22.5,22.21,22.42,0.91,5158500
05/06/1991,22.42,22.58,22.25,22.33,0.9,4903200
06/06/1991,22.38,22.46,22.08,22.12,0.89,3557400
07/06/1991,22.04,22.17,21.88,22.12,0.89,4519800
10/06/1991,22.17,22.21,21.92,22.08,0.89,4896300
11/06/1991,22.0,22.08,21.96,21.96,0.89,3977100
12/06/1991,21.88,21.92,21.58,21.83,0.89,4818300
13/06/1991,21.79,21.92,21.71,21.75,0.89,5215800
14/06/1991,21.88,22.29,21.88,22.25,0.91,6524400
17/06/1991,22.25,22.33,22.04,22.04,0.9,3742800
18/06/1991,22.04,22.29,21.92,22.0,0.9,5631900
19/06/1991,21.92,22.0,21.71,21.79,0.89,4864500
20/06/1991,21.83,21.92,21.75,21.79,0.89,4822800
21/06/1991,21.79,21.88,21.62,21.71,0.88,7823700
24/06/1991,21.54,21.62,21.42,21.42,0.87,4322100
25/06/1991,21.5,21.58,20.88,21.08,0.86,6405600
26/06/1991,21.08,21.46,20.62,21.33,0.87,7607100
27/06/1991,21.46,21.5,21.0,21.38,0.87,6626700
28/06/1991,21.25,21.33,21.0,21.17,0.86,4937400
01/07/1991,21.33,21.79,21.29,21.71,0.88,5202600
02/07/1991,21.75,21.96,21.67,21.88,0.89,4038000
03/07/1991,21.71,21.83,21.58,21.79,0.89,4111500
05/07/1991,21.75,22.12,21.75,21.88,0.89,2720700
08/07/1991,21.75,22.25,21.67,22.25,0.91,4036500
09/07/1991,22.21,22.21,21.75,21.88,0.89,3558600
10/07/1991,22.0,22.29,21.96,22.08,0.9,4904100
11/07/1991,22.21,22.29,22.08,22.17,0.9,3600000
12/07/1991,22.25,22.75,22.17,22.58,0.92,4821900
15/07/1991,22.67,22.96,22.58,22.92,0.93,6029100
16/07/1991,22.92,23.0,22.67,22.75,0.93,3679800
17/07/1991,22.58,22.62,22.12,22.21,0.9,6939300
18/07/1991,22.33,22.58,22.21,22.29,0.91,6594300
19/07/1991,22.33,22.38,21.96,21.96,0.89,5575500
22/07/1991,21.88,22.08,21.83,21.83,0.89,4229100
23/07/1991,21.96,22.0,21.83,21.88,0.89,5310900
24/07/1991,21.96,22.29,21.92,21.96,0.89,5412600
25/07/1991,22.04,22.21,21.88,22.21,0.9,4014300
26/07/1991,22.17,22.29,22.0,22.12,0.9,2614200
29/07/1991,22.12,22.29,22.04,22.21,0.9,2625000
30/07/1991,22.21,22.33,22.21,22.29,0.91,4671900
