Date,Open,High,Low,Close,Adj Close,Volume
15/11/1996,2.38,2.56,2.28,2.38,2.24,4909600
18/11/1996,2.44,2.44,2.31,2.31,2.18,578000
19/11/1996,2.31,2.38,2.25,2.27,2.13,340800
20/11/1996,2.25,2.34,2.25,2.28,2.15,174800
21/11/1996,2.25,2.31,2.25,2.25,2.12,378400
22/11/1996,2.25,2.28,2.19,2.19,2.06,53600
25/11/1996,2.19,2.19,2.19,2.19,2.06,77600
26/11/1996,2.25,2.25,2.19,2.19,2.06,74400
27/11/1996,2.25,2.34,2.25,2.28,2.15,322400
29/11/1996,2.28,2.28,2.28,2.28,2.15,20000
02/12/1996,2.28,2.34,2.28,2.28,2.15,60800
03/12/1996,2.28,2.31,2.28,2.28,2.15,182000
04/12/1996,2.34,2.41,2.28,2.41,2.26,204400
05/12/1996,2.31,2.38,2.31,2.38,2.24,20800
06/12/1996,2.34,2.38,2.31,2.31,2.18,112400
09/12/1996,2.31,2.38,2.31,2.38,2.24,100400
10/12/1996,2.31,2.38,2.31,2.38,2.24,36000
11/12/1996,2.34,2.34,2.31,2.31,2.18,44000
12/12/1996,2.31,2.38,2.31,2.38,2.24,84000
13/12/1996,2.31,2.31,2.31,2.31,2.18,42000
16/12/1996,2.31,2.31,2.31,2.31,2.18,0
17/12/1996,2.28,2.28,2.28,2.28,2.15,29600
18/12/1996,2.28,2.28,2.28,2.28,2.15,4000
19/12/1996,2.28,2.28,2.28,2.28,2.15,4000
20/12/1996,2.28,2.34,2.28,2.34,2.21,303200
23/12/1996,2.34,2.34,2.34,2.34,2.21,180000
24/12/1996,2.34,2.34,2.34,2.34,2.21,0
26/12/1996,2.34,2.34,2.34,2.34,2.21,0
27/12/1996,2.34,2.34,2.34,2.34,2.21,0
30/12/1996,2.34,2.34,2.34,2.34,2.21,0
31/12/1996,2.44,2.44,2.34,2.38,2.24,73600
02/01/1997,2.34,2.44,2.34,2.38,2.24,60000
03/01/1997,2.34,2.34,2.34,2.34,2.21,2000
06/01/1997,2.34,2.34,2.34,2.34,2.21,0
07/01/1997,2.34,2.41,2.34,2.39,2.25,468800
08/01/1997,2.44,2.44,2.41,2.41,2.26,4800
09/01/1997,2.34,2.44,2.34,2.34,2.21,32400
10/01/1997,2.34,2.41,2.34,2.41,2.26,52000
13/01/1997,2.44,2.66,2.44,2.66,2.5,61600
14/01/1997,2.66,2.66,2.62,2.62,2.47,16000
15/01/1997,2.69,2.75,2.62,2.75,2.59,14000
16/01/1997,2.75,2.75,2.75,2.75,2.59,0
17/01/1997,2.62,2.72,2.62,2.72,2.56,80800
20/01/1997,2.81,2.81,2.69,2.81,2.65,11200
21/01/1997,2.88,3.03,2.84,2.88,2.71,56400
22/01/1997,3.03,3.06,2.94,2.97,2.79,87200
23/01/1997,3.06,3.25,3.06,3.25,3.06,70000
24/01/1997,3.25,3.25,3.12,3.25,3.06,24800
27/01/1997,3.25,3.44,3.16,3.44,3.24,52000
