Date,Open,High,Low,Close,Adj Close,Volume
29/01/1998,2.28,2.47,2.28,2.41,2.37,22820800
30/01/1998,2.41,2.55,2.41,2.5,2.47,2928000
02/02/1998,2.5,2.54,2.44,2.45,2.42,585600
03/02/1998,2.45,2.45,2.38,2.38,2.34,673600
04/02/1998,2.38,2.41,2.38,2.38,2.34,877600
05/02/1998,2.38,2.39,2.34,2.34,2.31,804800
06/02/1998,2.34,2.34,2.2,2.28,2.25,777600
09/02/1998,2.27,2.36,2.27,2.31,2.28,1488000
10/02/1998,2.31,2.36,2.31,2.32,2.29,52000
11/02/1998,2.31,2.5,2.31,2.48,2.45,740000
12/02/1998,2.48,2.5,2.42,2.44,2.41,663200
13/02/1998,2.5,2.5,2.44,2.45,2.42,615200
17/02/1998,2.44,2.56,2.44,2.53,2.5,671200
18/02/1998,2.53,2.58,2.53,2.55,2.51,245600
19/02/1998,2.55,2.66,2.55,2.61,2.58,156800
20/02/1998,2.61,2.67,2.61,2.61,2.58,307200
23/02/1998,2.66,2.66,2.61,2.62,2.59,43200
24/02/1998,2.66,2.66,2.59,2.66,2.62,41600
25/02/1998,2.59,2.73,2.59,2.67,2.64,547200
26/02/1998,2.67,2.7,2.67,2.67,2.64,105600
27/02/1998,2.66,2.72,2.64,2.7,2.67,96800
02/03/1998,2.66,2.69,2.64,2.67,2.64,1313600
03/03/1998,2.67,2.67,2.61,2.62,2.59,269600
04/03/1998,2.61,2.61,2.59,2.59,2.56,82400
05/03/1998,2.55,2.59,2.44,2.47,2.44,880000
06/03/1998,2.47,2.52,2.45,2.52,2.48,903200
09/03/1998,2.5,2.55,2.5,2.53,2.5,758400
10/03/1998,2.5,2.58,2.5,2.56,2.53,101600
11/03/1998,2.57,2.63,2.56,2.59,2.56,160000
12/03/1998,2.61,2.62,2.59,2.62,2.59,783200
13/03/1998,2.59,2.66,2.59,2.64,2.61,93600
16/03/1998,2.59,2.64,2.59,2.62,2.59,132800
17/03/1998,2.62,2.66,2.62,2.62,2.59,12000
18/03/1998,2.62,2.66,2.62,2.66,2.62,106400
19/03/1998,2.62,2.67,2.62,2.67,2.64,177600
20/03/1998,2.67,2.67,2.62,2.66,2.62,168800
23/03/1998,2.62,2.67,2.62,2.67,2.64,20000
24/03/1998,2.67,2.67,2.59,2.59,2.56,87200
25/03/1998,2.59,2.69,2.57,2.69,2.65,1600800
26/03/1998,2.72,2.73,2.58,2.59,2.56,944000
27/03/1998,2.59,2.59,2.58,2.58,2.54,13600
30/03/1998,2.58,2.77,2.58,2.75,2.71,394400
31/03/1998,2.77,2.77,2.7,2.75,2.71,168800
01/04/1998,2.75,2.75,2.72,2.72,2.68,24800
02/04/1998,2.75,2.78,2.69,2.78,2.75,344000
03/04/1998,2.78,2.78,2.72,2.73,2.7,394400
06/04/1998,2.77,2.77,2.7,2.74,2.71,121600
07/04/1998,2.7,2.75,2.7,2.75,2.71,1808800
08/04/1998,2.75,2.94,2.75,2.94,2.9,453600
09/04/1998,2.94,2.94,2.81,2.83,2.79,842400
13/04/1998,2.81,2.81,2.81,2.81,2.78,16000
14/04/1998,2.86,2.86,2.81,2.83,2.79,1280800
15/04/1998,2.84,2.88,2.84,2.88,2.84,65600
16/04/1998,2.88,2.88,2.88,2.88,2.84,80000
17/04/1998,2.89,2.89,2.89,2.89,2.85,24000
20/04/1998,2.89,2.91,2.81,2.91,2.87,163200
21/04/1998,2.86,2.88,2.86,2.86,2.82,34400
22/04/1998,2.86,2.86,2.86,2.86,2.82,0
23/04/1998,2.86,2.88,2.83,2.86,2.82,192000
24/04/1998,2.88,2.88,2.83,2.83,2.79,3200
27/04/1998,2.83,2.84,2.81,2.83,2.79,120000
28/04/1998,2.83,2.83,2.83,2.83,2.79,0
29/04/1998,2.81,2.81,2.81,2.81,2.78,800
30/04/1998,2.88,2.88,2.81,2.84,2.81,6400
01/05/1998,2.86,2.86,2.83,2.83,2.79,244800
04/05/1998,2.91,3.0,2.88,3.0,2.96,448000
05/05/1998,2.94,3.0,2.94,2.98,2.95,25600
06/05/1998,2.98,3.06,2.94,3.03,2.99,279200
07/05/1998,3.03,3.06,3.0,3.06,3.02,75200
08/05/1998,3.06,3.16,3.06,3.16,3.12,57600
11/05/1998,3.25,3.31,3.22,3.25,3.21,485600
12/05/1998,3.38,3.44,3.31,3.38,3.33,998400
13/05/1998,3.38,3.38,3.33,3.33,3.28,36000
14/05/1998,3.31,3.38,3.31,3.31,3.27,71200
15/05/1998,3.31,3.31,3.2,3.2,3.16,136000
18/05/1998,3.23,3.23,3.2,3.2,3.16,21600
19/05/1998,3.2,3.23,3.2,3.21,3.17,477600
20/05/1998,3.21,3.21,3.21,3.21,3.17,0
21/05/1998,3.2,3.21,3.2,3.2,3.16,8800
22/05/1998,3.2,3.2,3.2,3.2,3.16,800
26/05/1998,3.2,3.2,3.2,3.2,3.16,8000
27/05/1998,3.2,3.2,3.14,3.14,3.1,32000
28/05/1998,3.14,3.14,3.12,3.12,3.08,28000
29/05/1998,3.12,3.12,3.12,3.12,3.08,0
01/06/1998,3.12,3.12,3.09,3.09,3.05,34400
02/06/1998,3.06,3.06,3.06,3.06,3.02,4800
03/06/1998,3.06,3.06,3.06,3.06,3.02,4000
04/06/1998,3.14,3.14,3.06,3.06,3.02,1600
05/06/1998,3.06,3.06,2.88,3.0,2.96,1465600
08/06/1998,2.94,2.94,2.89,2.91,2.87,81600
09/06/1998,2.88,2.94,2.86,2.94,2.9,36000
10/06/1998,2.84,2.94,2.8,2.84,2.81,129600
11/06/1998,2.88,2.88,2.83,2.84,2.81,20000
12/06/1998,2.83,2.84,2.8,2.84,2.8,182400
15/06/1998,2.81,2.88,2.77,2.88,2.84,785600
16/06/1998,2.88,2.89,2.86,2.88,2.84,264000
17/06/1998,2.91,3.02,2.9,3.02,2.98,245600
18/06/1998,3.02,3.02,3.02,3.02,2.98,0
19/06/1998,2.98,3.02,2.98,3.0,2.96,328000
22/06/1998,3.0,3.0,3.0,3.0,2.96,800
23/06/1998,3.03,3.08,3.0,3.0,2.96,172000
24/06/1998,3.03,3.14,3.03,3.14,3.1,1600
25/06/1998,3.11,3.12,3.06,3.06,3.02,148000
26/06/1998,3.09,3.16,3.06,3.16,3.12,127200
29/06/1998,3.12,3.12,3.06,3.06,3.02,36800
30/06/1998,3.06,3.06,3.06,3.06,3.02,4000
01/07/1998,3.06,3.09,3.06,3.09,3.05,11200
02/07/1998,3.06,3.09,3.06,3.09,3.05,17600
06/07/1998,3.06,3.12,3.06,3.06,3.02,12000
07/07/1998,3.06,3.06,3.06,3.06,3.02,0
08/07/1998,3.06,3.06,3.06,3.06,3.02,0
09/07/1998,3.06,3.06,3.06,3.06,3.02,0
10/07/1998,3.12,3.12,3.12,3.12,3.08,43200
13/07/1998,3.16,3.16,3.16,3.16,3.12,3200
14/07/1998,3.16,3.16,3.16,3.16,3.12,0
15/07/1998,3.16,3.19,3.14,3.14,3.1,135200
16/07/1998,3.22,3.28,3.22,3.27,3.22,135200
17/07/1998,3.33,3.33,3.31,3.31,3.27,160000
20/07/1998,3.34,3.34,3.31,3.31,3.27,100800
21/07/1998,3.31,3.31,3.25,3.25,3.21,225600
22/07/1998,3.23,3.23,3.23,3.23,3.19,7200
23/07/1998,3.22,3.22,3.08,3.08,3.04,149600
24/07/1998,3.08,3.13,3.08,3.13,3.09,76000
27/07/1998,3.13,3.13,3.13,3.13,3.09,0
28/07/1998,3.22,3.22,3.11,3.11,3.07,7200
29/07/1998,3.25,3.28,3.25,3.28,3.24,46400
30/07/1998,3.17,3.17,3.12,3.12,3.08,43200
31/07/1998,3.11,3.25,3.11,3.11,3.07,3200
03/08/1998,3.23,3.25,3.17,3.17,3.13,41600
04/08/1998,3.11,3.11,2.94,2.94,2.9,154400
05/08/1998,3.09,3.09,2.94,2.94,2.9,7200
06/08/1998,2.94,3.04,2.94,2.95,2.91,348800
07/08/1998,2.94,3.03,2.94,3.03,2.99,32000
10/08/1998,3.03,3.03,3.03,3.03,2.99,10400
11/08/1998,2.94,2.97,2.94,2.94,2.9,60800
12/08/1998,3.0,3.0,2.94,2.94,2.9,17600
13/08/1998,2.94,2.97,2.94,2.94,2.9,228800
14/08/1998,2.94,2.95,2.94,2.94,2.9,325600
17/08/1998,2.94,2.94,2.94,2.94,2.9,12000
18/08/1998,2.94,3.0,2.94,3.0,2.96,24000
19/08/1998,2.94,2.95,2.94,2.94,2.9,56000
