Date,Open,High,Low,Close,Adj Close,Volume
28/08/2015,9.75,9.75,9.75,9.75,9.75,200
31/08/2015,9.75,9.75,9.75,9.75,9.75,0
01/09/2015,9.75,9.75,9.75,9.75,9.75,0
02/09/2015,9.75,9.75,9.75,9.75,9.75,0
03/09/2015,9.75,9.75,9.75,9.75,9.75,10900
04/09/2015,9.75,9.75,9.75,9.75,9.75,0
08/09/2015,9.7,9.7,9.7,9.7,9.7,4000
09/09/2015,9.7,9.7,9.7,9.7,9.7,0
10/09/2015,9.7,9.7,9.7,9.7,9.7,6000
11/09/2015,9.7,9.7,9.7,9.7,9.7,0
14/09/2015,9.7,9.7,9.7,9.7,9.7,0
15/09/2015,9.7,9.7,9.7,9.7,9.7,0
16/09/2015,9.7,9.7,9.7,9.7,9.7,0
17/09/2015,9.7,9.7,9.7,9.7,9.7,0
18/09/2015,9.61,9.61,9.61,9.61,9.61,5000
21/09/2015,9.65,9.65,9.61,9.61,9.61,200
22/09/2015,9.6,9.6,9.6,9.6,9.6,100
23/09/2015,9.6,9.6,9.6,9.6,9.6,0
24/09/2015,9.64,9.7,9.64,9.7,9.7,28700
25/09/2015,9.64,9.64,9.64,9.64,9.64,100
28/09/2015,9.65,9.65,9.65,9.65,9.65,150000
29/09/2015,9.65,9.65,9.65,9.65,9.65,0
30/09/2015,9.65,9.65,9.65,9.65,9.65,0
01/10/2015,9.65,9.65,9.65,9.65,9.65,0
02/10/2015,9.65,9.65,9.65,9.65,9.65,0
05/10/2015,9.65,9.65,9.65,9.65,9.65,0
06/10/2015,9.65,9.65,9.61,9.61,9.61,19200
07/10/2015,9.62,9.65,9.61,9.61,9.61,34400
08/10/2015,9.61,9.61,9.61,9.61,9.61,0
09/10/2015,9.61,9.61,9.61,9.61,9.61,0
12/10/2015,9.61,9.61,9.61,9.61,9.61,34300
13/10/2015,9.61,9.63,9.61,9.63,9.63,161000
14/10/2015,9.63,9.63,9.63,9.63,9.63,0
15/10/2015,9.63,9.63,9.63,9.63,9.63,200
