Date,Open,High,Low,Close,Adj Close,Volume
26/06/1992,0.33,0.35,0.32,0.34,0.26,224358400
29/06/1992,0.34,0.37,0.33,0.36,0.28,58732800
30/06/1992,0.37,0.37,0.34,0.35,0.27,34777600
01/07/1992,0.35,0.36,0.34,0.36,0.27,18316800
02/07/1992,0.36,0.36,0.35,0.36,0.27,13996800
06/07/1992,0.35,0.36,0.35,0.36,0.27,5753600
07/07/1992,0.36,0.36,0.35,0.36,0.27,10662400
08/07/1992,0.36,0.36,0.34,0.35,0.27,15500800
09/07/1992,0.35,0.36,0.35,0.36,0.28,3923200
10/07/1992,0.36,0.37,0.35,0.36,0.28,11040000
13/07/1992,0.36,0.37,0.36,0.37,0.29,5996800
14/07/1992,0.37,0.38,0.37,0.37,0.29,17062400
15/07/1992,0.38,0.38,0.37,0.38,0.3,4992000
16/07/1992,0.38,0.41,0.38,0.41,0.31,17062400
17/07/1992,0.41,0.44,0.4,0.43,0.33,15667200
20/07/1992,0.43,0.44,0.42,0.43,0.33,19744000
21/07/1992,0.44,0.45,0.43,0.44,0.34,7782400
22/07/1992,0.43,0.44,0.42,0.43,0.33,10892800
23/07/1992,0.43,0.44,0.43,0.44,0.34,10387200
24/07/1992,0.43,0.45,0.43,0.45,0.34,7052800
27/07/1992,0.45,0.46,0.45,0.46,0.35,11430400
28/07/1992,0.46,0.46,0.43,0.44,0.34,18009600
29/07/1992,0.44,0.44,0.41,0.42,0.32,30848000
30/07/1992,0.41,0.42,0.4,0.41,0.32,11737600
31/07/1992,0.41,0.42,0.41,0.42,0.32,6886400
03/08/1992,0.41,0.43,0.41,0.42,0.32,4832000
04/08/1992,0.42,0.43,0.41,0.43,0.33,6822400
05/08/1992,0.43,0.43,0.4,0.41,0.32,9516800
06/08/1992,0.41,0.41,0.4,0.41,0.32,3673600
07/08/1992,0.41,0.43,0.4,0.43,0.33,8825600
10/08/1992,0.42,0.43,0.41,0.43,0.33,5888000
11/08/1992,0.43,0.43,0.42,0.43,0.33,4147200
12/08/1992,0.42,0.43,0.4,0.41,0.32,12736000
13/08/1992,0.41,0.42,0.4,0.41,0.32,48320000
14/08/1992,0.41,0.41,0.38,0.39,0.3,17849600
17/08/1992,0.39,0.39,0.38,0.39,0.3,2681600
18/08/1992,0.38,0.39,0.38,0.39,0.3,2860800
19/08/1992,0.38,0.39,0.38,0.39,0.3,2380800
20/08/1992,0.39,0.4,0.38,0.39,0.3,2489600
21/08/1992,0.39,0.39,0.38,0.38,0.29,2048000
24/08/1992,0.38,0.39,0.38,0.38,0.3,6905600
25/08/1992,0.38,0.38,0.38,0.38,0.29,4128000
26/08/1992,0.38,0.38,0.36,0.38,0.29,19385600
27/08/1992,0.38,0.39,0.38,0.38,0.3,6169600
28/08/1992,0.38,0.39,0.38,0.39,0.3,3417600
31/08/1992,0.39,0.39,0.38,0.39,0.3,4441600
01/09/1992,0.39,0.4,0.39,0.39,0.3,2387200
02/09/1992,0.4,0.43,0.39,0.43,0.33,11692800
03/09/1992,0.43,0.45,0.43,0.45,0.34,16480000
04/09/1992,0.45,0.45,0.44,0.45,0.35,4249600
08/09/1992,0.45,0.5,0.45,0.49,0.38,17139200
09/09/1992,0.46,0.49,0.45,0.48,0.37,25299200
10/09/1992,0.47,0.48,0.46,0.48,0.37,8889600
11/09/1992,0.47,0.5,0.47,0.49,0.38,13036800
14/09/1992,0.5,0.52,0.49,0.51,0.39,13068800
15/09/1992,0.5,0.51,0.48,0.48,0.37,18099200
16/09/1992,0.46,0.48,0.46,0.46,0.36,14963200
17/09/1992,0.47,0.47,0.44,0.45,0.34,13459200
18/09/1992,0.44,0.45,0.42,0.43,0.33,17260800
21/09/1992,0.43,0.47,0.42,0.46,0.36,24012800
22/09/1992,0.46,0.48,0.45,0.48,0.37,19206400
23/09/1992,0.48,0.48,0.46,0.48,0.37,26912000
24/09/1992,0.48,0.48,0.47,0.48,0.37,5459200
25/09/1992,0.48,0.49,0.47,0.48,0.37,12102400
28/09/1992,0.48,0.5,0.48,0.5,0.39,7532800
29/09/1992,0.5,0.5,0.48,0.48,0.37,9593600
30/09/1992,0.48,0.49,0.47,0.47,0.36,11123200
01/10/1992,0.48,0.48,0.46,0.46,0.36,4556800
02/10/1992,0.46,0.46,0.44,0.45,0.35,5926400
05/10/1992,0.43,0.45,0.42,0.45,0.35,12755200
06/10/1992,0.46,0.46,0.45,0.46,0.35,6022400
07/10/1992,0.46,0.46,0.45,0.45,0.34,3692800
08/10/1992,0.45,0.46,0.45,0.46,0.35,2470400
09/10/1992,0.46,0.46,0.45,0.45,0.35,2432000
12/10/1992,0.45,0.46,0.45,0.46,0.36,4134400
13/10/1992,0.46,0.47,0.46,0.47,0.36,4390400
14/10/1992,0.47,0.48,0.46,0.46,0.36,4742400
15/10/1992,0.46,0.47,0.45,0.47,0.36,2950400
16/10/1992,0.47,0.49,0.46,0.48,0.37,8774400
19/10/1992,0.49,0.51,0.48,0.51,0.39,14745600
20/10/1992,0.51,0.52,0.5,0.5,0.39,8032000
21/10/1992,0.5,0.5,0.49,0.49,0.38,3366400
22/10/1992,0.5,0.5,0.49,0.5,0.39,5772800
23/10/1992,0.5,0.51,0.5,0.5,0.39,5785600
26/10/1992,0.51,0.51,0.49,0.5,0.38,7436800
27/10/1992,0.5,0.5,0.45,0.46,0.36,19462400
28/10/1992,0.46,0.46,0.44,0.44,0.34,22240000
29/10/1992,0.45,0.47,0.45,0.47,0.36,21280000
30/10/1992,0.47,0.47,0.46,0.46,0.36,5120000
02/11/1992,0.46,0.47,0.45,0.45,0.34,18604800
03/11/1992,0.45,0.46,0.44,0.46,0.35,5952000
04/11/1992,0.46,0.46,0.45,0.46,0.35,3699200
05/11/1992,0.45,0.46,0.45,0.46,0.36,17504000
06/11/1992,0.47,0.5,0.46,0.5,0.38,25056000
09/11/1992,0.5,0.51,0.49,0.5,0.39,13024000
10/11/1992,0.5,0.5,0.48,0.49,0.38,4870400
11/11/1992,0.49,0.5,0.48,0.5,0.38,4230400
12/11/1992,0.5,0.5,0.48,0.48,0.37,12524800
13/11/1992,0.49,0.5,0.48,0.5,0.39,11520000
16/11/1992,0.5,0.51,0.5,0.5,0.39,12582400
17/11/1992,0.51,0.51,0.5,0.51,0.39,8256000
18/11/1992,0.5,0.54,0.5,0.53,0.41,25280000
19/11/1992,0.53,0.56,0.53,0.56,0.43,19276800
20/11/1992,0.56,0.59,0.55,0.56,0.43,46131200
23/11/1992,0.56,0.57,0.54,0.56,0.43,16620800
24/11/1992,0.56,0.57,0.55,0.56,0.43,6067200
25/11/1992,0.57,0.58,0.56,0.58,0.44,8051200
27/11/1992,0.58,0.58,0.57,0.57,0.44,2464000
30/11/1992,0.58,0.59,0.57,0.59,0.45,9465600
01/12/1992,0.59,0.59,0.57,0.58,0.45,9171200
02/12/1992,0.57,0.57,0.53,0.56,0.43,44780800
03/12/1992,0.56,0.56,0.53,0.55,0.42,28006400
04/12/1992,0.54,0.55,0.53,0.55,0.42,24364800
07/12/1992,0.55,0.55,0.54,0.54,0.41,34515200
08/12/1992,0.54,0.54,0.53,0.54,0.41,16448000
09/12/1992,0.53,0.54,0.52,0.53,0.41,7718400
10/12/1992,0.52,0.55,0.52,0.55,0.42,14259200
11/12/1992,0.55,0.55,0.54,0.54,0.42,5734400
14/12/1992,0.55,0.55,0.53,0.54,0.41,7123200
15/12/1992,0.54,0.55,0.53,0.55,0.42,6867200
16/12/1992,0.55,0.57,0.54,0.56,0.43,17529600
17/12/1992,0.57,0.58,0.56,0.58,0.45,14988800
18/12/1992,0.58,0.58,0.57,0.57,0.44,4473600
21/12/1992,0.57,0.58,0.56,0.58,0.45,3046400
22/12/1992,0.58,0.58,0.57,0.57,0.44,4441600
23/12/1992,0.57,0.57,0.55,0.55,0.43,7808000
24/12/1992,0.55,0.55,0.54,0.55,0.42,5420800
28/12/1992,0.55,0.55,0.53,0.54,0.42,3699200
29/12/1992,0.54,0.56,0.54,0.56,0.43,13766400
30/12/1992,0.56,0.57,0.55,0.56,0.43,8992000
31/12/1992,0.57,0.58,0.56,0.58,0.45,5836800
04/01/1993,0.58,0.59,0.57,0.58,0.45,13376000
05/01/1993,0.58,0.6,0.57,0.59,0.46,14240000
06/01/1993,0.6,0.61,0.59,0.6,0.46,18329600
07/01/1993,0.6,0.64,0.6,0.62,0.48,33414400
08/01/1993,0.62,0.62,0.6,0.61,0.47,24044800
11/01/1993,0.61,0.62,0.59,0.6,0.46,15705600
12/01/1993,0.61,0.61,0.59,0.6,0.46,6220800
13/01/1993,0.6,0.61,0.59,0.59,0.46,14291200
14/01/1993,0.59,0.64,0.59,0.64,0.49,19065600
15/01/1993,0.64,0.66,0.62,0.63,0.49,32748800
