Date,Open,High,Low,Close,Adj Close,Volume
02/05/2014,97.5,98.4,86.3,90.0,90.0,85640
05/05/2014,90.0,92.1,85.0,88.1,88.1,5860
06/05/2014,88.1,88.1,83.5,84.0,84.0,1260
07/05/2014,90.0,90.0,82.7,86.7,86.7,1730
08/05/2014,85.5,88.4,80.7,88.4,88.4,6580
09/05/2014,89.2,93.0,87.0,93.0,93.0,6030
12/05/2014,94.0,94.99,90.5,92.9,92.9,3320
13/05/2014,90.2,95.0,88.4,92.0,92.0,1790
14/05/2014,90.5,92.05,88.0,90.1,90.1,1490
15/05/2014,89.8,91.0,88.6,90.4,90.4,1810
16/05/2014,90.3,90.3,89.7,90.0,90.0,1190
19/05/2014,92.0,92.0,87.5,89.9,89.9,1400
20/05/2014,89.1,95.1,89.1,94.7,94.7,2890
21/05/2014,91.2,94.9,87.7,90.3,90.3,3040
22/05/2014,90.3,92.8,89.0,89.0,89.0,2490
23/05/2014,89.5,94.6,89.5,90.1,90.1,1120
27/05/2014,90.0,92.1,87.6,88.5,88.5,1510
28/05/2014,88.3,90.15,82.0,82.0,82.0,1190
29/05/2014,87.0,89.8,79.2,80.4,80.4,6620
30/05/2014,84.0,85.0,82.5,84.0,84.0,7000
02/06/2014,83.5,86.9,83.5,85.0,85.0,1520
03/06/2014,84.5,89.0,83.4,84.8,84.8,1550
04/06/2014,84.1,88.7,84.1,84.5,84.5,690
05/06/2014,85.0,86.85,84.0,84.1,84.1,760
06/06/2014,84.2,85.8,83.0,83.5,83.5,520
09/06/2014,84.0,84.65,83.0,83.5,83.5,1050
10/06/2014,84.0,88.7,83.5,87.8,87.8,6670
11/06/2014,85.6,87.3,82.9,87.3,87.3,1810
12/06/2014,87.5,92.6,86.9,91.0,91.0,2540
13/06/2014,89.7,92.0,87.8,91.0,91.0,950
16/06/2014,91.0,97.4,90.1,97.4,97.4,4070
17/06/2014,94.9,96.4,91.4,94.7,94.7,5550
18/06/2014,95.6,97.0,92.1,96.4,96.4,2310
19/06/2014,97.0,98.9,95.3,98.3,98.3,4130
20/06/2014,98.3,98.9,78.1,78.1,78.1,16510
23/06/2014,85.0,85.8,82.0,85.1,85.1,5360
24/06/2014,84.0,84.0,78.0,83.5,83.5,2810
25/06/2014,82.2,83.5,81.0,81.0,81.0,380
26/06/2014,82.38,82.38,80.0,80.8,80.8,780
27/06/2014,81.1,81.1,77.8,77.8,77.8,930
30/06/2014,80.0,82.1,79.5,80.2,80.2,920
01/07/2014,80.3,80.7,78.0,80.3,80.3,2560
02/07/2014,80.4,83.4,80.2,82.8,82.8,880
03/07/2014,82.9,83.1,80.5,82.5,82.5,950
07/07/2014,80.6,83.18,80.2,82.2,82.2,1310
08/07/2014,82.7,82.7,78.0,78.0,78.0,1240
09/07/2014,78.3,82.8,78.3,80.1,80.1,1000
10/07/2014,80.1,80.1,75.1,75.1,75.1,270
11/07/2014,78.1,80.9,76.9,76.9,76.9,180
14/07/2014,78.0,79.4,78.0,79.4,79.4,330
15/07/2014,80.0,80.1,78.0,78.0,78.0,550
16/07/2014,78.0,80.0,78.0,79.6,79.6,370
17/07/2014,78.09,79.5,78.0,79.5,79.5,980
18/07/2014,78.1,80.5,78.0,80.0,80.0,700
21/07/2014,77.3,77.3,76.5,76.5,76.5,160
22/07/2014,78.7,79.8,66.7,67.8,67.8,2300
23/07/2014,67.8,71.7,67.8,71.5,71.5,1180
24/07/2014,71.5,71.5,71.5,71.5,71.5,0
25/07/2014,70.0,71.0,69.1,70.0,70.0,1210
28/07/2014,69.1,69.3,69.0,69.3,69.3,200
29/07/2014,69.2,72.54,69.0,72.54,72.54,150
30/07/2014,68.5,69.0,65.2,68.5,68.5,910
31/07/2014,64.0,70.0,60.9,69.8,69.8,1310
01/08/2014,61.1,69.5,61.1,68.5,68.5,330
04/08/2014,72.0,72.0,60.6,61.9,61.9,90
05/08/2014,63.2,65.5,61.1,62.4,62.4,470
06/08/2014,62.1,65.0,62.1,62.7,62.7,190
07/08/2014,62.1,72.0,51.02,69.9,69.9,1940
08/08/2014,69.0,69.0,67.7,69.0,69.0,40
11/08/2014,69.0,69.0,69.0,69.0,69.0,0
12/08/2014,61.6,64.97,58.64,63.32,63.32,390
13/08/2014,61.5,71.8,61.5,67.2,67.2,280
14/08/2014,67.2,70.0,65.9,68.2,68.2,620
15/08/2014,67.0,67.9,64.0,65.0,65.0,330
18/08/2014,64.7,66.8,64.5,65.0,65.0,130
19/08/2014,67.9,67.9,64.5,64.5,64.5,170
20/08/2014,63.5,63.56,61.9,62.4,62.4,140
21/08/2014,62.8,65.6,62.7,65.5,65.5,460
22/08/2014,61.9,65.2,61.7,63.6,63.6,850
25/08/2014,63.3,64.3,61.8,62.9,62.9,710
26/08/2014,63.3,64.5,60.7,61.1,61.1,1910
27/08/2014,61.0,65.0,61.0,64.5,64.5,1130
28/08/2014,62.17,65.0,61.5,65.0,65.0,840
29/08/2014,67.1,70.2,67.0,69.1,69.1,310
02/09/2014,70.0,75.7,70.0,73.4,73.4,1080
03/09/2014,67.3,74.9,66.9,74.9,74.9,460
04/09/2014,80.0,80.0,69.8,79.6,79.6,1270
05/09/2014,79.5,80.0,75.0,78.6,78.6,530
08/09/2014,80.0,80.0,70.6,73.7,73.7,580
09/09/2014,78.2,79.9,75.5,77.1,77.1,940
10/09/2014,78.5,79.12,72.1,72.1,72.1,90
11/09/2014,75.2,75.2,64.7,67.7,67.7,230
12/09/2014,66.0,76.7,63.6,70.4,70.4,440
15/09/2014,78.9,78.9,71.5,77.7,77.7,530
16/09/2014,67.6,78.6,65.5,76.8,76.8,460
17/09/2014,76.8,78.5,70.8,78.3,78.3,670
18/09/2014,72.6,78.7,71.0,78.5,78.5,670
19/09/2014,73.0,78.2,72.1,78.0,78.0,1810
22/09/2014,73.5,77.9,70.1,77.0,77.0,1130
23/09/2014,73.0,78.8,73.0,75.7,75.7,310
24/09/2014,72.7,76.9,71.4,73.9,73.9,1490
25/09/2014,74.2,75.5,72.6,73.2,73.2,1890
26/09/2014,72.0,75.2,71.0,71.0,71.0,660
29/09/2014,73.0,75.3,72.9,75.0,75.0,960
30/09/2014,79.3,79.3,73.9,73.9,73.9,550
01/10/2014,74.5,77.5,74.5,77.0,77.0,460
02/10/2014,75.3,76.2,75.3,76.0,76.0,120
03/10/2014,75.0,75.0,74.79,75.0,75.0,110
06/10/2014,75.4,76.2,73.4,75.5,75.5,790
07/10/2014,73.6,75.0,70.3,71.5,71.5,620
08/10/2014,76.5,77.5,64.2,70.9,70.9,1880
09/10/2014,72.5,72.5,68.1,69.01,69.01,920
10/10/2014,70.5,70.5,63.0,67.2,67.2,2200
