Date,Open,High,Low,Close,Adj Close,Volume
27/09/2005,21.05,21.4,19.1,19.3,18.19,961200
28/09/2005,19.3,20.53,19.2,20.5,19.33,5747900
29/09/2005,20.4,20.58,20.1,20.21,19.05,1078200
30/09/2005,20.26,21.05,20.18,21.01,19.81,3123300
03/10/2005,20.9,21.75,20.9,21.5,20.27,1057900
04/10/2005,21.44,22.5,21.44,22.16,20.89,1768800
05/10/2005,22.1,22.31,21.75,22.2,20.93,904300
06/10/2005,22.6,23.0,22.4,22.58,21.29,1614200
07/10/2005,22.25,22.6,21.8,22.15,20.88,753400
10/10/2005,22.28,22.29,22.1,22.21,20.94,538700
11/10/2005,22.26,22.3,21.8,21.98,20.72,764600
12/10/2005,21.9,22.05,21.64,21.76,20.51,912900
13/10/2005,21.7,21.8,21.4,21.71,20.47,531300
14/10/2005,21.85,22.4,21.85,22.27,20.99,887800
17/10/2005,22.15,22.22,21.85,22.08,20.82,464000
18/10/2005,22.06,22.3,21.35,21.49,20.26,1815500
19/10/2005,21.37,21.6,20.85,21.38,20.16,1466000
20/10/2005,21.35,21.48,20.85,21.02,19.82,640900
21/10/2005,21.02,22.42,21.01,21.96,20.7,917000
24/10/2005,22.01,22.36,21.95,22.31,21.03,508800
25/10/2005,22.25,22.54,21.7,22.0,20.74,437300
26/10/2005,22.0,22.45,21.99,22.32,21.04,543200
27/10/2005,22.26,22.56,22.2,22.56,21.27,351200
28/10/2005,22.55,23.9,22.37,23.9,22.53,1614900
31/10/2005,24.0,25.35,24.0,24.68,23.27,706400
01/11/2005,24.7,25.08,24.69,25.02,23.59,866800
02/11/2005,25.23,28.1,25.2,27.55,25.97,2870200
03/11/2005,27.6,28.1,27.6,27.87,26.27,906100
04/11/2005,27.8,29.0,27.77,28.8,27.15,912600
07/11/2005,29.0,29.43,28.38,28.93,27.27,486900
08/11/2005,29.1,29.7,29.0,29.43,27.74,1395000
09/11/2005,29.43,31.3,29.43,31.3,29.51,1312300
10/11/2005,31.15,33.96,31.15,32.8,30.92,1948900
11/11/2005,33.05,33.95,33.0,33.35,31.44,1183900
14/11/2005,33.5,34.5,33.45,33.75,31.82,1059200
15/11/2005,33.75,33.88,32.84,33.88,31.94,759200
16/11/2005,33.51,33.85,33.4,33.6,31.68,542600
17/11/2005,33.4,34.55,33.23,34.32,32.35,1011900
18/11/2005,34.35,34.35,32.86,33.05,31.16,529800
21/11/2005,32.75,32.75,31.26,31.99,30.16,636300
22/11/2005,31.99,32.74,31.6,32.5,30.64,421900
23/11/2005,32.2,33.68,32.16,33.04,31.15,671300
25/11/2005,33.01,33.2,32.72,32.85,30.97,138500
28/11/2005,33.05,33.85,33.0,33.41,31.5,630400
29/11/2005,33.3,33.5,32.63,32.9,31.02,428600
30/11/2005,32.9,33.8,32.9,33.59,31.67,690100
01/12/2005,34.0,34.94,34.0,34.28,32.32,371800
02/12/2005,34.4,34.65,34.25,34.28,32.32,428600
05/12/2005,32.08,32.64,31.38,32.35,30.5,1124400
06/12/2005,32.04,33.75,32.04,33.62,31.69,790600
07/12/2005,33.4,34.18,33.3,33.95,32.01,783900
08/12/2005,33.95,33.98,33.53,33.66,31.73,383700
09/12/2005,33.41,34.07,33.35,33.88,31.94,409700
12/12/2005,33.8,33.91,33.71,33.76,31.83,421500
13/12/2005,33.76,33.8,33.05,33.25,31.35,226700
14/12/2005,33.4,33.69,33.25,33.54,31.62,158400
15/12/2005,33.64,33.88,33.35,33.63,31.7,313900
16/12/2005,33.68,35.5,33.68,35.15,33.14,1646900
19/12/2005,35.18,35.45,34.89,35.25,33.23,377400
20/12/2005,35.25,35.46,34.02,35.32,33.3,564500
21/12/2005,35.38,37.0,35.33,36.51,34.42,701200
22/12/2005,36.6,37.05,36.35,36.83,34.72,247800
23/12/2005,36.73,38.0,36.73,37.73,35.57,493000
27/12/2005,37.99,38.8,37.2,37.46,35.32,476400
28/12/2005,38.0,38.15,36.35,37.45,35.31,327800
29/12/2005,37.45,37.95,37.19,37.38,35.24,189800
30/12/2005,37.55,37.58,36.92,37.14,35.01,172800
03/01/2006,37.2,38.28,36.85,37.45,35.31,1013200
04/01/2006,37.7,40.6,37.7,39.2,36.96,1928400
05/01/2006,39.18,39.71,38.91,39.71,37.44,317900
06/01/2006,39.71,39.71,38.14,39.0,36.77,349200
09/01/2006,38.8,38.88,38.5,38.61,36.4,220800
10/01/2006,38.61,38.71,37.4,37.8,35.64,191300
11/01/2006,37.8,37.8,34.65,34.8,32.81,974300
12/01/2006,33.0,35.35,32.96,34.99,32.99,2008900
13/01/2006,35.0,35.42,33.31,34.05,32.1,734200
17/01/2006,33.55,33.55,29.62,30.0,28.28,2351200
18/01/2006,29.1,31.16,28.88,31.0,29.22,1773700
19/01/2006,30.8,31.24,29.34,30.39,28.65,857200
20/01/2006,30.28,30.28,28.6,29.24,27.57,788700
23/01/2006,29.49,30.05,29.15,29.42,27.74,530800
24/01/2006,29.9,31.47,29.75,31.02,29.24,648900
25/01/2006,31.15,31.51,30.75,31.0,29.22,836300
26/01/2006,31.05,31.25,30.0,30.25,28.52,313700
27/01/2006,30.2,30.2,28.3,28.89,27.24,518600
30/01/2006,28.73,29.58,28.73,29.0,27.34,917300
31/01/2006,29.17,30.41,29.01,29.34,27.66,490600
01/02/2006,29.1,29.62,28.35,29.38,27.7,816800
02/02/2006,29.38,30.2,29.0,30.01,28.29,767200
03/02/2006,30.01,30.01,29.2,29.55,27.86,397600
06/02/2006,29.2,29.7,28.66,29.27,27.59,550900
07/02/2006,29.35,29.45,28.62,29.0,27.34,489800
08/02/2006,29.1,30.76,29.01,29.99,28.27,869700
09/02/2006,29.95,30.48,29.55,30.35,28.61,443400
10/02/2006,30.5,30.5,29.74,30.0,28.28,403700
13/02/2006,31.05,32.1,30.55,31.17,29.39,826000
14/02/2006,31.5,32.9,31.41,32.8,30.92,668600
15/02/2006,32.55,34.2,32.35,33.75,31.82,807800
16/02/2006,33.66,33.9,33.2,33.38,31.47,244400
17/02/2006,32.8,33.39,32.33,33.15,31.25,316000
21/02/2006,32.5,33.65,31.3,32.5,30.64,772700
22/02/2006,33.53,34.3,33.3,33.64,31.71,637200
23/02/2006,34.2,35.02,34.07,34.65,32.67,926300
24/02/2006,33.97,33.98,33.18,33.52,31.6,654000
27/02/2006,33.9,34.07,33.1,33.35,31.44,538500
28/02/2006,33.3,33.45,32.6,33.09,31.2,408200
01/03/2006,33.09,34.06,32.6,32.8,30.92,1149500
02/03/2006,32.8,33.2,32.6,32.9,31.02,388600
03/03/2006,32.65,32.67,31.32,31.87,30.05,895800
06/03/2006,31.9,32.0,31.38,31.81,29.99,681300
07/03/2006,32.1,32.8,32.0,32.41,30.55,816900
08/03/2006,32.41,33.89,32.1,33.46,31.54,691900
09/03/2006,33.4,33.41,32.6,32.85,30.97,275900
10/03/2006,32.95,33.53,32.93,33.26,31.36,1123800
13/03/2006,33.25,33.7,32.78,33.05,31.16,498300
14/03/2006,33.1,34.55,33.1,34.1,32.15,538900
15/03/2006,34.28,35.5,34.2,35.07,33.06,1084100
16/03/2006,35.2,35.35,34.8,35.17,33.16,595300
17/03/2006,35.15,35.43,34.85,35.43,33.4,426900
20/03/2006,35.45,37.43,35.43,36.95,34.83,990300
21/03/2006,37.95,39.07,36.63,36.98,34.86,1532000
22/03/2006,37.07,39.99,37.07,39.6,37.33,2143500
23/03/2006,39.61,39.9,38.52,39.11,36.87,2010800
24/03/2006,39.2,39.5,38.56,38.71,36.49,848400
27/03/2006,39.1,39.77,39.07,39.17,36.93,1208300
28/03/2006,39.18,39.2,37.43,37.57,35.42,1310200
29/03/2006,37.57,37.95,36.71,37.71,35.55,838400
30/03/2006,37.95,38.22,37.2,37.49,35.34,647600
31/03/2006,37.7,40.02,37.6,40.0,37.71,2145500
03/04/2006,40.0,40.0,39.24,39.6,37.33,1034600
04/04/2006,40.0,40.6,39.3,39.48,37.22,891800
05/04/2006,39.5,39.73,38.97,39.48,37.22,467300
06/04/2006,39.6,40.33,39.1,40.15,37.85,1680000
07/04/2006,40.3,40.75,39.45,39.65,37.38,1383600
10/04/2006,39.65,39.65,37.35,37.92,35.75,1275800
11/04/2006,37.95,38.3,37.0,37.5,35.35,1184400
12/04/2006,37.5,37.97,36.76,37.5,35.35,1097200
13/04/2006,37.44,39.13,37.38,38.63,36.42,1330900
17/04/2006,38.4,38.6,36.53,36.9,34.79,2194600
18/04/2006,37.1,37.6,36.84,37.05,34.93,1791500
19/04/2006,37.3,39.45,37.2,38.44,36.24,2086800
20/04/2006,38.65,39.64,37.9,38.0,35.82,1155400
21/04/2006,38.27,38.27,36.19,37.73,35.57,1826900
24/04/2006,39.25,42.3,39.04,41.9,39.5,3134300
25/04/2006,42.0,43.9,41.0,42.73,40.28,2257700
26/04/2006,42.4,43.26,41.57,42.99,40.53,1115700
27/04/2006,42.99,44.7,42.56,44.3,41.76,1366700
28/04/2006,44.3,44.38,42.8,43.26,40.78,1167500
01/05/2006,43.19,44.0,43.19,43.68,41.18,996100
02/05/2006,45.1,46.9,45.0,45.4,42.8,1990600
03/05/2006,46.2,48.38,45.77,47.8,45.06,2106000
04/05/2006,48.4,49.2,47.75,48.05,45.3,2102800
05/05/2006,48.05,48.84,47.94,48.59,45.81,654300
08/05/2006,49.1,49.8,46.48,47.3,44.59,1375200
09/05/2006,48.25,52.13,48.05,51.63,48.67,3223200
10/05/2006,51.73,52.18,49.35,50.1,47.23,1688700
11/05/2006,49.25,49.89,48.0,49.12,46.31,1129900
12/05/2006,48.75,49.97,47.8,48.02,45.27,648500
15/05/2006,48.85,49.95,48.74,49.75,46.9,1214000
16/05/2006,49.5,49.6,47.53,47.85,45.11,755300
17/05/2006,47.5,47.55,45.79,46.63,43.96,1055800
18/05/2006,46.75,47.54,46.65,46.9,44.21,848500
19/05/2006,47.4,48.48,46.85,47.4,44.69,1612000
22/05/2006,47.4,47.5,45.76,47.0,44.31,1437800
23/05/2006,47.06,47.25,45.09,45.19,42.6,1062500
24/05/2006,45.3,45.36,42.76,43.82,41.31,1736000
25/05/2006,44.25,44.78,43.4,43.9,41.39,656800
26/05/2006,44.35,46.7,44.35,46.37,43.71,1798300
30/05/2006,46.0,46.12,43.85,44.61,42.06,1009700
31/05/2006,45.0,47.3,45.0,46.7,44.03,1833800
01/06/2006,45.68,46.85,45.55,46.25,43.6,2097300
02/06/2006,46.26,46.81,45.25,45.85,43.22,1219200
05/06/2006,45.45,46.59,44.1,44.58,42.03,1258000
06/06/2006,45.02,46.29,44.55,46.28,43.63,1433400
07/06/2006,46.5,47.63,46.04,46.89,44.21,1748100
08/06/2006,47.0,47.3,45.6,47.18,44.48,2039800
09/06/2006,47.18,49.1,47.18,47.82,45.08,832800
