Date,Open,High,Low,Close,Adj Close,Volume
02/01/2013,34.92,35.4,34.1,35.12,22.21,13767900
03/01/2013,35.0,35.0,34.16,34.83,22.02,16739300
04/01/2013,34.62,34.89,34.25,34.39,21.75,21372100
07/01/2013,34.15,35.45,34.15,34.46,21.79,17897100
08/01/2013,34.29,34.64,33.36,33.71,21.32,17863300
09/01/2013,33.61,33.95,33.61,33.9,21.44,18800400
10/01/2013,33.66,34.0,33.33,34.0,21.5,15658100
11/01/2013,33.59,33.9,33.35,33.85,21.66,11191500
14/01/2013,34.01,34.25,33.8,34.09,21.81,11584900
15/01/2013,33.71,34.72,33.71,34.6,22.14,13040200
16/01/2013,34.47,35.54,34.45,35.54,22.74,16512700
17/01/2013,35.75,36.7,35.75,36.42,23.3,14424800
18/01/2013,36.43,37.32,36.04,37.32,23.88,17842200
22/01/2013,36.98,37.25,35.93,36.42,23.3,15809700
23/01/2013,36.91,37.84,36.5,37.8,24.19,10981600
24/01/2013,37.79,38.52,37.23,37.46,23.97,11327100
25/01/2013,37.52,37.84,36.64,37.6,24.06,8934600
28/01/2013,37.65,37.87,36.71,36.89,23.6,7140100
29/01/2013,36.71,37.46,36.25,37.31,23.87,8838500
30/01/2013,36.81,37.53,36.81,36.93,23.63,10841800
31/01/2013,36.84,36.93,36.27,36.69,23.48,10720700
01/02/2013,36.84,37.2,36.52,37.18,23.79,9527500
04/02/2013,36.64,37.3,36.55,37.28,23.85,6348000
05/02/2013,37.42,37.73,37.18,37.2,23.8,7284400
06/02/2013,36.96,37.28,36.86,37.14,23.76,5738900
07/02/2013,37.57,37.57,35.8,36.42,23.3,9872500
08/02/2013,36.37,36.42,35.83,36.25,23.2,13858700
11/02/2013,36.13,36.18,35.75,35.85,22.94,6032100
12/02/2013,35.77,35.9,35.2,35.42,22.66,7473800
13/02/2013,35.42,35.57,35.15,35.27,22.57,4859800
14/02/2013,35.05,36.73,35.01,36.57,23.4,7570100
15/02/2013,36.93,37.81,36.93,37.58,24.05,13296300
19/02/2013,37.54,38.33,37.11,38.19,24.44,8292700
20/02/2013,38.16,39.13,37.61,38.61,24.71,8096400
21/02/2013,38.49,39.03,38.19,38.78,24.81,7260900
22/02/2013,38.79,38.85,38.14,38.46,24.61,4490400
25/02/2013,38.54,38.61,37.37,37.37,23.91,4665600
26/02/2013,37.6,37.6,36.96,37.09,23.73,4463000
27/02/2013,36.97,36.98,36.4,36.73,23.5,12238400
28/02/2013,36.66,37.14,36.5,36.92,23.62,10321000
01/03/2013,36.8,38.07,36.55,37.81,24.19,8929400
04/03/2013,37.53,38.25,37.53,38.24,24.47,5420800
05/03/2013,38.45,38.57,37.29,37.51,24.0,6650400
06/03/2013,37.56,37.86,37.37,37.74,24.15,5489500
07/03/2013,37.65,38.01,37.44,37.49,23.99,4442500
08/03/2013,37.64,37.65,37.16,37.34,23.89,4114500
11/03/2013,37.25,38.15,37.08,37.67,24.1,4614400
12/03/2013,37.7,38.3,37.05,37.17,23.78,6523900
13/03/2013,37.2,37.59,37.04,37.17,23.78,3710600
14/03/2013,37.43,37.59,36.86,37.56,24.03,9859700
15/03/2013,37.44,38.54,37.28,38.5,24.63,12208300
18/03/2013,38.05,38.49,37.99,38.16,24.42,5178700
19/03/2013,38.25,38.4,37.84,38.36,24.55,5108400
20/03/2013,38.5,39.19,38.41,39.06,24.99,7072900
21/03/2013,38.82,38.97,38.48,38.49,24.63,4736100
22/03/2013,38.57,38.97,38.3,38.97,24.94,3323400
25/03/2013,39.12,39.52,38.93,39.32,25.16,6065000
26/03/2013,39.57,40.52,39.57,40.21,25.73,7249500
27/03/2013,40.22,40.29,39.66,40.15,25.69,4274800
28/03/2013,40.26,40.8,39.78,40.78,26.09,7263400
01/04/2013,39.96,41.14,39.96,41.12,26.31,5740000
02/04/2013,41.22,41.22,40.52,40.71,26.05,5510700
03/04/2013,40.75,41.45,40.35,40.57,25.96,4122100
04/04/2013,40.77,41.78,40.62,41.6,26.62,20687600
05/04/2013,41.31,41.5,41.09,41.31,26.43,14089800
08/04/2013,41.27,41.87,41.07,41.77,26.73,16449200
09/04/2013,41.96,43.56,41.8,42.55,27.23,8673900
10/04/2013,42.65,43.77,42.5,43.62,27.91,7809200
11/04/2013,43.42,43.71,43.11,43.2,27.9,6494100
12/04/2013,42.97,43.29,42.62,43.09,27.83,4199800
15/04/2013,42.87,43.03,41.41,41.44,26.76,7152500
16/04/2013,41.67,42.53,41.13,42.45,27.41,6998000
17/04/2013,42.14,42.43,41.42,42.24,27.28,5046200
18/04/2013,42.37,42.64,41.89,42.32,27.33,5009000
19/04/2013,42.51,42.58,42.2,42.39,27.37,6493200
22/04/2013,43.0,44.83,42.88,44.2,28.54,8531300
23/04/2013,44.61,46.32,44.4,45.14,29.15,9378100
24/04/2013,45.14,45.34,43.94,44.32,28.62,5541300
25/04/2013,44.75,44.79,43.76,44.24,28.57,5236900
