Date,Open,High,Low,Close,Adj Close,Volume
02/01/1998,43.0,43.06,42.38,42.81,12.41,444000
05/01/1998,43.06,43.12,42.06,42.5,12.32,564300
06/01/1998,42.12,42.19,41.75,41.88,12.14,253600
07/01/1998,41.88,41.88,40.88,41.5,12.03,358100
08/01/1998,41.56,41.56,40.75,41.0,11.88,325100
09/01/1998,40.94,41.81,40.94,41.38,11.99,306600
12/01/1998,41.12,41.81,41.0,41.75,12.1,268300
13/01/1998,41.75,41.75,41.19,41.44,12.01,193300
14/01/1998,41.44,41.44,41.12,41.25,11.96,139500
15/01/1998,41.19,41.19,40.25,40.31,11.68,155400
16/01/1998,40.62,40.81,40.44,40.5,11.74,251100
20/01/1998,37.5,37.62,36.5,37.06,10.74,1051500
21/01/1998,36.88,36.88,35.75,36.81,10.67,1026300
22/01/1998,36.38,36.62,36.12,36.38,10.54,492700
23/01/1998,36.12,36.38,35.62,36.0,10.43,323500
26/01/1998,36.06,36.25,35.56,36.19,10.49,273000
27/01/1998,36.19,36.44,35.81,36.25,10.51,563700
28/01/1998,36.06,36.5,36.06,36.5,10.58,284000
29/01/1998,36.5,37.0,36.38,36.75,10.65,383800
30/01/1998,36.75,36.88,36.56,36.62,10.62,486500
02/02/1998,36.75,36.88,36.5,36.69,10.63,233000
03/02/1998,36.62,36.81,36.38,36.62,10.62,189200
04/02/1998,36.62,36.62,36.25,36.5,10.58,557800
05/02/1998,36.94,37.12,36.62,36.94,10.71,210000
06/02/1998,37.0,37.56,36.75,37.56,10.89,251100
09/02/1998,37.44,37.94,37.44,37.88,10.98,271700
10/02/1998,37.81,38.31,37.81,37.94,11.0,357200
11/02/1998,37.81,37.88,37.62,37.75,10.94,280600
12/02/1998,37.5,37.94,37.38,37.81,10.96,496100
13/02/1998,37.62,37.88,37.44,37.5,10.87,181800
17/02/1998,37.44,38.0,37.12,38.0,11.01,360600
18/02/1998,38.0,38.25,37.94,38.0,11.01,267600
19/02/1998,38.0,38.19,38.0,38.19,11.07,386300
20/02/1998,38.12,38.31,37.81,38.31,11.1,798600
23/02/1998,38.31,38.62,38.06,38.62,11.19,347100
24/02/1998,38.44,38.5,38.12,38.5,11.16,228500
25/02/1998,38.56,38.75,38.38,38.38,11.12,342500
26/02/1998,38.25,38.44,38.06,38.19,11.07,152800
27/02/1998,38.12,38.48,38.06,38.44,11.14,218800
02/03/1998,38.19,38.5,38.19,38.44,11.14,219700
03/03/1998,38.44,38.5,38.38,38.44,11.14,416300
04/03/1998,38.38,38.5,38.25,38.38,11.12,146700
05/03/1998,38.19,38.44,38.12,38.31,11.1,293600
06/03/1998,37.38,38.12,37.38,38.12,11.24,3544900
09/03/1998,38.0,38.06,37.75,37.81,11.14,309000
10/03/1998,37.81,38.25,37.75,38.12,11.24,290000
11/03/1998,38.06,38.88,38.06,38.75,11.42,543800
12/03/1998,38.75,38.75,38.44,38.56,11.36,241700
13/03/1998,38.44,38.75,38.38,38.69,11.4,425000
16/03/1998,38.69,39.69,38.62,39.5,11.64,395400
17/03/1998,39.5,40.31,39.5,40.31,11.88,351500
18/03/1998,40.12,41.0,40.12,40.88,12.05,668800
19/03/1998,40.75,41.5,40.62,41.5,12.23,431500
20/03/1998,41.75,42.44,41.62,42.31,12.47,521300
23/03/1998,42.25,42.31,41.81,42.06,12.4,293400
24/03/1998,42.0,42.25,41.75,42.06,12.4,291300
25/03/1998,42.0,42.44,41.88,42.44,12.51,222000
26/03/1998,42.38,42.38,41.88,41.94,12.36,452000
27/03/1998,41.69,41.81,41.06,41.38,12.19,412800
30/03/1998,41.38,41.81,41.25,41.5,12.23,366000
31/03/1998,41.25,42.25,41.12,42.12,12.41,414900
01/04/1998,42.19,42.19,41.62,42.0,12.38,200100
02/04/1998,41.88,42.19,41.81,42.19,12.43,386000
03/04/1998,42.19,42.56,42.0,42.5,12.53,254700
06/04/1998,42.31,42.38,42.06,42.19,12.43,179800
07/04/1998,42.06,42.06,41.62,41.81,12.32,235300
08/04/1998,41.69,41.88,41.5,41.88,12.34,453200
09/04/1998,41.81,41.88,41.31,41.88,12.34,731700
13/04/1998,42.0,42.0,41.62,41.81,12.32,796600
14/04/1998,41.69,42.31,41.56,42.25,12.45,526400
15/04/1998,42.12,42.5,42.0,42.31,12.47,357100
16/04/1998,42.06,42.06,41.75,41.94,12.36,325300
17/04/1998,41.94,42.12,41.56,42.12,12.41,287900
20/04/1998,41.94,41.94,41.56,41.69,12.29,149800
21/04/1998,41.5,41.5,41.06,41.31,12.18,373900
22/04/1998,41.19,41.25,41.0,41.0,12.08,285400
23/04/1998,41.06,41.31,39.75,39.75,11.71,387700
24/04/1998,39.75,40.56,39.44,39.88,11.75,398800
27/04/1998,39.75,39.88,38.19,39.56,11.66,128000
28/04/1998,39.62,39.69,39.06,39.25,11.57,592600
29/04/1998,39.38,39.38,38.88,39.06,11.51,242900
30/04/1998,39.19,39.88,39.19,39.62,11.68,442400
01/05/1998,39.69,39.69,39.25,39.31,11.59,258000
04/05/1998,39.44,39.5,39.0,39.25,11.57,175300
05/05/1998,39.06,39.19,38.56,38.94,11.48,165800
06/05/1998,39.12,39.12,38.75,39.0,11.49,135300
07/05/1998,38.88,39.0,38.88,39.0,11.49,118300
08/05/1998,38.88,39.06,38.62,38.81,11.44,163500
11/05/1998,38.81,39.25,38.75,38.88,11.46,288200
12/05/1998,38.88,38.94,38.69,38.94,11.48,100100
13/05/1998,38.81,38.88,38.5,38.69,11.4,124900
14/05/1998,38.62,38.81,38.56,38.69,11.4,175900
15/05/1998,38.69,38.88,38.5,38.56,11.36,225400
18/05/1998,38.38,38.56,38.12,38.38,11.31,134400
19/05/1998,38.31,38.38,37.88,38.31,11.29,149200
20/05/1998,38.31,38.94,38.25,38.94,11.48,144600
21/05/1998,38.94,39.19,38.75,39.0,11.49,96100
22/05/1998,38.88,39.12,38.56,38.56,11.36,201900
26/05/1998,38.62,38.69,38.19,38.19,11.25,121600
27/05/1998,38.12,38.69,37.62,38.25,11.27,158600
28/05/1998,38.25,38.88,38.25,38.69,11.4,217500
29/05/1998,38.56,39.12,38.56,39.12,11.53,163000
01/06/1998,39.0,40.69,38.94,40.56,11.95,190200
02/06/1998,40.31,40.75,40.12,40.38,11.9,175700
03/06/1998,40.25,40.88,40.19,40.5,11.94,105000
04/06/1998,40.31,40.62,40.19,40.31,11.88,133800
05/06/1998,40.25,40.88,40.25,40.88,12.05,167700
08/06/1998,40.06,40.12,39.75,39.81,11.92,1874800
09/06/1998,39.88,39.88,39.25,39.38,11.79,261000
10/06/1998,39.44,40.19,39.38,40.12,12.01,174600
11/06/1998,40.0,40.5,39.75,40.31,12.07,260500
12/06/1998,40.12,40.38,39.75,40.12,12.01,275100
