Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,33.0,33.12,32.75,33.12,5.86,194100
03/01/1990,33.0,33.12,32.75,33.0,5.84,510500
04/01/1990,33.0,33.0,32.0,32.5,5.75,312100
05/01/1990,32.25,32.38,31.62,31.75,5.62,201500
08/01/1990,31.5,31.88,31.38,31.62,5.59,155200
09/01/1990,31.62,31.88,31.38,31.5,5.57,190000
10/01/1990,31.25,31.75,31.25,31.62,5.59,462300
11/01/1990,31.88,32.12,31.75,31.88,5.64,398300
12/01/1990,31.75,31.75,31.12,31.25,5.53,151800
15/01/1990,31.12,31.25,31.12,31.25,5.53,119100
16/01/1990,31.12,31.38,31.0,31.38,5.55,169800
17/01/1990,31.38,31.62,31.12,31.25,5.53,351200
18/01/1990,31.0,31.12,30.62,30.88,5.46,274200
19/01/1990,31.0,31.25,30.88,31.25,5.53,260800
22/01/1990,31.25,31.25,30.88,30.88,5.46,236800
23/01/1990,30.88,31.12,30.62,31.12,5.5,173800
24/01/1990,30.62,30.88,30.38,30.62,5.42,271100
25/01/1990,30.75,30.88,30.38,30.5,5.39,215600
26/01/1990,30.5,30.75,30.25,30.75,5.44,261300
29/01/1990,30.75,30.88,30.38,30.62,5.42,182900
30/01/1990,30.62,30.75,30.38,30.62,5.42,141700
31/01/1990,30.62,31.0,30.62,30.88,5.46,166400
01/02/1990,30.88,31.12,30.88,30.88,5.46,151500
02/02/1990,30.88,31.12,30.75,31.0,5.48,1047000
05/02/1990,30.25,30.25,30.0,30.12,5.43,1127600
06/02/1990,30.0,30.12,29.75,29.88,5.39,708800
07/02/1990,29.75,30.12,29.62,30.12,5.43,183200
08/02/1990,30.0,30.5,30.0,30.25,5.46,220700
09/02/1990,30.38,30.5,30.25,30.25,5.46,93600
12/02/1990,30.25,30.5,30.25,30.38,5.48,84400
13/02/1990,30.5,30.5,30.25,30.5,5.5,166700
14/02/1990,30.5,30.5,30.25,30.38,5.48,256500
15/02/1990,30.25,30.5,30.12,30.38,5.48,188700
16/02/1990,30.5,30.5,30.25,30.25,5.46,385500
20/02/1990,30.0,30.12,29.62,29.75,5.37,179100
21/02/1990,29.62,29.88,29.38,29.75,5.37,235400
22/02/1990,29.62,30.12,29.62,29.88,5.39,195400
23/02/1990,29.75,30.12,29.75,29.88,5.39,162200
26/02/1990,29.75,30.0,29.75,30.0,5.41,513300
27/02/1990,29.88,30.25,29.88,30.12,5.43,489900
28/02/1990,30.12,30.5,30.12,30.5,5.5,364600
01/03/1990,30.38,30.62,30.38,30.5,5.5,369300
02/03/1990,30.38,30.62,30.38,30.62,5.52,502300
05/03/1990,30.5,30.62,30.38,30.38,5.48,273500
06/03/1990,30.38,30.75,30.38,30.62,5.52,117600
07/03/1990,30.62,30.75,30.38,30.38,5.48,240600
08/03/1990,30.5,30.62,30.38,30.62,5.52,107400
09/03/1990,30.5,30.62,30.38,30.5,5.5,104200
12/03/1990,30.5,30.62,30.38,30.5,5.5,212100
13/03/1990,30.5,30.62,30.38,30.62,5.52,132600
14/03/1990,30.62,30.62,30.38,30.5,5.5,294500
15/03/1990,30.5,30.62,30.38,30.62,5.52,197400
16/03/1990,30.75,30.75,30.5,30.75,5.55,506300
19/03/1990,30.5,30.75,30.38,30.62,5.52,166500
20/03/1990,30.5,30.62,30.38,30.5,5.5,246900
21/03/1990,30.5,30.62,30.38,30.5,5.5,295000
22/03/1990,30.38,30.5,30.12,30.38,5.48,384000
23/03/1990,30.38,30.5,30.25,30.5,5.5,853900
26/03/1990,30.5,30.62,30.5,30.5,5.5,149000
27/03/1990,30.38,30.5,30.38,30.5,5.5,496000
28/03/1990,30.38,30.5,30.12,30.25,5.46,451000
29/03/1990,30.12,30.25,30.0,30.25,5.46,116400
30/03/1990,30.25,30.38,30.12,30.38,5.48,437300
02/04/1990,30.12,30.38,30.12,30.25,5.46,338300
03/04/1990,30.25,30.38,30.12,30.25,5.46,164500
04/04/1990,30.38,30.5,30.12,30.38,5.48,277000
05/04/1990,30.25,30.38,30.12,30.12,5.43,135500
06/04/1990,30.25,30.25,30.0,30.25,5.46,92300
09/04/1990,30.12,30.25,30.0,30.12,5.43,304700
10/04/1990,30.0,30.12,29.88,30.0,5.41,226800
11/04/1990,30.12,30.12,29.88,30.12,5.43,139900
12/04/1990,30.0,30.12,29.88,30.12,5.43,274800
