Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.19,1.19,1.17,1.17,0.64,966000
03/01/1990,1.18,1.18,1.14,1.15,0.63,3040500
04/01/1990,1.15,1.16,1.12,1.12,0.61,2995500
05/01/1990,1.12,1.14,1.12,1.12,0.61,859500
08/01/1990,1.15,1.16,1.12,1.14,0.62,1906500
09/01/1990,1.13,1.15,1.13,1.13,0.62,1195500
10/01/1990,1.12,1.13,1.07,1.09,0.6,3511500
11/01/1990,1.08,1.14,1.08,1.13,0.62,3060000
12/01/1990,1.12,1.12,1.1,1.1,0.6,2931000
15/01/1990,1.1,1.12,1.09,1.1,0.6,2424000
16/01/1990,1.08,1.08,1.05,1.07,0.58,3744000
17/01/1990,1.07,1.08,1.05,1.06,0.58,3205500
18/01/1990,1.04,1.07,1.03,1.06,0.58,2209500
19/01/1990,1.07,1.13,1.06,1.12,0.61,4237500
22/01/1990,1.12,1.16,1.12,1.12,0.61,3603000
23/01/1990,1.14,1.15,1.1,1.1,0.6,2962500
24/01/1990,1.09,1.09,1.03,1.08,0.59,4327500
25/01/1990,1.09,1.11,1.07,1.07,0.58,1779000
26/01/1990,1.07,1.08,1.05,1.05,0.57,2265000
29/01/1990,1.06,1.07,1.05,1.05,0.57,927000
30/01/1990,1.05,1.06,1.02,1.02,0.56,1908000
31/01/1990,1.02,1.08,1.02,1.06,0.58,2910000
01/02/1990,1.06,1.07,1.05,1.05,0.57,1650000
02/02/1990,1.05,1.08,1.05,1.06,0.58,2257500
05/02/1990,1.05,1.06,1.04,1.04,0.57,2419500
06/02/1990,1.05,1.05,1.02,1.02,0.56,3085500
07/02/1990,1.03,1.05,1.02,1.04,0.57,2586000
08/02/1990,1.04,1.08,1.04,1.07,0.58,2839500
09/02/1990,1.07,1.08,1.05,1.05,0.57,1026000
12/02/1990,1.04,1.08,1.04,1.07,0.59,1591500
13/02/1990,1.07,1.08,1.05,1.05,0.58,448500
14/02/1990,1.06,1.06,1.05,1.05,0.58,1707000
15/02/1990,1.05,1.06,1.04,1.04,0.57,1080000
16/02/1990,1.06,1.06,1.04,1.04,0.57,1233000
20/02/1990,1.02,1.02,1.0,1.02,0.56,3099000
21/02/1990,1.01,1.05,1.01,1.05,0.58,3411000
22/02/1990,1.04,1.06,1.03,1.03,0.57,1689000
23/02/1990,1.02,1.03,1.02,1.02,0.56,1846500
26/02/1990,1.02,1.02,0.99,0.99,0.54,2593500
27/02/1990,0.99,0.99,0.97,0.97,0.53,1984500
28/02/1990,0.98,1.01,0.98,1.0,0.55,4641000
01/03/1990,1.02,1.02,1.01,1.01,0.55,1819500
02/03/1990,1.02,1.02,1.0,1.0,0.55,856500
05/03/1990,1.01,1.01,0.99,1.0,0.55,1288500
06/03/1990,1.02,1.02,0.99,1.0,0.55,939000
07/03/1990,0.99,0.99,0.98,0.99,0.54,8217000
08/03/1990,0.99,0.99,0.97,0.98,0.54,1966500
09/03/1990,0.98,1.0,0.98,0.99,0.54,1372500
12/03/1990,0.98,0.99,0.98,0.99,0.54,925500
13/03/1990,0.98,1.01,0.98,1.0,0.55,4318500
14/03/1990,0.99,1.01,0.98,1.0,0.55,4452000
15/03/1990,1.0,1.02,1.0,1.02,0.56,1287000
16/03/1990,1.02,1.02,1.0,1.0,0.55,2323500
19/03/1990,1.01,1.02,1.0,1.01,0.55,1605000
20/03/1990,1.01,1.01,0.98,0.98,0.54,1213500
21/03/1990,0.98,1.0,0.98,1.0,0.55,3393000
22/03/1990,0.99,1.0,0.98,0.98,0.54,2899500
23/03/1990,0.99,0.99,0.98,0.98,0.54,1554000
26/03/1990,1.0,1.0,0.98,0.98,0.54,2518500
27/03/1990,0.99,1.03,0.99,1.02,0.56,2239500
28/03/1990,1.02,1.02,1.0,1.01,0.55,919500
29/03/1990,1.0,1.0,0.98,0.99,0.54,1836000
30/03/1990,0.98,0.99,0.98,0.98,0.54,1515000
02/04/1990,0.97,0.97,0.95,0.95,0.52,2997000
03/04/1990,0.96,0.99,0.95,0.99,0.54,4237500
04/04/1990,0.98,0.98,0.93,0.95,0.52,3816000
