Date,Open,High,Low,Close,Adj Close,Volume
22/02/1994,7.38,7.38,7.25,7.25,4.45,20800
23/02/1994,7.12,7.12,6.75,6.94,4.26,31600
24/02/1994,6.94,6.94,6.81,6.81,4.18,32000
25/02/1994,6.69,6.69,6.25,6.44,3.95,49800
28/02/1994,6.5,6.75,6.44,6.62,4.07,170400
01/03/1994,6.62,6.62,6.5,6.56,4.03,41600
02/03/1994,6.44,6.56,6.44,6.56,4.03,67000
03/03/1994,6.62,6.62,6.5,6.5,3.99,27800
04/03/1994,6.5,6.75,6.44,6.75,4.14,358200
07/03/1994,6.44,6.81,6.44,6.75,4.14,690800
08/03/1994,6.75,6.81,6.75,6.81,4.18,515200
09/03/1994,6.81,6.88,6.81,6.88,4.22,540400
10/03/1994,6.88,6.88,6.81,6.88,4.22,1832200
11/03/1994,6.94,7.19,6.94,7.19,4.41,1895400
14/03/1994,7.19,7.62,7.19,7.56,4.64,1413800
15/03/1994,7.56,7.69,7.44,7.44,4.57,1665200
16/03/1994,7.44,7.44,7.31,7.44,4.57,717000
17/03/1994,7.44,7.69,7.44,7.56,4.66,971200
18/03/1994,7.62,7.69,7.62,7.62,4.7,1178000
21/03/1994,7.62,7.69,7.62,7.69,4.74,659400
22/03/1994,7.69,7.88,7.69,7.81,4.81,374000
23/03/1994,7.81,7.94,7.75,7.88,4.85,430200
24/03/1994,7.81,7.88,7.75,7.75,4.77,747000
25/03/1994,7.81,7.81,7.62,7.69,4.74,370000
28/03/1994,7.69,7.69,7.62,7.62,4.7,1116200
29/03/1994,7.62,7.69,7.5,7.5,4.62,595800
30/03/1994,7.5,7.5,7.31,7.38,4.54,653000
31/03/1994,7.38,7.44,7.25,7.38,4.54,448400
04/04/1994,7.12,7.38,7.12,7.38,4.54,386600
05/04/1994,7.31,7.69,7.31,7.62,4.7,361600
06/04/1994,7.62,7.69,7.38,7.38,4.54,551400
07/04/1994,7.5,7.5,7.38,7.44,4.58,338400
08/04/1994,7.31,7.5,7.31,7.5,4.62,166000
11/04/1994,7.5,7.62,7.25,7.25,4.47,424800
12/04/1994,7.12,7.25,7.12,7.12,4.39,602800
13/04/1994,7.12,7.31,7.0,7.0,4.31,504600
14/04/1994,7.06,7.06,6.94,6.94,4.27,378200
15/04/1994,6.88,7.06,6.88,6.88,4.24,197600
18/04/1994,7.0,7.25,7.0,7.25,4.47,184800
19/04/1994,7.19,7.31,7.19,7.25,4.47,122200
20/04/1994,7.31,7.31,7.12,7.12,4.39,201400
21/04/1994,7.12,7.31,6.88,6.88,4.24,858200
22/04/1994,7.0,7.25,7.0,7.25,4.47,411400
25/04/1994,7.19,7.62,7.19,7.62,4.7,330600
26/04/1994,7.56,7.56,7.25,7.38,4.54,313400
28/04/1994,7.31,7.31,7.12,7.31,4.51,161600
29/04/1994,7.25,7.31,7.19,7.25,4.47,344600
02/05/1994,7.19,7.31,7.06,7.19,4.43,135800
03/05/1994,7.25,7.44,7.12,7.19,4.43,375200
04/05/1994,7.12,7.38,7.12,7.31,4.51,491800
05/05/1994,7.31,7.31,7.19,7.25,4.47,152800
06/05/1994,7.25,7.31,7.25,7.25,4.47,272800
09/05/1994,7.25,7.31,7.25,7.25,4.47,161600
10/05/1994,7.25,7.5,7.25,7.5,4.62,308200
11/05/1994,7.5,7.69,7.5,7.56,4.66,388600
12/05/1994,7.5,7.75,7.5,7.75,4.77,155000
13/05/1994,7.69,7.75,7.38,7.38,4.54,105200
16/05/1994,7.38,7.56,7.38,7.44,4.58,206800
17/05/1994,7.5,7.56,7.44,7.5,4.62,422600
18/05/1994,7.5,7.5,7.44,7.5,4.62,130800
19/05/1994,7.44,7.62,7.38,7.56,4.66,199400
20/05/1994,7.5,7.56,7.38,7.38,4.54,119600
23/05/1994,7.31,7.38,7.25,7.25,4.47,195600
24/05/1994,7.44,7.56,7.38,7.56,4.66,158200
25/05/1994,7.5,7.75,7.5,7.69,4.74,104800
26/05/1994,7.75,7.75,7.56,7.75,4.77,345800
27/05/1994,7.69,7.81,7.62,7.81,4.81,298000
31/05/1994,7.94,8.25,7.88,8.06,4.97,456400
01/06/1994,8.06,8.06,7.88,7.88,4.85,268200
02/06/1994,8.0,8.06,7.81,7.88,4.85,81000
03/06/1994,7.81,7.94,7.62,7.75,4.77,397400
06/06/1994,7.88,7.94,7.81,7.88,4.85,75600
07/06/1994,7.75,7.94,7.75,7.94,4.89,92800
08/06/1994,7.94,7.94,7.88,7.88,4.85,107600
09/06/1994,7.81,7.91,7.81,7.88,4.87,187800
10/06/1994,7.88,7.88,7.69,7.69,4.75,280600
13/06/1994,7.75,7.88,7.56,7.88,4.87,97600
14/06/1994,7.88,8.06,7.81,8.06,4.98,339800
15/06/1994,8.0,8.19,8.0,8.19,5.06,305200
16/06/1994,8.12,8.5,8.06,8.5,5.25,393800
17/06/1994,8.5,8.5,8.25,8.25,5.1,407200
20/06/1994,8.12,8.25,8.06,8.12,5.02,47800
21/06/1994,8.12,8.5,8.12,8.5,5.25,556200
22/06/1994,8.38,8.62,8.38,8.5,5.25,759200
23/06/1994,8.44,8.5,8.44,8.5,5.25,553200
24/06/1994,8.44,8.5,8.38,8.38,5.18,1003800
27/06/1994,8.38,8.38,8.12,8.25,5.1,295200
28/06/1994,8.19,8.25,8.12,8.12,5.02,165800
29/06/1994,8.12,8.12,8.0,8.0,4.94,396200
30/06/1994,8.0,8.19,8.0,8.19,5.06,453200
01/07/1994,8.19,8.25,8.06,8.12,5.02,870200
05/07/1994,8.06,8.25,8.06,8.19,5.06,685600
06/07/1994,8.19,8.25,8.12,8.12,5.02,163800
07/07/1994,8.12,8.25,8.12,8.19,5.06,290600
08/07/1994,8.12,8.31,8.12,8.25,5.1,165000
11/07/1994,8.19,8.31,8.19,8.25,5.1,86800
12/07/1994,8.25,8.25,8.06,8.06,4.98,390800
13/07/1994,8.06,8.12,8.0,8.06,4.98,287000
14/07/1994,7.94,8.12,7.94,8.06,4.98,167600
15/07/1994,7.94,8.06,7.94,8.06,4.98,78800
18/07/1994,8.06,8.25,8.0,8.19,5.06,150600
19/07/1994,8.31,8.5,8.31,8.38,5.18,743800
20/07/1994,8.38,8.56,8.31,8.56,5.29,1206000
21/07/1994,8.44,8.56,8.44,8.56,5.29,544800
22/07/1994,8.56,8.62,8.5,8.56,5.29,201400
25/07/1994,8.62,8.62,8.5,8.62,5.33,71600
26/07/1994,8.75,8.81,8.62,8.69,5.37,205400
27/07/1994,8.62,8.81,8.62,8.69,5.37,244000
28/07/1994,8.62,8.62,8.56,8.62,5.33,122400
29/07/1994,8.62,8.69,8.56,8.69,5.37,102400
01/08/1994,8.62,8.69,8.62,8.69,5.37,136800
02/08/1994,8.75,8.81,8.69,8.81,5.45,513400
03/08/1994,8.81,8.81,8.69,8.81,5.45,709800
04/08/1994,8.25,8.25,7.62,7.94,4.91,1680600
05/08/1994,7.94,7.94,7.75,7.75,4.79,373600
08/08/1994,7.81,7.88,7.75,7.81,4.83,501400
09/08/1994,7.88,7.88,7.69,7.75,4.79,1031000
10/08/1994,7.75,7.75,7.62,7.69,4.75,1103200
11/08/1994,7.62,7.66,7.56,7.56,4.67,703800
12/08/1994,7.56,7.69,7.38,7.69,4.75,422800
15/08/1994,7.62,7.81,7.62,7.81,4.83,173800
16/08/1994,7.81,8.06,7.75,8.06,4.98,280000
17/08/1994,8.06,8.25,8.0,8.06,4.98,131800
18/08/1994,8.0,8.06,8.0,8.0,4.94,225800
19/08/1994,8.06,8.38,8.06,8.25,5.1,166600
22/08/1994,8.12,8.19,8.06,8.12,5.02,41000
23/08/1994,8.19,8.19,8.12,8.12,5.02,186800
24/08/1994,8.12,8.12,7.94,7.94,4.91,183200
25/08/1994,7.81,7.81,7.56,7.69,4.75,178000
26/08/1994,7.62,7.69,7.44,7.62,4.71,515200
