Date,Open,High,Low,Close,Adj Close,Volume
30/01/2001,18.12,18.19,16.25,16.88,16.88,812300
31/01/2001,17.12,17.19,13.44,13.5,13.5,1212700
01/02/2001,13.12,14.38,13.0,14.19,14.19,669100
02/02/2001,14.0,14.56,13.75,14.12,14.12,775000
05/02/2001,14.44,14.5,13.88,14.12,14.12,489400
06/02/2001,14.02,14.06,13.88,14.0,14.0,737900
07/02/2001,14.0,14.06,13.0,13.06,13.06,1361000
08/02/2001,13.12,13.19,13.0,13.06,13.06,712000
09/02/2001,13.05,13.06,11.88,12.0,12.0,1100800
12/02/2001,12.05,12.12,10.94,11.06,11.06,552000
13/02/2001,11.0,11.56,11.0,11.44,11.44,304300
14/02/2001,11.42,11.75,11.0,11.62,11.62,136900
15/02/2001,12.06,13.0,12.05,12.81,12.81,1568600
16/02/2001,12.84,13.06,12.5,13.06,13.06,161500
20/02/2001,13.62,13.69,12.62,12.75,12.75,411200
21/02/2001,12.59,13.12,12.25,12.31,12.31,219000
22/02/2001,12.0,12.5,11.5,12.11,12.11,712500
23/02/2001,12.12,12.25,10.62,11.06,11.06,217800
26/02/2001,10.66,11.38,8.75,9.0,9.0,839200
27/02/2001,9.41,9.5,7.12,7.56,7.56,865200
28/02/2001,8.09,8.12,7.38,7.5,7.5,503600
01/03/2001,7.48,7.62,7.31,7.56,7.56,464200
02/03/2001,7.56,7.62,7.31,7.5,7.5,277800
05/03/2001,7.59,7.62,6.12,6.69,6.69,697900
06/03/2001,6.52,7.62,6.5,7.5,7.5,1922300
07/03/2001,7.97,8.0,7.44,7.81,7.81,321800
08/03/2001,7.81,8.5,7.62,8.47,8.47,242900
09/03/2001,8.56,8.62,8.0,8.12,8.12,165700
12/03/2001,8.38,8.62,7.94,8.5,8.5,276100
13/03/2001,8.5,9.94,8.44,9.5,9.5,128100
14/03/2001,9.75,10.48,9.12,10.25,10.25,215200
15/03/2001,10.44,10.5,9.44,9.44,9.44,224600
16/03/2001,9.44,9.75,8.0,8.25,8.25,580300
19/03/2001,8.5,9.47,8.25,8.88,8.88,161300
20/03/2001,8.69,8.94,8.19,8.19,8.19,138100
21/03/2001,8.48,8.5,8.0,8.19,8.19,139400
22/03/2001,8.05,8.06,7.62,7.75,7.75,129200
23/03/2001,7.97,8.0,7.75,7.81,7.81,58900
26/03/2001,8.0,8.25,7.25,7.5,7.5,104300
27/03/2001,7.25,7.56,7.25,7.41,7.41,35700
28/03/2001,7.53,8.09,7.25,7.56,7.56,187200
29/03/2001,7.62,7.88,6.81,7.25,7.25,246400
30/03/2001,7.47,7.62,7.19,7.25,7.25,527400
02/04/2001,7.3,7.81,7.19,7.25,7.25,513800
03/04/2001,7.25,7.25,6.25,6.69,6.69,129700
04/04/2001,6.52,6.78,6.5,6.56,6.56,55600
05/04/2001,6.72,6.88,6.5,6.56,6.56,75800
06/04/2001,6.73,7.22,6.5,6.62,6.62,44800
09/04/2001,6.81,6.99,6.5,6.55,6.55,49100
10/04/2001,6.75,7.27,6.75,7.15,7.15,115800
11/04/2001,7.28,7.75,6.52,6.6,6.6,95300
12/04/2001,6.66,6.98,5.75,6.0,6.0,144100
16/04/2001,6.75,6.75,5.35,5.45,5.45,93400
17/04/2001,5.5,5.89,5.5,5.8,5.8,32900
18/04/2001,5.99,7.7,5.65,7.28,7.28,157400
19/04/2001,7.74,7.75,6.75,7.15,7.15,94100
20/04/2001,7.1,7.1,6.0,6.15,6.15,73300
23/04/2001,6.1,7.15,6.05,6.65,6.65,97100
24/04/2001,6.5,8.5,6.25,8.33,8.33,180800
