Date,Open,High,Low,Close,Adj Close,Volume
18/11/2013,49.75,50.0,47.49,48.48,43.73,587100
19/11/2013,48.99,49.0,45.3,45.8,41.32,1682000
20/11/2013,45.98,46.0,43.99,44.65,40.28,1106900
21/11/2013,44.5,45.15,43.04,43.79,39.5,730200
22/11/2013,43.9,44.1,43.25,43.99,39.68,947600
25/11/2013,44.28,45.62,43.7,44.18,39.85,727300
26/11/2013,45.0,45.0,43.04,43.2,38.97,873700
27/11/2013,43.55,43.55,42.5,43.24,39.01,1153300
29/11/2013,42.75,43.85,42.75,43.24,39.01,949900
02/12/2013,43.08,43.67,41.52,43.14,38.92,5130700
03/12/2013,42.8,44.85,42.7,42.9,38.7,3239300
04/12/2013,42.43,42.61,41.65,41.83,37.73,2777700
05/12/2013,42.28,42.28,40.63,41.05,37.03,3380500
06/12/2013,40.75,41.06,40.64,40.7,36.72,4662300
09/12/2013,40.7,41.27,40.24,41.18,37.15,3074000
10/12/2013,41.07,42.84,41.04,42.56,38.39,3289400
11/12/2013,42.32,43.02,42.0,42.46,38.3,3367300
12/12/2013,42.01,43.1,42.0,42.97,38.76,1770500
13/12/2013,42.92,43.8,42.92,43.25,39.02,683800
16/12/2013,43.01,43.99,42.11,43.69,39.41,1953900
17/12/2013,43.43,44.0,43.16,43.75,39.47,1396700
18/12/2013,43.65,44.5,43.1,44.27,39.94,1225200
19/12/2013,43.96,44.5,43.82,44.45,40.1,593000
20/12/2013,44.3,44.45,43.91,44.26,39.93,2878600
23/12/2013,44.17,44.85,43.55,44.65,40.28,773600
24/12/2013,44.76,45.02,44.25,44.58,40.22,304700
26/12/2013,44.86,45.01,44.44,44.7,40.32,513200
27/12/2013,44.77,44.97,44.09,44.64,40.27,393300
30/12/2013,44.45,44.88,44.0,44.12,39.8,381500
31/12/2013,44.23,44.5,43.76,44.19,39.86,874200
02/01/2014,44.08,44.18,43.27,43.65,39.38,992900
03/01/2014,43.57,44.32,43.17,43.96,39.66,378400
06/01/2014,43.97,43.98,43.37,43.68,39.4,597800
07/01/2014,42.16,43.98,42.16,43.87,39.57,1371300
08/01/2014,44.02,44.36,43.4,43.88,39.58,1407100
09/01/2014,43.89,44.25,43.84,44.13,39.81,1093500
10/01/2014,44.17,46.08,44.02,45.73,41.25,2008600
