Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.44,0.46,0.44,0.46,0.34,17209600
03/01/1990,0.46,0.46,0.43,0.45,0.33,16345600
04/01/1990,0.44,0.45,0.43,0.44,0.32,19552000
05/01/1990,0.44,0.44,0.43,0.43,0.32,27904000
08/01/1990,0.43,0.43,0.42,0.43,0.31,18022400
09/01/1990,0.43,0.43,0.41,0.42,0.31,7840000
10/01/1990,0.42,0.42,0.41,0.42,0.31,1561600
11/01/1990,0.42,0.42,0.41,0.41,0.3,4608000
12/01/1990,0.41,0.42,0.41,0.41,0.3,2067200
15/01/1990,0.41,0.42,0.41,0.41,0.3,921600
16/01/1990,0.41,0.43,0.41,0.43,0.31,5299200
17/01/1990,0.43,0.45,0.43,0.44,0.32,17760000
18/01/1990,0.43,0.43,0.43,0.43,0.32,3033600
19/01/1990,0.43,0.43,0.42,0.43,0.32,3200000
22/01/1990,0.42,0.42,0.41,0.41,0.3,1708800
23/01/1990,0.42,0.43,0.41,0.43,0.31,3571200
24/01/1990,0.41,0.43,0.41,0.42,0.31,8422400
25/01/1990,0.43,0.43,0.42,0.42,0.31,3878400
26/01/1990,0.42,0.43,0.41,0.43,0.31,2643200
29/01/1990,0.43,0.43,0.41,0.42,0.31,2892800
30/01/1990,0.42,0.42,0.41,0.42,0.31,2739200
31/01/1990,0.43,0.43,0.42,0.43,0.31,1420800
01/02/1990,0.42,0.43,0.42,0.42,0.31,2393600
02/02/1990,0.42,0.43,0.41,0.42,0.31,5798400
05/02/1990,0.43,0.45,0.42,0.44,0.32,6764800
06/02/1990,0.45,0.45,0.43,0.44,0.32,2342400
07/02/1990,0.43,0.45,0.43,0.44,0.32,15372800
08/02/1990,0.44,0.45,0.43,0.43,0.32,5382400
09/02/1990,0.43,0.44,0.43,0.43,0.32,2931200
12/02/1990,0.43,0.43,0.39,0.4,0.3,18656000
13/02/1990,0.4,0.4,0.37,0.38,0.28,29996800
14/02/1990,0.39,0.39,0.38,0.39,0.28,7347200
15/02/1990,0.39,0.39,0.38,0.39,0.28,3033600
16/02/1990,0.39,0.39,0.38,0.38,0.28,5011200
20/02/1990,0.38,0.38,0.37,0.38,0.28,17177600
21/02/1990,0.37,0.38,0.37,0.38,0.28,10368000
22/02/1990,0.39,0.39,0.38,0.38,0.28,4096000
23/02/1990,0.38,0.38,0.38,0.38,0.28,4185600
26/02/1990,0.38,0.39,0.38,0.39,0.29,4588800
27/02/1990,0.39,0.4,0.39,0.39,0.29,9254400
28/02/1990,0.4,0.42,0.4,0.41,0.3,11993600
01/03/1990,0.41,0.42,0.41,0.42,0.31,9676800
02/03/1990,0.42,0.43,0.42,0.43,0.31,9094400
05/03/1990,0.43,0.45,0.42,0.44,0.33,5747200
06/03/1990,0.44,0.45,0.44,0.45,0.33,4211200
07/03/1990,0.45,0.45,0.44,0.44,0.32,8614400
08/03/1990,0.44,0.44,0.43,0.44,0.32,3212800
09/03/1990,0.44,0.45,0.44,0.45,0.33,5344000
12/03/1990,0.45,0.45,0.43,0.44,0.32,8396800
13/03/1990,0.44,0.45,0.44,0.45,0.33,4345600
