Date,Open,High,Low,Close,Adj Close,Volume
20/06/1996,3.0,3.12,2.94,2.97,2.97,12638800
21/06/1996,3.03,3.09,3.0,3.0,3.0,1881200
24/06/1996,3.06,3.22,3.0,3.22,3.22,1606000
25/06/1996,3.22,3.28,3.16,3.16,3.16,1895600
26/06/1996,3.19,3.19,3.12,3.16,3.16,399200
27/06/1996,3.19,3.34,3.16,3.25,3.25,348400
28/06/1996,3.25,3.34,3.25,3.28,3.28,157200
01/07/1996,3.31,3.31,3.22,3.22,3.22,117200
02/07/1996,3.22,3.25,3.22,3.25,3.25,85600
03/07/1996,3.19,3.41,3.19,3.41,3.41,370400
05/07/1996,3.31,3.31,3.22,3.25,3.25,238800
08/07/1996,3.19,3.28,3.19,3.28,3.28,55200
09/07/1996,3.28,3.31,3.19,3.27,3.27,739600
10/07/1996,3.25,3.28,3.19,3.28,3.28,184000
11/07/1996,3.25,3.28,3.09,3.12,3.12,367600
12/07/1996,3.09,3.12,3.06,3.09,3.09,54800
15/07/1996,3.03,3.09,2.94,2.97,2.97,158800
16/07/1996,2.97,3.0,2.72,2.72,2.72,190800
17/07/1996,2.78,3.09,2.75,3.03,3.03,117600
18/07/1996,3.03,3.19,3.03,3.19,3.19,127600
19/07/1996,3.22,3.22,3.16,3.22,3.22,30800
22/07/1996,3.16,3.22,3.12,3.19,3.19,177600
23/07/1996,3.19,3.22,3.09,3.09,3.09,83200
24/07/1996,3.09,3.12,2.97,3.12,3.12,46400
25/07/1996,3.09,3.12,3.09,3.09,3.09,25600
26/07/1996,3.09,3.12,3.09,3.09,3.09,159600
29/07/1996,3.06,3.08,3.06,3.06,3.06,27200
30/07/1996,3.06,3.06,2.94,2.94,2.94,145200
31/07/1996,2.91,2.97,2.91,2.91,2.91,118800
01/08/1996,3.0,3.0,2.91,2.91,2.91,15600
02/08/1996,3.0,3.12,3.0,3.12,3.12,134400
05/08/1996,3.06,3.12,3.06,3.12,3.12,60400
06/08/1996,3.12,3.19,3.09,3.19,3.19,152000
07/08/1996,3.22,3.28,3.12,3.22,3.22,180400
08/08/1996,3.22,3.34,3.22,3.31,3.31,136800
09/08/1996,3.31,3.34,3.28,3.34,3.34,233200
12/08/1996,3.38,3.38,3.31,3.38,3.38,179600
13/08/1996,3.28,3.34,3.25,3.34,3.34,93200
14/08/1996,3.34,3.34,3.28,3.28,3.28,131200
15/08/1996,3.25,3.28,3.19,3.28,3.28,36400
16/08/1996,3.25,3.25,3.19,3.23,3.23,40400
19/08/1996,3.25,3.28,3.09,3.09,3.09,92000
20/08/1996,3.12,3.12,3.03,3.03,3.03,32800
21/08/1996,3.03,3.06,2.88,2.88,2.88,60400
22/08/1996,2.91,2.91,2.81,2.84,2.84,421600
23/08/1996,2.78,2.88,2.75,2.78,2.78,102000
26/08/1996,2.72,2.75,2.72,2.72,2.72,44800
27/08/1996,2.75,2.75,2.62,2.75,2.75,153600
28/08/1996,2.62,2.81,2.62,2.81,2.81,28400
29/08/1996,2.69,2.81,2.69,2.81,2.81,23600
30/08/1996,2.81,2.88,2.75,2.84,2.84,297200
03/09/1996,2.75,2.75,2.75,2.75,2.75,11200
04/09/1996,2.84,2.91,2.81,2.81,2.81,767600
05/09/1996,2.81,2.81,2.69,2.78,2.78,332000
06/09/1996,2.75,2.75,2.69,2.69,2.69,31600
09/09/1996,2.75,2.75,2.66,2.75,2.75,80000
10/09/1996,2.66,2.69,2.66,2.69,2.69,123600
11/09/1996,2.75,2.75,2.56,2.72,2.72,609200
12/09/1996,2.59,2.66,2.59,2.66,2.66,74000
13/09/1996,2.59,2.78,2.59,2.75,2.75,628400
16/09/1996,2.78,2.88,2.75,2.78,2.78,315200
17/09/1996,2.81,3.09,2.81,3.06,3.06,590000
18/09/1996,3.06,3.09,3.0,3.0,3.0,167200
19/09/1996,3.03,3.06,3.0,3.0,3.0,156000
20/09/1996,3.09,3.09,3.0,3.0,3.0,36000
23/09/1996,3.0,3.0,2.84,2.91,2.91,216800
24/09/1996,2.84,2.94,2.81,2.81,2.81,57600
25/09/1996,2.81,2.94,2.81,2.81,2.81,8400
26/09/1996,2.94,2.94,2.81,2.84,2.84,548000
27/09/1996,2.91,2.94,2.84,2.94,2.94,304800
30/09/1996,2.88,2.94,2.88,2.91,2.91,44000
01/10/1996,2.88,2.94,2.88,2.88,2.88,90400
02/10/1996,2.94,3.0,2.88,2.94,2.94,20000
03/10/1996,3.0,3.16,3.0,3.16,3.16,152000
04/10/1996,3.19,3.28,3.19,3.19,3.19,38000
07/10/1996,3.31,3.31,3.19,3.28,3.28,90400
08/10/1996,3.25,3.31,3.25,3.31,3.31,51200
09/10/1996,3.31,3.31,3.25,3.28,3.28,57600
10/10/1996,3.25,3.3,3.25,3.25,3.25,220800
11/10/1996,3.34,3.56,3.25,3.44,3.44,226400
14/10/1996,3.56,3.56,3.44,3.53,3.53,298400
15/10/1996,3.5,3.78,3.5,3.75,3.75,142800
16/10/1996,3.72,3.78,3.72,3.77,3.77,208800
17/10/1996,3.84,3.84,3.75,3.84,3.84,250000
