Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.72,0.72,0.72,0.72,0.35,18000
03/01/1990,0.72,0.72,0.72,0.72,0.35,9000
04/01/1990,0.72,0.72,0.72,0.72,0.35,459000
05/01/1990,0.72,0.72,0.72,0.72,0.35,3600
08/01/1990,0.72,0.72,0.72,0.72,0.35,14400
09/01/1990,0.72,0.72,0.72,0.72,0.35,0
10/01/1990,0.72,0.73,0.72,0.72,0.35,113400
11/01/1990,0.73,0.73,0.73,0.73,0.36,14400
12/01/1990,0.72,0.72,0.71,0.71,0.34,77400
15/01/1990,0.71,0.71,0.71,0.71,0.34,3600
16/01/1990,0.71,0.72,0.71,0.71,0.34,145800
17/01/1990,0.71,0.71,0.71,0.71,0.34,18000
18/01/1990,0.71,0.71,0.71,0.71,0.34,36000
19/01/1990,0.7,0.7,0.69,0.69,0.34,57600
22/01/1990,0.69,0.7,0.69,0.69,0.34,34200
23/01/1990,0.69,0.69,0.68,0.68,0.33,45000
24/01/1990,0.68,0.68,0.67,0.68,0.33,9000
25/01/1990,0.68,0.68,0.67,0.68,0.34,7200
26/01/1990,0.68,0.68,0.67,0.67,0.33,37800
29/01/1990,0.67,0.67,0.67,0.67,0.33,1800
30/01/1990,0.67,0.67,0.67,0.67,0.33,3600
31/01/1990,0.67,0.67,0.67,0.67,0.33,0
01/02/1990,0.67,0.67,0.66,0.66,0.33,28800
02/02/1990,0.66,0.66,0.66,0.66,0.33,0
05/02/1990,0.66,0.67,0.65,0.67,0.33,97200
06/02/1990,0.67,0.67,0.67,0.67,0.33,36000
07/02/1990,0.67,0.67,0.67,0.67,0.33,39600
08/02/1990,0.67,0.67,0.66,0.67,0.33,68400
09/02/1990,0.67,0.67,0.67,0.67,0.33,0
12/02/1990,0.66,0.66,0.66,0.66,0.33,1800
13/02/1990,0.67,0.67,0.67,0.67,0.33,59400
14/02/1990,0.66,0.66,0.65,0.65,0.32,45000
15/02/1990,0.66,0.66,0.66,0.66,0.33,57600
16/02/1990,0.67,0.67,0.67,0.67,0.33,28800
20/02/1990,0.67,0.67,0.66,0.66,0.33,3600
21/02/1990,0.66,0.67,0.66,0.67,0.33,104400
22/02/1990,0.67,0.67,0.67,0.67,0.33,72000
23/02/1990,0.67,0.67,0.67,0.67,0.33,21600
26/02/1990,0.67,0.67,0.67,0.67,0.33,10800
27/02/1990,0.67,0.67,0.67,0.67,0.33,50400
28/02/1990,0.67,0.67,0.67,0.67,0.33,48600
01/03/1990,0.67,0.67,0.66,0.66,0.33,39600
02/03/1990,0.67,0.68,0.67,0.68,0.34,66600
05/03/1990,0.69,0.69,0.69,0.69,0.34,9000
06/03/1990,0.71,0.74,0.71,0.74,0.36,70200
07/03/1990,0.74,0.83,0.74,0.83,0.41,82800
08/03/1990,0.84,0.85,0.84,0.85,0.42,84600
09/03/1990,0.85,0.85,0.82,0.82,0.41,106200
12/03/1990,0.83,0.85,0.83,0.85,0.42,23400
13/03/1990,0.85,0.86,0.85,0.85,0.42,9000
14/03/1990,0.85,0.85,0.85,0.85,0.42,45000
15/03/1990,0.85,0.88,0.85,0.86,0.43,113400
16/03/1990,0.86,0.86,0.86,0.86,0.43,30600
19/03/1990,0.86,0.86,0.85,0.86,0.43,14400
20/03/1990,0.86,0.87,0.86,0.86,0.43,90000
21/03/1990,0.86,0.86,0.86,0.86,0.43,5400
22/03/1990,0.86,0.86,0.85,0.85,0.42,19800
23/03/1990,0.85,0.86,0.85,0.86,0.43,3600
26/03/1990,0.86,0.86,0.86,0.86,0.43,0
27/03/1990,0.86,0.86,0.85,0.85,0.42,21600
28/03/1990,0.86,0.86,0.86,0.86,0.43,18000
29/03/1990,0.86,0.86,0.86,0.86,0.43,21600
30/03/1990,0.86,0.88,0.86,0.88,0.43,34200
02/04/1990,0.87,0.87,0.86,0.87,0.43,30600
03/04/1990,0.86,0.86,0.82,0.83,0.41,219600
04/04/1990,0.83,0.83,0.83,0.83,0.41,3600
05/04/1990,0.83,0.84,0.83,0.83,0.41,3600
06/04/1990,0.83,0.83,0.83,0.83,0.41,41400
09/04/1990,0.83,0.84,0.83,0.83,0.41,90000
10/04/1990,0.83,0.83,0.83,0.83,0.41,36000
11/04/1990,0.84,0.91,0.84,0.91,0.45,95400
12/04/1990,0.92,0.92,0.92,0.92,0.45,86400
16/04/1990,0.92,0.92,0.92,0.92,0.46,28800
17/04/1990,0.92,0.92,0.92,0.92,0.45,77400
18/04/1990,0.92,0.92,0.91,0.92,0.45,46800
19/04/1990,0.92,0.92,0.92,0.92,0.45,93600
20/04/1990,0.91,0.91,0.91,0.91,0.45,36000
23/04/1990,0.91,0.91,0.9,0.9,0.45,73800
24/04/1990,0.89,0.89,0.89,0.89,0.45,45000
25/04/1990,0.89,0.89,0.89,0.89,0.45,3600
26/04/1990,0.89,0.89,0.89,0.89,0.45,43200
27/04/1990,0.89,0.89,0.89,0.89,0.45,0
30/04/1990,0.89,0.89,0.89,0.89,0.45,25200
01/05/1990,0.89,0.89,0.89,0.89,0.45,28800
02/05/1990,0.89,0.89,0.89,0.89,0.45,39600
03/05/1990,0.88,0.88,0.87,0.87,0.44,7200
04/05/1990,0.87,0.88,0.87,0.87,0.44,70200
07/05/1990,0.87,0.87,0.86,0.87,0.44,19800
08/05/1990,0.88,0.88,0.88,0.88,0.44,18000
09/05/1990,0.89,0.9,0.89,0.9,0.45,41400
10/05/1990,0.9,0.9,0.9,0.9,0.45,12600
11/05/1990,0.92,0.92,0.92,0.92,0.46,19800
14/05/1990,0.92,0.92,0.9,0.91,0.46,167400
15/05/1990,0.91,0.91,0.9,0.91,0.46,79200
16/05/1990,0.92,0.92,0.92,0.92,0.46,36000
17/05/1990,0.92,0.92,0.92,0.92,0.46,19800
18/05/1990,0.92,0.92,0.92,0.92,0.46,12600
21/05/1990,0.92,0.92,0.92,0.92,0.46,54000
22/05/1990,0.92,0.92,0.92,0.92,0.46,10800
23/05/1990,0.92,0.92,0.92,0.92,0.46,0
24/05/1990,0.92,0.92,0.92,0.92,0.46,0
25/05/1990,0.92,0.92,0.92,0.92,0.46,19800
29/05/1990,0.92,0.92,0.92,0.92,0.46,1800
30/05/1990,0.92,0.92,0.92,0.92,0.46,23400
31/05/1990,0.93,0.94,0.93,0.93,0.47,43200
01/06/1990,0.93,0.93,0.92,0.92,0.46,14400
04/06/1990,0.92,0.92,0.92,0.92,0.46,7200
05/06/1990,0.92,0.92,0.92,0.92,0.46,138600
06/06/1990,0.92,0.92,0.92,0.92,0.46,23400
07/06/1990,0.92,0.92,0.92,0.92,0.46,0
08/06/1990,0.92,0.92,0.92,0.92,0.46,0
11/06/1990,0.92,0.92,0.92,0.92,0.46,3600
12/06/1990,0.92,0.92,0.92,0.92,0.46,104400
