Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,11.1,11.45,11.07,11.45,5.3,1082297
03/01/1990,11.42,11.48,11.33,11.45,5.3,953442
04/01/1990,11.39,11.45,11.27,11.3,5.23,895500
05/01/1990,11.19,11.51,11.19,11.45,5.3,794751
08/01/1990,11.42,11.62,11.42,11.56,5.35,982845
09/01/1990,11.56,11.59,11.42,11.45,5.3,1015275
10/01/1990,11.45,11.48,11.36,11.45,5.3,772699
11/01/1990,11.45,11.62,11.45,11.56,5.35,613143
12/01/1990,11.48,11.48,11.16,11.25,5.2,469586
15/01/1990,11.22,11.25,11.04,11.04,5.11,589361
16/01/1990,10.87,11.22,10.87,11.22,5.19,386566
17/01/1990,11.16,11.19,11.04,11.1,5.13,473478
18/01/1990,11.07,11.13,10.9,10.96,5.07,417698
19/01/1990,10.99,11.01,10.75,10.75,4.97,978521
22/01/1990,10.73,10.93,10.73,10.78,4.99,608819
23/01/1990,10.78,10.99,10.78,10.93,5.05,971603
24/01/1990,10.87,10.87,10.67,10.75,4.97,1071055
25/01/1990,10.84,10.96,10.73,10.73,4.96,238685
26/01/1990,10.75,10.84,10.7,10.84,5.01,237820
29/01/1990,10.9,10.93,10.84,10.87,5.03,330786
30/01/1990,10.87,10.87,10.73,10.75,4.97,620494
31/01/1990,10.78,10.81,10.64,10.78,4.99,1493942
01/02/1990,10.84,10.84,10.78,10.78,4.99,545689
02/02/1990,10.75,10.87,10.75,10.78,4.99,997979
05/02/1990,10.73,10.73,10.67,10.7,4.95,325165
06/02/1990,10.64,10.67,10.55,10.58,4.89,689678
07/02/1990,10.52,10.64,10.49,10.64,4.92,629142
08/02/1990,10.61,10.67,10.41,10.41,4.81,1253960
09/02/1990,10.49,10.61,10.49,10.61,4.91,422887
12/02/1990,10.64,10.67,10.55,10.55,4.88,572498
13/02/1990,10.58,10.61,10.44,10.49,4.85,357595
14/02/1990,10.52,10.58,10.41,10.41,4.81,354568
15/02/1990,10.41,10.49,10.41,10.44,4.83,572065
16/02/1990,10.41,10.46,10.35,10.44,4.83,524501
20/02/1990,10.41,10.44,10.23,10.26,4.75,173825
21/02/1990,10.18,10.35,10.15,10.35,4.79,365810
22/02/1990,10.35,10.46,10.35,10.38,4.8,430238
23/02/1990,10.35,10.35,10.18,10.26,4.75,662004
26/02/1990,10.26,10.32,10.23,10.32,4.77,255981
27/02/1990,10.38,10.38,10.32,10.32,4.77,342461
28/02/1990,10.32,10.46,10.32,10.46,4.84,360622
01/03/1990,10.41,10.55,10.41,10.55,4.88,420293
02/03/1990,10.64,10.78,10.61,10.75,4.97,603198
05/03/1990,10.78,10.84,10.75,10.75,4.97,452723
06/03/1990,10.75,11.07,10.75,11.07,5.12,578984
07/03/1990,11.16,11.22,11.1,11.22,5.19,545689
08/03/1990,11.22,11.48,11.22,11.45,5.3,514124
09/03/1990,11.51,11.68,11.45,11.62,5.38,521907
12/03/1990,11.59,11.65,11.56,11.65,5.39,405159
13/03/1990,11.59,11.59,11.51,11.51,5.32,847072
14/03/1990,11.48,11.51,11.42,11.48,5.31,451858
15/03/1990,11.45,11.48,11.36,11.42,5.28,365378
16/03/1990,11.48,11.48,11.33,11.36,5.26,1198613
19/03/1990,11.33,11.39,11.33,11.39,5.27,1201207
20/03/1990,11.39,11.39,11.22,11.27,5.22,669788
21/03/1990,11.27,11.3,11.22,11.25,5.2,625250
22/03/1990,11.27,11.27,11.1,11.19,5.18,258143
23/03/1990,11.22,11.39,11.22,11.39,5.27,732486
26/03/1990,11.56,11.74,11.56,11.71,5.42,1215044
27/03/1990,11.71,11.97,11.71,11.97,5.54,979386
28/03/1990,12.05,12.23,12.05,12.17,5.63,1177425
29/03/1990,12.26,12.31,12.14,12.14,5.62,2762604
30/03/1990,12.0,12.08,11.79,12.08,5.62,1634472
02/04/1990,12.0,12.0,11.79,11.85,5.52,1906884
03/04/1990,11.82,11.94,11.74,11.94,5.56,1721817
04/04/1990,11.94,11.94,11.77,11.79,5.49,1065866
05/04/1990,11.79,11.82,11.68,11.77,5.48,879502
06/04/1990,11.79,11.82,11.68,11.74,5.46,679300
09/04/1990,11.68,11.85,11.68,11.85,5.52,636925
10/04/1990,11.85,11.97,11.82,11.91,5.54,828046
11/04/1990,11.97,12.0,11.88,11.91,5.54,250360
12/04/1990,11.88,11.94,11.85,11.85,5.52,498125
16/04/1990,11.88,11.94,11.79,11.79,5.49,2095843
17/04/1990,11.74,11.85,11.74,11.79,5.49,510232
18/04/1990,11.82,11.85,11.68,11.68,5.44,402564
19/04/1990,11.65,11.71,11.56,11.62,5.41,789995
20/04/1990,11.62,11.71,11.59,11.65,5.42,1509076
23/04/1990,11.65,11.65,11.51,11.53,5.37,714757
24/04/1990,11.56,11.65,11.53,11.56,5.38,674544
25/04/1990,11.56,11.91,11.53,11.91,5.54,1379356
26/04/1990,12.03,12.08,11.85,11.88,5.53,812047
27/04/1990,11.91,11.94,11.82,11.88,5.53,840153
30/04/1990,11.85,11.94,11.77,11.94,5.56,374026
01/05/1990,11.94,12.08,11.91,12.03,5.6,686219
02/05/1990,12.03,12.26,12.03,12.26,5.71,615305
03/05/1990,12.23,12.6,12.23,12.49,5.81,1135050
04/05/1990,12.6,12.66,12.49,12.58,5.85,1501293
07/05/1990,12.55,12.72,12.52,12.52,5.83,1458485
08/05/1990,12.55,12.58,12.49,12.55,5.84,786536
09/05/1990,12.49,12.52,12.46,12.46,5.8,633034
10/05/1990,12.52,12.52,12.37,12.37,5.76,923174
11/05/1990,12.34,12.43,12.31,12.43,5.79,1149752
14/05/1990,12.4,12.6,12.4,12.49,5.81,1252230
15/05/1990,12.49,12.6,12.49,12.6,5.87,553904
16/05/1990,12.58,12.69,12.55,12.69,5.91,423320
17/05/1990,12.66,12.81,12.63,12.72,5.92,1495239
18/05/1990,12.69,12.75,12.63,12.69,5.91,511097
21/05/1990,12.75,12.86,12.72,12.84,5.97,1795325
22/05/1990,12.84,12.89,12.78,12.78,5.95,718216
23/05/1990,12.75,12.81,12.69,12.75,5.93,598442
24/05/1990,12.75,12.75,12.69,12.72,5.92,666328
25/05/1990,12.63,12.78,12.63,12.69,5.91,293167
29/05/1990,12.63,12.81,12.6,12.81,5.96,394349
30/05/1990,12.86,13.01,12.84,12.98,6.04,1795757
31/05/1990,13.01,13.41,12.98,13.12,6.11,1574801
01/06/1990,13.12,13.15,12.95,13.01,6.06,1320982
04/06/1990,12.98,13.21,12.95,13.18,6.14,1288984
05/06/1990,13.21,13.27,13.15,13.18,6.14,3524492
06/06/1990,13.18,13.18,13.1,13.15,6.12,459641
07/06/1990,13.12,13.18,12.95,12.95,6.03,527096
08/06/1990,12.84,12.92,12.72,12.89,6.0,1609393
11/06/1990,12.84,12.89,12.78,12.81,5.96,564714
12/06/1990,12.84,12.98,12.84,12.89,6.0,1185641
13/06/1990,13.07,13.12,13.07,13.1,6.1,463965
