Date,Open,High,Low,Close,Adj Close,Volume
08/11/1991,0.29,0.29,0.29,0.29,0.25,88028800
11/11/1991,0.29,0.29,0.29,0.29,0.25,11859200
12/11/1991,0.29,0.29,0.29,0.29,0.25,13097600
13/11/1991,0.29,0.29,0.28,0.28,0.25,19059200
14/11/1991,0.26,0.27,0.26,0.27,0.24,20835200
15/11/1991,0.27,0.27,0.26,0.26,0.23,21747200
18/11/1991,0.25,0.26,0.24,0.24,0.21,8873600
19/11/1991,0.24,0.25,0.23,0.24,0.21,9958400
20/11/1991,0.25,0.25,0.24,0.25,0.22,972800
21/11/1991,0.24,0.24,0.23,0.23,0.21,1683200
22/11/1991,0.23,0.23,0.22,0.22,0.2,2611200
25/11/1991,0.23,0.24,0.22,0.23,0.2,5657600
26/11/1991,0.23,0.24,0.23,0.23,0.2,3292800
27/11/1991,0.23,0.24,0.23,0.24,0.21,3379200
29/11/1991,0.23,0.24,0.23,0.24,0.21,985600
02/12/1991,0.24,0.26,0.24,0.25,0.22,2035200
03/12/1991,0.25,0.25,0.25,0.25,0.22,2227200
04/12/1991,0.26,0.28,0.26,0.26,0.23,9824000
05/12/1991,0.26,0.27,0.25,0.27,0.24,5049600
06/12/1991,0.27,0.27,0.27,0.27,0.24,1449600
09/12/1991,0.27,0.27,0.27,0.27,0.23,2358400
10/12/1991,0.26,0.26,0.25,0.25,0.22,2374400
11/12/1991,0.25,0.26,0.25,0.25,0.22,1980800
12/12/1991,0.25,0.26,0.24,0.25,0.22,1977600
13/12/1991,0.26,0.27,0.26,0.26,0.23,1507200
16/12/1991,0.27,0.27,0.26,0.26,0.23,2755200
17/12/1991,0.26,0.26,0.25,0.25,0.22,1097600
18/12/1991,0.25,0.25,0.24,0.25,0.22,1987200
19/12/1991,0.24,0.24,0.23,0.24,0.21,1580800
20/12/1991,0.25,0.25,0.23,0.24,0.21,2057600
23/12/1991,0.24,0.25,0.23,0.25,0.22,1916800
24/12/1991,0.25,0.27,0.25,0.27,0.24,2428800
26/12/1991,0.27,0.28,0.27,0.28,0.25,2144000
27/12/1991,0.28,0.28,0.27,0.28,0.25,3363200
30/12/1991,0.28,0.28,0.27,0.28,0.24,2630400
31/12/1991,0.28,0.28,0.27,0.28,0.25,6294400
02/01/1992,0.28,0.28,0.27,0.28,0.24,1456000
03/01/1992,0.28,0.29,0.28,0.28,0.25,6019200
06/01/1992,0.29,0.31,0.28,0.29,0.25,19596800
07/01/1992,0.29,0.3,0.29,0.3,0.26,11993600
08/01/1992,0.3,0.32,0.3,0.31,0.27,36752000
09/01/1992,0.31,0.31,0.3,0.3,0.27,9491200
10/01/1992,0.3,0.3,0.3,0.3,0.27,4483200
13/01/1992,0.3,0.31,0.3,0.3,0.27,2931200
14/01/1992,0.3,0.31,0.3,0.3,0.27,4838400
15/01/1992,0.3,0.31,0.3,0.3,0.27,2905600
16/01/1992,0.3,0.32,0.3,0.32,0.28,30771200
17/01/1992,0.32,0.33,0.31,0.32,0.28,9190400
20/01/1992,0.32,0.32,0.3,0.3,0.27,4128000
21/01/1992,0.3,0.31,0.3,0.3,0.27,4105600
22/01/1992,0.3,0.3,0.29,0.29,0.26,2297600
23/01/1992,0.3,0.3,0.29,0.29,0.26,2348800
24/01/1992,0.29,0.29,0.29,0.29,0.26,2128000
27/01/1992,0.29,0.29,0.29,0.29,0.26,3449600
28/01/1992,0.29,0.29,0.29,0.29,0.25,1123200
29/01/1992,0.29,0.3,0.29,0.29,0.25,5440000
30/01/1992,0.28,0.31,0.27,0.29,0.26,7654400
31/01/1992,0.29,0.29,0.29,0.29,0.25,1171200
03/02/1992,0.28,0.29,0.28,0.29,0.26,569600
04/02/1992,0.27,0.27,0.25,0.27,0.24,18784000
05/02/1992,0.27,0.28,0.26,0.26,0.23,5686400
06/02/1992,0.26,0.27,0.26,0.26,0.23,1993600
07/02/1992,0.27,0.27,0.27,0.27,0.24,2697600
10/02/1992,0.27,0.27,0.27,0.27,0.23,2368000
11/02/1992,0.27,0.27,0.26,0.26,0.23,4294400
12/02/1992,0.27,0.27,0.26,0.27,0.23,3043200
13/02/1992,0.27,0.27,0.27,0.27,0.23,1068800
14/02/1992,0.27,0.27,0.26,0.26,0.23,1529600
18/02/1992,0.26,0.26,0.26,0.26,0.23,1107200
19/02/1992,0.26,0.26,0.25,0.25,0.22,2364800
20/02/1992,0.25,0.25,0.24,0.25,0.22,1161600
21/02/1992,0.25,0.26,0.25,0.25,0.22,3523200
24/02/1992,0.25,0.25,0.25,0.25,0.22,1203200
25/02/1992,0.25,0.25,0.25,0.25,0.22,1219200
26/02/1992,0.25,0.26,0.25,0.26,0.23,3052800
27/02/1992,0.26,0.26,0.25,0.25,0.22,1024000
28/02/1992,0.26,0.26,0.25,0.26,0.23,841600
02/03/1992,0.25,0.25,0.25,0.25,0.22,774400
03/03/1992,0.25,0.26,0.25,0.25,0.22,4748800
04/03/1992,0.26,0.27,0.26,0.27,0.23,3235200
