Date,Open,High,Low,Close,Adj Close,Volume
23/04/2008,20.6,21.45,20.22,20.6,13.99,23402800
24/04/2008,20.72,21.0,20.31,20.81,14.13,4960900
25/04/2008,21.0,21.25,20.7,21.17,14.38,1956800
28/04/2008,21.49,21.49,20.81,21.0,14.26,709400
29/04/2008,21.39,21.39,20.82,21.07,14.31,859700
30/04/2008,21.08,21.2,20.92,21.15,14.36,893300
01/05/2008,21.22,22.0,21.0,21.91,14.88,2999000
02/05/2008,22.16,22.16,21.49,22.01,14.95,1639400
05/05/2008,22.45,22.45,21.56,21.91,14.88,579000
06/05/2008,21.8,21.86,21.37,21.55,14.63,1040200
07/05/2008,21.5,21.6,20.65,21.21,14.4,1240100
08/05/2008,21.23,21.3,21.03,21.25,14.43,888100
09/05/2008,21.25,21.84,21.03,21.67,14.71,550400
12/05/2008,21.7,21.74,21.28,21.5,14.6,1168000
13/05/2008,21.53,21.54,20.8,21.32,14.48,1783900
14/05/2008,20.51,21.48,20.51,21.3,14.46,649200
15/05/2008,21.45,21.46,21.1,21.16,14.37,470400
16/05/2008,21.43,21.65,21.1,21.62,14.68,1002400
19/05/2008,21.89,22.09,21.55,21.75,14.77,802900
20/05/2008,21.97,21.97,21.45,21.65,14.7,504100
21/05/2008,21.85,21.85,21.05,21.16,14.37,407100
22/05/2008,21.37,21.45,21.12,21.35,14.5,274600
23/05/2008,21.25,21.25,21.0,21.14,14.36,464200
27/05/2008,21.49,21.49,21.05,21.23,14.42,320300
28/05/2008,21.1,21.42,21.07,21.41,14.54,403800
29/05/2008,21.39,21.5,21.05,21.06,14.3,384600
30/05/2008,21.1,21.5,21.05,21.5,14.6,784300
02/06/2008,22.37,22.37,21.2,21.6,14.67,414900
03/06/2008,21.86,21.9,21.29,21.32,14.48,446000
04/06/2008,21.1,21.64,21.07,21.57,14.65,850300
05/06/2008,21.49,21.89,21.49,21.8,14.8,567400
06/06/2008,21.75,22.25,21.75,22.1,15.01,1588900
09/06/2008,22.3,22.39,22.1,22.33,15.16,377700
10/06/2008,22.11,22.25,21.84,21.85,14.84,594000
11/06/2008,21.72,22.43,21.2,21.71,14.74,692300
12/06/2008,22.11,22.11,21.47,21.85,14.84,394400
13/06/2008,22.14,22.4,21.71,22.39,15.2,460500
16/06/2008,22.47,23.0,22.24,22.75,15.45,783000
17/06/2008,22.75,23.51,22.3,23.18,15.74,1194300
18/06/2008,23.0,23.19,22.41,23.04,15.65,723300
19/06/2008,23.09,23.09,22.7,22.89,15.54,683500
20/06/2008,22.7,23.2,22.38,23.0,15.62,1330300
23/06/2008,22.96,22.96,22.67,22.75,15.45,390500
24/06/2008,22.78,22.96,22.31,22.88,15.54,666900
25/06/2008,23.08,23.37,22.85,23.37,15.87,717000
26/06/2008,23.05,23.65,22.14,22.62,15.36,1993100
27/06/2008,22.0,23.14,21.95,22.52,15.29,4484900
30/06/2008,22.99,22.99,21.19,22.18,15.06,861700
01/07/2008,22.4,23.09,22.21,22.88,15.54,476800
02/07/2008,23.0,23.23,22.46,22.65,15.38,492400
03/07/2008,22.46,22.61,21.17,21.8,14.8,325300
07/07/2008,21.8,22.06,21.31,21.49,14.59,246800
08/07/2008,21.39,21.7,21.29,21.7,14.74,281500
09/07/2008,21.73,21.76,21.41,21.59,14.66,182900
10/07/2008,21.69,21.69,20.3,21.26,14.44,530200
11/07/2008,20.74,20.81,19.24,20.03,13.6,1062500
14/07/2008,20.03,20.19,19.62,19.71,13.38,543100
15/07/2008,19.42,19.43,18.09,18.91,12.84,1191800
16/07/2008,18.97,19.55,18.9,19.4,13.17,464600
17/07/2008,19.79,19.79,19.07,19.7,13.38,232300
18/07/2008,19.0,19.83,19.0,19.55,13.28,308500
21/07/2008,19.83,19.9,19.45,19.72,13.39,148500
22/07/2008,19.58,20.05,19.58,19.93,13.53,144400
23/07/2008,19.85,19.99,19.63,19.69,13.37,214900
24/07/2008,19.93,19.96,18.55,18.87,12.81,518300
25/07/2008,19.15,19.26,18.59,19.15,13.0,241000
28/07/2008,19.25,19.66,18.5,18.63,12.65,241900
29/07/2008,18.89,19.23,18.72,19.0,12.9,289100
30/07/2008,19.34,19.67,19.1,19.46,13.21,251400
31/07/2008,20.48,20.48,18.63,19.25,13.07,579200
01/08/2008,19.39,19.83,19.25,19.29,13.1,389700
04/08/2008,19.44,19.87,19.05,19.6,13.31,324400
05/08/2008,19.85,20.34,19.65,20.34,13.81,336500
06/08/2008,20.35,20.35,19.53,20.1,13.65,343600
07/08/2008,20.2,20.22,19.9,20.15,13.68,376900
08/08/2008,20.29,20.36,19.95,20.07,13.63,268200
11/08/2008,21.09,21.37,20.65,20.77,14.1,958300
12/08/2008,20.7,21.33,20.7,20.87,14.17,729100
13/08/2008,20.88,21.39,20.86,21.09,14.46,515800
14/08/2008,21.17,21.5,20.83,20.98,14.38,567900
15/08/2008,21.2,21.2,20.52,20.75,14.23,370800
18/08/2008,20.93,21.2,20.8,21.15,14.5,546500
19/08/2008,21.25,22.25,21.15,21.92,15.03,782800
20/08/2008,22.09,22.49,21.41,21.9,15.02,801300
21/08/2008,21.94,22.05,21.34,21.9,15.02,719900
22/08/2008,21.99,22.0,21.56,21.95,15.05,307100
25/08/2008,21.77,22.55,21.45,21.77,14.93,245800
26/08/2008,21.89,21.94,21.38,21.61,14.82,228100
27/08/2008,21.76,21.77,21.4,21.72,14.89,216000
28/08/2008,21.88,22.25,21.1,22.11,15.16,383700
29/08/2008,21.84,23.12,21.54,22.95,15.73,1009000
02/09/2008,23.0,23.0,22.05,22.8,15.63,652400
03/09/2008,22.67,22.79,21.62,21.87,14.99,295400
04/09/2008,21.77,22.12,21.47,21.47,14.72,409300
05/09/2008,21.28,21.28,20.58,20.97,14.38,443500
08/09/2008,21.5,21.5,20.73,20.91,14.34,382000
09/09/2008,20.85,21.23,20.65,20.65,14.16,517500
10/09/2008,20.5,21.12,20.5,21.08,14.45,591800
11/09/2008,21.1,21.13,20.8,21.07,14.45,327500
12/09/2008,20.97,21.34,20.96,21.03,14.42,231600
15/09/2008,20.99,21.3,20.27,20.3,13.92,403400
16/09/2008,20.16,20.58,19.66,20.36,13.96,421300
17/09/2008,20.45,20.6,19.73,19.91,13.65,370900
18/09/2008,20.01,20.32,19.59,20.25,13.88,565900
19/09/2008,21.26,21.26,19.57,20.0,13.71,340100
22/09/2008,20.0,20.35,19.65,19.66,13.48,314100
23/09/2008,19.82,19.82,19.06,19.34,13.26,388000
24/09/2008,19.62,19.76,19.23,19.6,13.44,522700
25/09/2008,19.67,20.16,19.51,20.0,13.71,304400
26/09/2008,19.9,20.12,19.09,19.15,13.13,541000
29/09/2008,19.17,20.22,18.75,20.1,13.78,1045200
30/09/2008,20.44,21.8,19.43,21.5,14.74,1171700
01/10/2008,21.19,21.47,20.02,20.17,13.83,525200
02/10/2008,20.19,20.38,19.41,20.12,13.79,435500
03/10/2008,20.4,20.65,19.72,19.93,13.66,521100
06/10/2008,19.57,19.98,18.8,19.52,13.38,771800
07/10/2008,19.85,20.34,19.35,19.62,13.45,511800
08/10/2008,18.97,19.73,18.4,19.07,13.07,775900
09/10/2008,19.3,19.79,18.53,18.69,12.81,868200
10/10/2008,18.14,18.6,16.47,18.3,12.55,743400
13/10/2008,18.56,20.14,18.22,19.4,13.3,177100
14/10/2008,19.81,21.0,18.84,19.13,13.12,665700
15/10/2008,18.8,19.1,17.77,18.1,12.41,250400
16/10/2008,18.53,18.54,17.02,18.42,12.63,462900
17/10/2008,18.01,19.32,17.75,19.13,13.12,365100
20/10/2008,18.77,19.76,18.61,19.76,13.55,250500
21/10/2008,19.29,20.32,18.85,19.69,13.5,276100
22/10/2008,19.45,19.45,18.41,18.97,13.01,304200
23/10/2008,18.62,19.13,18.2,18.75,12.86,584400
24/10/2008,18.47,18.53,17.51,18.01,12.35,314100
27/10/2008,17.94,18.12,17.16,17.16,11.77,348300
28/10/2008,17.56,19.35,17.54,19.35,13.27,352900
29/10/2008,19.2,19.5,18.35,18.66,12.79,219400
30/10/2008,19.03,20.19,18.5,19.87,13.62,333600
31/10/2008,20.01,20.44,19.71,20.28,13.9,477000
03/11/2008,19.82,20.59,19.82,20.31,13.92,335200
04/11/2008,20.75,21.24,19.52,20.15,13.82,427400
05/11/2008,20.0,20.57,19.12,19.48,13.36,456000
06/11/2008,19.48,19.86,18.51,18.93,12.98,383500
07/11/2008,19.18,19.73,19.15,19.35,13.27,212500
10/11/2008,19.68,20.0,19.1,19.43,13.32,427100
11/11/2008,19.05,19.91,18.97,19.79,13.57,514800
12/11/2008,19.72,20.1,18.83,18.93,12.98,685000
13/11/2008,19.14,20.88,18.89,20.88,14.32,573300
14/11/2008,20.24,20.41,19.48,19.5,13.5,683700
17/11/2008,19.12,19.78,19.12,19.55,13.53,324700
18/11/2008,19.51,19.93,19.11,19.93,13.8,551500
19/11/2008,19.73,20.36,19.03,19.3,13.36,656900
20/11/2008,19.07,19.84,18.85,18.9,13.08,672600
21/11/2008,19.07,20.0,18.95,20.0,13.84,540900
24/11/2008,20.06,20.9,19.47,20.69,14.32,547700
25/11/2008,20.91,21.49,20.47,20.82,14.41,1980300
26/11/2008,20.41,20.65,19.71,20.1,13.91,422300
28/11/2008,20.23,20.63,20.02,20.28,14.04,220600
01/12/2008,19.9,19.99,18.96,19.07,13.2,402700
02/12/2008,19.34,19.49,17.85,18.97,13.13,1204800
03/12/2008,18.92,20.5,18.54,20.21,13.99,520900
04/12/2008,20.0,20.48,19.6,20.27,14.03,420400
05/12/2008,20.0,20.97,19.77,20.49,14.18,632100
08/12/2008,20.97,21.33,20.6,20.96,14.51,648200
09/12/2008,21.21,21.45,20.61,20.72,14.34,419700
10/12/2008,20.61,20.93,20.08,20.67,14.31,280700
11/12/2008,20.77,20.95,20.14,20.7,14.33,491800
12/12/2008,20.46,20.75,20.03,20.41,14.13,363800
15/12/2008,20.65,20.91,20.46,20.64,14.29,402800
16/12/2008,20.93,21.0,20.38,20.94,14.5,711000
17/12/2008,20.78,22.04,20.61,21.82,15.1,630300
18/12/2008,21.43,21.43,20.63,20.74,14.36,531500
19/12/2008,20.72,21.24,20.18,21.09,14.6,823500
22/12/2008,21.3,22.11,21.1,22.06,15.27,628400
23/12/2008,22.07,22.31,21.63,22.16,15.34,524100
24/12/2008,22.35,22.35,21.69,21.92,15.17,175900
26/12/2008,22.15,22.15,21.17,21.78,15.08,267800
29/12/2008,21.6,21.61,20.1,20.94,14.5,431000
30/12/2008,21.0,21.33,19.75,19.75,13.67,1217000
31/12/2008,20.27,21.05,20.15,20.88,14.45,490500
02/01/2009,21.13,21.19,20.59,21.12,14.62,278600
05/01/2009,20.95,21.14,20.11,20.49,14.18,245700
06/01/2009,20.68,20.68,19.99,20.49,14.18,349400
07/01/2009,20.11,20.51,19.85,20.02,13.86,321900
08/01/2009,20.03,20.7,20.03,20.19,13.98,400500
09/01/2009,20.4,20.87,20.1,20.71,14.34,254800
12/01/2009,20.88,20.88,19.69,19.84,13.73,363900
13/01/2009,19.84,20.2,19.61,20.08,13.9,346300
14/01/2009,19.96,20.15,19.73,19.9,13.78,417800
15/01/2009,20.05,20.48,19.83,20.34,14.08,348100
16/01/2009,20.47,20.9,20.21,20.45,14.16,281900
20/01/2009,20.48,20.74,20.05,20.36,14.09,312400
21/01/2009,20.55,20.79,20.0,20.79,14.39,327000
22/01/2009,20.74,20.8,20.35,20.7,14.33,194000
23/01/2009,20.53,20.88,20.37,20.78,14.38,269800
26/01/2009,20.75,21.17,20.68,20.85,14.43,247500
27/01/2009,21.07,21.4,20.91,21.27,14.72,431400
28/01/2009,21.34,21.37,21.17,21.36,14.79,218700
29/01/2009,21.37,21.49,20.85,21.14,14.63,349600
30/01/2009,21.3,21.3,20.93,21.18,14.66,298300
02/02/2009,21.16,21.21,20.63,20.76,14.37,318100
03/02/2009,20.71,21.11,20.07,21.06,14.58,467300
04/02/2009,21.1,21.25,20.49,20.71,14.34,350600
05/02/2009,20.72,21.0,20.57,20.9,14.47,246400
06/02/2009,20.8,21.25,20.8,21.03,14.56,234700
09/02/2009,21.0,21.5,20.87,21.48,14.87,419900
10/02/2009,21.38,21.54,21.15,21.24,14.7,468000
11/02/2009,21.2,21.23,20.9,21.13,14.63,348500
12/02/2009,21.15,21.51,20.55,21.05,14.57,301200
13/02/2009,20.92,21.1,20.42,20.64,14.43,225400
17/02/2009,20.4,21.0,20.19,20.83,14.56,446800
18/02/2009,20.8,21.09,20.28,20.57,14.38,354800
19/02/2009,20.57,20.99,20.53,20.75,14.5,308400
20/02/2009,20.51,21.09,20.0,20.7,14.47,341800
23/02/2009,20.77,20.9,19.97,20.21,14.12,310400
24/02/2009,20.22,20.53,19.33,19.75,13.8,421600
25/02/2009,19.69,19.83,19.13,19.21,13.43,627800
26/02/2009,19.06,19.32,18.14,18.5,12.93,590100
27/02/2009,18.44,18.88,17.97,18.55,12.96,386300
02/03/2009,18.39,18.62,17.66,17.83,12.46,451600
03/03/2009,17.95,18.0,16.36,16.83,11.76,1261200
04/03/2009,17.02,17.45,16.74,17.18,12.01,423000
05/03/2009,16.89,17.19,16.76,16.96,11.85,393400
06/03/2009,17.19,17.53,16.55,16.82,11.76,485600
09/03/2009,16.63,17.25,16.22,16.66,11.64,555500
10/03/2009,16.88,17.04,16.34,16.53,11.55,459000
11/03/2009,16.69,16.92,16.51,16.71,11.68,234300
12/03/2009,16.77,16.99,16.42,16.61,11.61,348700
13/03/2009,16.79,18.35,16.79,18.16,12.69,543800
16/03/2009,18.32,19.5,18.19,19.01,13.29,772800
17/03/2009,19.09,19.09,18.01,18.25,12.75,373600
18/03/2009,18.12,18.88,17.52,18.63,13.02,603800
19/03/2009,18.91,19.03,17.87,18.3,12.79,462800
20/03/2009,18.49,18.8,18.11,18.39,12.85,358500
23/03/2009,18.65,18.65,17.93,18.05,12.61,406700
24/03/2009,18.06,18.84,17.95,18.09,12.64,416000
25/03/2009,18.09,18.52,18.03,18.38,12.85,215800
26/03/2009,18.5,18.52,18.25,18.51,12.94,275500
27/03/2009,18.51,18.66,18.3,18.55,12.96,245900
30/03/2009,18.44,18.65,17.98,18.5,12.93,488600
31/03/2009,18.62,19.43,18.18,19.24,13.45,614400
01/04/2009,18.99,19.09,18.02,18.27,12.77,403700
02/04/2009,18.24,19.0,18.1,18.18,12.71,367000
03/04/2009,18.28,18.46,18.1,18.34,12.82,131900
06/04/2009,18.3,18.71,17.76,18.24,12.75,387700
07/04/2009,18.14,18.66,17.67,18.17,12.7,367100
08/04/2009,18.13,18.61,18.02,18.4,12.86,348300
09/04/2009,18.76,18.84,17.93,18.24,12.75,295000
13/04/2009,18.04,18.22,17.5,17.69,12.36,431700
14/04/2009,17.7,18.26,17.43,17.6,12.3,322200
15/04/2009,17.71,18.0,17.6,17.8,12.44,252600
16/04/2009,17.84,18.83,17.43,18.63,13.02,428000
17/04/2009,18.55,18.79,18.46,18.79,13.13,286000
20/04/2009,18.5,18.79,18.11,18.49,12.92,295200
21/04/2009,18.62,18.7,18.33,18.47,12.91,211000
22/04/2009,18.61,18.61,18.01,18.1,12.65,371000
23/04/2009,18.22,18.22,17.89,18.07,12.63,216600
24/04/2009,18.06,18.18,17.61,18.0,12.58,449800
27/04/2009,18.01,18.54,17.82,18.41,12.87,291300
28/04/2009,18.48,18.55,18.13,18.22,12.73,271500
29/04/2009,18.15,18.58,18.0,18.42,12.87,219500
30/04/2009,18.59,18.85,17.94,18.0,12.58,442100
01/05/2009,18.0,18.14,17.55,17.59,12.29,473000
04/05/2009,17.58,17.82,17.01,17.61,12.31,678600
05/05/2009,17.61,17.67,17.06,17.66,12.34,569900
06/05/2009,18.01,18.3,18.0,18.16,12.69,421100
07/05/2009,18.47,18.47,18.22,18.34,12.82,564900
08/05/2009,18.5,18.75,18.25,18.55,12.96,417900
