Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,2.1,2.12,2.06,2.12,1.13,857600
03/01/1990,2.12,2.12,2.05,2.05,1.09,470400
04/01/1990,2.06,2.08,2.06,2.08,1.11,497600
05/01/1990,2.08,2.11,2.08,2.09,1.11,401600
08/01/1990,2.09,2.13,2.09,2.12,1.13,1403200
09/01/1990,2.13,2.16,2.12,2.12,1.13,736000
10/01/1990,2.12,2.16,2.12,2.14,1.14,945600
11/01/1990,2.13,2.15,2.12,2.12,1.13,606400
12/01/1990,2.12,2.13,2.11,2.11,1.12,1107200
15/01/1990,2.1,2.1,2.09,2.09,1.11,556800
16/01/1990,2.09,2.09,2.07,2.08,1.11,508800
17/01/1990,2.07,2.07,2.06,2.07,1.1,368000
18/01/1990,2.06,2.08,2.05,2.07,1.1,425600
19/01/1990,2.09,2.09,2.07,2.07,1.1,384000
22/01/1990,2.06,2.07,2.03,2.03,1.08,518400
23/01/1990,2.04,2.05,2.04,2.04,1.08,326400
24/01/1990,2.04,2.04,1.95,1.95,1.04,563200
25/01/1990,1.95,1.95,1.9,1.91,1.02,315200
26/01/1990,1.91,1.94,1.89,1.91,1.02,382400
29/01/1990,1.92,1.95,1.91,1.92,1.02,944000
30/01/1990,1.91,1.92,1.89,1.89,1.01,278400
31/01/1990,1.9,1.95,1.9,1.95,1.03,449600
01/02/1990,1.94,1.95,1.94,1.95,1.03,305600
02/02/1990,1.94,1.95,1.94,1.95,1.03,420800
05/02/1990,1.92,1.93,1.91,1.91,1.02,332800
06/02/1990,1.91,1.92,1.91,1.91,1.01,172800
07/02/1990,1.89,1.89,1.88,1.88,1.0,452800
08/02/1990,1.88,1.89,1.88,1.88,1.0,240000
09/02/1990,1.89,1.9,1.88,1.9,1.01,342400
12/02/1990,1.9,1.93,1.89,1.89,1.01,644800
13/02/1990,1.88,1.88,1.85,1.87,0.99,304000
14/02/1990,1.86,1.88,1.85,1.86,0.99,169600
15/02/1990,1.83,1.85,1.83,1.84,0.98,256000
16/02/1990,1.84,1.84,1.82,1.82,0.97,203200
20/02/1990,1.82,1.82,1.8,1.8,0.96,462400
21/02/1990,1.8,1.83,1.79,1.83,0.97,276800
22/02/1990,1.84,1.84,1.77,1.77,0.94,305600
23/02/1990,1.76,1.79,1.76,1.77,0.95,145600
26/02/1990,1.77,1.82,1.77,1.81,0.97,307200
27/02/1990,1.81,1.88,1.81,1.87,1.0,412800
28/02/1990,1.88,1.91,1.88,1.89,1.02,204800
01/03/1990,1.91,1.93,1.88,1.88,1.01,256000
02/03/1990,1.9,1.92,1.89,1.91,1.03,198400
05/03/1990,1.9,1.91,1.88,1.88,1.01,185600
06/03/1990,1.9,1.9,1.87,1.88,1.01,256000
07/03/1990,1.86,1.87,1.82,1.82,0.98,131200
08/03/1990,1.83,1.87,1.83,1.86,1.0,356800
09/03/1990,1.86,1.88,1.85,1.87,1.0,273600
12/03/1990,1.86,1.88,1.85,1.88,1.01,84800
13/03/1990,1.88,1.88,1.81,1.82,0.98,457600
14/03/1990,1.82,1.85,1.82,1.84,0.99,140800
15/03/1990,1.86,1.86,1.84,1.85,0.99,225600
16/03/1990,1.87,1.88,1.85,1.87,1.0,241600
19/03/1990,1.85,1.91,1.84,1.91,1.02,430400
20/03/1990,1.91,1.94,1.89,1.89,1.02,484800
21/03/1990,1.88,1.9,1.87,1.87,1.0,96000
22/03/1990,1.87,1.88,1.87,1.87,1.0,216000
23/03/1990,1.87,1.87,1.85,1.86,1.0,83200
26/03/1990,1.87,1.93,1.87,1.92,1.03,288000
27/03/1990,1.91,1.95,1.91,1.95,1.05,256000
28/03/1990,1.95,1.95,1.92,1.94,1.04,153600
29/03/1990,1.94,1.95,1.93,1.95,1.05,475200
30/03/1990,1.95,1.97,1.95,1.95,1.05,209600
02/04/1990,1.97,1.97,1.95,1.97,1.06,446400
03/04/1990,1.97,2.03,1.97,2.02,1.09,1126400
04/04/1990,2.02,2.04,1.99,2.0,1.07,456000
05/04/1990,2.02,2.03,2.01,2.02,1.09,225600
06/04/1990,2.03,2.03,1.98,1.99,1.07,601600
09/04/1990,1.98,2.02,1.98,2.0,1.07,419200
10/04/1990,2.0,2.02,1.98,1.98,1.07,300800
11/04/1990,1.99,2.01,1.98,2.0,1.07,123200
12/04/1990,1.99,2.02,1.99,2.01,1.08,40000
16/04/1990,2.01,2.02,1.98,1.98,1.07,331200
17/04/1990,1.99,1.99,1.98,1.98,1.07,308800
18/04/1990,2.0,2.0,1.95,1.95,1.05,510400
19/04/1990,1.95,1.98,1.95,1.96,1.05,280000
20/04/1990,1.95,1.97,1.92,1.92,1.03,374400
23/04/1990,1.92,1.93,1.91,1.92,1.03,220800
24/04/1990,1.91,1.91,1.91,1.91,1.02,227200
25/04/1990,1.94,1.95,1.91,1.95,1.05,294400
26/04/1990,1.95,1.98,1.95,1.97,1.06,188800
27/04/1990,1.97,1.98,1.96,1.97,1.06,176000
30/04/1990,1.95,1.99,1.95,1.99,1.07,326400
01/05/1990,1.98,1.99,1.97,1.98,1.07,308800
02/05/1990,1.98,2.02,1.98,2.02,1.08,244800
03/05/1990,2.03,2.05,2.02,2.03,1.09,182400
04/05/1990,2.03,2.05,2.03,2.04,1.1,264000
07/05/1990,2.04,2.08,2.04,2.07,1.11,296000
08/05/1990,2.06,2.06,2.04,2.05,1.1,523200
09/05/1990,2.05,2.05,2.02,2.03,1.09,249600
10/05/1990,2.03,2.05,2.01,2.01,1.08,180800
11/05/1990,2.02,2.03,1.99,2.02,1.09,555200
14/05/1990,2.02,2.07,2.02,2.06,1.11,876800
15/05/1990,2.05,2.05,2.01,2.02,1.09,388800
16/05/1990,2.02,2.02,2.0,2.01,1.08,198400
17/05/1990,2.01,2.02,1.99,2.0,1.07,152000
18/05/1990,1.99,2.02,1.98,2.0,1.07,297600
21/05/1990,2.0,2.01,1.98,2.0,1.07,376000
22/05/1990,1.98,1.99,1.92,1.94,1.04,963200
23/05/1990,1.94,1.95,1.91,1.95,1.05,846400
24/05/1990,1.94,1.95,1.93,1.93,1.04,883200
25/05/1990,1.91,1.91,1.91,1.91,1.03,68800
29/05/1990,1.91,1.94,1.91,1.94,1.05,700800
30/05/1990,1.94,1.94,1.91,1.91,1.04,523200
31/05/1990,1.91,1.93,1.91,1.92,1.04,345600
01/06/1990,1.93,1.93,1.88,1.88,1.02,448000
04/06/1990,1.9,1.92,1.9,1.92,1.04,651200
05/06/1990,1.91,1.91,1.87,1.88,1.02,444800
06/06/1990,1.88,1.89,1.87,1.87,1.01,1176000
07/06/1990,1.88,1.9,1.88,1.89,1.03,601600
08/06/1990,1.89,1.89,1.88,1.88,1.02,467200
11/06/1990,1.88,1.91,1.88,1.9,1.03,1275200
12/06/1990,1.91,1.92,1.89,1.91,1.03,475200
13/06/1990,1.91,1.91,1.88,1.89,1.03,105600
14/06/1990,1.89,1.9,1.88,1.9,1.03,528000
15/06/1990,1.88,1.89,1.88,1.88,1.02,1374400
18/06/1990,1.88,1.88,1.88,1.88,1.02,360000
19/06/1990,1.88,1.89,1.88,1.88,1.02,132800
20/06/1990,1.88,1.9,1.88,1.88,1.02,1448000
21/06/1990,1.89,1.91,1.87,1.91,1.04,2361600
22/06/1990,1.91,1.96,1.91,1.91,1.04,633600
25/06/1990,1.92,1.93,1.91,1.91,1.04,860800
26/06/1990,1.93,1.95,1.92,1.92,1.04,169600
27/06/1990,1.94,1.95,1.93,1.93,1.05,305600
28/06/1990,1.93,1.96,1.93,1.95,1.06,281600
29/06/1990,1.95,1.95,1.94,1.95,1.05,185600
02/07/1990,1.94,1.99,1.94,1.99,1.08,286400
03/07/1990,1.99,2.02,1.98,2.0,1.08,201600
05/07/1990,2.0,2.0,1.97,1.99,1.08,302400
06/07/1990,1.98,2.0,1.98,1.99,1.08,353600
09/07/1990,1.99,2.05,1.99,2.05,1.11,633600
10/07/1990,2.05,2.06,2.04,2.05,1.11,483200
11/07/1990,2.04,2.07,2.02,2.06,1.12,753600
12/07/1990,2.05,2.06,2.02,2.03,1.1,323200
13/07/1990,2.02,2.05,1.99,2.04,1.11,884800
16/07/1990,2.03,2.05,2.03,2.05,1.11,545600
17/07/1990,2.05,2.06,2.03,2.06,1.12,163200
18/07/1990,2.09,2.13,2.09,2.12,1.15,596800
19/07/1990,2.12,2.13,2.11,2.12,1.15,292800
20/07/1990,2.12,2.13,2.06,2.09,1.13,400000
23/07/1990,2.06,2.09,2.02,2.08,1.13,726400
24/07/1990,2.07,2.09,2.04,2.09,1.14,416000
25/07/1990,2.06,2.1,2.06,2.09,1.14,91200
26/07/1990,2.09,2.09,2.05,2.07,1.12,211200
27/07/1990,2.04,2.04,2.01,2.03,1.1,448000
30/07/1990,2.05,2.05,2.02,2.05,1.11,192000
31/07/1990,2.05,2.13,2.05,2.11,1.14,1113600
01/08/1990,2.11,2.13,2.11,2.11,1.14,427200
02/08/1990,2.09,2.09,2.05,2.05,1.11,134400
03/08/1990,2.05,2.05,1.99,1.99,1.08,534400
06/08/1990,1.96,1.96,1.9,1.91,1.04,302400
07/08/1990,1.91,1.91,1.89,1.91,1.03,840000
08/08/1990,1.92,1.92,1.9,1.91,1.04,380800
09/08/1990,1.91,1.91,1.89,1.91,1.03,137600
10/08/1990,1.91,1.94,1.9,1.9,1.03,1435200
13/08/1990,1.9,1.91,1.89,1.91,1.03,84800
14/08/1990,1.91,1.93,1.91,1.91,1.04,201600
15/08/1990,1.93,1.95,1.93,1.95,1.06,430400
16/08/1990,1.94,1.96,1.92,1.95,1.06,588800
17/08/1990,1.95,1.96,1.94,1.95,1.05,705600
20/08/1990,1.95,1.97,1.95,1.97,1.07,403200
21/08/1990,1.97,1.98,1.95,1.98,1.07,712000
22/08/1990,1.98,1.98,1.96,1.96,1.06,529600
23/08/1990,1.94,1.94,1.88,1.88,1.02,441600
24/08/1990,1.9,1.94,1.88,1.88,1.02,960000
27/08/1990,1.88,1.9,1.88,1.9,1.04,372800
28/08/1990,1.9,1.91,1.9,1.9,1.04,408000
29/08/1990,1.88,1.91,1.88,1.88,1.03,268800
30/08/1990,1.89,1.91,1.88,1.88,1.03,265600
31/08/1990,1.88,1.88,1.84,1.87,1.02,344000
04/09/1990,1.85,1.85,1.81,1.82,1.0,280000
05/09/1990,1.83,1.83,1.81,1.83,1.0,241600
06/09/1990,1.82,1.84,1.82,1.84,1.01,630400
07/09/1990,1.82,1.88,1.82,1.88,1.03,222400
10/09/1990,1.89,1.9,1.89,1.89,1.04,121600
11/09/1990,1.9,1.91,1.9,1.9,1.04,75200
12/09/1990,1.91,1.91,1.89,1.9,1.04,166400
13/09/1990,1.9,1.9,1.84,1.84,1.01,638400
14/09/1990,1.84,1.84,1.79,1.8,0.98,248000
17/09/1990,1.8,1.8,1.79,1.8,0.98,291200
18/09/1990,1.79,1.8,1.78,1.8,0.98,243200
19/09/1990,1.8,1.8,1.77,1.79,0.98,249600
20/09/1990,1.79,1.79,1.78,1.79,0.98,188800
21/09/1990,1.8,1.8,1.76,1.76,0.96,995200
24/09/1990,1.75,1.75,1.69,1.69,0.92,288000
25/09/1990,1.7,1.7,1.67,1.7,0.93,83200
26/09/1990,1.69,1.69,1.66,1.67,0.92,268800
27/09/1990,1.69,1.69,1.66,1.67,0.92,225600
28/09/1990,1.67,1.69,1.65,1.69,0.92,452800
01/10/1990,1.7,1.74,1.69,1.73,0.95,348800
02/10/1990,1.73,1.75,1.71,1.71,0.94,659200
03/10/1990,1.72,1.72,1.69,1.69,0.92,72000
04/10/1990,1.69,1.69,1.62,1.63,0.89,864000
05/10/1990,1.62,1.68,1.62,1.68,0.92,388800
08/10/1990,1.69,1.72,1.69,1.72,0.94,75200
09/10/1990,1.71,1.73,1.71,1.73,0.95,132800
10/10/1990,1.74,1.76,1.71,1.72,0.94,262400
11/10/1990,1.72,1.73,1.71,1.72,0.94,400000
