Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.59,1.61,1.59,1.61,0.8,594000
03/01/1990,1.63,1.67,1.62,1.66,0.82,1325700
04/01/1990,1.67,1.7,1.67,1.69,0.84,1061100
05/01/1990,1.7,1.76,1.7,1.74,0.86,3366900
08/01/1990,1.75,1.76,1.75,1.75,0.86,1028700
09/01/1990,1.74,1.76,1.73,1.75,0.86,1439100
10/01/1990,1.75,1.77,1.72,1.74,0.86,1387800
11/01/1990,1.75,1.77,1.75,1.77,0.87,915300
12/01/1990,1.76,1.77,1.72,1.72,0.85,1698300
15/01/1990,1.71,1.72,1.69,1.69,0.84,666900
16/01/1990,1.68,1.69,1.67,1.69,0.83,378000
17/01/1990,1.7,1.7,1.69,1.69,0.83,304200
18/01/1990,1.69,1.69,1.68,1.68,0.83,95400
19/01/1990,1.69,1.7,1.68,1.69,0.83,1143000
22/01/1990,1.69,1.69,1.67,1.67,0.82,199800
23/01/1990,1.65,1.66,1.62,1.65,0.82,428400
24/01/1990,1.62,1.63,1.6,1.6,0.79,466200
25/01/1990,1.61,1.62,1.61,1.61,0.8,228600
26/01/1990,1.62,1.62,1.59,1.6,0.79,450000
29/01/1990,1.58,1.59,1.54,1.56,0.77,1818000
30/01/1990,1.54,1.54,1.47,1.5,0.74,937800
31/01/1990,1.49,1.53,1.48,1.53,0.76,1539000
01/02/1990,1.54,1.55,1.52,1.53,0.76,403200
02/02/1990,1.53,1.54,1.53,1.53,0.76,1254600
05/02/1990,1.53,1.54,1.53,1.54,0.76,450000
06/02/1990,1.54,1.56,1.54,1.55,0.76,201600
07/02/1990,1.55,1.58,1.55,1.58,0.78,158400
08/02/1990,1.59,1.6,1.57,1.57,0.78,210600
09/02/1990,1.58,1.65,1.58,1.65,0.81,291600
12/02/1990,1.65,1.65,1.62,1.63,0.81,376200
13/02/1990,1.62,1.63,1.61,1.62,0.8,165600
14/02/1990,1.62,1.65,1.62,1.65,0.81,1461600
15/02/1990,1.66,1.66,1.62,1.63,0.81,1346400
16/02/1990,1.62,1.63,1.6,1.6,0.79,237600
20/02/1990,1.6,1.6,1.35,1.42,0.7,8184600
21/02/1990,1.39,1.45,1.39,1.44,0.71,2331000
22/02/1990,1.44,1.49,1.44,1.49,0.73,1616400
23/02/1990,1.49,1.49,1.46,1.47,0.73,223200
26/02/1990,1.46,1.47,1.44,1.45,0.72,1895400
27/02/1990,1.46,1.47,1.46,1.46,0.72,561600
28/02/1990,1.45,1.49,1.45,1.48,0.73,475200
01/03/1990,1.47,1.49,1.44,1.49,0.73,1027800
02/03/1990,1.5,1.6,1.5,1.6,0.79,367200
05/03/1990,1.6,1.6,1.58,1.59,0.79,212400
06/03/1990,1.59,1.65,1.59,1.65,0.81,302400
07/03/1990,1.65,1.69,1.65,1.68,0.83,982800
08/03/1990,1.67,1.69,1.65,1.69,0.84,538200
09/03/1990,1.69,1.69,1.67,1.67,0.83,390600
12/03/1990,1.68,1.71,1.68,1.7,0.84,300600
13/03/1990,1.7,1.74,1.7,1.74,0.86,714600
14/03/1990,1.73,1.77,1.73,1.77,0.87,765000
15/03/1990,1.78,1.84,1.76,1.78,0.88,1123200
16/03/1990,1.79,1.81,1.78,1.8,0.89,293400
19/03/1990,1.79,1.82,1.79,1.81,0.9,567000
20/03/1990,1.8,1.83,1.8,1.81,0.89,478800
21/03/1990,1.81,1.84,1.8,1.83,0.91,777600
22/03/1990,1.84,1.84,1.8,1.8,0.89,592200
23/03/1990,1.8,1.8,1.79,1.79,0.88,676800
26/03/1990,1.8,1.81,1.79,1.79,0.89,270000
27/03/1990,1.81,1.82,1.79,1.82,0.9,1220400
28/03/1990,1.81,1.83,1.81,1.82,0.9,374400
29/03/1990,1.83,1.83,1.82,1.83,0.9,151200
30/03/1990,1.81,1.83,1.81,1.81,0.9,1035000
02/04/1990,1.81,1.81,1.78,1.81,0.9,322200
03/04/1990,1.81,1.91,1.81,1.91,0.95,608400
04/04/1990,1.9,1.93,1.9,1.9,0.94,1047600
05/04/1990,1.9,1.94,1.9,1.94,0.96,1369800
06/04/1990,1.94,1.94,1.9,1.91,0.95,1198800
09/04/1990,1.9,1.9,1.86,1.89,0.94,331200
10/04/1990,1.87,1.87,1.83,1.85,0.92,311400
11/04/1990,1.84,1.88,1.83,1.88,0.93,1326600
12/04/1990,1.89,1.94,1.89,1.93,0.96,408600
16/04/1990,1.94,1.99,1.92,1.92,0.95,1749600
17/04/1990,1.9,1.91,1.89,1.9,0.94,1335600
18/04/1990,1.9,1.91,1.9,1.9,0.94,397800
19/04/1990,1.89,1.89,1.87,1.88,0.93,615600
20/04/1990,1.86,1.86,1.81,1.81,0.89,295200
23/04/1990,1.8,1.8,1.75,1.76,0.87,361800
24/04/1990,1.74,1.75,1.74,1.74,0.86,57600
25/04/1990,1.71,1.71,1.67,1.67,0.83,540000
26/04/1990,1.68,1.69,1.67,1.67,0.83,430200
27/04/1990,1.67,1.67,1.63,1.64,0.81,453600
30/04/1990,1.62,1.62,1.6,1.6,0.79,469800
01/05/1990,1.62,1.62,1.6,1.61,0.8,862200
02/05/1990,1.6,1.61,1.58,1.61,0.8,1162800
03/05/1990,1.61,1.62,1.6,1.6,0.79,991800
04/05/1990,1.61,1.66,1.61,1.66,0.82,1958400
07/05/1990,1.66,1.67,1.65,1.66,0.82,950400
08/05/1990,1.66,1.67,1.65,1.67,0.83,1963800
09/05/1990,1.67,1.75,1.67,1.75,0.87,3675600
10/05/1990,1.75,1.81,1.75,1.8,0.89,2606400
11/05/1990,1.79,1.85,1.79,1.85,0.92,2851200
14/05/1990,1.86,1.9,1.83,1.83,0.91,621000
15/05/1990,1.85,1.89,1.83,1.88,0.93,689400
16/05/1990,1.88,1.9,1.85,1.85,0.92,1146600
17/05/1990,1.85,1.87,1.83,1.83,0.91,435600
18/05/1990,1.83,1.83,1.81,1.81,0.9,138600
21/05/1990,1.8,1.81,1.77,1.77,0.88,747000
22/05/1990,1.78,1.82,1.77,1.79,0.89,838800
23/05/1990,1.81,1.85,1.81,1.85,0.92,358200
24/05/1990,1.86,1.86,1.83,1.84,0.91,133200
25/05/1990,1.83,1.83,1.81,1.81,0.9,95400
29/05/1990,1.83,1.83,1.81,1.83,0.91,226800
30/05/1990,1.85,1.88,1.85,1.88,0.93,525600
31/05/1990,1.86,1.93,1.86,1.93,0.96,549000
01/06/1990,1.94,1.94,1.93,1.94,0.96,1209600
04/06/1990,1.94,1.99,1.93,1.98,0.98,766800
05/06/1990,1.99,1.99,1.95,1.95,0.97,437400
06/06/1990,1.95,1.96,1.92,1.92,0.95,435600
07/06/1990,1.93,1.94,1.88,1.88,0.93,275400
08/06/1990,1.88,1.88,1.83,1.83,0.91,318600
11/06/1990,1.82,1.88,1.82,1.88,0.93,286200
12/06/1990,1.88,1.92,1.88,1.92,0.95,946800
13/06/1990,1.94,1.94,1.92,1.92,0.95,667800
14/06/1990,1.91,1.92,1.91,1.92,0.95,46800
15/06/1990,1.88,1.88,1.84,1.84,0.91,675000
18/06/1990,1.83,1.83,1.78,1.78,0.88,486000
19/06/1990,1.77,1.8,1.77,1.78,0.88,1283400
20/06/1990,1.78,1.81,1.76,1.76,0.87,725400
21/06/1990,1.76,1.76,1.73,1.74,0.86,761400
22/06/1990,1.74,1.76,1.74,1.75,0.87,1148400
25/06/1990,1.75,1.77,1.75,1.77,0.88,167400
26/06/1990,1.76,1.78,1.75,1.77,0.88,567000
27/06/1990,1.77,1.88,1.76,1.86,0.92,680400
28/06/1990,1.86,1.88,1.86,1.88,0.93,252000
29/06/1990,1.88,1.89,1.88,1.88,0.94,531000
02/07/1990,1.89,1.89,1.86,1.87,0.93,464400
03/07/1990,1.85,1.86,1.8,1.8,0.89,678600
05/07/1990,1.81,1.82,1.76,1.78,0.89,244800
06/07/1990,1.79,1.81,1.79,1.8,0.89,91800
09/07/1990,1.8,1.83,1.8,1.82,0.9,237600
10/07/1990,1.81,1.81,1.78,1.78,0.88,302400
11/07/1990,1.78,1.82,1.78,1.81,0.9,264600
12/07/1990,1.82,1.85,1.82,1.85,0.92,201600
13/07/1990,1.85,1.85,1.83,1.83,0.91,207000
16/07/1990,1.84,1.84,1.82,1.82,0.9,340200
17/07/1990,1.81,1.83,1.8,1.81,0.9,367200
18/07/1990,1.81,1.81,1.75,1.76,0.87,405000
19/07/1990,1.75,1.75,1.74,1.75,0.87,165600
20/07/1990,1.74,1.81,1.74,1.81,0.9,313200
23/07/1990,1.8,1.8,1.72,1.76,0.87,388800
24/07/1990,1.78,1.79,1.74,1.78,0.89,1157400
25/07/1990,1.77,1.83,1.77,1.82,0.9,243000
26/07/1990,1.81,1.85,1.81,1.82,0.9,741600
27/07/1990,1.81,1.82,1.81,1.82,0.9,270000
30/07/1990,1.81,1.82,1.79,1.81,0.9,349200
31/07/1990,1.8,1.81,1.79,1.81,0.9,235800
01/08/1990,1.81,1.81,1.79,1.8,0.89,196200
02/08/1990,1.78,1.79,1.76,1.78,0.88,945000
03/08/1990,1.78,1.78,1.65,1.69,0.84,666000
06/08/1990,1.58,1.6,1.53,1.56,0.78,1184400
07/08/1990,1.56,1.58,1.55,1.56,0.78,698400
08/08/1990,1.59,1.65,1.59,1.64,0.81,450000
09/08/1990,1.64,1.69,1.63,1.69,0.84,1020600
10/08/1990,1.69,1.69,1.63,1.64,0.81,257400
13/08/1990,1.64,1.67,1.61,1.67,0.83,930600
14/08/1990,1.67,1.67,1.65,1.67,0.83,318600
15/08/1990,1.68,1.7,1.68,1.69,0.84,361800
16/08/1990,1.7,1.7,1.68,1.69,0.84,1378800
17/08/1990,1.68,1.69,1.67,1.67,0.83,1999800
20/08/1990,1.68,1.69,1.67,1.69,0.84,1564200
21/08/1990,1.67,1.67,1.59,1.6,0.79,484200
22/08/1990,1.58,1.6,1.5,1.5,0.75,574200
23/08/1990,1.47,1.48,1.41,1.42,0.7,457200
24/08/1990,1.42,1.45,1.42,1.42,0.7,327600
27/08/1990,1.43,1.53,1.43,1.51,0.75,810000
28/08/1990,1.51,1.53,1.5,1.5,0.75,1238400
29/08/1990,1.51,1.52,1.5,1.52,0.76,786600
30/08/1990,1.53,1.53,1.48,1.48,0.74,307800
31/08/1990,1.49,1.49,1.47,1.47,0.73,205200
04/09/1990,1.46,1.47,1.44,1.46,0.72,621000
05/09/1990,1.47,1.47,1.45,1.47,0.73,149400
06/09/1990,1.48,1.49,1.46,1.49,0.74,1090800
07/09/1990,1.49,1.51,1.49,1.51,0.75,349200
10/09/1990,1.51,1.52,1.51,1.51,0.75,307800
11/09/1990,1.5,1.5,1.49,1.5,0.75,79200
12/09/1990,1.49,1.52,1.49,1.51,0.75,1909800
13/09/1990,1.51,1.51,1.45,1.46,0.72,943200
14/09/1990,1.46,1.47,1.44,1.44,0.72,522000
17/09/1990,1.42,1.47,1.41,1.47,0.73,405000
18/09/1990,1.48,1.5,1.48,1.49,0.74,1134000
19/09/1990,1.5,1.53,1.5,1.53,0.76,1479600
20/09/1990,1.53,1.53,1.53,1.53,0.76,1128600
21/09/1990,1.53,1.54,1.49,1.51,0.75,831600
24/09/1990,1.49,1.5,1.46,1.47,0.73,1197000
25/09/1990,1.46,1.51,1.45,1.51,0.75,1348200
26/09/1990,1.5,1.51,1.49,1.49,0.74,102600
27/09/1990,1.49,1.49,1.47,1.47,0.73,1438200
28/09/1990,1.46,1.49,1.45,1.49,0.74,808200
01/10/1990,1.5,1.55,1.5,1.55,0.77,318600
02/10/1990,1.6,1.6,1.58,1.58,0.79,549000
03/10/1990,1.58,1.58,1.58,1.58,0.79,154800
04/10/1990,1.58,1.6,1.57,1.6,0.8,504000
05/10/1990,1.57,1.58,1.56,1.58,0.79,145800
08/10/1990,1.58,1.58,1.57,1.57,0.78,424800
09/10/1990,1.56,1.56,1.47,1.47,0.73,446400
10/10/1990,1.44,1.44,1.42,1.42,0.71,486000
11/10/1990,1.4,1.4,1.35,1.35,0.68,763200
12/10/1990,1.35,1.35,1.33,1.35,0.67,1071000
15/10/1990,1.35,1.35,1.28,1.29,0.64,855000
16/10/1990,1.28,1.3,1.25,1.28,0.64,2169000
17/10/1990,1.26,1.3,1.26,1.29,0.64,289800
18/10/1990,1.31,1.39,1.31,1.38,0.69,313200
19/10/1990,1.4,1.47,1.4,1.45,0.72,748800
22/10/1990,1.44,1.44,1.42,1.42,0.71,653400
23/10/1990,1.43,1.43,1.4,1.4,0.7,288000
24/10/1990,1.38,1.38,1.32,1.34,0.67,1094400
25/10/1990,1.33,1.33,1.31,1.33,0.66,167400
26/10/1990,1.32,1.33,1.31,1.33,0.66,93600
29/10/1990,1.31,1.33,1.31,1.32,0.66,464400
30/10/1990,1.32,1.33,1.29,1.33,0.66,477000
31/10/1990,1.33,1.35,1.33,1.35,0.67,174600
01/11/1990,1.35,1.36,1.35,1.36,0.68,147600
02/11/1990,1.38,1.4,1.37,1.38,0.69,1751400
05/11/1990,1.38,1.4,1.31,1.33,0.66,2662200
06/11/1990,1.31,1.31,1.27,1.31,0.65,1819800
07/11/1990,1.32,1.33,1.29,1.33,0.66,2377800
08/11/1990,1.31,1.32,1.3,1.32,0.66,302400
09/11/1990,1.33,1.33,1.31,1.32,0.66,1956600
12/11/1990,1.31,1.36,1.31,1.35,0.67,1382400
13/11/1990,1.35,1.35,1.33,1.35,0.67,226800
14/11/1990,1.33,1.37,1.33,1.35,0.68,2172600
15/11/1990,1.34,1.35,1.33,1.33,0.67,120600
16/11/1990,1.34,1.34,1.28,1.29,0.64,356400
19/11/1990,1.29,1.29,1.26,1.27,0.63,1011600
20/11/1990,1.26,1.32,1.26,1.31,0.65,950400
21/11/1990,1.3,1.31,1.3,1.31,0.65,358200
23/11/1990,1.31,1.36,1.31,1.36,0.68,306000
26/11/1990,1.35,1.36,1.34,1.34,0.67,199800
27/11/1990,1.33,1.43,1.33,1.37,0.68,759600
28/11/1990,1.37,1.43,1.37,1.39,0.69,622800
29/11/1990,1.4,1.43,1.39,1.39,0.69,518400
30/11/1990,1.39,1.42,1.39,1.42,0.71,352800
03/12/1990,1.42,1.54,1.42,1.54,0.77,1211400
04/12/1990,1.53,1.53,1.51,1.53,0.76,374400
05/12/1990,1.53,1.58,1.53,1.56,0.78,1407600
06/12/1990,1.61,1.62,1.56,1.58,0.79,714600
07/12/1990,1.58,1.58,1.56,1.56,0.78,329400
10/12/1990,1.56,1.56,1.56,1.56,0.78,100800
11/12/1990,1.58,1.6,1.58,1.6,0.8,117000
12/12/1990,1.6,1.64,1.6,1.63,0.81,372600
13/12/1990,1.67,1.75,1.67,1.69,0.85,2505600
14/12/1990,1.7,1.71,1.67,1.69,0.84,333000
17/12/1990,1.68,1.68,1.66,1.66,0.83,174600
18/12/1990,1.67,1.67,1.64,1.67,0.83,644400
19/12/1990,1.69,1.69,1.65,1.65,0.82,185400
20/12/1990,1.63,1.65,1.62,1.65,0.82,1540800
21/12/1990,1.65,1.66,1.65,1.65,0.82,585000
24/12/1990,1.65,1.65,1.64,1.64,0.82,336600
26/12/1990,1.65,1.67,1.65,1.65,0.83,160200
27/12/1990,1.65,1.65,1.62,1.63,0.82,275400
28/12/1990,1.63,1.65,1.63,1.65,0.82,853200
31/12/1990,1.65,1.7,1.65,1.68,0.84,1105200
02/01/1991,1.71,1.72,1.69,1.69,0.84,295200
03/01/1991,1.66,1.68,1.66,1.68,0.84,903600
04/01/1991,1.69,1.69,1.67,1.67,0.84,1294200
07/01/1991,1.67,1.68,1.67,1.67,0.83,433800
08/01/1991,1.67,1.69,1.67,1.69,0.85,338400
09/01/1991,1.69,1.7,1.67,1.68,0.84,970200
10/01/1991,1.71,1.71,1.67,1.67,0.84,257400
11/01/1991,1.67,1.68,1.67,1.67,0.84,604800
14/01/1991,1.66,1.66,1.63,1.65,0.82,1517400
15/01/1991,1.64,1.65,1.64,1.65,0.82,414000
16/01/1991,1.64,1.65,1.64,1.65,0.82,322200
17/01/1991,1.68,1.74,1.68,1.73,0.87,1629000
18/01/1991,1.72,1.75,1.72,1.74,0.87,432000
21/01/1991,1.74,1.74,1.73,1.73,0.87,279000
22/01/1991,1.74,1.74,1.65,1.65,0.83,541800
23/01/1991,1.66,1.67,1.65,1.65,0.83,415800
24/01/1991,1.67,1.71,1.66,1.69,0.85,883800
25/01/1991,1.69,1.72,1.67,1.72,0.86,1998000
28/01/1991,1.72,1.77,1.72,1.76,0.88,909000
29/01/1991,1.76,1.76,1.74,1.75,0.88,594000
30/01/1991,1.75,1.81,1.74,1.78,0.89,2628000
31/01/1991,1.79,1.82,1.79,1.81,0.91,424800
01/02/1991,1.81,1.85,1.81,1.81,0.91,633600
04/02/1991,1.82,1.92,1.82,1.91,0.96,912600
05/02/1991,1.91,1.92,1.88,1.88,0.94,1526400
06/02/1991,1.87,1.9,1.87,1.89,0.95,1146600
07/02/1991,1.9,1.92,1.87,1.88,0.94,369000
08/02/1991,1.87,1.87,1.83,1.86,0.93,1389600
11/02/1991,1.88,1.92,1.88,1.88,0.94,2619000
12/02/1991,1.87,1.92,1.87,1.89,0.95,725400
13/02/1991,1.88,1.9,1.88,1.9,0.95,775800
14/02/1991,1.91,1.94,1.9,1.94,0.97,1148400
15/02/1991,1.94,1.94,1.93,1.94,0.97,379800
19/02/1991,1.94,1.96,1.94,1.96,0.98,646200
20/02/1991,1.97,1.97,1.92,1.94,0.97,1612800
21/02/1991,1.95,1.95,1.9,1.9,0.95,1409400
22/02/1991,1.9,1.91,1.88,1.88,0.94,579600
25/02/1991,1.91,1.92,1.89,1.92,0.96,2037600
26/02/1991,1.9,1.92,1.9,1.92,0.96,442800
27/02/1991,1.91,1.94,1.89,1.92,0.96,459000
28/02/1991,1.93,1.93,1.91,1.92,0.96,581400
01/03/1991,1.92,1.92,1.91,1.91,0.96,210600
04/03/1991,1.92,1.95,1.89,1.93,0.97,1567800
05/03/1991,1.93,1.93,1.9,1.92,0.96,1476000
06/03/1991,1.94,1.97,1.92,1.93,0.97,1018800
07/03/1991,1.92,1.95,1.92,1.93,0.97,194400
08/03/1991,1.95,1.97,1.92,1.93,0.97,572400
11/03/1991,1.94,1.94,1.91,1.91,0.96,507600
12/03/1991,1.91,1.92,1.9,1.91,0.96,610200
13/03/1991,1.9,1.92,1.9,1.92,0.96,502200
14/03/1991,1.93,1.93,1.91,1.93,0.97,219600
15/03/1991,1.92,1.93,1.9,1.92,0.96,424800
18/03/1991,1.93,1.94,1.91,1.92,0.96,203400
19/03/1991,1.91,1.92,1.89,1.9,0.95,376200
20/03/1991,1.88,1.88,1.83,1.85,0.93,630000
21/03/1991,1.83,1.89,1.83,1.89,0.95,282600
22/03/1991,1.9,1.9,1.88,1.9,0.95,707400
25/03/1991,1.9,1.92,1.9,1.92,0.97,239400
26/03/1991,1.92,1.94,1.9,1.94,0.98,406800
27/03/1991,1.96,2.0,1.94,1.95,0.98,464400
28/03/1991,1.94,1.97,1.92,1.97,0.99,475200
01/04/1991,1.97,1.97,1.94,1.94,0.98,696600
02/04/1991,1.95,1.98,1.94,1.97,0.99,1242000
03/04/1991,1.97,2.09,1.94,2.07,1.04,2671200
04/04/1991,2.08,2.12,2.06,2.12,1.06,1593000
05/04/1991,2.1,2.1,2.05,2.06,1.03,394200
08/04/1991,2.05,2.05,2.01,2.03,1.02,799200
09/04/1991,2.08,2.14,2.08,2.13,1.07,1234800
10/04/1991,2.12,2.13,2.08,2.09,1.05,1087200
11/04/1991,2.1,2.1,2.08,2.08,1.05,968400
12/04/1991,2.1,2.12,2.08,2.12,1.06,1071000
15/04/1991,2.14,2.19,2.14,2.14,1.07,603000
16/04/1991,2.15,2.15,2.12,2.15,1.08,1393200
17/04/1991,2.17,2.24,2.17,2.22,1.11,1386000
18/04/1991,2.18,2.25,2.18,2.23,1.12,1827000
19/04/1991,2.21,2.21,2.15,2.15,1.08,702000
22/04/1991,2.15,2.15,2.1,2.1,1.06,151200
23/04/1991,2.1,2.1,2.03,2.06,1.03,333000
