Date,Open,High,Low,Close,Adj Close,Volume
02/08/2001,16.0,16.08,15.16,16.0,10.38,9812900
03/08/2001,16.0,16.08,16.0,16.0,10.38,2776400
06/08/2001,16.0,16.0,15.8,16.0,10.38,416700
07/08/2001,16.0,16.0,15.88,16.0,10.38,1651800
08/08/2001,15.96,16.0,15.88,16.0,10.38,265800
09/08/2001,16.0,16.0,15.88,16.0,10.38,311200
10/08/2001,16.0,16.04,16.0,16.0,10.38,123100
13/08/2001,16.0,16.05,15.95,16.0,10.38,311100
14/08/2001,15.95,16.0,15.88,16.0,10.38,605000
15/08/2001,16.0,16.0,15.5,15.95,10.34,318400
16/08/2001,15.9,16.0,15.65,16.0,10.38,333200
17/08/2001,15.85,16.0,15.2,15.85,10.28,316300
20/08/2001,15.95,16.0,15.6,15.89,10.3,139400
21/08/2001,15.8,15.97,15.8,15.9,10.31,130500
22/08/2001,15.9,15.99,15.75,15.91,10.32,111300
23/08/2001,15.9,15.99,15.85,15.9,10.31,81500
24/08/2001,15.9,15.99,15.8,15.85,10.28,73700
27/08/2001,16.0,16.04,15.81,15.99,10.37,245900
28/08/2001,16.0,16.32,15.95,16.25,10.54,332400
29/08/2001,16.45,16.6,16.06,16.47,10.68,420400
30/08/2001,16.53,16.8,16.49,16.76,10.87,314600
31/08/2001,16.85,18.25,16.85,18.25,11.83,616700
04/09/2001,18.25,18.3,17.4,18.07,11.72,503900
05/09/2001,18.3,18.35,17.91,18.2,11.8,322700
06/09/2001,18.0,18.6,18.0,18.0,11.67,205200
07/09/2001,18.0,18.15,17.55,18.0,11.67,83400
10/09/2001,16.5,17.85,16.25,17.5,11.35,245100
17/09/2001,16.0,17.2,15.6,17.0,11.02,97100
18/09/2001,16.75,17.15,16.75,17.03,11.04,59600
19/09/2001,17.25,17.7,16.5,17.4,11.28,98800
20/09/2001,17.25,17.25,16.35,16.8,10.89,223900
21/09/2001,16.6,16.6,15.05,16.5,10.7,52700
24/09/2001,17.5,17.5,16.7,17.1,11.09,104600
25/09/2001,17.0,17.45,16.35,17.45,11.32,75700
26/09/2001,17.45,17.65,17.05,17.65,11.44,58800
27/09/2001,17.65,17.65,16.9,17.0,11.02,45500
28/09/2001,17.1,17.3,16.4,17.0,11.02,48100
01/10/2001,16.9,17.05,16.75,17.0,11.02,13600
02/10/2001,17.05,17.2,16.16,16.5,10.7,72300
03/10/2001,16.25,18.5,15.31,18.5,12.0,286900
04/10/2001,18.25,18.25,17.16,17.25,11.19,90400
05/10/2001,17.25,17.25,15.98,16.0,10.38,103100
08/10/2001,16.0,16.4,15.8,15.95,10.34,121600
09/10/2001,16.0,17.69,15.95,17.3,11.22,75600
10/10/2001,17.23,17.3,16.0,16.45,10.67,166500
11/10/2001,16.85,16.9,15.74,16.1,10.44,126800
12/10/2001,16.05,16.75,16.0,16.25,10.54,41500
15/10/2001,16.25,16.75,15.85,16.0,10.38,77300
16/10/2001,15.9,16.1,15.8,15.95,10.34,79600
17/10/2001,15.9,16.43,15.9,16.3,10.57,23500
18/10/2001,16.44,16.6,16.0,16.6,10.76,24100
19/10/2001,16.59,16.85,16.4,16.61,10.77,28100
22/10/2001,18.0,18.45,17.52,18.0,11.67,780500
23/10/2001,18.1,18.25,17.62,17.64,11.44,184200
24/10/2001,17.7,17.7,16.86,17.05,11.06,59700
25/10/2001,16.8,17.7,16.8,17.65,11.44,60200
26/10/2001,17.2,17.7,17.04,17.5,11.35,43500
29/10/2001,17.5,17.8,17.5,17.7,11.48,45300
30/10/2001,17.8,17.8,17.46,17.6,11.41,35100
31/10/2001,17.6,17.98,17.6,17.62,11.43,59700
01/11/2001,17.62,18.6,17.6,18.6,12.06,156700
02/11/2001,19.25,19.55,17.8,18.3,11.87,309400
