Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,25.62,25.88,25.5,25.88,10.04,367400
03/01/1990,25.75,26.12,25.38,25.5,9.9,319500
04/01/1990,25.25,25.5,24.12,24.88,9.66,383900
05/01/1990,24.88,24.88,24.5,24.75,9.61,161800
08/01/1990,24.62,25.12,24.5,25.0,9.7,160500
09/01/1990,24.88,25.38,24.75,24.88,9.66,383500
10/01/1990,24.88,25.38,24.88,25.25,9.8,336900
11/01/1990,25.5,26.0,25.38,25.75,9.99,371000
12/01/1990,25.12,25.25,24.88,25.0,9.7,323900
15/01/1990,25.0,25.0,24.38,24.5,9.51,413700
16/01/1990,23.88,24.88,23.25,24.88,9.66,502900
17/01/1990,24.62,24.62,23.75,24.12,9.36,364400
18/01/1990,23.62,24.25,23.38,24.25,9.41,465300
19/01/1990,24.5,25.12,24.38,25.12,9.75,454100
22/01/1990,25.0,25.0,24.0,24.38,9.46,242900
23/01/1990,24.5,24.5,23.5,23.5,9.12,505600
24/01/1990,22.88,23.88,22.5,23.88,9.27,807800
25/01/1990,24.38,24.38,22.75,22.88,8.88,522800
26/01/1990,22.62,22.88,21.75,22.88,8.88,580600
29/01/1990,23.0,23.12,22.5,23.12,9.02,216100
30/01/1990,23.25,23.25,22.5,23.0,8.97,268500
31/01/1990,23.0,23.88,23.0,23.62,9.22,513500
01/02/1990,23.88,24.12,23.62,24.12,9.41,369500
02/02/1990,24.12,24.88,24.0,24.75,9.66,279200
05/02/1990,24.75,25.88,24.75,25.88,10.09,512300
06/02/1990,25.88,25.88,25.25,25.5,9.95,230600
07/02/1990,25.62,26.75,25.12,26.62,10.39,869000
08/02/1990,26.62,27.12,26.5,26.88,10.48,977800
09/02/1990,26.75,26.88,26.62,26.88,10.48,461600
12/02/1990,26.75,27.25,26.38,26.75,10.44,501100
13/02/1990,26.5,26.88,26.25,26.88,10.48,368200
14/02/1990,26.88,26.88,25.88,26.38,10.29,666600
15/02/1990,26.38,26.62,26.25,26.62,10.39,1802100
16/02/1990,26.5,26.88,26.5,26.88,10.48,1292100
20/02/1990,26.62,27.62,26.12,27.5,10.73,891900
21/02/1990,26.75,27.5,26.62,27.5,10.73,1162400
22/02/1990,27.62,28.0,25.88,26.0,10.14,1301400
23/02/1990,25.12,25.75,25.0,25.38,9.9,1121500
26/02/1990,25.38,26.0,25.25,25.62,10.0,598400
27/02/1990,25.25,26.12,25.25,25.38,9.9,666400
28/02/1990,25.62,26.25,25.5,25.62,10.0,829600
01/03/1990,25.62,26.38,25.5,26.0,10.14,504400
02/03/1990,26.0,26.12,25.88,26.0,10.14,232900
05/03/1990,26.12,26.5,26.0,26.38,10.29,548800
06/03/1990,26.5,26.88,26.38,26.88,10.48,656300
07/03/1990,27.12,27.62,27.0,27.12,10.58,846500
08/03/1990,27.0,27.12,26.5,26.75,10.44,517700
09/03/1990,26.75,26.88,26.62,26.62,10.39,396500
12/03/1990,26.38,26.75,26.12,26.62,10.39,333200
13/03/1990,26.5,26.62,26.25,26.38,10.29,217400
14/03/1990,26.38,26.75,26.38,26.62,10.39,248000
15/03/1990,26.62,27.25,26.5,27.12,10.58,484200
16/03/1990,27.25,28.12,27.12,28.0,10.92,893600
19/03/1990,27.5,28.12,27.38,28.12,10.97,330100
20/03/1990,28.0,28.75,27.75,28.5,11.12,704500
21/03/1990,28.38,28.5,28.25,28.25,11.02,502000
22/03/1990,28.0,28.0,26.88,27.0,10.53,657700
23/03/1990,27.38,27.75,27.25,27.25,10.63,407000
26/03/1990,27.5,27.62,26.5,26.5,10.34,237700
27/03/1990,26.5,27.0,26.5,26.75,10.44,320500
28/03/1990,26.75,27.75,26.75,27.75,10.83,495300
29/03/1990,27.75,27.88,27.5,27.75,10.83,200500
30/03/1990,27.62,27.88,27.38,27.62,10.78,338400
02/04/1990,27.38,27.75,27.25,27.75,10.83,160200
03/04/1990,27.75,28.62,27.75,28.62,11.17,404800
04/04/1990,28.62,29.0,28.12,28.25,11.02,367300
05/04/1990,28.38,28.62,28.25,28.25,11.02,382400
06/04/1990,28.5,28.62,27.88,28.25,11.02,361600
09/04/1990,28.25,28.5,27.88,28.0,10.92,359200
10/04/1990,27.88,27.88,26.88,27.25,10.63,612200
11/04/1990,27.12,27.12,25.75,25.88,10.09,1235800
12/04/1990,26.12,26.38,26.0,26.12,10.19,940100
16/04/1990,26.25,26.25,25.75,25.88,10.09,598100
17/04/1990,25.75,26.12,25.62,26.0,10.14,859900
18/04/1990,26.25,26.38,26.12,26.25,10.24,558600
19/04/1990,26.25,26.38,25.5,25.5,9.95,823200
20/04/1990,25.75,25.88,25.38,25.62,10.0,848500
23/04/1990,25.5,25.5,25.25,25.5,9.95,327600
24/04/1990,25.75,26.5,25.62,26.12,10.19,524700
25/04/1990,26.38,26.5,25.88,26.0,10.14,293900
26/04/1990,26.0,26.12,25.62,26.0,10.14,370200
27/04/1990,26.0,26.0,25.62,25.62,10.0,290200
30/04/1990,25.5,25.75,25.25,25.75,10.09,441800
01/05/1990,25.88,26.5,25.88,26.5,10.38,265100
02/05/1990,26.62,27.25,26.5,26.88,10.53,589100
03/05/1990,27.0,27.38,26.88,26.88,10.53,321300
04/05/1990,27.12,27.38,26.75,27.12,10.63,592100
07/05/1990,27.25,27.5,27.12,27.38,10.73,333700
08/05/1990,27.25,27.5,27.25,27.5,10.78,330800
09/05/1990,27.5,27.62,27.12,27.5,10.78,288700
10/05/1990,27.62,27.62,27.12,27.25,10.68,277300
11/05/1990,28.25,28.88,27.75,28.75,11.27,1165600
14/05/1990,28.75,29.12,28.5,29.0,11.36,925400
15/05/1990,28.88,29.38,28.75,29.0,11.36,733200
16/05/1990,28.75,28.75,28.12,28.62,11.22,323900
17/05/1990,28.75,29.38,28.62,29.0,11.36,434400
18/05/1990,29.25,29.38,28.88,29.25,11.46,299200
21/05/1990,29.0,29.5,28.88,29.38,11.51,937400
22/05/1990,29.62,29.62,29.12,29.12,11.41,335300
23/05/1990,28.75,29.0,28.62,28.88,11.32,266300
24/05/1990,28.62,28.75,27.5,27.75,10.87,884900
25/05/1990,27.5,27.62,27.25,27.38,10.73,476100
29/05/1990,27.5,28.38,27.38,28.25,11.07,595300
30/05/1990,28.5,29.0,28.5,29.0,11.36,753800
31/05/1990,29.0,29.5,28.88,29.25,11.46,524800
01/06/1990,29.38,29.5,29.0,29.25,11.46,511300
04/06/1990,29.5,29.75,29.38,29.62,11.61,370100
05/06/1990,29.5,29.5,27.25,27.62,10.83,1705000
06/06/1990,27.25,27.62,27.12,27.38,10.73,1228200
07/06/1990,27.5,27.5,27.12,27.12,10.63,372000
08/06/1990,27.25,27.25,26.75,27.0,10.58,260200
11/06/1990,26.88,28.12,26.88,27.88,10.92,293100
12/06/1990,27.88,29.12,27.88,28.88,11.32,337800
13/06/1990,29.0,29.0,28.5,28.5,11.17,353000
14/06/1990,28.5,28.75,28.0,28.0,10.97,183500
15/06/1990,27.5,28.75,27.5,28.75,11.27,557300
18/06/1990,28.5,28.62,27.62,28.0,10.97,530200
19/06/1990,27.75,28.25,27.75,28.12,11.02,262500
20/06/1990,28.25,28.38,27.62,28.38,11.12,380600
21/06/1990,28.75,28.75,28.25,28.38,11.12,688100
22/06/1990,28.5,28.5,27.62,27.62,10.83,287700
25/06/1990,27.75,27.75,27.38,27.38,10.73,264800
26/06/1990,27.38,27.62,26.75,27.0,10.58,296300
27/06/1990,26.75,27.12,26.75,27.12,10.63,193800
28/06/1990,27.0,27.88,27.0,27.75,10.87,301200
29/06/1990,27.75,27.75,27.25,27.25,10.68,182200
02/07/1990,27.0,27.0,26.25,26.88,10.53,577500
03/07/1990,26.88,27.25,26.62,26.88,10.53,241900
05/07/1990,26.88,26.88,26.25,26.38,10.34,355300
06/07/1990,26.25,26.38,25.62,26.12,10.24,633200
09/07/1990,26.25,26.75,26.12,26.12,10.24,564100
10/07/1990,26.0,26.38,26.0,26.38,10.34,433600
11/07/1990,26.38,27.75,26.38,27.75,10.87,356200
12/07/1990,27.75,29.38,27.75,29.38,11.51,938000
13/07/1990,29.88,30.0,28.88,28.88,11.32,715800
16/07/1990,29.12,29.25,29.0,29.12,11.41,436700
17/07/1990,29.25,29.5,29.0,29.25,11.46,685800
18/07/1990,29.12,29.12,28.5,28.5,11.17,288200
19/07/1990,28.75,29.5,28.38,29.5,11.56,672300
20/07/1990,29.5,30.0,29.25,29.88,11.71,959200
23/07/1990,29.62,29.88,28.62,29.0,11.36,898800
24/07/1990,29.25,30.25,29.25,29.88,11.71,1690500
25/07/1990,29.75,30.5,29.38,30.12,11.8,890500
26/07/1990,30.0,30.12,29.75,29.88,11.71,408900
27/07/1990,30.12,30.88,30.12,30.38,11.9,504900
30/07/1990,30.38,31.25,30.25,31.0,12.19,703700
31/07/1990,30.88,31.62,30.88,31.5,12.39,735500
01/08/1990,31.5,32.12,31.0,32.0,12.59,522700
02/08/1990,34.0,34.12,33.0,33.38,13.13,2018500
03/08/1990,33.38,34.5,32.12,32.38,12.73,1386800
06/08/1990,34.75,34.75,33.12,33.12,13.03,843500
07/08/1990,33.0,33.0,31.75,32.88,12.93,784800
08/08/1990,32.25,32.62,32.0,32.25,12.69,514300
09/08/1990,32.0,32.25,31.5,32.12,12.64,599900
10/08/1990,32.38,33.12,32.25,32.88,12.93,402700
13/08/1990,32.88,33.12,32.38,32.62,12.83,364400
14/08/1990,32.38,32.75,32.12,32.75,12.88,315200
15/08/1990,32.0,32.0,31.5,31.5,12.39,323200
16/08/1990,31.75,32.0,31.12,31.12,12.24,952900
17/08/1990,30.75,31.5,30.75,31.38,12.34,397500
20/08/1990,31.62,32.5,31.5,31.88,12.54,404400
21/08/1990,31.88,32.88,31.75,32.25,12.69,719400
22/08/1990,32.25,32.5,30.75,31.0,12.19,437500
23/08/1990,29.88,30.25,28.5,29.12,11.46,806000
24/08/1990,29.75,30.62,29.38,30.0,11.8,529500
27/08/1990,30.25,30.75,29.62,29.75,11.7,148800
28/08/1990,29.62,30.38,29.62,30.0,11.8,634000
29/08/1990,30.0,30.5,30.0,30.38,11.95,311800
30/08/1990,30.25,30.38,29.75,29.75,11.7,434000
31/08/1990,29.75,30.5,29.62,30.5,12.0,210900
04/09/1990,30.62,31.88,30.5,31.88,12.54,259300
05/09/1990,31.88,32.0,31.0,32.0,12.59,424500
06/09/1990,32.0,32.62,31.75,31.88,12.54,351500
07/09/1990,31.62,32.0,31.62,31.75,12.49,179100
10/09/1990,32.0,32.0,31.12,31.12,12.24,128100
11/09/1990,31.25,31.5,31.0,31.38,12.34,253700
12/09/1990,31.38,31.88,31.0,31.62,12.44,225400
13/09/1990,31.5,31.75,31.38,31.75,12.49,232900
14/09/1990,31.62,32.5,31.5,32.5,12.78,233300
17/09/1990,32.12,33.0,32.12,33.0,12.98,334100
18/09/1990,33.0,33.0,32.5,32.5,12.78,296700
19/09/1990,32.75,32.75,32.0,32.12,12.64,409100
20/09/1990,31.62,31.75,31.25,31.38,12.34,220300
21/09/1990,31.25,32.38,31.25,31.75,12.49,689700
24/09/1990,31.62,32.0,31.38,31.75,12.49,260400
25/09/1990,31.5,31.5,30.75,30.75,12.1,480100
26/09/1990,30.25,30.25,29.25,29.5,11.6,733000
27/09/1990,29.75,30.0,29.0,29.12,11.46,336500
28/09/1990,29.25,30.5,28.62,29.0,11.41,741100
01/10/1990,29.0,29.0,27.0,27.38,10.77,1320100
02/10/1990,27.75,28.88,27.62,28.0,11.01,536600
03/10/1990,28.25,29.5,28.25,29.12,11.46,255100
04/10/1990,29.0,29.88,28.88,29.38,11.55,227400
05/10/1990,29.12,29.62,28.75,29.0,11.41,221800
08/10/1990,29.0,29.0,28.38,29.0,11.41,613500
09/10/1990,29.0,29.38,28.5,29.0,11.41,483500
10/10/1990,28.75,28.88,27.88,27.88,10.96,297100
11/10/1990,28.0,28.0,26.75,26.75,10.52,397900
12/10/1990,26.75,28.0,26.75,27.12,10.67,493400
15/10/1990,27.12,27.5,25.75,27.12,10.67,629900
16/10/1990,27.25,27.25,26.5,26.88,10.57,298500
17/10/1990,26.62,27.5,26.5,26.5,10.42,435000
18/10/1990,26.62,27.0,26.25,26.38,10.37,486300
19/10/1990,27.0,28.0,26.88,27.75,10.92,451200
22/10/1990,27.5,28.12,27.5,28.12,11.06,373200
23/10/1990,28.0,28.5,27.88,28.5,11.21,236700
24/10/1990,28.5,29.0,27.88,28.88,11.36,721900
25/10/1990,29.0,29.12,28.75,28.88,11.36,526000
26/10/1990,28.75,29.12,28.75,28.75,11.31,302600
29/10/1990,28.75,28.75,27.25,27.38,10.81,678500
30/10/1990,27.5,27.62,26.75,27.25,10.76,430200
31/10/1990,27.25,27.25,26.5,26.5,10.47,375000
01/11/1990,26.62,27.12,26.38,27.0,10.66,215100
02/11/1990,27.25,28.25,27.25,27.88,11.01,564900
05/11/1990,28.0,28.25,27.5,28.0,11.06,226400
06/11/1990,27.75,27.75,27.12,27.25,10.76,363100
07/11/1990,27.12,27.25,26.5,26.5,10.47,538200
08/11/1990,26.5,27.0,26.5,27.0,10.66,593300
09/11/1990,27.62,27.75,26.88,27.62,10.91,806800
12/11/1990,27.5,27.5,26.75,26.75,10.56,509700
13/11/1990,26.88,26.88,26.38,26.38,10.42,502800
14/11/1990,26.38,27.0,26.12,26.88,10.61,432900
15/11/1990,26.62,26.88,26.25,26.25,10.37,343800
16/11/1990,26.5,26.62,25.5,25.62,10.12,582800
19/11/1990,25.62,25.88,24.88,25.12,9.92,658000
20/11/1990,25.0,25.25,24.75,25.0,9.87,776300
21/11/1990,25.0,25.5,24.88,25.25,9.97,780100
23/11/1990,25.38,25.5,24.88,24.88,9.82,201000
26/11/1990,24.88,25.62,24.88,25.62,10.12,594600
27/11/1990,25.75,27.62,25.75,27.62,10.91,858600
28/11/1990,27.62,27.62,27.12,27.25,10.76,413100
29/11/1990,27.25,27.5,27.0,27.0,10.66,470600
30/11/1990,27.0,27.88,27.0,27.5,10.86,465800
03/12/1990,27.38,27.75,27.12,27.25,10.76,405800
04/12/1990,27.12,27.62,27.0,27.12,10.71,427900
05/12/1990,27.0,27.0,25.62,25.75,10.17,378700
06/12/1990,25.12,26.38,25.12,26.25,10.37,605200
07/12/1990,26.25,26.38,25.62,25.75,10.17,230800
10/12/1990,25.75,26.5,25.5,26.38,10.42,345400
11/12/1990,26.12,26.38,25.5,25.62,10.12,168400
12/12/1990,25.5,25.62,25.25,25.38,10.02,634700
13/12/1990,25.5,26.25,25.5,26.12,10.32,1073500
14/12/1990,25.88,26.62,25.88,26.25,10.37,1268100
17/12/1990,26.25,26.25,25.5,25.62,10.12,182500
18/12/1990,25.5,25.5,25.25,25.25,9.97,606000
19/12/1990,25.12,25.38,25.12,25.38,10.02,438900
20/12/1990,25.25,25.5,24.75,24.88,9.82,562200
21/12/1990,25.0,25.0,24.12,24.62,9.73,1220000
24/12/1990,24.62,24.88,24.25,24.62,9.73,188500
26/12/1990,24.5,25.25,24.5,25.12,9.92,183400
27/12/1990,25.0,25.12,24.12,24.5,9.68,352000
28/12/1990,24.5,25.12,24.38,25.0,9.87,210600
31/12/1990,25.0,25.75,24.88,25.62,10.12,285700
02/01/1991,25.5,25.62,25.0,25.25,9.97,324100
03/01/1991,25.12,25.25,24.62,24.75,9.77,323300
04/01/1991,24.62,24.75,23.25,23.5,9.28,530100
07/01/1991,23.5,23.75,23.0,23.12,9.13,728300
08/01/1991,23.12,23.88,22.88,23.88,9.43,443000
