Date,Open,High,Low,Close,Adj Close,Volume
28/06/2005,15.2,15.99,15.2,15.99,15.99,521800
29/06/2005,16.0,16.08,15.8,16.03,16.03,230300
30/06/2005,16.0,16.25,15.9,16.2,16.2,479400
01/07/2005,16.3,16.4,16.14,16.24,16.24,148000
05/07/2005,16.25,16.25,16.0,16.05,16.05,336500
06/07/2005,16.04,16.05,15.75,15.81,15.81,135300
07/07/2005,15.7,16.0,15.6,16.0,16.0,251200
08/07/2005,16.04,16.2,15.9,16.2,16.2,106300
11/07/2005,16.32,16.99,16.0,16.25,16.25,414200
12/07/2005,16.15,16.49,16.08,16.34,16.34,390200
13/07/2005,16.27,16.8,16.25,16.32,16.32,245200
14/07/2005,16.4,16.5,16.1,16.19,16.19,173100
15/07/2005,16.2,16.35,16.05,16.23,16.23,220800
18/07/2005,16.19,16.4,16.16,16.31,16.31,359200
19/07/2005,16.4,16.5,16.2,16.26,16.26,985800
20/07/2005,16.2,16.75,16.2,16.61,16.61,271800
21/07/2005,16.62,16.9,16.48,16.53,16.53,199200
22/07/2005,16.65,16.7,16.22,16.6,16.6,220400
25/07/2005,16.64,16.93,16.5,16.61,16.61,217800
26/07/2005,17.2,18.41,16.9,17.9,17.9,1347100
27/07/2005,18.41,18.99,17.59,18.85,18.85,1199700
28/07/2005,20.94,21.0,19.8,20.18,20.18,1152700
29/07/2005,20.18,20.6,19.26,20.0,20.0,287300
01/08/2005,20.0,20.08,19.31,19.84,19.84,220000
02/08/2005,20.5,20.52,19.54,19.77,19.77,415600
03/08/2005,19.75,19.95,19.01,19.57,19.57,209000
04/08/2005,18.82,20.0,18.48,19.82,19.82,242700
05/08/2005,19.84,19.84,19.25,19.62,19.62,184900
08/08/2005,19.47,19.95,17.59,18.54,18.54,208700
09/08/2005,18.45,19.45,17.64,18.99,18.99,165400
10/08/2005,19.0,19.5,18.45,19.08,19.08,90300
11/08/2005,18.94,19.15,18.27,18.9,18.9,63000
12/08/2005,18.11,18.75,18.06,18.47,18.47,65600
15/08/2005,18.38,19.32,18.26,19.18,19.18,139700
16/08/2005,19.45,19.51,18.56,19.2,19.2,133800
17/08/2005,19.15,19.6,18.59,18.91,18.91,92700
18/08/2005,18.98,19.8,18.98,19.46,19.46,73400
19/08/2005,19.27,19.53,19.11,19.45,19.45,70000
22/08/2005,19.38,19.5,19.24,19.36,19.36,274700
23/08/2005,19.25,19.4,18.5,19.27,19.27,101400
24/08/2005,19.48,19.84,19.15,19.33,19.33,97200
25/08/2005,19.33,19.54,18.53,18.86,18.86,59900
26/08/2005,18.96,18.96,18.05,18.24,18.24,108500
29/08/2005,18.66,19.48,18.58,18.88,18.88,277100
30/08/2005,18.88,19.23,18.75,18.79,18.79,85200
31/08/2005,18.83,20.75,18.55,20.3,20.3,825100
01/09/2005,20.75,21.84,20.5,21.56,21.56,648100
02/09/2005,21.75,22.7,21.61,22.0,22.0,347600
06/09/2005,22.4,22.43,21.16,22.35,22.35,204700
07/09/2005,22.03,22.4,21.5,21.57,21.57,198500
08/09/2005,21.39,21.91,20.12,21.04,21.04,179600
09/09/2005,20.9,21.89,20.9,21.28,21.28,91000
12/09/2005,21.89,22.0,19.77,20.7,20.7,184900
