Date,Open,High,Low,Close,Adj Close,Volume
01/10/1999,14.0,14.25,14.0,14.12,8.78,3162400
04/10/1999,14.12,14.12,14.0,14.0,8.7,533400
05/10/1999,14.0,14.12,14.0,14.12,8.78,270600
06/10/1999,14.12,14.88,14.12,14.88,9.24,205400
07/10/1999,14.88,14.88,14.06,14.12,8.78,214200
08/10/1999,14.19,14.19,14.06,14.06,8.74,65600
11/10/1999,14.06,14.12,14.0,14.06,8.74,77500
12/10/1999,14.06,14.12,14.0,14.12,8.78,49200
13/10/1999,14.12,14.38,14.0,14.06,8.74,49900
14/10/1999,14.0,14.06,13.25,13.62,8.47,430900
15/10/1999,13.12,13.19,12.69,13.06,8.12,158200
18/10/1999,13.0,13.0,12.5,12.81,7.96,83800
19/10/1999,12.75,13.25,12.75,13.25,8.23,58200
20/10/1999,13.38,13.5,13.12,13.12,8.16,62600
21/10/1999,13.12,13.44,13.0,13.44,8.35,98200
22/10/1999,13.38,13.56,13.31,13.5,8.39,191200
25/10/1999,13.44,13.94,13.44,13.94,8.66,153100
26/10/1999,13.81,14.12,13.81,14.0,8.7,65600
27/10/1999,14.0,14.19,14.0,14.06,8.74,100900
28/10/1999,14.19,14.5,14.12,14.12,8.78,255300
29/10/1999,14.12,15.25,14.12,15.25,9.48,123200
01/11/1999,15.0,15.0,14.62,14.75,9.17,41800
02/11/1999,14.75,14.88,14.31,14.75,9.17,66600
03/11/1999,14.69,14.88,14.69,14.75,9.17,18500
04/11/1999,14.88,15.12,14.5,14.94,9.28,72100
05/11/1999,15.0,15.88,14.88,15.75,9.79,122900
08/11/1999,15.88,17.38,15.81,16.62,10.33,240000
09/11/1999,16.75,16.75,16.12,16.12,10.02,42400
10/11/1999,16.0,16.12,15.81,16.06,9.98,59900
11/11/1999,16.06,16.25,16.06,16.12,10.02,20000
12/11/1999,16.25,18.5,16.25,18.0,11.19,248500
15/11/1999,18.19,18.19,17.5,17.69,10.99,99200
16/11/1999,17.69,17.69,17.38,17.44,10.84,95300
17/11/1999,17.69,18.25,17.25,17.5,10.88,107900
18/11/1999,17.5,17.5,17.25,17.25,10.72,67500
19/11/1999,17.25,17.75,17.19,17.62,10.95,31200
22/11/1999,17.56,17.88,17.56,17.81,11.07,36500
23/11/1999,17.81,19.38,17.81,19.12,11.89,65500
24/11/1999,19.0,19.0,18.38,18.56,11.54,53800
26/11/1999,18.5,18.5,18.38,18.44,11.46,2600
29/11/1999,18.38,18.38,17.88,18.12,11.26,20200
30/11/1999,18.19,18.5,18.19,18.38,11.42,38100
01/12/1999,18.38,18.62,18.25,18.56,11.54,43800
02/12/1999,18.56,19.0,18.56,19.0,11.81,33200
03/12/1999,19.12,19.38,19.06,19.19,11.92,62000
06/12/1999,19.19,19.19,18.25,18.38,11.42,38200
07/12/1999,18.5,19.0,18.44,18.62,11.57,112500
08/12/1999,18.5,18.5,18.0,18.19,11.3,27700
09/12/1999,18.25,18.38,18.12,18.25,11.34,15500
10/12/1999,18.12,18.12,17.62,17.62,10.95,22400
13/12/1999,17.75,18.0,17.44,17.44,10.84,44500
14/12/1999,17.25,17.25,17.06,17.12,10.64,19400
