Date,Open,High,Low,Close,Adj Close,Volume
19/05/1992,4.25,4.34,4.22,4.28,4.28,7799600
20/05/1992,4.34,4.38,4.31,4.38,4.38,2560400
21/05/1992,4.38,4.38,4.31,4.38,4.38,1854000
22/05/1992,4.41,4.59,4.38,4.53,4.53,3206400
26/05/1992,4.5,4.53,4.38,4.38,4.38,1727600
27/05/1992,4.41,4.47,4.41,4.44,4.44,794000
28/05/1992,4.47,4.5,4.44,4.47,4.47,250800
29/05/1992,4.5,4.59,4.47,4.56,4.56,1041600
01/06/1992,4.56,4.66,4.56,4.62,4.62,859600
02/06/1992,4.69,4.69,4.56,4.66,4.66,1385600
03/06/1992,4.62,4.62,4.47,4.5,4.5,1222000
04/06/1992,4.5,4.5,4.38,4.38,4.38,464000
05/06/1992,4.34,4.34,4.25,4.31,4.31,940800
08/06/1992,4.34,4.34,4.31,4.31,4.31,844000
09/06/1992,4.31,4.34,4.12,4.12,4.12,1579200
10/06/1992,4.12,4.16,4.12,4.12,4.12,676800
11/06/1992,4.16,4.16,4.03,4.09,4.09,1413600
12/06/1992,4.16,4.22,4.16,4.19,4.19,208400
15/06/1992,4.16,4.16,4.12,4.16,4.16,1178000
16/06/1992,4.16,4.16,4.09,4.12,4.12,256000
17/06/1992,4.09,4.09,3.88,3.94,3.94,1033200
18/06/1992,3.94,3.94,3.91,3.94,3.94,277200
19/06/1992,3.91,3.94,3.88,3.94,3.94,394800
22/06/1992,3.88,3.88,3.5,3.59,3.59,752400
23/06/1992,3.66,4.0,3.66,3.97,3.97,1240000
24/06/1992,4.0,4.0,3.84,3.94,3.94,368000
25/06/1992,3.97,3.97,3.81,3.88,3.88,344400
26/06/1992,3.84,3.88,3.81,3.88,3.88,290000
29/06/1992,3.88,4.25,3.88,4.22,4.22,474400
30/06/1992,4.25,4.28,4.19,4.28,4.28,532400
01/07/1992,4.25,4.25,4.22,4.22,4.22,191200
02/07/1992,4.25,4.47,4.25,4.44,4.44,1210400
06/07/1992,4.44,4.59,4.41,4.59,4.59,1128400
07/07/1992,4.62,4.72,4.59,4.59,4.59,784000
08/07/1992,4.62,4.62,4.41,4.47,4.47,355200
09/07/1992,4.47,4.56,4.22,4.53,4.53,102400
10/07/1992,4.53,4.53,4.44,4.47,4.47,129600
