Date,Open,High,Low,Close,Adj Close,Volume
22/06/2007,36.45,38.0,34.25,35.06,14.06,113095700
25/06/2007,35.74,35.77,31.9,32.44,13.01,35668600
26/06/2007,32.28,32.49,30.32,30.75,12.33,29614000
27/06/2007,30.4,30.75,29.13,29.92,12.0,18087600
28/06/2007,29.61,30.98,29.54,29.69,11.91,8660300
29/06/2007,30.0,30.2,28.75,29.27,11.74,7559700
02/07/2007,29.27,29.74,29.08,29.27,11.74,3175900
03/07/2007,29.5,29.88,29.42,29.72,11.92,2763700
05/07/2007,30.95,30.97,30.2,30.63,12.29,6950900
06/07/2007,30.9,31.7,30.8,31.5,12.63,7652900
09/07/2007,31.9,31.99,31.39,31.48,12.63,4301400
10/07/2007,31.28,31.34,29.84,29.93,12.0,6388700
11/07/2007,29.94,30.08,28.96,29.18,11.7,5982800
12/07/2007,29.5,30.29,29.31,30.0,12.03,5144200
13/07/2007,29.88,30.0,29.28,29.85,11.97,3318400
16/07/2007,29.85,29.98,29.33,29.69,11.91,3109000
17/07/2007,29.69,29.85,29.11,29.21,11.72,2666800
18/07/2007,29.0,29.1,28.0,28.4,11.39,5156100
19/07/2007,28.4,28.5,27.0,27.33,10.96,9902100
20/07/2007,27.0,27.11,25.63,25.95,10.41,9614600
23/07/2007,25.83,26.9,25.51,26.37,10.58,6372700
24/07/2007,25.91,26.45,25.6,25.71,10.31,5614800
25/07/2007,25.76,26.05,25.25,25.51,10.23,4737600
26/07/2007,25.18,25.95,23.27,25.7,10.31,11174800
27/07/2007,24.66,24.85,23.68,24.3,9.75,9253500
30/07/2007,24.42,24.88,23.55,24.48,9.82,5226600
31/07/2007,24.97,25.21,23.81,24.01,9.63,5088700
01/08/2007,24.34,24.5,23.6,24.31,9.75,6489200
02/08/2007,25.25,25.58,24.43,25.33,10.16,8273800
03/08/2007,25.39,25.47,24.2,24.39,9.78,5322900
06/08/2007,24.68,24.68,22.76,24.53,9.84,7314800
07/08/2007,24.5,25.98,24.01,24.9,9.99,5855100
08/08/2007,25.64,25.9,25.0,25.27,10.14,4775000
09/08/2007,24.99,25.39,24.5,24.92,10.0,4345000
10/08/2007,24.5,25.79,23.98,25.28,10.14,4781400
13/08/2007,27.26,27.26,25.65,25.71,10.31,10928800
14/08/2007,26.0,26.0,24.28,24.57,9.85,5373500
15/08/2007,24.4,24.69,23.6,23.69,9.5,4758100
16/08/2007,23.11,23.9,22.04,23.9,9.59,7714200
17/08/2007,24.71,25.38,23.9,24.08,9.66,7715300
20/08/2007,24.1,24.74,23.05,23.39,9.38,5682700
21/08/2007,23.5,23.76,23.11,23.51,9.43,2324900
22/08/2007,23.9,25.0,23.9,24.94,10.0,3957200
23/08/2007,25.23,25.66,24.86,25.27,10.14,3318700
24/08/2007,25.06,25.12,24.36,24.42,9.79,3022100
27/08/2007,24.42,24.55,23.65,23.8,9.55,3043900
28/08/2007,23.55,23.61,22.91,23.04,9.24,3580800
29/08/2007,23.38,23.44,22.87,22.98,9.22,3489700
30/08/2007,22.74,23.13,22.55,22.74,9.12,3920200
31/08/2007,23.12,23.27,22.8,23.13,9.28,3050000
04/09/2007,23.09,23.3,23.03,23.11,9.27,3441600
05/09/2007,23.0,23.0,21.95,21.98,8.82,8045500
06/09/2007,22.01,22.39,21.97,22.16,8.89,4475400
07/09/2007,21.69,21.89,21.3,21.54,8.64,5580800
10/09/2007,21.75,22.0,21.32,21.88,8.78,2727300
11/09/2007,22.34,23.0,22.2,22.89,9.18,5993300
12/09/2007,22.79,23.5,22.62,23.26,9.33,3485100
13/09/2007,23.49,23.74,23.31,23.41,9.39,2364200
14/09/2007,23.37,24.0,22.8,23.92,9.59,2549300
17/09/2007,23.7,24.35,23.55,23.65,9.49,2530200
18/09/2007,23.83,24.6,23.31,24.55,9.85,5219100
19/09/2007,24.73,26.0,24.57,25.66,10.29,9381600
20/09/2007,25.92,26.79,25.6,25.95,10.41,6117700
21/09/2007,26.48,26.5,25.01,25.32,10.16,4168300
24/09/2007,25.39,25.44,24.46,24.53,9.84,3019700
25/09/2007,24.42,24.67,24.0,24.39,9.78,3427200
26/09/2007,24.75,25.05,24.31,24.89,9.98,5567600
27/09/2007,25.0,25.35,24.58,25.11,10.07,4444300
28/09/2007,24.9,25.44,24.86,25.08,10.06,2179100
01/10/2007,24.72,25.74,24.7,25.58,10.26,2571700
02/10/2007,25.77,26.4,25.35,26.08,10.46,3068500
03/10/2007,26.0,27.65,25.98,27.17,10.9,5524800
04/10/2007,27.25,28.0,27.25,27.58,11.06,3997000
05/10/2007,28.05,29.1,27.86,29.08,11.66,5094500
08/10/2007,29.49,29.75,28.21,28.22,11.32,5069100
09/10/2007,28.61,28.64,28.02,28.45,11.41,3392800
10/10/2007,28.63,28.67,28.01,28.66,11.5,2061600
11/10/2007,29.0,29.38,28.08,28.35,11.37,3274200
