Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,23.66,24.38,23.45,24.38,11.68,478795
03/01/1990,24.69,25.0,24.49,24.69,11.83,827349
04/01/1990,24.8,24.8,24.17,24.38,11.68,300241
05/01/1990,24.28,24.69,24.07,24.59,11.78,516145
08/01/1990,24.38,24.8,24.28,24.8,11.88,245663
09/01/1990,24.9,24.9,24.28,24.49,11.73,248313
10/01/1990,24.38,24.38,24.07,24.28,11.63,406747
11/01/1990,24.49,24.59,24.38,24.49,11.73,198916
12/01/1990,23.97,24.8,23.03,23.24,11.14,468434
15/01/1990,23.03,23.66,22.93,23.14,11.09,214096
16/01/1990,23.03,23.45,22.83,23.03,11.04,296145
17/01/1990,23.14,23.86,23.03,23.66,11.34,444940
18/01/1990,23.45,24.17,23.24,23.97,11.48,413494
19/01/1990,24.07,24.17,23.97,23.97,11.48,594940
22/01/1990,23.76,23.97,22.93,22.93,10.99,366627
23/01/1990,23.03,23.14,22.1,22.2,10.64,723614
24/01/1990,21.48,22.51,21.17,22.41,10.74,575422
25/01/1990,22.51,22.72,21.58,21.58,10.34,313614
26/01/1990,21.68,22.1,21.48,21.79,10.44,449036
29/01/1990,21.79,22.0,21.58,21.68,10.39,282410
30/01/1990,21.58,21.68,20.54,20.85,10.02,885904
31/01/1990,21.17,21.79,21.17,21.68,10.42,291205
01/02/1990,21.48,22.2,21.48,21.79,10.47,148795
02/02/1990,21.58,22.62,21.58,22.41,10.77,161687
05/02/1990,22.31,22.51,22.2,22.31,10.72,153494
06/02/1990,22.2,22.2,21.48,21.58,10.37,130000
07/02/1990,21.27,22.62,21.27,22.41,10.77,383373
08/02/1990,22.2,22.51,22.1,22.2,10.67,346386
09/02/1990,22.2,22.41,22.0,22.31,10.72,174458
12/02/1990,22.1,22.1,21.79,21.79,10.47,580241
13/02/1990,21.58,21.79,21.37,21.48,10.32,383133
14/02/1990,21.68,21.68,21.37,21.48,10.32,448434
15/02/1990,21.58,22.2,21.37,22.0,10.57,258434
16/02/1990,22.1,22.51,22.1,22.2,10.67,389157
20/02/1990,21.79,21.89,21.48,21.58,10.37,278434
21/02/1990,21.06,21.68,20.96,21.58,10.37,297108
22/02/1990,21.58,22.0,21.37,21.37,10.27,242410
23/02/1990,21.37,21.68,21.17,21.37,10.27,246988
26/02/1990,21.17,22.2,21.17,22.2,10.67,256627
27/02/1990,22.1,22.2,21.89,22.1,10.62,381928
28/02/1990,22.31,22.62,22.2,22.31,10.72,975663
01/03/1990,22.1,22.31,22.0,22.31,10.72,224217
02/03/1990,21.89,22.31,21.68,22.31,10.72,296145
05/03/1990,22.2,22.41,22.2,22.2,10.67,220723
06/03/1990,22.0,22.2,21.89,22.2,10.67,603735
07/03/1990,22.31,22.31,21.79,22.0,10.57,924337
08/03/1990,22.1,22.62,22.1,22.62,10.87,443373
09/03/1990,22.62,22.72,22.31,22.72,10.92,391446
12/03/1990,22.51,22.62,22.41,22.62,10.87,236988
13/03/1990,22.41,22.72,22.31,22.51,10.82,306988
14/03/1990,22.51,23.34,22.51,23.34,11.22,379036
15/03/1990,23.24,23.66,23.14,23.55,11.32,230361
16/03/1990,23.97,23.97,23.66,23.86,11.47,660723
19/03/1990,23.55,23.66,23.34,23.66,11.37,316145
20/03/1990,23.45,23.97,23.03,23.03,11.07,389277
21/03/1990,23.03,23.55,23.03,23.03,11.07,223494
22/03/1990,22.83,22.93,22.2,22.41,10.77,354578
23/03/1990,22.51,22.72,22.31,22.51,10.82,150723
26/03/1990,22.51,22.62,22.41,22.41,10.77,93614
27/03/1990,22.62,22.72,22.31,22.72,10.92,235301
28/03/1990,22.72,23.24,22.62,23.24,11.17,162651
29/03/1990,23.14,23.14,22.72,23.03,11.07,123133
30/03/1990,22.83,22.93,22.31,22.83,10.97,243253
02/04/1990,22.62,22.62,22.2,22.41,10.77,121205
03/04/1990,22.41,23.24,22.41,23.24,11.17,141325
04/04/1990,23.03,23.55,23.03,23.34,11.22,242169
05/04/1990,23.14,23.66,23.03,23.66,11.37,153012
06/04/1990,23.86,23.86,23.34,23.86,11.47,295060
09/04/1990,23.76,23.86,23.45,23.66,11.37,180120
10/04/1990,23.66,24.28,23.66,24.17,11.62,342289
11/04/1990,24.07,24.59,23.97,24.59,11.82,321205
12/04/1990,24.59,24.9,24.38,24.49,11.77,570120
16/04/1990,24.8,25.32,24.59,25.11,12.07,779759
17/04/1990,25.0,25.73,24.69,25.73,12.37,769880
18/04/1990,25.52,25.63,24.69,24.8,11.92,299880
19/04/1990,24.49,24.9,24.38,24.69,11.87,272530
20/04/1990,24.49,24.59,23.45,23.66,11.37,381566
23/04/1990,23.55,23.66,23.24,23.66,11.37,186747
24/04/1990,23.45,23.76,22.93,23.24,11.17,372169
25/04/1990,23.14,23.86,23.14,23.76,11.42,299277
26/04/1990,23.97,24.28,23.55,24.07,11.57,235060
27/04/1990,24.17,24.28,23.66,23.76,11.42,262169
30/04/1990,23.86,23.86,23.45,23.86,11.47,136265
01/05/1990,23.55,24.28,23.55,24.07,11.6,122410
02/05/1990,24.07,25.11,24.07,25.0,12.05,524819
03/05/1990,25.0,25.11,24.38,24.38,11.75,203012
04/05/1990,24.59,24.8,24.59,24.69,11.9,166988
07/05/1990,24.8,25.21,24.69,24.8,11.95,291084
08/05/1990,24.69,24.69,24.49,24.59,11.85,253133
09/05/1990,24.69,24.69,24.49,24.59,11.85,184337
10/05/1990,24.59,24.9,24.49,24.69,11.9,411566
11/05/1990,24.8,25.42,24.59,25.32,12.2,567229
14/05/1990,25.73,26.46,25.32,25.94,12.5,1563253
15/05/1990,26.04,26.56,25.83,26.46,12.75,459398
16/05/1990,26.35,26.66,26.35,26.46,12.75,662892
17/05/1990,26.46,26.66,26.25,26.66,12.85,350843
18/05/1990,26.56,26.66,26.35,26.46,12.75,238072
21/05/1990,26.25,26.87,26.04,26.77,12.9,434940
22/05/1990,27.08,27.18,26.66,26.98,13.0,426145
23/05/1990,26.87,26.98,26.66,26.87,12.95,229759
24/05/1990,26.87,27.49,26.87,27.08,13.05,412169
25/05/1990,26.87,26.87,26.35,26.56,12.8,194940
29/05/1990,26.77,27.39,26.66,27.39,13.2,316867
30/05/1990,27.39,27.7,26.98,27.08,13.05,604217
31/05/1990,27.08,27.29,26.87,27.08,13.05,197108
01/06/1990,27.18,27.49,27.08,27.29,13.15,276747
04/06/1990,27.29,27.7,26.98,27.6,13.3,306265
05/06/1990,28.64,28.74,28.22,28.53,13.75,1082048
06/06/1990,28.53,28.64,27.6,27.81,13.4,682410
07/06/1990,27.81,27.91,27.29,27.39,13.2,353494
08/06/1990,27.29,27.39,26.25,26.56,12.8,342289
11/06/1990,26.35,27.18,26.35,27.18,13.1,230723
12/06/1990,27.29,27.6,27.29,27.49,13.25,676747
13/06/1990,27.49,27.81,27.29,27.6,13.3,442410
14/06/1990,27.6,28.12,27.39,28.12,13.55,261446
15/06/1990,28.12,28.12,27.81,27.91,13.45,383253
18/06/1990,27.81,27.81,27.08,27.39,13.2,302410
19/06/1990,27.29,27.39,27.08,27.29,13.15,203735
20/06/1990,27.29,27.81,27.29,27.7,13.35,399157
21/06/1990,27.49,28.12,27.49,27.91,13.45,360000
22/06/1990,28.12,29.15,28.01,28.32,13.65,538554
25/06/1990,28.22,28.43,28.12,28.22,13.6,427711
26/06/1990,28.22,28.43,27.81,27.81,13.4,243373
27/06/1990,27.81,28.74,27.81,28.53,13.75,307470
28/06/1990,28.53,28.74,28.32,28.43,13.7,285904
29/06/1990,28.43,28.53,28.22,28.32,13.65,350000
02/07/1990,28.43,28.64,28.12,28.64,13.8,268434
03/07/1990,28.84,29.47,28.74,29.26,14.1,293494
05/07/1990,29.26,29.36,28.74,29.05,14.0,505542
06/07/1990,29.26,29.36,29.15,29.26,14.1,368434
09/07/1990,29.36,29.36,28.53,28.95,13.95,449277
10/07/1990,28.95,29.36,28.84,28.95,13.95,563133
11/07/1990,28.95,29.67,28.84,29.57,14.25,316627
12/07/1990,29.67,30.4,29.67,30.19,14.55,723253
13/07/1990,30.09,30.61,29.98,30.5,14.7,334699
16/07/1990,30.5,31.12,30.19,31.02,14.95,551084
17/07/1990,31.33,31.33,30.4,30.61,14.75,312048
18/07/1990,30.61,30.71,29.88,30.09,14.5,344940
19/07/1990,29.67,29.98,28.22,28.74,13.85,1186265
20/07/1990,28.84,28.84,27.6,27.7,13.35,986506
23/07/1990,27.81,27.91,25.52,27.18,13.1,1000000
24/07/1990,27.49,27.49,26.46,26.66,12.85,454819
25/07/1990,26.56,27.39,26.56,27.29,13.15,427831
26/07/1990,27.39,28.01,27.18,27.81,13.4,323976
27/07/1990,28.01,28.01,26.46,26.46,12.75,338675
30/07/1990,26.35,26.35,25.94,26.25,12.65,588193
31/07/1990,26.25,27.18,26.25,26.77,12.94,676024
01/08/1990,26.66,27.08,26.56,26.77,12.94,239639
02/08/1990,26.15,26.56,25.83,26.35,12.74,634940
03/08/1990,26.15,26.15,24.9,25.83,12.49,786506
06/08/1990,25.32,25.32,24.59,24.8,11.99,728072
07/08/1990,25.42,25.52,24.69,24.9,12.04,609880
08/08/1990,24.9,25.21,24.69,24.9,12.04,498795
09/08/1990,24.9,25.83,24.8,25.83,12.49,202048
10/08/1990,25.73,25.73,24.69,25.11,12.14,306386
13/08/1990,25.0,25.0,24.69,25.0,12.09,240964
14/08/1990,25.11,25.21,24.9,25.0,12.09,113373
15/08/1990,25.21,25.42,24.8,25.0,12.09,213253
16/08/1990,24.8,25.0,24.49,24.59,11.89,178313
17/08/1990,24.07,24.28,24.07,24.17,11.69,543133
20/08/1990,24.17,24.59,24.17,24.38,11.79,250120
21/08/1990,24.07,24.28,23.24,23.86,11.54,576145
22/08/1990,23.97,24.07,22.41,22.41,10.84,627108
23/08/1990,21.58,22.31,21.37,22.2,10.74,808313
24/08/1990,22.83,23.66,22.62,23.66,11.44,363976
27/08/1990,24.69,24.69,23.66,23.66,11.44,366988
28/08/1990,22.83,23.24,22.83,23.14,11.19,691807
29/08/1990,23.03,23.45,23.03,23.03,11.14,277711
30/08/1990,23.03,23.03,22.62,22.72,10.99,213735
31/08/1990,22.83,23.14,22.72,23.14,11.19,247108
04/09/1990,22.93,23.03,22.72,23.03,11.14,367831
05/09/1990,23.03,23.14,22.93,23.03,11.14,179398
06/09/1990,22.93,23.03,22.72,22.83,11.04,177108
07/09/1990,22.72,23.03,22.72,23.03,11.14,255301
10/09/1990,23.24,23.55,23.03,23.03,11.14,131084
11/09/1990,22.93,23.45,22.93,23.14,11.19,120241
12/09/1990,23.14,23.14,22.83,23.14,11.19,126627
13/09/1990,23.14,23.14,22.0,22.1,10.69,594458
14/09/1990,21.89,22.2,21.48,21.58,10.43,904578
17/09/1990,21.37,21.68,21.06,21.37,10.33,484096
18/09/1990,20.54,20.65,18.05,19.19,9.28,1748554
19/09/1990,19.4,19.5,17.33,17.64,8.53,1726627
20/09/1990,17.43,17.43,16.91,17.12,8.28,1079277
21/09/1990,17.22,18.05,17.01,17.22,8.33,1010964
24/09/1990,17.01,17.12,16.7,16.7,8.08,619518
25/09/1990,16.91,17.74,16.7,17.74,8.58,830000
26/09/1990,17.84,18.36,17.64,17.64,8.53,479398
27/09/1990,17.95,18.16,16.7,17.22,8.33,507349
28/09/1990,16.6,17.33,16.29,17.01,8.23,564096
01/10/1990,17.43,17.43,16.39,16.39,7.93,625422
02/10/1990,16.7,16.7,14.01,15.35,7.42,1892651
03/10/1990,15.25,15.87,15.25,15.77,7.63,833494
04/10/1990,15.67,16.18,15.56,16.08,7.78,367590
05/10/1990,15.67,15.98,15.56,15.77,7.63,311566
08/10/1990,15.87,16.08,15.35,15.35,7.42,284096
09/10/1990,15.15,15.15,14.94,14.94,7.22,319036
10/10/1990,14.94,15.35,14.94,15.15,7.32,672771
11/10/1990,15.35,15.56,15.15,15.25,7.37,354096
12/10/1990,15.46,15.98,15.15,15.98,7.73,538554
15/10/1990,15.77,16.18,15.56,15.87,7.68,594458
16/10/1990,15.77,15.98,15.46,15.46,7.47,263855
17/10/1990,15.46,16.18,15.46,15.98,7.73,337711
18/10/1990,16.08,17.43,16.08,17.43,8.43,304096
19/10/1990,17.95,18.16,16.7,16.91,8.18,486988
22/10/1990,16.7,17.84,16.6,17.53,8.48,259036
23/10/1990,17.33,17.64,17.33,17.53,8.48,113494
24/10/1990,17.64,17.64,17.12,17.53,8.48,118675
25/10/1990,17.53,17.53,17.22,17.43,8.43,96265
26/10/1990,17.22,17.22,15.77,15.77,7.63,385904
29/10/1990,15.77,16.29,15.35,15.46,7.47,392048
30/10/1990,15.25,15.35,14.94,15.25,7.41,575663
31/10/1990,15.25,15.46,15.04,15.04,7.31,236506
01/11/1990,15.15,15.46,14.94,14.94,7.26,340843
02/11/1990,15.25,16.18,15.15,16.18,7.87,127349
05/11/1990,16.18,16.91,15.98,16.39,7.97,328795
06/11/1990,16.39,16.5,15.77,15.87,7.72,152410
07/11/1990,15.67,15.77,15.56,15.56,7.57,132771
08/11/1990,15.25,15.98,15.25,15.46,7.52,194337
09/11/1990,15.67,16.39,15.67,15.98,7.77,205663
12/11/1990,16.39,17.43,16.39,17.01,8.27,579759
13/11/1990,17.33,17.74,16.91,17.53,8.52,413373
14/11/1990,17.43,18.16,17.43,17.95,8.73,320000
15/11/1990,17.95,18.05,17.64,17.84,8.68,308434
16/11/1990,17.84,18.05,17.53,17.95,8.73,250843
19/11/1990,17.95,18.16,17.84,18.05,8.78,181928
20/11/1990,18.05,18.26,17.74,18.05,8.78,305663
21/11/1990,17.95,18.05,17.43,17.64,8.57,365060
23/11/1990,17.64,17.84,17.64,17.74,8.62,120361
26/11/1990,17.74,17.84,17.43,17.74,8.62,142410
27/11/1990,17.84,18.47,17.84,18.26,8.88,268434
28/11/1990,18.16,18.88,18.05,18.36,8.93,246867
29/11/1990,18.26,18.78,18.26,18.57,9.03,219639
30/11/1990,18.57,19.09,18.05,18.78,9.13,276024
03/12/1990,18.78,19.19,18.67,19.09,9.28,251807
04/12/1990,19.09,19.82,18.99,19.71,9.58,441446
05/12/1990,19.82,20.75,19.5,20.75,10.09,540000
06/12/1990,22.0,22.0,20.33,20.65,10.04,671928
07/12/1990,20.54,20.54,19.71,20.23,9.84,522530
10/12/1990,20.02,20.02,19.5,19.71,9.58,436627
