Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,7.43,7.49,7.39,7.46,2.58,787962
03/01/1990,7.52,7.56,7.33,7.49,2.59,543170
04/01/1990,7.46,7.46,7.13,7.26,2.51,620655
05/01/1990,7.26,7.3,7.0,7.17,2.48,615644
08/01/1990,7.1,7.2,7.1,7.2,2.49,282186
09/01/1990,7.13,7.26,7.13,7.13,2.47,1282173
10/01/1990,7.17,7.3,7.13,7.26,2.51,976472
11/01/1990,7.36,7.46,7.33,7.36,2.55,409016
12/01/1990,7.33,7.33,7.13,7.2,2.49,499223
15/01/1990,7.13,7.2,7.0,7.07,2.45,455661
16/01/1990,6.97,7.0,6.94,7.0,2.42,1120263
17/01/1990,7.0,7.04,6.87,6.91,2.39,611018
18/01/1990,6.87,6.97,6.78,6.94,2.4,400535
19/01/1990,6.91,6.94,6.78,6.81,2.36,820730
22/01/1990,6.81,6.91,6.78,6.78,2.35,339626
23/01/1990,6.81,6.87,6.71,6.74,2.33,369309
24/01/1990,6.71,6.71,6.58,6.61,2.29,574395
25/01/1990,6.61,6.61,6.36,6.36,2.2,1132599
26/01/1990,6.39,6.49,6.26,6.45,2.23,763290
29/01/1990,6.32,6.39,6.23,6.29,2.19,521582
30/01/1990,6.29,6.32,6.06,6.19,2.16,527750
31/01/1990,6.23,6.32,6.23,6.29,2.19,450264
01/02/1990,6.32,6.36,6.26,6.29,2.19,340011
02/02/1990,6.23,6.39,6.13,6.19,2.16,627980
05/02/1990,6.23,6.29,6.03,6.06,2.11,517341
06/02/1990,6.1,6.13,5.93,5.97,2.08,610632
07/02/1990,5.93,6.23,5.9,6.16,2.15,1453335
08/02/1990,6.23,6.23,6.1,6.16,2.15,750183
09/02/1990,6.19,6.45,6.16,6.42,2.24,467997
12/02/1990,6.39,6.45,6.36,6.39,2.22,319580
13/02/1990,6.42,6.45,6.26,6.39,2.22,320351
14/02/1990,6.39,6.42,6.26,6.32,2.2,434459
15/02/1990,6.45,6.58,6.42,6.58,2.29,1548168
16/02/1990,6.61,6.78,6.61,6.71,2.34,724740
20/02/1990,6.65,6.68,6.49,6.61,2.3,467997
21/02/1990,6.55,6.58,6.49,6.58,2.29,464528
22/02/1990,6.61,6.65,6.49,6.52,2.27,530834
23/02/1990,6.49,6.58,6.49,6.49,2.26,342324
26/02/1990,6.49,6.61,6.45,6.55,2.28,1112939
27/02/1990,6.55,6.74,6.55,6.68,2.33,806852
28/02/1990,6.61,6.84,6.61,6.84,2.38,1296822
01/03/1990,6.84,6.91,6.74,6.74,2.35,1020804
02/03/1990,6.78,6.81,6.68,6.71,2.34,1178088
05/03/1990,6.74,6.91,6.58,6.61,2.3,645327
06/03/1990,6.68,6.71,6.61,6.71,2.34,866604
07/03/1990,6.71,6.74,6.61,6.65,2.31,1469526
08/03/1990,6.61,6.71,6.58,6.71,2.34,708935
09/03/1990,6.71,6.74,6.61,6.68,2.33,853497
12/03/1990,6.65,6.71,6.61,6.68,2.33,765603
13/03/1990,6.65,6.71,6.61,6.71,2.34,717030
14/03/1990,6.71,6.71,6.68,6.71,2.34,744786
15/03/1990,6.71,6.71,6.68,6.71,2.34,291438
16/03/1990,6.71,6.74,6.71,6.74,2.35,1108698
19/03/1990,6.71,7.04,6.71,7.04,2.45,837306
20/03/1990,7.0,7.2,6.97,7.13,2.48,704309
21/03/1990,7.13,7.2,7.04,7.07,2.46,417882
22/03/1990,7.13,7.2,6.94,7.04,2.45,589815
23/03/1990,7.1,7.17,7.04,7.17,2.5,537002
26/03/1990,7.26,7.33,7.17,7.26,2.53,661518
27/03/1990,7.3,7.46,7.23,7.46,2.6,345408
28/03/1990,7.39,7.46,7.3,7.36,2.56,375092
29/03/1990,7.3,7.36,7.17,7.23,2.52,378561
30/03/1990,7.17,7.33,7.13,7.3,2.54,614102
02/04/1990,7.26,7.3,7.17,7.26,2.53,484188
03/04/1990,7.23,7.39,7.23,7.39,2.57,655350
04/04/1990,7.39,7.39,7.2,7.26,2.53,779481
05/04/1990,7.26,7.33,7.23,7.26,2.53,491127
06/04/1990,7.33,7.49,7.26,7.46,2.6,462986
09/04/1990,7.52,7.65,7.49,7.59,2.64,351962
10/04/1990,7.65,7.65,7.52,7.59,2.64,542399
11/04/1990,7.59,7.62,7.52,7.56,2.63,219350
12/04/1990,7.49,7.59,7.49,7.56,2.63,173861
16/04/1990,7.56,7.65,7.49,7.49,2.61,507318
17/04/1990,7.46,7.49,7.39,7.49,2.61,207399
18/04/1990,7.52,7.59,7.43,7.52,2.62,571697
19/04/1990,7.46,7.49,7.3,7.33,2.55,1358888
20/04/1990,7.26,7.36,7.1,7.26,2.53,689660
23/04/1990,7.26,7.3,7.13,7.26,2.53,513486
24/04/1990,7.26,7.33,7.2,7.23,2.52,353504
25/04/1990,7.3,7.33,7.23,7.33,2.55,422894
26/04/1990,7.36,7.52,7.17,7.39,2.57,873929
27/04/1990,7.39,7.39,7.17,7.17,2.5,439856
30/04/1990,7.13,7.26,7.04,7.23,2.53,287583
01/05/1990,7.3,7.39,7.26,7.3,2.55,740160
02/05/1990,7.33,7.46,7.33,7.39,2.59,430989
03/05/1990,7.46,7.52,7.43,7.52,2.63,331530
