Date,Open,High,Low,Close,Adj Close,Volume
19/03/2020,12.0,12.0,12.0,12.0,11.39,100
20/03/2020,13.0,13.0,12.0,12.75,12.11,2300
23/03/2020,12.75,12.75,11.5,11.54,10.96,18700
24/03/2020,12.9,12.9,11.5,11.7,11.11,96100
25/03/2020,11.8,13.45,11.8,13.45,12.77,19200
26/03/2020,14.0,15.45,14.0,15.45,14.67,76400
27/03/2020,15.0,16.0,14.55,14.55,13.81,486500
30/03/2020,15.25,16.5,15.25,15.9,15.1,210000
31/03/2020,16.39,17.25,14.56,17.25,16.38,461500
01/04/2020,16.0,16.0,14.56,15.05,14.29,2998900
02/04/2020,15.66,15.9,12.12,13.28,12.61,15966300
03/04/2020,13.75,17.0,13.38,16.92,16.06,66934300
06/04/2020,17.06,17.15,14.85,15.44,14.66,37138000
07/04/2020,15.2,15.8,14.55,15.25,14.48,23486000
08/04/2020,14.5,15.25,13.73,14.26,13.54,49372700
09/04/2020,14.0,15.5,13.9,14.78,14.03,34992600
13/04/2020,14.5,14.5,13.98,13.99,13.28,21497400
14/04/2020,14.0,14.2,13.78,13.87,13.17,22350000
15/04/2020,13.53,13.65,12.94,13.36,12.68,14990700
16/04/2020,13.15,13.25,12.26,12.89,12.24,21745200
17/04/2020,13.3,13.83,12.93,13.74,13.05,21336500
20/04/2020,13.5,14.74,13.48,14.45,13.72,20032200
21/04/2020,14.22,15.25,14.18,14.69,13.95,16235900
22/04/2020,14.95,15.16,14.22,14.79,14.04,12539500
23/04/2020,14.7,15.92,14.61,15.72,14.93,12226000
24/04/2020,15.6,16.67,15.29,16.25,15.43,17390000
27/04/2020,16.17,16.81,15.98,16.8,15.95,12186100
28/04/2020,16.88,17.75,16.61,17.0,16.14,12983800
29/04/2020,17.46,18.08,17.17,17.64,16.75,12523200
30/04/2020,17.22,17.84,16.99,17.71,16.81,19094100
01/05/2020,17.33,17.35,16.62,16.77,15.92,10727200
04/05/2020,16.15,16.52,15.69,16.4,15.57,9700300
05/05/2020,16.68,16.76,15.84,15.97,15.16,16298000
06/05/2020,16.0,16.37,15.43,16.29,15.47,10647200
07/05/2020,16.21,17.04,15.88,16.41,15.58,12454100
08/05/2020,17.04,18.4,16.93,18.36,17.43,17693300
11/05/2020,18.43,18.75,18.02,18.35,17.42,9574600
12/05/2020,18.39,18.4,17.69,17.8,16.9,7743200
13/05/2020,17.21,17.44,16.1,16.44,15.61,10676300
14/05/2020,16.02,16.72,15.72,16.55,15.71,7797200
