Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,4.97,5.0,4.94,5.0,2.63,304800
03/01/1990,5.0,5.0,4.91,4.94,2.6,439600
04/01/1990,4.97,5.03,4.94,5.03,2.65,328000
05/01/1990,5.06,5.06,4.94,5.0,2.63,352400
08/01/1990,4.97,5.0,4.94,4.97,2.62,162400
09/01/1990,4.94,4.97,4.88,4.88,2.57,199200
10/01/1990,4.84,4.88,4.78,4.81,2.53,402000
11/01/1990,4.81,4.84,4.78,4.84,2.55,339600
12/01/1990,4.84,4.84,4.69,4.72,2.48,269200
15/01/1990,4.75,4.75,4.66,4.72,2.48,148800
16/01/1990,4.66,4.78,4.62,4.75,2.5,286400
17/01/1990,4.81,4.97,4.78,4.91,2.58,245200
18/01/1990,4.88,4.88,4.69,4.84,2.55,248400
19/01/1990,4.81,4.91,4.78,4.78,2.52,238000
22/01/1990,4.78,4.81,4.69,4.69,2.47,158800
23/01/1990,4.75,4.78,4.72,4.78,2.52,154000
24/01/1990,4.69,4.72,4.53,4.72,2.48,223600
25/01/1990,4.69,4.78,4.69,4.75,2.5,79200
26/01/1990,4.75,4.78,4.69,4.72,2.48,119600
29/01/1990,4.78,4.84,4.72,4.75,2.5,146800
30/01/1990,4.72,4.72,4.5,4.5,2.37,376400
31/01/1990,4.56,4.62,4.53,4.62,2.43,190400
01/02/1990,4.69,4.69,4.53,4.56,2.4,166400
02/02/1990,4.53,4.59,4.5,4.53,2.38,478000
05/02/1990,4.56,4.59,4.53,4.53,2.38,87200
06/02/1990,4.53,4.56,4.5,4.53,2.38,86000
07/02/1990,4.56,4.66,4.41,4.44,2.34,239200
08/02/1990,4.44,4.5,4.44,4.44,2.34,173600
09/02/1990,4.56,4.62,4.5,4.56,2.4,648400
12/02/1990,4.62,4.62,4.56,4.62,2.43,162800
13/02/1990,4.66,4.66,4.59,4.62,2.43,122800
14/02/1990,4.62,4.62,4.56,4.62,2.43,248000
15/02/1990,4.56,4.62,4.56,4.59,2.42,78800
16/02/1990,4.66,4.69,4.59,4.69,2.47,204400
20/02/1990,4.69,4.69,4.56,4.66,2.45,171200
21/02/1990,4.59,4.66,4.53,4.62,2.43,456400
22/02/1990,4.62,4.72,4.62,4.72,2.5,76400
23/02/1990,4.69,4.72,4.56,4.59,2.43,754000
26/02/1990,4.56,4.66,4.56,4.66,2.47,58800
27/02/1990,4.69,4.69,4.53,4.53,2.4,269200
28/02/1990,4.56,4.56,4.34,4.41,2.33,454800
01/03/1990,4.38,4.38,4.22,4.31,2.28,822400
02/03/1990,4.31,4.31,4.06,4.25,2.25,1125600
