Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,4.92,4.58,4.89,4.89,805050
03/01/1990,0.0,5.14,4.89,5.03,5.03,1887750
04/01/1990,0.0,5.03,4.81,4.92,4.92,630450
05/01/1990,0.0,4.92,4.75,4.89,4.89,620100
08/01/1990,0.0,5.0,4.78,5.0,5.0,1152900
09/01/1990,0.0,5.08,4.94,4.94,4.94,741150
10/01/1990,0.0,4.97,4.69,4.83,4.83,1359450
11/01/1990,0.0,4.83,4.42,4.44,4.44,1971000
12/01/1990,0.0,4.44,4.33,4.39,4.39,1536750
15/01/1990,0.0,4.39,4.33,4.36,4.36,813600
16/01/1990,0.0,4.47,4.28,4.47,4.47,1559700
17/01/1990,0.0,4.47,4.36,4.39,4.39,1431450
18/01/1990,0.0,4.58,4.31,4.58,4.58,791100
19/01/1990,0.0,4.64,4.47,4.47,4.47,414000
22/01/1990,0.0,4.5,4.19,4.19,4.19,860850
23/01/1990,0.0,4.33,4.06,4.31,4.31,1242000
24/01/1990,0.0,4.39,4.11,4.39,4.39,871200
25/01/1990,0.0,4.53,4.39,4.42,4.42,1310850
26/01/1990,0.0,4.44,4.31,4.36,4.36,658800
29/01/1990,0.0,4.47,4.36,4.42,4.42,409050
30/01/1990,0.0,4.47,4.31,4.33,4.33,1765350
31/01/1990,0.0,4.42,4.25,4.25,4.25,679500
01/02/1990,0.0,4.33,4.11,4.19,4.19,1101600
02/02/1990,0.0,4.36,4.17,4.33,4.33,706950
05/02/1990,0.0,4.39,4.31,4.39,4.39,368550
06/02/1990,0.0,4.47,4.31,4.42,4.42,264150
07/02/1990,0.0,4.61,4.39,4.61,4.61,2353950
08/02/1990,0.0,4.89,4.64,4.86,4.86,3783600
09/02/1990,0.0,5.19,4.89,5.08,5.08,2457450
12/02/1990,0.0,5.11,4.83,4.83,4.83,837000
13/02/1990,0.0,4.89,4.61,4.81,4.81,1141200
14/02/1990,0.0,4.89,4.75,4.86,4.86,557100
15/02/1990,0.0,5.14,4.81,5.14,5.14,988200
16/02/1990,0.0,5.19,5.0,5.06,5.06,2397150
20/02/1990,0.0,5.0,4.86,4.92,4.92,923400
21/02/1990,0.0,4.92,4.72,4.83,4.83,584550
22/02/1990,0.0,5.03,4.83,4.97,4.97,598950
23/02/1990,0.0,4.97,4.89,4.92,4.92,628650
26/02/1990,0.0,5.11,4.92,5.08,5.08,954450
27/02/1990,0.0,5.17,5.08,5.11,5.11,1476000
28/02/1990,0.0,5.22,5.06,5.08,5.08,1055700
01/03/1990,0.0,5.17,5.06,5.11,5.11,245700
02/03/1990,0.0,5.14,5.08,5.08,5.08,380250
05/03/1990,0.0,5.11,4.83,4.89,4.89,583200
06/03/1990,0.0,5.03,4.86,4.97,4.97,447750
07/03/1990,0.0,5.14,5.0,5.11,5.11,986400
08/03/1990,0.0,5.14,5.03,5.11,5.11,421200
09/03/1990,0.0,5.11,5.0,5.03,5.03,396000
12/03/1990,0.0,5.14,4.94,5.11,5.11,894600
