Date,Open,High,Low,Close,Adj Close,Volume
27/06/2013,17.64,18.75,17.38,18.37,16.46,8285800
28/06/2013,18.4,19.17,18.38,18.62,16.68,717400
01/07/2013,18.65,18.9,18.34,18.34,16.43,394200
02/07/2013,18.34,19.64,18.26,19.22,17.22,223800
03/07/2013,18.99,19.21,18.67,19.08,17.09,103700
05/07/2013,18.8,19.36,18.55,19.22,17.22,111800
08/07/2013,19.05,19.48,18.86,19.23,17.23,110500
09/07/2013,19.13,19.92,19.06,19.5,17.47,206400
10/07/2013,19.47,19.95,19.05,19.1,17.11,334900
11/07/2013,19.05,19.65,19.05,19.58,17.54,108800
12/07/2013,19.23,19.54,19.21,19.51,17.48,114600
15/07/2013,19.36,19.75,19.22,19.56,17.52,177300
16/07/2013,19.04,20.65,19.04,20.1,18.01,239300
17/07/2013,20.01,20.47,19.72,20.37,18.25,139200
18/07/2013,20.5,21.0,20.06,20.83,18.66,162000
19/07/2013,21.0,21.39,20.77,20.84,18.67,631400
22/07/2013,20.6,20.7,20.22,20.34,18.22,492900
23/07/2013,20.29,20.69,20.0,20.22,18.11,41500
24/07/2013,20.23,20.69,20.05,20.57,18.43,43600
25/07/2013,20.34,21.98,20.0,21.98,19.69,232400
26/07/2013,22.12,22.14,21.05,21.59,19.34,141300
29/07/2013,21.5,22.0,21.06,21.7,19.44,85200
30/07/2013,21.71,21.8,20.8,21.6,19.35,94600
31/07/2013,21.79,21.79,21.19,21.5,19.26,52500
01/08/2013,21.45,21.8,21.16,21.66,19.4,181600
02/08/2013,21.67,22.5,21.17,22.43,20.09,224500
05/08/2013,22.43,23.0,22.26,22.79,20.42,104800
06/08/2013,22.83,23.1,22.59,22.81,20.43,419400
07/08/2013,22.8,22.99,22.64,22.95,20.56,82800
08/08/2013,23.0,23.1,22.8,23.07,20.67,74100
09/08/2013,22.85,23.12,22.85,23.05,20.65,67400
12/08/2013,22.85,23.2,22.85,23.16,20.75,116200
13/08/2013,23.14,23.55,22.85,23.4,20.96,102400
14/08/2013,23.3,23.4,23.15,23.36,20.93,72100
15/08/2013,23.4,23.4,22.8,23.0,20.6,280100
16/08/2013,22.98,23.09,22.8,23.05,20.65,82200
19/08/2013,23.0,23.14,22.7,23.09,20.69,196100
20/08/2013,23.07,23.75,22.87,23.11,20.7,138000
21/08/2013,23.07,23.3,22.8,23.03,20.63,89000
22/08/2013,23.05,23.3,22.85,23.01,20.61,52600
23/08/2013,22.96,23.31,22.87,23.27,20.85,38900
26/08/2013,23.27,23.27,22.95,22.98,20.59,126500
27/08/2013,22.87,22.91,22.0,22.22,19.91,280700
28/08/2013,22.21,22.44,21.9,21.98,19.69,78300
29/08/2013,21.86,22.14,21.27,22.08,19.78,171500
30/08/2013,22.01,22.16,21.85,21.93,19.65,110900
03/09/2013,22.16,23.17,21.78,22.53,20.18,94000
04/09/2013,22.46,23.01,22.02,23.01,20.61,117900
05/09/2013,22.91,23.75,22.8,23.32,20.89,84400
06/09/2013,23.31,23.75,22.99,23.24,20.82,103000
09/09/2013,23.27,23.52,22.66,22.96,20.57,123700
10/09/2013,23.0,23.24,22.59,23.03,20.63,125600
11/09/2013,22.9,23.52,22.51,23.42,20.98,124700
12/09/2013,23.4,23.54,23.02,23.09,20.69,672200
13/09/2013,23.02,23.52,22.9,23.5,21.05,213800
16/09/2013,23.65,23.97,23.25,23.87,21.38,187000
17/09/2013,23.82,23.98,23.09,23.23,20.81,315500
18/09/2013,23.08,23.99,22.96,23.79,21.31,273600
19/09/2013,23.6,23.9,23.16,23.46,21.02,336900
20/09/2013,23.36,23.53,22.68,22.89,20.51,1170900
23/09/2013,22.9,23.95,22.74,23.86,21.38,442400
24/09/2013,23.87,24.39,23.85,24.3,21.77,393900
25/09/2013,24.3,24.43,24.0,24.13,21.62,263200
26/09/2013,24.26,24.51,23.83,23.99,21.49,473400
27/09/2013,23.96,24.4,23.79,23.98,21.48,156900
30/09/2013,23.82,24.09,22.78,22.83,20.45,1433100
01/10/2013,22.7,23.2,22.63,23.2,20.78,118500
02/10/2013,23.13,23.15,22.27,22.78,20.41,177400
03/10/2013,22.72,23.32,22.64,23.32,20.89,91000
04/10/2013,23.34,23.37,23.16,23.35,20.92,110300
07/10/2013,23.19,23.32,22.97,23.05,20.65,56700
08/10/2013,23.0,23.29,22.81,23.12,20.71,127000
09/10/2013,23.18,23.33,22.51,22.68,20.32,64900
10/10/2013,22.81,23.32,22.74,23.05,20.65,108700
11/10/2013,23.06,23.27,22.87,22.99,20.6,71400
14/10/2013,22.94,22.95,22.52,22.78,20.41,91100
15/10/2013,22.79,22.91,22.51,22.65,20.29,77600
16/10/2013,22.7,22.91,22.36,22.67,20.31,74400
17/10/2013,22.56,23.07,22.14,22.78,20.41,100700
18/10/2013,22.8,23.15,22.57,22.99,20.6,94000
21/10/2013,22.99,23.13,22.5,22.56,20.21,40700
22/10/2013,22.58,22.91,22.02,22.8,20.43,46800
23/10/2013,22.72,23.1,21.71,22.72,20.35,126400
24/10/2013,22.7,22.7,21.2,22.01,19.72,237200
25/10/2013,22.0,22.65,21.49,22.15,19.84,163800
28/10/2013,22.26,22.47,21.84,22.05,19.75,121700
29/10/2013,22.17,22.36,21.76,21.95,19.66,68200
30/10/2013,21.92,22.18,21.08,22.1,19.8,170200
31/10/2013,22.0,22.24,21.31,21.99,19.7,150000
01/11/2013,23.0,23.56,21.9,22.05,19.75,304900
04/11/2013,21.8,23.04,21.7,22.94,20.55,216000
05/11/2013,22.76,23.35,22.63,23.0,20.6,173600
06/11/2013,23.0,23.25,22.8,22.99,20.6,113100
07/11/2013,22.96,23.24,22.62,22.98,20.59,301400
08/11/2013,22.96,23.06,22.54,22.95,20.56,554400
11/11/2013,22.39,22.39,21.61,21.72,19.46,172300
12/11/2013,21.59,21.65,20.7,21.09,18.89,478600
13/11/2013,20.72,21.23,20.55,20.79,18.66,930900
14/11/2013,21.02,21.46,20.61,20.66,18.55,6958500
