Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.55,1.57,1.51,1.53,0.97,2090400
03/01/1990,1.53,1.54,1.49,1.49,0.94,1284000
04/01/1990,1.49,1.51,1.47,1.49,0.94,2674800
05/01/1990,1.49,1.49,1.45,1.46,0.92,2228400
08/01/1990,1.46,1.46,1.41,1.44,0.91,2005200
09/01/1990,1.44,1.45,1.41,1.42,0.9,861600
10/01/1990,1.42,1.44,1.41,1.42,0.9,542400
11/01/1990,1.42,1.46,1.4,1.42,0.9,866400
12/01/1990,1.4,1.4,1.33,1.35,0.86,694800
15/01/1990,1.35,1.35,1.32,1.33,0.85,1179600
16/01/1990,1.33,1.35,1.29,1.35,0.86,640800
17/01/1990,1.35,1.36,1.34,1.34,0.85,1072800
18/01/1990,1.34,1.35,1.32,1.34,0.85,284400
19/01/1990,1.34,1.35,1.32,1.33,0.85,532800
22/01/1990,1.33,1.34,1.3,1.32,0.84,1012800
23/01/1990,1.32,1.33,1.29,1.3,0.83,400800
24/01/1990,1.3,1.3,1.26,1.26,0.8,906000
25/01/1990,1.27,1.3,1.27,1.3,0.83,1819200
26/01/1990,1.3,1.34,1.28,1.29,0.82,1411200
29/01/1990,1.29,1.32,1.26,1.26,0.8,708000
30/01/1990,1.26,1.28,1.23,1.25,0.79,1710000
31/01/1990,1.25,1.27,1.2,1.26,0.8,1857600
01/02/1990,1.26,1.3,1.26,1.27,0.81,964800
02/02/1990,1.27,1.32,1.27,1.3,0.83,459600
05/02/1990,1.3,1.32,1.29,1.29,0.82,673200
06/02/1990,1.29,1.32,1.29,1.3,0.83,750000
07/02/1990,1.3,1.33,1.29,1.32,0.84,2308800
08/02/1990,1.32,1.39,1.32,1.36,0.87,2370000
09/02/1990,1.36,1.36,1.34,1.34,0.85,405600
12/02/1990,1.34,1.36,1.34,1.35,0.86,132000
13/02/1990,1.35,1.38,1.33,1.34,0.85,822000
14/02/1990,1.34,1.34,1.32,1.33,0.85,1144800
15/02/1990,1.33,1.34,1.3,1.33,0.85,241200
16/02/1990,1.33,1.35,1.32,1.35,0.86,502800
20/02/1990,1.33,1.33,1.29,1.32,0.84,772800
21/02/1990,1.32,1.33,1.28,1.33,0.85,806400
22/02/1990,1.33,1.35,1.29,1.3,0.83,1111200
23/02/1990,1.3,1.32,1.28,1.29,0.82,2072400
26/02/1990,1.29,1.3,1.26,1.28,0.81,1105200
27/02/1990,1.28,1.28,1.26,1.27,0.81,91200
28/02/1990,1.27,1.28,1.27,1.28,0.81,130800
01/03/1990,1.28,1.3,1.28,1.29,0.82,152400
02/03/1990,1.29,1.32,1.28,1.32,0.84,549600
05/03/1990,1.32,1.32,1.27,1.29,0.82,336000
06/03/1990,1.29,1.29,1.27,1.28,0.81,265200
07/03/1990,1.29,1.32,1.29,1.29,0.82,301200
08/03/1990,1.3,1.32,1.3,1.32,0.84,734400
09/03/1990,1.32,1.32,1.29,1.29,0.82,192000
12/03/1990,1.29,1.32,1.29,1.29,0.82,723600
13/03/1990,1.29,1.32,1.29,1.32,0.84,320400
14/03/1990,1.32,1.36,1.32,1.34,0.85,1110000
