Date,Open,High,Low,Close,Adj Close,Volume
16/10/1997,5.81,5.81,5.56,5.69,3.54,7436400
17/10/1997,5.66,5.75,5.41,5.59,3.48,3390400
20/10/1997,5.5,5.62,5.47,5.53,3.44,3068000
21/10/1997,5.56,5.69,5.5,5.59,3.48,2382400
22/10/1997,5.69,5.75,5.59,5.72,3.56,1525200
23/10/1997,5.69,5.69,5.53,5.59,3.48,1622400
24/10/1997,5.66,5.72,5.56,5.72,3.56,813600
27/10/1997,5.66,5.75,5.38,5.42,3.38,1507200
28/10/1997,5.25,5.69,4.94,5.59,3.48,2955600
29/10/1997,5.69,5.72,5.59,5.66,3.52,1859200
30/10/1997,5.53,5.56,5.38,5.5,3.42,856000
31/10/1997,5.44,5.64,5.44,5.5,3.42,561600
03/11/1997,5.62,5.84,5.53,5.73,3.57,1004000
04/11/1997,5.75,5.88,5.69,5.78,3.6,364000
05/11/1997,5.81,6.06,5.78,5.91,3.68,324400
06/11/1997,5.88,6.25,5.88,6.25,3.89,361600
07/11/1997,6.19,6.62,6.03,6.44,4.01,662400
10/11/1997,6.31,6.5,6.16,6.16,3.83,266800
11/11/1997,5.94,6.0,5.75,6.0,3.74,618000
12/11/1997,6.0,6.0,5.56,5.69,3.54,314800
13/11/1997,5.56,5.62,5.47,5.5,3.42,500000
14/11/1997,5.44,5.5,5.31,5.44,3.39,438000
17/11/1997,5.5,5.84,5.5,5.81,3.62,284000
18/11/1997,5.88,5.88,5.69,5.72,3.56,1429600
19/11/1997,5.72,5.81,5.56,5.56,3.46,148400
20/11/1997,5.62,5.62,5.31,5.56,3.46,1268000
21/11/1997,5.56,5.62,5.5,5.53,3.44,640800
24/11/1997,5.5,5.59,5.5,5.53,3.44,64400
25/11/1997,5.56,5.62,5.5,5.52,3.43,326800
26/11/1997,5.5,5.53,5.23,5.25,3.27,463200
28/11/1997,5.28,5.31,5.25,5.25,3.27,212800
01/12/1997,5.25,5.38,5.25,5.27,3.28,475200
02/12/1997,5.38,5.5,5.28,5.34,3.33,1280800
03/12/1997,5.44,5.5,5.34,5.5,3.42,934400
04/12/1997,5.5,5.62,5.41,5.55,3.45,681600
05/12/1997,5.5,5.75,5.44,5.69,3.54,282800
08/12/1997,5.69,5.75,5.66,5.72,3.56,227600
09/12/1997,5.75,5.81,5.59,5.59,3.48,124000
10/12/1997,5.62,5.62,5.31,5.38,3.36,269600
11/12/1997,5.25,5.38,5.16,5.31,3.32,400800
12/12/1997,5.38,5.38,5.16,5.16,3.22,412400
15/12/1997,5.25,5.38,5.17,5.22,3.26,289200
16/12/1997,5.12,5.31,5.12,5.22,3.26,190800
17/12/1997,5.16,5.19,5.03,5.03,3.14,584800
18/12/1997,5.09,5.09,4.97,5.0,3.12,272400
19/12/1997,5.03,5.03,4.94,4.94,3.08,921600
22/12/1997,4.94,5.31,4.94,5.06,3.16,924000
23/12/1997,5.19,5.19,4.94,5.0,3.12,2331200
24/12/1997,5.03,5.03,4.94,4.94,3.08,50400
26/12/1997,5.0,5.06,4.97,5.06,3.16,1248400
29/12/1997,5.06,5.28,5.0,5.28,3.3,430800
30/12/1997,5.06,5.34,5.06,5.28,3.3,662800
31/12/1997,5.41,5.69,5.25,5.59,3.49,911600
02/01/1998,5.53,5.78,5.53,5.78,3.61,112400
05/01/1998,6.03,6.09,5.62,5.62,3.51,629600
06/01/1998,5.59,5.59,5.25,5.42,3.38,915200
07/01/1998,5.42,5.75,5.42,5.56,3.47,164800
08/01/1998,5.5,5.78,5.5,5.75,3.59,236000
