Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,7.34,7.24,7.27,2.6,298650
03/01/1990,0.0,7.38,7.31,7.34,2.62,140026
04/01/1990,0.0,7.4,7.36,7.38,2.64,129087
05/01/1990,0.0,7.43,7.38,7.38,2.64,28443
08/01/1990,0.0,7.4,7.38,7.38,2.64,64543
09/01/1990,0.0,7.4,7.38,7.38,2.64,19691
10/01/1990,0.0,7.4,7.36,7.36,2.63,245046
11/01/1990,0.0,7.38,7.31,7.35,2.62,124711
12/01/1990,0.0,7.31,7.22,7.22,2.58,160811
15/01/1990,0.0,7.23,7.18,7.22,2.58,249422
16/01/1990,0.0,7.14,7.13,7.13,2.55,64543
17/01/1990,0.0,7.24,7.18,7.18,2.56,538226
18/01/1990,0.0,7.24,7.2,7.22,2.58,336938
19/01/1990,0.0,7.2,7.2,7.2,2.57,3282
22/01/1990,0.0,7.24,7.18,7.18,2.56,146590
23/01/1990,0.0,7.24,7.13,7.18,2.56,133463
24/01/1990,0.0,7.11,7.02,7.02,2.51,708883
25/01/1990,0.0,7.08,7.02,7.02,2.51,97362
26/01/1990,0.0,7.08,7.02,7.02,2.51,307402
29/01/1990,0.0,7.04,6.9,6.92,2.47,1085204
30/01/1990,0.0,6.92,6.79,6.79,2.42,871883
31/01/1990,0.0,6.86,6.79,6.86,2.45,299744
01/02/1990,0.0,6.86,6.81,6.83,2.44,86422
02/02/1990,0.0,6.83,6.79,6.81,2.43,70013
05/02/1990,0.0,6.9,6.81,6.9,2.47,98456
06/02/1990,0.0,6.92,6.86,6.86,2.45,280053
07/02/1990,0.0,6.9,6.79,6.84,2.44,247234
08/02/1990,0.0,6.82,6.76,6.76,2.42,191442
09/02/1990,0.0,6.83,6.76,6.76,2.42,50322
12/02/1990,0.0,6.81,6.76,6.76,2.42,352254
13/02/1990,0.0,6.79,6.7,6.7,2.39,211133
14/02/1990,0.0,6.7,6.63,6.68,2.39,448522
15/02/1990,0.0,6.81,6.65,6.81,2.43,536038
16/02/1990,0.0,6.88,6.79,6.88,2.46,72201
20/02/1990,0.0,6.83,6.76,6.81,2.43,112677
21/02/1990,0.0,6.81,6.74,6.81,2.43,89704
22/02/1990,0.0,6.88,6.79,6.81,2.43,89704
23/02/1990,0.0,6.88,6.79,6.88,2.46,187066
26/02/1990,0.0,6.88,6.81,6.82,2.44,36101
27/02/1990,0.0,6.95,6.81,6.95,2.48,242858
28/02/1990,0.0,7.02,6.88,7.02,2.51,131275
01/03/1990,0.0,7.21,6.99,7.21,2.58,288804
02/03/1990,0.0,7.24,7.18,7.18,2.56,231919
05/03/1990,0.0,7.24,7.11,7.11,2.54,239576
06/03/1990,0.0,7.15,7.04,7.04,2.51,88610
07/03/1990,0.0,7.08,7.02,7.02,2.51,49228
08/03/1990,0.0,7.06,7.02,7.02,2.51,13127
09/03/1990,0.0,7.06,6.99,6.99,2.5,148778
12/03/1990,0.0,6.97,6.9,6.9,2.47,192536
13/03/1990,0.0,6.95,6.79,6.79,2.42,303026
14/03/1990,0.0,6.83,6.78,6.8,2.43,336938
15/03/1990,0.0,6.88,6.79,6.86,2.45,95174
16/03/1990,0.0,6.92,6.86,6.87,2.45,215509
19/03/1990,0.0,6.88,6.83,6.83,2.46,106114
20/03/1990,0.0,6.88,6.81,6.81,2.45,26255
21/03/1990,0.0,6.88,6.81,6.88,2.48,35007
22/03/1990,0.0,6.88,6.79,6.83,2.46,95174
23/03/1990,0.0,6.83,6.79,6.79,2.44,168469
26/03/1990,6.86,6.86,6.79,6.79,2.44,19691
27/03/1990,6.86,6.86,6.74,6.74,2.43,94080
28/03/1990,6.81,6.81,6.74,6.74,2.43,60168
29/03/1990,6.79,6.95,6.79,6.9,2.49,340220
30/03/1990,6.88,6.99,6.88,6.99,2.52,237388
02/04/1990,6.99,6.99,6.92,6.92,2.49,52510
03/04/1990,6.92,7.08,6.92,7.08,2.55,339126
04/04/1990,7.04,7.04,7.04,7.04,2.53,62355
05/04/1990,7.06,7.06,6.97,7.04,2.53,83141
06/04/1990,6.99,7.02,6.86,6.86,2.47,271301
09/04/1990,6.83,6.88,6.81,6.86,2.47,85329
10/04/1990,6.83,6.86,6.81,6.86,2.47,19691
11/04/1990,6.81,6.86,6.81,6.83,2.46,17503
12/04/1990,6.81,6.86,6.81,6.81,2.45,70013
16/04/1990,6.86,6.86,6.81,6.81,2.45,76577
17/04/1990,6.86,6.86,6.81,6.83,2.46,110490
18/04/1990,6.88,6.9,6.86,6.86,2.47,246140
19/04/1990,6.86,6.88,6.83,6.86,2.47,270207
20/04/1990,6.88,6.88,6.83,6.83,2.46,103926
23/04/1990,6.83,6.86,6.7,6.76,2.44,627931
24/04/1990,6.7,6.72,6.67,6.7,2.41,120335
25/04/1990,6.67,6.72,6.65,6.65,2.4,235200
26/04/1990,6.65,6.72,6.51,6.56,2.36,945178
27/04/1990,6.56,6.6,6.56,6.56,2.36,262549
30/04/1990,6.56,6.56,6.42,6.51,2.35,281147
01/05/1990,6.49,6.51,6.49,6.51,2.35,369757
02/05/1990,6.55,6.6,6.54,6.59,2.37,346784
03/05/1990,6.6,6.65,6.58,6.63,2.39,324905
04/05/1990,6.64,6.74,6.63,6.67,2.4,487904
07/05/1990,6.7,6.76,6.7,6.76,2.44,94080
08/05/1990,6.76,6.88,6.76,6.83,2.46,655279
09/05/1990,6.79,6.79,6.72,6.74,2.43,179409
10/05/1990,6.76,6.76,6.67,6.72,2.42,202382
11/05/1990,6.67,6.74,6.67,6.71,2.42,342408
14/05/1990,6.7,6.83,6.7,6.83,2.46,287710
15/05/1990,6.79,6.83,6.79,6.79,2.44,74389
16/05/1990,6.79,6.83,6.79,6.83,2.46,122523
17/05/1990,6.88,6.99,6.84,6.95,2.5,200194
18/05/1990,6.92,6.95,6.9,6.95,2.5,311777
21/05/1990,6.92,6.99,6.92,6.97,2.51,112677
22/05/1990,7.02,7.08,7.02,7.08,2.55,113771
23/05/1990,7.02,7.13,7.02,7.11,2.56,401482
24/05/1990,7.08,7.11,7.06,7.06,2.54,80953
25/05/1990,7.06,7.13,7.06,7.13,2.57,403670
29/05/1990,7.12,7.18,7.11,7.13,2.57,220979
30/05/1990,7.18,7.27,7.18,7.22,2.6,253798
31/05/1990,7.22,7.43,7.22,7.4,2.67,527287
01/06/1990,7.38,7.45,7.38,7.4,2.67,642152
04/06/1990,7.45,7.51,7.43,7.5,2.7,455086
05/06/1990,7.47,7.54,7.47,7.5,2.7,219885
