Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.97,3.99,3.92,3.98,1.9,2020800
03/01/1990,4.0,4.0,3.95,3.97,1.89,2315200
04/01/1990,3.95,3.95,3.88,3.93,1.87,2857600
05/01/1990,3.89,3.9,3.79,3.8,1.81,3929600
08/01/1990,3.79,3.81,3.75,3.8,1.81,2668800
09/01/1990,3.82,3.89,3.81,3.85,1.84,4395200
10/01/1990,3.85,3.87,3.8,3.84,1.83,2006400
11/01/1990,3.86,3.91,3.85,3.89,1.86,3462400
12/01/1990,3.84,3.86,3.82,3.84,1.83,4368000
15/01/1990,3.8,3.88,3.79,3.88,1.85,2454400
16/01/1990,3.81,3.84,3.8,3.82,1.82,4465600
17/01/1990,3.83,3.84,3.78,3.8,1.81,2252800
18/01/1990,3.79,3.8,3.76,3.8,1.81,3283200
19/01/1990,3.77,3.8,3.76,3.8,1.83,2348800
22/01/1990,3.79,3.8,3.69,3.69,1.77,3145600
23/01/1990,3.7,3.72,3.62,3.63,1.75,3102400
24/01/1990,3.55,3.59,3.52,3.57,1.72,11124800
25/01/1990,3.6,3.6,3.45,3.45,1.66,3593600
26/01/1990,3.48,3.51,3.38,3.41,1.64,5921600
29/01/1990,3.39,3.42,3.33,3.38,1.62,3512000
30/01/1990,3.36,3.38,3.3,3.32,1.59,3131200
31/01/1990,3.31,3.41,3.31,3.4,1.63,3228800
01/02/1990,3.4,3.47,3.4,3.44,1.65,3750400
02/02/1990,3.44,3.53,3.44,3.52,1.69,2030400
05/02/1990,3.52,3.55,3.52,3.55,1.71,2340800
06/02/1990,3.54,3.56,3.54,3.55,1.71,4756800
07/02/1990,3.55,3.6,3.52,3.6,1.73,3648000
08/02/1990,3.6,3.7,3.6,3.66,1.76,4387200
09/02/1990,3.66,3.69,3.64,3.69,1.77,2460800
12/02/1990,3.67,3.68,3.59,3.59,1.72,2219200
13/02/1990,3.59,3.59,3.54,3.55,1.71,1227200
14/02/1990,3.54,3.58,3.48,3.52,1.69,1883200
15/02/1990,3.52,3.57,3.52,3.56,1.71,2083200
16/02/1990,3.59,3.59,3.52,3.52,1.69,2324800
20/02/1990,3.51,3.52,3.44,3.47,1.67,1571200
21/02/1990,3.45,3.5,3.43,3.5,1.68,3297600
22/02/1990,3.52,3.54,3.48,3.48,1.67,2596800
23/02/1990,3.45,3.45,3.42,3.45,1.66,2792000
26/02/1990,3.42,3.47,3.42,3.46,1.66,3204800
27/02/1990,3.5,3.56,3.48,3.52,1.69,2392000
28/02/1990,3.51,3.55,3.51,3.55,1.7,1233600
01/03/1990,3.55,3.56,3.48,3.48,1.67,2193600
02/03/1990,3.49,3.5,3.39,3.47,1.67,3827200
05/03/1990,3.46,3.47,3.43,3.43,1.65,2947200
06/03/1990,3.44,3.48,3.43,3.47,1.67,4105600
07/03/1990,3.5,3.59,3.5,3.59,1.72,5915200
08/03/1990,3.62,3.7,3.61,3.68,1.77,4484800
09/03/1990,3.7,3.7,3.62,3.62,1.74,4832000
12/03/1990,3.64,3.69,3.62,3.68,1.77,1417600
13/03/1990,3.66,3.66,3.62,3.65,1.75,1979200
14/03/1990,3.65,3.66,3.64,3.66,1.76,1348800
15/03/1990,3.68,3.75,3.66,3.75,1.8,1953600
16/03/1990,3.77,3.8,3.75,3.77,1.81,3963200
19/03/1990,3.73,3.79,3.72,3.79,1.82,4462400
20/03/1990,3.76,3.8,3.73,3.73,1.79,2425600
21/03/1990,3.73,3.79,3.73,3.76,1.81,1102400
22/03/1990,3.74,3.77,3.63,3.66,1.76,3260800
23/03/1990,3.66,3.69,3.66,3.68,1.77,2739200
26/03/1990,3.66,3.68,3.65,3.66,1.76,1534400
27/03/1990,3.63,3.67,3.62,3.67,1.76,1300800
28/03/1990,3.66,3.72,3.66,3.7,1.78,854400
29/03/1990,3.69,3.72,3.69,3.71,1.78,1409600
30/03/1990,3.7,3.72,3.67,3.72,1.79,979200
02/04/1990,3.7,3.7,3.66,3.69,1.77,1156800
03/04/1990,3.68,3.72,3.68,3.71,1.78,2873600
04/04/1990,3.69,3.7,3.62,3.65,1.75,3929600
05/04/1990,3.66,3.66,3.64,3.66,1.76,1745600
06/04/1990,3.66,3.66,3.57,3.58,1.72,1937600
09/04/1990,3.58,3.59,3.52,3.59,1.72,3683200
10/04/1990,3.61,3.61,3.59,3.6,1.73,1862400
11/04/1990,3.58,3.59,3.55,3.56,1.71,3740800
12/04/1990,3.55,3.64,3.55,3.63,1.75,3140800
16/04/1990,3.63,3.67,3.63,3.65,1.75,3108800
17/04/1990,3.62,3.64,3.59,3.62,1.74,2686400
18/04/1990,3.62,3.62,3.54,3.55,1.71,2811200
19/04/1990,3.53,3.57,3.52,3.54,1.71,3188800
20/04/1990,3.59,3.59,3.54,3.57,1.73,5160000
23/04/1990,3.55,3.55,3.51,3.51,1.7,1436800
24/04/1990,3.51,3.54,3.51,3.52,1.71,1726400
25/04/1990,3.52,3.55,3.52,3.54,1.71,3227200
26/04/1990,3.56,3.58,3.53,3.57,1.73,2347200
27/04/1990,3.56,3.58,3.54,3.55,1.72,2502400
30/04/1990,3.54,3.54,3.51,3.52,1.71,1262400
01/05/1990,3.55,3.56,3.5,3.51,1.7,4081600
02/05/1990,3.52,3.53,3.5,3.52,1.71,2361600
03/05/1990,3.53,3.59,3.53,3.59,1.74,4558400
04/05/1990,3.62,3.63,3.6,3.63,1.76,2166400
