Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,10.53,10.75,10.44,10.75,4.21,266800
03/01/1990,10.69,10.97,10.62,10.75,4.21,274800
04/01/1990,10.75,10.75,10.59,10.72,4.2,217200
05/01/1990,10.66,10.69,10.47,10.53,4.12,428000
08/01/1990,10.56,10.56,10.5,10.53,4.12,270400
09/01/1990,10.47,10.5,10.25,10.25,4.01,185200
10/01/1990,10.31,10.41,10.03,10.06,3.94,750000
11/01/1990,10.12,10.25,10.06,10.16,3.97,187600
12/01/1990,10.09,10.22,10.0,10.0,3.91,238000
15/01/1990,10.03,10.03,9.94,9.97,3.9,337200
16/01/1990,9.94,9.97,9.94,9.97,3.9,543200
17/01/1990,9.94,10.09,9.91,10.0,3.91,362400
18/01/1990,9.97,10.06,9.91,10.06,3.94,287200
19/01/1990,10.06,10.09,9.94,9.97,3.9,652000
22/01/1990,9.91,9.97,9.66,9.66,3.81,686800
23/01/1990,9.72,9.75,9.59,9.59,3.78,361200
24/01/1990,9.5,9.59,9.44,9.5,3.75,351600
25/01/1990,9.56,9.59,9.44,9.47,3.73,371200
26/01/1990,9.47,9.53,9.25,9.31,3.67,712400
29/01/1990,9.38,9.5,9.28,9.47,3.73,242800
30/01/1990,9.44,9.47,9.03,9.16,3.61,900800
31/01/1990,9.16,9.69,9.16,9.69,3.82,396400
01/02/1990,9.69,9.84,9.59,9.84,3.88,239600
02/02/1990,9.84,9.88,9.72,9.75,3.85,403600
05/02/1990,9.75,9.75,9.62,9.69,3.82,364800
06/02/1990,9.69,9.72,9.62,9.69,3.82,184000
07/02/1990,9.62,9.72,9.59,9.69,3.82,298000
08/02/1990,9.69,9.69,9.59,9.62,3.8,398400
09/02/1990,9.62,9.66,9.53,9.66,3.81,306400
12/02/1990,9.59,9.62,9.44,9.47,3.73,420800
13/02/1990,9.5,9.53,9.44,9.5,3.75,264800
14/02/1990,9.53,9.59,9.5,9.59,3.78,202000
15/02/1990,9.62,9.84,9.62,9.84,3.88,505600
16/02/1990,9.84,9.84,9.72,9.78,3.86,217600
20/02/1990,9.75,9.75,9.69,9.75,3.85,198400
21/02/1990,9.72,9.72,9.62,9.66,3.81,466000
22/02/1990,9.62,9.66,9.56,9.56,3.77,365600
23/02/1990,9.56,9.59,9.47,9.47,3.73,207600
26/02/1990,9.53,9.69,9.53,9.69,3.82,174800
27/02/1990,9.69,9.69,9.56,9.59,3.78,169200
28/02/1990,9.59,9.66,9.59,9.59,3.78,159600
01/03/1990,9.53,9.72,9.53,9.66,3.81,272800
02/03/1990,9.66,9.66,9.5,9.5,3.75,401600
05/03/1990,9.44,9.47,9.31,9.31,3.67,575600
06/03/1990,9.38,9.38,9.28,9.34,3.69,1266400
07/03/1990,9.38,9.47,9.25,9.47,3.73,728000
08/03/1990,9.44,9.47,9.38,9.47,3.73,814000
09/03/1990,9.47,9.5,9.41,9.44,3.72,178400
12/03/1990,9.44,9.44,9.38,9.44,3.72,172400
13/03/1990,9.44,9.47,9.38,9.44,3.72,414800
14/03/1990,9.44,9.47,9.41,9.47,3.73,293600
15/03/1990,9.41,9.47,9.41,9.44,3.72,284400
16/03/1990,9.47,9.47,9.44,9.47,3.73,448000
19/03/1990,9.44,9.62,9.41,9.62,3.8,627600
20/03/1990,9.62,9.88,9.56,9.81,3.87,594800
21/03/1990,9.81,10.0,9.81,9.81,3.87,395600
22/03/1990,9.75,9.78,9.5,9.56,3.77,347200
23/03/1990,9.56,9.69,9.56,9.62,3.8,320400
26/03/1990,9.69,9.72,9.62,9.66,3.81,312800
27/03/1990,9.62,9.75,9.59,9.75,3.85,371200
28/03/1990,9.75,9.75,9.66,9.72,3.83,337200
29/03/1990,9.78,9.84,9.75,9.81,3.87,291200
30/03/1990,9.88,9.94,9.72,9.94,3.92,547600
