Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,10.78,10.67,10.75,3.42,237150
03/01/1990,0.0,10.89,10.61,10.61,3.38,461250
04/01/1990,0.0,10.72,10.61,10.67,3.4,443250
05/01/1990,0.0,10.78,10.61,10.75,3.42,147150
08/01/1990,0.0,10.78,10.61,10.61,3.38,149850
09/01/1990,0.0,10.78,10.61,10.78,3.43,202950
10/01/1990,0.0,10.72,10.56,10.56,3.36,197550
11/01/1990,0.0,10.67,10.56,10.64,3.39,71100
12/01/1990,0.0,10.56,10.28,10.28,3.27,290700
15/01/1990,0.0,10.39,10.17,10.33,3.29,90900
16/01/1990,0.0,10.28,10.11,10.28,3.27,281250
17/01/1990,0.0,10.44,10.17,10.28,3.27,397350
18/01/1990,0.0,10.28,10.17,10.28,3.27,237150
19/01/1990,0.0,10.28,10.0,10.11,3.22,170550
22/01/1990,0.0,10.11,9.83,9.83,3.13,161100
23/01/1990,0.0,10.0,9.83,9.83,3.13,139050
24/01/1990,0.0,9.83,9.61,9.72,3.09,126000
25/01/1990,0.0,9.78,9.61,9.72,3.09,123750
26/01/1990,0.0,9.72,9.5,9.56,3.04,381600
29/01/1990,0.0,9.61,9.5,9.5,3.02,189900
30/01/1990,0.0,9.61,9.42,9.5,3.02,208350
31/01/1990,0.0,9.56,9.44,9.56,3.04,98550
01/02/1990,0.0,9.61,9.5,9.53,3.03,154800
02/02/1990,0.0,9.64,9.5,9.61,3.06,316350
05/02/1990,0.0,9.72,9.61,9.72,3.09,62550
06/02/1990,0.0,9.89,9.72,9.89,3.15,307350
07/02/1990,0.0,10.06,9.78,9.89,3.15,209700
08/02/1990,0.0,10.0,9.83,9.89,3.15,193050
09/02/1990,0.0,9.94,9.83,9.94,3.17,211500
12/02/1990,0.0,9.94,9.78,9.83,3.13,49050
13/02/1990,0.0,9.83,9.67,9.72,3.09,191250
14/02/1990,0.0,9.78,9.5,9.61,3.06,398250
15/02/1990,0.0,9.72,9.5,9.72,3.09,428850
16/02/1990,0.0,9.78,9.67,9.78,3.11,90900
20/02/1990,0.0,9.78,9.61,9.72,3.09,151650
21/02/1990,0.0,9.72,9.61,9.67,3.08,533250
22/02/1990,0.0,9.83,9.67,9.72,3.09,328500
23/02/1990,0.0,9.83,9.72,9.78,3.11,169200
26/02/1990,0.0,9.78,9.72,9.72,3.09,21150
27/02/1990,0.0,9.94,9.72,9.94,3.17,78750
28/02/1990,0.0,9.94,9.83,9.94,3.17,80100
01/03/1990,0.0,9.94,9.83,9.92,3.16,51300
02/03/1990,0.0,10.11,9.89,10.11,3.22,150750
05/03/1990,0.0,10.28,10.11,10.28,3.27,166950
06/03/1990,0.0,10.39,10.22,10.39,3.31,41850
07/03/1990,0.0,10.44,10.28,10.44,3.32,55350
08/03/1990,0.0,10.56,10.28,10.56,3.36,175500
09/03/1990,0.0,10.5,10.33,10.36,3.34,248400
12/03/1990,0.0,10.44,10.17,10.28,3.32,278550
13/03/1990,0.0,10.22,10.11,10.22,3.3,602550
14/03/1990,0.0,10.22,10.11,10.22,3.3,202950
15/03/1990,0.0,10.33,10.11,10.33,3.34,552600
16/03/1990,0.0,10.5,10.28,10.5,3.39,135900
19/03/1990,0.0,10.44,10.39,10.39,3.35,51750
20/03/1990,0.0,10.5,10.39,10.44,3.37,687600
21/03/1990,0.0,10.5,10.33,10.5,3.39,42750
22/03/1990,0.0,10.44,10.33,10.44,3.37,77850
23/03/1990,0.0,10.5,10.33,10.33,3.34,3150
26/03/1990,10.5,10.5,10.33,10.33,3.34,34200
27/03/1990,10.39,10.5,10.33,10.33,3.34,46350
28/03/1990,10.28,10.33,10.28,10.28,3.32,18450
29/03/1990,10.28,10.39,10.22,10.31,3.33,837000
30/03/1990,10.22,10.39,10.22,10.39,3.35,780300
02/04/1990,10.39,10.39,10.22,10.33,3.34,192600
03/04/1990,10.22,10.39,10.22,10.25,3.31,171450
04/04/1990,10.28,10.33,10.17,10.33,3.34,113400
05/04/1990,10.22,10.22,9.67,9.67,3.12,363150
06/04/1990,9.78,9.78,9.56,9.64,3.11,1188900
09/04/1990,9.56,9.72,9.56,9.72,3.14,157950
10/04/1990,9.67,9.72,9.61,9.67,3.12,149400
11/04/1990,9.56,9.67,9.56,9.56,3.08,157950
12/04/1990,9.67,9.72,9.61,9.67,3.12,616950
16/04/1990,9.61,9.83,9.61,9.72,3.14,388350
17/04/1990,9.72,9.83,9.72,9.78,3.16,94050
18/04/1990,9.72,9.78,9.67,9.67,3.12,31050
19/04/1990,9.67,9.72,9.5,9.61,3.1,399600
20/04/1990,9.5,9.56,9.44,9.56,3.08,36000
23/04/1990,9.56,9.56,9.39,9.44,3.05,141300
24/04/1990,9.47,9.5,9.39,9.39,3.03,132750
25/04/1990,9.44,9.44,9.28,9.39,3.03,187200
26/04/1990,9.33,9.33,9.06,9.11,2.94,876600
27/04/1990,9.22,9.22,9.06,9.11,2.94,710100
30/04/1990,9.11,9.11,8.94,8.94,2.89,337050
01/05/1990,9.06,9.06,8.78,8.83,2.85,592650
02/05/1990,8.83,8.83,8.78,8.83,2.85,681300
03/05/1990,8.83,8.89,8.78,8.89,2.87,775350
04/05/1990,8.89,8.94,8.83,8.94,2.89,895500
07/05/1990,8.94,9.0,8.94,9.0,2.9,168750
08/05/1990,9.0,9.0,8.94,8.97,2.9,317700
09/05/1990,9.0,9.0,8.78,8.78,2.83,235800
10/05/1990,8.78,8.89,8.44,8.72,2.82,1958850
11/05/1990,8.72,8.94,8.72,8.92,2.88,1107000
14/05/1990,9.0,9.11,8.94,9.03,2.91,490050
15/05/1990,9.11,9.22,8.94,9.22,2.98,1009800
16/05/1990,9.22,9.33,9.11,9.22,2.98,221400
17/05/1990,9.22,9.33,9.22,9.33,3.01,308250
18/05/1990,9.39,9.5,9.33,9.44,3.05,590850
21/05/1990,9.44,9.5,9.33,9.5,3.07,874800
22/05/1990,9.56,9.56,9.44,9.56,3.08,127800
23/05/1990,9.56,9.78,9.5,9.78,3.16,175500
24/05/1990,9.78,9.83,9.72,9.78,3.16,508500
25/05/1990,9.78,9.94,9.67,9.86,3.18,422100
29/05/1990,9.94,9.94,9.78,9.89,3.19,83250
30/05/1990,9.86,9.94,9.83,9.94,3.21,279900
31/05/1990,9.89,10.06,9.83,9.94,3.21,198000
01/06/1990,10.06,10.06,9.94,10.0,3.23,240750
04/06/1990,9.94,10.17,9.94,10.11,3.26,177750
05/06/1990,10.22,10.56,10.17,10.39,3.35,592200
06/06/1990,10.39,10.67,10.39,10.61,3.42,247050
07/06/1990,10.67,10.67,10.5,10.53,3.4,180900
08/06/1990,10.5,10.61,10.5,10.58,3.42,71550
11/06/1990,10.44,10.61,10.39,10.5,3.44,90450
12/06/1990,10.5,10.61,10.5,10.61,3.47,189000
13/06/1990,10.61,10.61,10.39,10.5,3.44,301500
14/06/1990,10.42,10.44,10.33,10.33,3.38,761850
15/06/1990,10.39,10.39,10.17,10.17,3.33,214200
18/06/1990,10.11,10.22,10.11,10.22,3.34,13950
19/06/1990,10.11,10.22,10.0,10.11,3.31,113850
20/06/1990,10.17,10.17,10.06,10.06,3.29,75600
21/06/1990,10.06,10.17,10.0,10.17,3.33,157500
22/06/1990,10.06,10.28,10.06,10.28,3.36,267300
25/06/1990,10.22,10.28,10.17,10.28,3.36,245700
26/06/1990,10.28,10.28,10.17,10.28,3.36,261450
27/06/1990,10.25,10.33,10.22,10.25,3.35,288900
28/06/1990,10.28,10.39,10.28,10.39,3.4,265050
29/06/1990,10.44,10.44,10.33,10.33,3.38,114750
02/07/1990,10.28,10.39,10.28,10.39,3.4,121500
03/07/1990,10.28,10.39,10.28,10.39,3.4,332550
05/07/1990,10.28,10.36,10.28,10.36,3.39,41850
06/07/1990,10.28,10.33,10.22,10.28,3.36,107550
09/07/1990,10.22,10.33,10.22,10.33,3.38,31050
