Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.86,1.93,1.83,1.93,1.32,2633400
03/01/1990,1.93,1.96,1.9,1.94,1.33,2278800
04/01/1990,1.94,1.96,1.86,1.9,1.3,3684600
05/01/1990,1.9,1.9,1.86,1.86,1.28,976500
08/01/1990,1.86,1.89,1.85,1.88,1.28,2363400
09/01/1990,1.88,1.89,1.79,1.79,1.23,1719000
10/01/1990,1.79,1.79,1.71,1.74,1.19,1935000
11/01/1990,1.76,1.78,1.72,1.72,1.18,2412000
12/01/1990,1.68,1.71,1.61,1.62,1.11,3118500
15/01/1990,1.62,1.62,1.54,1.57,1.08,7143300
16/01/1990,1.54,1.67,1.5,1.64,1.12,6711300
17/01/1990,1.65,1.68,1.62,1.64,1.12,1962900
18/01/1990,1.62,1.64,1.57,1.58,1.08,2219400
19/01/1990,1.62,1.74,1.62,1.65,1.13,3577500
22/01/1990,1.67,1.67,1.6,1.6,1.09,1143000
23/01/1990,1.62,1.65,1.6,1.62,1.11,960300
24/01/1990,1.57,1.61,1.54,1.58,1.08,2372400
25/01/1990,1.64,1.64,1.57,1.58,1.08,2337300
26/01/1990,1.57,1.6,1.54,1.58,1.08,3380400
29/01/1990,1.6,1.62,1.57,1.6,1.09,2020500
30/01/1990,1.58,1.61,1.54,1.56,1.07,2108700
31/01/1990,1.56,1.64,1.54,1.64,1.12,2114100
01/02/1990,1.64,1.64,1.58,1.6,1.09,1321200
02/02/1990,1.58,1.6,1.54,1.56,1.07,3767400
05/02/1990,1.56,1.57,1.56,1.57,1.08,3151800
06/02/1990,1.56,1.57,1.53,1.54,1.06,3339000
07/02/1990,1.53,1.54,1.5,1.54,1.06,4707900
08/02/1990,1.56,1.61,1.54,1.6,1.09,2902500
09/02/1990,1.6,1.64,1.57,1.62,1.11,1740600
12/02/1990,1.62,1.67,1.62,1.64,1.12,2425500
13/02/1990,1.64,1.68,1.64,1.68,1.15,1979100
14/02/1990,1.67,1.71,1.65,1.68,1.15,4070700
15/02/1990,1.67,1.68,1.62,1.65,1.13,1818000
16/02/1990,1.69,1.71,1.67,1.69,1.16,2522700
20/02/1990,1.67,1.67,1.61,1.64,1.12,1840500
21/02/1990,1.57,1.61,1.56,1.61,1.1,751500
22/02/1990,1.6,1.61,1.54,1.54,1.06,887400
23/02/1990,1.53,1.54,1.42,1.46,1.0,8495100
26/02/1990,1.46,1.47,1.39,1.42,0.97,2705400
27/02/1990,1.43,1.49,1.4,1.46,1.0,3150000
28/02/1990,1.46,1.54,1.46,1.51,1.04,2091600
01/03/1990,1.5,1.54,1.49,1.53,1.05,1701900
02/03/1990,1.51,1.56,1.51,1.56,1.07,1944000
05/03/1990,1.56,1.57,1.53,1.53,1.05,1601100
06/03/1990,1.53,1.58,1.53,1.58,1.09,831600
07/03/1990,1.57,1.61,1.57,1.6,1.1,1055700
08/03/1990,1.61,1.69,1.6,1.69,1.16,916200
09/03/1990,1.69,1.69,1.64,1.67,1.14,1614600
12/03/1990,1.65,1.65,1.61,1.62,1.12,2220300
13/03/1990,1.61,1.64,1.58,1.58,1.09,1212300
