Date,Open,High,Low,Close,Adj Close,Volume
06/12/2002,7.8,8.64,7.78,8.58,4.46,27551000
09/12/2002,8.54,8.56,8.23,8.4,4.37,3149500
10/12/2002,8.41,8.66,8.33,8.55,4.45,1723000
11/12/2002,8.54,9.1,8.46,9.01,4.69,2549000
12/12/2002,9.01,9.01,8.72,8.78,4.57,1355500
13/12/2002,8.78,8.79,8.65,8.73,4.54,987500
16/12/2002,8.7,8.75,8.59,8.62,4.48,798000
17/12/2002,8.6,8.8,8.56,8.65,4.5,1646000
18/12/2002,8.64,8.64,8.51,8.53,4.44,742000
19/12/2002,8.51,8.54,8.43,8.46,4.4,684000
20/12/2002,8.48,8.92,8.4,8.89,4.63,904500
23/12/2002,8.87,8.91,8.67,8.68,4.52,638500
24/12/2002,8.72,8.72,8.59,8.61,4.48,218000
26/12/2002,8.62,8.63,8.51,8.52,4.43,325000
27/12/2002,8.5,8.5,8.35,8.4,4.37,830500
30/12/2002,8.46,8.57,8.42,8.46,4.4,1076500
31/12/2002,8.45,8.76,8.45,8.73,4.54,1778000
02/01/2003,8.73,8.79,8.69,8.74,4.55,315000
03/01/2003,8.74,9.16,8.7,9.16,4.77,861500
06/01/2003,9.01,9.67,9.01,9.62,5.0,1874500
07/01/2003,9.6,9.72,9.45,9.6,5.0,1383000
08/01/2003,9.61,9.65,9.53,9.6,5.0,411000
09/01/2003,9.62,9.84,9.53,9.81,5.1,649000
10/01/2003,9.77,9.87,9.74,9.8,5.1,844000
13/01/2003,9.8,9.94,9.77,9.92,5.16,810000
14/01/2003,9.92,10.0,9.81,9.82,5.11,554000
15/01/2003,9.68,9.68,9.35,9.41,4.9,1459000
16/01/2003,9.4,9.4,9.05,9.08,4.72,725000
17/01/2003,9.05,9.1,8.96,9.0,4.68,590500
21/01/2003,9.01,9.04,8.85,8.89,4.63,468000
22/01/2003,8.86,8.88,8.82,8.83,4.59,163500
23/01/2003,8.84,9.15,8.83,9.09,4.73,476000
24/01/2003,9.07,9.42,9.0,9.4,4.89,685000
27/01/2003,9.36,9.38,9.24,9.25,4.81,209000
28/01/2003,9.26,9.32,9.2,9.2,4.79,364500
29/01/2003,9.18,9.4,9.15,9.3,4.84,401500
30/01/2003,9.3,9.32,8.76,8.84,4.6,735000
31/01/2003,8.8,8.81,8.4,8.5,4.42,2886000
03/02/2003,8.49,8.58,8.43,8.47,4.41,780000
04/02/2003,8.44,8.44,8.31,8.4,4.37,740000
05/02/2003,8.39,8.4,8.27,8.35,4.34,1159000
06/02/2003,8.34,8.4,8.29,8.3,4.32,1077500
07/02/2003,8.32,8.43,8.31,8.42,4.38,744500
10/02/2003,8.42,8.68,8.41,8.6,4.47,278500
11/02/2003,8.6,8.71,8.58,8.58,4.46,222500
12/02/2003,8.55,8.59,8.5,8.58,4.46,355500
13/02/2003,8.57,8.74,8.56,8.7,4.53,265500
14/02/2003,8.74,8.96,8.74,8.9,4.63,958000
18/02/2003,8.95,8.96,8.83,8.9,4.63,753500
19/02/2003,8.91,9.0,8.88,8.95,4.66,420500
20/02/2003,8.96,9.02,8.94,9.01,4.69,159000
