Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,37.75,37.88,37.5,37.62,13.21,81100
03/01/1990,38.0,38.5,38.0,38.5,13.52,261400
04/01/1990,38.5,38.5,37.75,38.0,13.34,80900
05/01/1990,37.75,37.88,37.25,37.5,13.17,65400
08/01/1990,37.75,37.88,37.25,37.75,13.26,79800
09/01/1990,37.5,37.5,36.38,36.38,12.77,205500
10/01/1990,36.5,37.0,36.38,37.0,12.99,109900
11/01/1990,37.0,37.0,36.75,36.75,12.9,101800
12/01/1990,36.5,36.5,36.0,36.25,12.73,115800
15/01/1990,36.12,36.12,35.38,35.38,12.42,86900
16/01/1990,35.12,36.0,34.88,35.88,12.6,173100
17/01/1990,36.12,36.12,35.75,35.88,12.6,144500
18/01/1990,36.0,36.0,35.5,35.88,12.6,49400
19/01/1990,36.0,36.62,36.0,36.38,12.77,234300
22/01/1990,36.25,36.5,35.25,35.25,12.38,112700
23/01/1990,35.62,36.0,34.62,34.88,12.25,234200
24/01/1990,34.0,34.38,33.62,34.25,12.03,167700
25/01/1990,34.5,34.5,33.0,33.0,11.59,498100
26/01/1990,33.0,33.62,32.75,33.5,11.76,567900
29/01/1990,33.88,33.88,33.12,33.38,11.72,136100
30/01/1990,33.5,33.75,32.5,32.62,11.49,488200
31/01/1990,33.12,33.75,33.12,33.75,11.89,380800
01/02/1990,34.0,34.38,33.88,34.38,12.11,166300
02/02/1990,34.25,34.62,34.12,34.5,12.15,66600
05/02/1990,34.25,34.62,34.25,34.62,12.19,58000
06/02/1990,34.38,34.5,34.0,34.25,12.06,103100
07/02/1990,34.0,34.62,33.88,34.62,12.19,56000
08/02/1990,34.62,35.12,34.5,34.88,12.28,262100
09/02/1990,35.0,35.0,34.75,34.88,12.28,89600
12/02/1990,34.75,35.0,34.75,35.0,12.33,111900
13/02/1990,34.75,34.88,34.62,34.75,12.24,381400
14/02/1990,34.75,34.75,34.0,34.38,12.11,76000
15/02/1990,34.62,34.75,34.5,34.75,12.24,42700
16/02/1990,34.62,34.75,34.25,34.38,12.11,64800
20/02/1990,34.25,34.5,34.12,34.38,12.11,145200
21/02/1990,34.12,34.38,34.0,34.0,11.97,103700
