Date,Open,High,Low,Close,Adj Close,Volume
16/11/1994,5.33,5.38,5.33,5.33,3.82,8343900
17/11/1994,5.33,5.42,5.29,5.42,3.88,4872000
18/11/1994,5.46,5.54,5.42,5.5,3.94,1468800
21/11/1994,5.54,5.54,5.38,5.38,3.85,348600
22/11/1994,5.33,5.38,5.12,5.12,3.67,709800
23/11/1994,5.08,5.17,5.04,5.08,3.64,906600
25/11/1994,5.08,5.17,5.08,5.17,3.7,132600
28/11/1994,5.21,5.21,5.08,5.08,3.64,280500
29/11/1994,5.08,5.12,5.08,5.12,3.67,187500
30/11/1994,5.08,5.12,5.08,5.08,3.64,130800
01/12/1994,5.12,5.12,4.92,4.92,3.52,794400
02/12/1994,4.92,4.92,4.88,4.92,3.52,54600
05/12/1994,4.92,4.92,4.88,4.92,3.52,19800
06/12/1994,4.92,4.92,4.88,4.88,3.49,91200
07/12/1994,4.92,4.92,4.83,4.83,3.46,77700
08/12/1994,4.83,4.88,4.79,4.79,3.43,169200
09/12/1994,4.75,4.75,4.62,4.67,3.34,272100
12/12/1994,4.75,4.88,4.71,4.75,3.4,284400
13/12/1994,4.75,4.75,4.71,4.71,3.37,146100
14/12/1994,4.75,4.83,4.75,4.79,3.43,442200
15/12/1994,4.79,4.88,4.79,4.83,3.46,274200
16/12/1994,4.88,5.12,4.88,5.12,3.67,442500
19/12/1994,5.08,5.08,5.0,5.04,3.61,47400
20/12/1994,5.04,5.12,5.04,5.04,3.61,128400
21/12/1994,5.08,5.17,5.08,5.17,3.7,96600
22/12/1994,5.17,5.21,5.08,5.21,3.73,248400
23/12/1994,5.25,5.33,5.25,5.33,3.82,189600
27/12/1994,5.33,5.42,5.29,5.38,3.85,113700
28/12/1994,5.33,5.38,5.33,5.38,3.85,62100
29/12/1994,5.38,5.38,5.33,5.33,3.82,190800
30/12/1994,5.33,5.33,5.33,5.33,3.82,15900
03/01/1995,5.38,5.38,5.25,5.33,3.82,93300
04/01/1995,5.33,5.38,5.29,5.38,3.85,45300
05/01/1995,5.38,5.42,5.29,5.38,3.85,54300
06/01/1995,5.29,5.29,5.21,5.25,3.76,294000
09/01/1995,5.29,5.29,5.25,5.25,3.76,24000
10/01/1995,5.25,5.29,5.25,5.29,3.79,19200
11/01/1995,5.25,5.25,5.25,5.25,3.76,10800
12/01/1995,5.25,5.25,5.25,5.25,3.76,76200
13/01/1995,5.25,5.25,5.17,5.25,3.76,84600
16/01/1995,5.29,5.38,5.29,5.33,3.82,834300
17/01/1995,5.33,5.33,5.33,5.33,3.82,186300
18/01/1995,5.33,5.33,5.21,5.25,3.76,60900
19/01/1995,5.25,5.25,5.21,5.21,3.73,48600
20/01/1995,5.21,5.21,5.17,5.17,3.7,43500
23/01/1995,5.21,5.21,5.12,5.17,3.7,115200
24/01/1995,5.21,5.21,5.21,5.21,3.73,35100
25/01/1995,5.21,5.46,5.21,5.38,3.85,83100
26/01/1995,5.38,5.42,5.33,5.33,3.82,92100
27/01/1995,5.38,5.38,5.33,5.38,3.85,24300
30/01/1995,5.38,5.38,5.33,5.38,3.85,70800
31/01/1995,5.38,5.4,5.33,5.4,3.86,354000
01/02/1995,5.42,5.46,5.38,5.46,3.91,133200
02/02/1995,5.46,5.62,5.46,5.58,4.0,306600
03/02/1995,5.54,5.58,5.5,5.58,4.0,278700
06/02/1995,5.58,5.62,5.54,5.58,4.0,227100
07/02/1995,5.58,5.58,5.5,5.54,3.97,361500
08/02/1995,5.54,5.71,5.5,5.67,4.06,494400
09/02/1995,5.75,5.92,5.75,5.79,4.15,214200
10/02/1995,5.83,5.83,5.67,5.71,4.09,137400
13/02/1995,5.71,5.71,5.58,5.62,4.03,516300
14/02/1995,5.58,5.58,5.42,5.46,3.91,1084800
15/02/1995,5.46,5.71,5.46,5.71,4.09,870000
16/02/1995,5.71,5.71,5.62,5.67,4.06,347700
17/02/1995,5.67,5.67,5.62,5.67,4.06,154200
21/02/1995,5.67,5.71,5.62,5.71,4.09,644400
22/02/1995,5.71,5.83,5.71,5.79,4.15,874800
23/02/1995,5.83,5.88,5.79,5.79,4.15,1391700
24/02/1995,5.79,5.79,5.67,5.71,4.09,830700
27/02/1995,5.67,5.71,5.62,5.67,4.06,310500
28/02/1995,5.75,6.08,5.75,6.08,4.36,3169500
01/03/1995,6.12,6.5,6.08,6.46,4.62,3259200
02/03/1995,6.5,6.67,6.46,6.62,4.74,2352900
03/03/1995,6.62,6.62,6.46,6.46,4.62,1156800
06/03/1995,6.33,6.42,6.25,6.29,4.5,1407900
07/03/1995,6.25,6.33,6.25,6.33,4.53,1043100
08/03/1995,6.38,6.46,6.38,6.38,4.56,774300
09/03/1995,6.38,6.38,6.33,6.38,4.56,480000
10/03/1995,6.33,6.38,6.25,6.29,4.5,770400
13/03/1995,6.33,6.33,6.29,6.29,4.5,583200
14/03/1995,6.38,6.46,6.29,6.46,4.62,1176600
15/03/1995,6.46,6.54,6.42,6.46,4.62,1154700
16/03/1995,6.5,6.5,6.17,6.25,4.48,1067100
17/03/1995,6.17,6.33,6.17,6.21,4.45,1276500
20/03/1995,6.21,6.38,6.17,6.38,4.56,735000
21/03/1995,6.38,6.5,6.25,6.25,4.48,1121100
22/03/1995,6.29,6.33,6.21,6.33,4.53,452700
23/03/1995,6.29,6.29,6.21,6.25,4.48,672600
24/03/1995,6.21,6.38,6.21,6.25,4.48,1575600
27/03/1995,6.29,6.46,6.29,6.46,4.62,937500
28/03/1995,6.42,6.5,6.38,6.42,4.59,741300
29/03/1995,6.42,6.5,6.33,6.33,4.53,1026900
30/03/1995,6.38,6.38,6.29,6.38,4.56,700200
31/03/1995,6.46,6.46,6.29,6.38,4.56,720300
03/04/1995,6.38,6.38,6.29,6.38,4.56,462300
04/04/1995,6.38,6.42,6.29,6.29,4.5,529800
05/04/1995,6.21,6.38,6.21,6.21,4.45,1110900
06/04/1995,6.25,6.29,6.25,6.25,4.48,546000
07/04/1995,6.29,6.29,6.08,6.08,4.36,1371000
10/04/1995,6.12,6.38,6.12,6.38,4.56,1105500
11/04/1995,6.33,6.5,6.33,6.38,4.56,620700
12/04/1995,6.5,6.71,6.5,6.62,4.74,2507400
13/04/1995,6.62,6.83,6.62,6.79,4.86,1372200
17/04/1995,6.83,6.96,6.79,6.79,4.86,832800
18/04/1995,6.83,6.83,6.71,6.75,4.83,2180100
19/04/1995,6.75,6.88,6.46,6.58,4.71,2268000
20/04/1995,6.58,6.79,6.54,6.67,4.77,2178300
21/04/1995,6.67,6.67,6.58,6.58,4.71,675000
