Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,11.62,11.62,11.38,11.62,7.84,839200
03/01/1990,11.69,11.94,11.69,11.81,7.97,658000
04/01/1990,11.81,12.06,11.81,11.94,8.05,1148400
05/01/1990,11.94,12.06,11.88,12.0,8.09,414400
08/01/1990,11.88,12.0,11.69,11.78,7.95,770800
09/01/1990,11.75,11.88,11.69,11.69,7.88,602000
10/01/1990,11.69,11.81,11.44,11.44,7.71,738800
11/01/1990,11.56,11.62,11.0,11.0,7.42,4134800
12/01/1990,10.81,10.88,10.22,10.38,7.0,4424800
15/01/1990,10.44,10.44,10.19,10.25,6.91,1728800
16/01/1990,10.12,10.62,10.06,10.53,7.1,2256800
17/01/1990,10.62,10.69,10.19,10.22,6.89,672800
18/01/1990,10.06,10.19,10.0,10.06,6.79,1188000
19/01/1990,10.19,10.25,10.06,10.09,6.81,736000
22/01/1990,10.12,10.12,9.56,9.62,6.49,1088000
23/01/1990,9.69,9.88,9.56,9.81,6.62,1053200
24/01/1990,9.56,10.0,9.44,9.88,6.66,1460000
25/01/1990,10.06,10.06,9.88,9.94,6.7,1076400
26/01/1990,9.94,10.0,9.88,10.0,6.74,1361200
29/01/1990,9.94,10.06,9.81,9.81,6.62,1201200
30/01/1990,9.81,9.88,9.62,9.75,6.58,1848000
31/01/1990,9.81,9.88,9.75,9.84,6.64,738400
01/02/1990,9.88,9.94,9.69,9.75,6.58,3755600
02/02/1990,9.69,10.0,9.69,9.94,6.7,2730400
05/02/1990,9.94,9.94,9.75,9.75,6.58,1164000
06/02/1990,9.88,10.0,9.81,9.84,6.64,2242000
07/02/1990,9.81,9.88,9.56,9.62,6.49,2304000
08/02/1990,9.62,9.75,9.56,9.56,6.45,1482400
09/02/1990,9.69,9.69,9.5,9.62,6.49,941600
12/02/1990,9.5,9.62,9.44,9.56,6.45,1024400
13/02/1990,9.5,9.56,9.19,9.25,6.24,1512400
14/02/1990,9.25,9.44,9.25,9.38,6.32,3671200
15/02/1990,9.38,9.56,9.31,9.56,6.45,877200
16/02/1990,9.56,9.69,9.5,9.56,6.45,661200
20/02/1990,9.56,9.62,9.38,9.5,6.41,715200
21/02/1990,9.38,9.81,9.25,9.69,6.53,988800
22/02/1990,9.66,9.75,9.56,9.56,6.45,1247200
23/02/1990,9.56,9.62,9.44,9.44,6.37,1093600
26/02/1990,9.5,9.62,9.5,9.56,6.45,987200
27/02/1990,9.62,9.75,9.56,9.69,6.53,914800
28/02/1990,9.75,9.75,9.56,9.56,6.45,1212000
01/03/1990,9.69,9.81,9.56,9.66,6.51,1227600
02/03/1990,9.62,9.88,9.62,9.81,6.62,995200
05/03/1990,9.75,9.81,9.56,9.62,6.49,887200
06/03/1990,9.69,10.0,9.62,9.97,6.72,1578800
07/03/1990,10.0,10.0,9.81,9.88,6.66,544000
08/03/1990,9.94,10.19,9.88,10.12,6.83,1054800
09/03/1990,10.16,10.44,10.12,10.31,6.96,1955200
12/03/1990,10.31,10.44,10.25,10.38,7.0,703200
13/03/1990,10.31,10.38,10.19,10.19,6.87,1664000
14/03/1990,10.25,10.25,10.0,10.25,6.91,464000
15/03/1990,10.19,10.34,10.12,10.31,6.96,1423200
16/03/1990,10.31,10.38,10.12,10.25,6.91,2073600
19/03/1990,10.25,10.31,10.12,10.25,6.91,1077600
20/03/1990,10.31,10.31,10.06,10.25,6.91,2209200
21/03/1990,10.12,10.25,10.06,10.12,6.83,1132000
22/03/1990,9.88,10.06,9.66,10.06,6.79,3020400
23/03/1990,10.0,10.25,10.0,10.0,6.74,2300000
26/03/1990,10.19,10.19,10.0,10.0,6.74,1417600
27/03/1990,9.94,10.19,9.94,10.12,6.83,1514000
28/03/1990,10.19,10.19,9.75,9.81,6.62,2724800
29/03/1990,9.75,9.88,9.62,9.88,6.66,912800
30/03/1990,9.94,9.94,9.5,9.69,6.53,1996800
02/04/1990,9.44,9.62,9.31,9.56,6.45,1993600
03/04/1990,9.56,9.56,9.38,9.44,6.37,2556400
04/04/1990,9.5,9.5,9.31,9.41,6.34,1036800
05/04/1990,9.44,9.5,9.25,9.34,6.3,1163600
06/04/1990,9.31,9.38,9.25,9.31,6.28,745200
09/04/1990,9.25,9.31,9.0,9.0,6.07,1194800
10/04/1990,9.06,9.06,8.62,8.69,5.86,3369600
11/04/1990,8.69,8.88,8.69,8.78,5.92,1415600
12/04/1990,8.88,9.12,8.75,9.12,6.15,2156400
16/04/1990,9.12,9.56,9.12,9.5,6.41,963600
17/04/1990,9.38,9.56,9.31,9.5,6.41,565600
18/04/1990,9.56,9.69,9.25,9.38,6.32,727600
