Date,Open,High,Low,Close,Adj Close,Volume
17/03/1994,0.14,0.15,0.14,0.15,0.15,188342400
18/03/1994,0.16,0.16,0.15,0.16,0.16,36192000
21/03/1994,0.16,0.16,0.15,0.16,0.16,9168000
22/03/1994,0.16,0.17,0.16,0.16,0.16,14486400
23/03/1994,0.16,0.16,0.16,0.16,0.16,6432000
24/03/1994,0.16,0.16,0.16,0.16,0.16,5212800
25/03/1994,0.16,0.17,0.16,0.17,0.17,5174400
28/03/1994,0.17,0.17,0.16,0.16,0.16,9676800
29/03/1994,0.16,0.16,0.15,0.15,0.15,3398400
30/03/1994,0.15,0.15,0.15,0.15,0.15,4579200
31/03/1994,0.15,0.15,0.14,0.14,0.14,3945600
04/04/1994,0.14,0.14,0.14,0.14,0.14,8323200
05/04/1994,0.14,0.15,0.14,0.15,0.15,1939200
06/04/1994,0.15,0.15,0.15,0.15,0.15,1747200
07/04/1994,0.15,0.15,0.15,0.15,0.15,393600
08/04/1994,0.15,0.16,0.15,0.15,0.15,758400
11/04/1994,0.16,0.16,0.15,0.16,0.16,595200
12/04/1994,0.16,0.16,0.15,0.15,0.15,3369600
13/04/1994,0.15,0.15,0.15,0.15,0.15,2976000
14/04/1994,0.15,0.15,0.15,0.15,0.15,67200
15/04/1994,0.15,0.15,0.15,0.15,0.15,3312000
18/04/1994,0.15,0.15,0.15,0.15,0.15,3523200
19/04/1994,0.15,0.15,0.14,0.15,0.15,1689600
20/04/1994,0.15,0.15,0.15,0.15,0.15,307200
21/04/1994,0.15,0.15,0.14,0.15,0.15,13420800
22/04/1994,0.14,0.15,0.14,0.15,0.15,2064000
25/04/1994,0.15,0.15,0.14,0.15,0.15,19267200
26/04/1994,0.15,0.15,0.15,0.15,0.15,10406400
28/04/1994,0.15,0.15,0.15,0.15,0.15,768000
29/04/1994,0.15,0.16,0.15,0.15,0.15,5049600
02/05/1994,0.15,0.16,0.15,0.16,0.16,2400000
03/05/1994,0.16,0.16,0.16,0.16,0.16,4857600
04/05/1994,0.16,0.16,0.16,0.16,0.16,8208000
05/05/1994,0.16,0.17,0.16,0.17,0.17,9552000
06/05/1994,0.16,0.17,0.16,0.16,0.16,2112000
09/05/1994,0.16,0.16,0.16,0.16,0.16,816000
10/05/1994,0.16,0.17,0.16,0.17,0.17,633600
11/05/1994,0.16,0.16,0.16,0.16,0.16,23788800
12/05/1994,0.16,0.16,0.16,0.16,0.16,7334400
13/05/1994,0.16,0.16,0.16,0.16,0.16,38400
16/05/1994,0.16,0.16,0.16,0.16,0.16,1660800
17/05/1994,0.16,0.16,0.16,0.16,0.16,777600
18/05/1994,0.16,0.16,0.16,0.16,0.16,1814400
19/05/1994,0.16,0.16,0.16,0.16,0.16,326400
20/05/1994,0.16,0.16,0.16,0.16,0.16,3052800
23/05/1994,0.16,0.16,0.16,0.16,0.16,720000
24/05/1994,0.16,0.16,0.16,0.16,0.16,19200
25/05/1994,0.16,0.16,0.16,0.16,0.16,182400
26/05/1994,0.16,0.16,0.16,0.16,0.16,1929600
27/05/1994,0.16,0.16,0.16,0.16,0.16,336000
31/05/1994,0.16,0.16,0.16,0.16,0.16,8880000
01/06/1994,0.16,0.16,0.16,0.16,0.16,576000
02/06/1994,0.16,0.17,0.16,0.17,0.17,3600000
03/06/1994,0.17,0.18,0.17,0.17,0.17,3792000
06/06/1994,0.18,0.18,0.17,0.18,0.18,3657600
07/06/1994,0.17,0.17,0.17,0.17,0.17,2083200
08/06/1994,0.18,0.18,0.17,0.17,0.17,1296000
09/06/1994,0.17,0.17,0.16,0.16,0.16,6384000
10/06/1994,0.16,0.16,0.16,0.16,0.16,3062400
13/06/1994,0.16,0.16,0.16,0.16,0.16,4819200
14/06/1994,0.16,0.16,0.16,0.16,0.16,681600
15/06/1994,0.16,0.16,0.16,0.16,0.16,1305600
16/06/1994,0.16,0.16,0.16,0.16,0.16,3340800
17/06/1994,0.16,0.16,0.16,0.16,0.16,115200
20/06/1994,0.16,0.16,0.16,0.16,0.16,19200
21/06/1994,0.16,0.16,0.15,0.16,0.16,4752000
22/06/1994,0.15,0.16,0.15,0.16,0.16,470400
23/06/1994,0.15,0.15,0.15,0.15,0.15,2198400
24/06/1994,0.15,0.15,0.15,0.15,0.15,2006400
27/06/1994,0.15,0.15,0.15,0.15,0.15,384000
28/06/1994,0.15,0.15,0.15,0.15,0.15,5827200
29/06/1994,0.15,0.15,0.15,0.15,0.15,3993600
30/06/1994,0.15,0.16,0.15,0.16,0.16,3859200
01/07/1994,0.16,0.16,0.15,0.16,0.16,758400
05/07/1994,0.16,0.16,0.15,0.15,0.15,998400
06/07/1994,0.15,0.15,0.15,0.15,0.15,2995200
07/07/1994,0.15,0.15,0.15,0.15,0.15,854400
08/07/1994,0.15,0.15,0.15,0.15,0.15,0
11/07/1994,0.15,0.15,0.15,0.15,0.15,2601600
12/07/1994,0.15,0.15,0.15,0.15,0.15,374400
13/07/1994,0.15,0.15,0.15,0.15,0.15,11126400
14/07/1994,0.15,0.15,0.15,0.15,0.15,672000
15/07/1994,0.15,0.15,0.15,0.15,0.15,4569600
18/07/1994,0.15,0.15,0.15,0.15,0.15,0
19/07/1994,0.15,0.15,0.15,0.15,0.15,192000
20/07/1994,0.15,0.15,0.15,0.15,0.15,57600
21/07/1994,0.15,0.15,0.15,0.15,0.15,0
22/07/1994,0.15,0.15,0.15,0.15,0.15,672000
25/07/1994,0.15,0.15,0.15,0.15,0.15,1584000
26/07/1994,0.15,0.15,0.15,0.15,0.15,1008000
27/07/1994,0.15,0.15,0.15,0.15,0.15,1852800
28/07/1994,0.15,0.15,0.15,0.15,0.15,2467200
29/07/1994,0.15,0.15,0.15,0.15,0.15,528000
01/08/1994,0.15,0.15,0.15,0.15,0.15,1209600
02/08/1994,0.15,0.15,0.15,0.15,0.15,2160000
03/08/1994,0.15,0.15,0.15,0.15,0.15,451200
04/08/1994,0.15,0.15,0.15,0.15,0.15,835200
05/08/1994,0.15,0.15,0.14,0.15,0.15,2697600
08/08/1994,0.15,0.15,0.15,0.15,0.15,86400
09/08/1994,0.15,0.15,0.15,0.15,0.15,288000
10/08/1994,0.15,0.15,0.15,0.15,0.15,960000
11/08/1994,0.15,0.15,0.15,0.15,0.15,451200
12/08/1994,0.15,0.15,0.15,0.15,0.15,3888000
15/08/1994,0.15,0.15,0.15,0.15,0.15,4416000
16/08/1994,0.15,0.15,0.15,0.15,0.15,432000
17/08/1994,0.15,0.15,0.15,0.15,0.15,12643200
18/08/1994,0.15,0.15,0.15,0.15,0.15,6048000
19/08/1994,0.15,0.15,0.15,0.15,0.15,11568000
22/08/1994,0.15,0.15,0.15,0.15,0.15,4512000
23/08/1994,0.16,0.16,0.15,0.15,0.15,2822400
24/08/1994,0.16,0.16,0.15,0.15,0.15,3273600
25/08/1994,0.15,0.15,0.15,0.15,0.15,1324800
26/08/1994,0.15,0.15,0.15,0.15,0.15,1632000
29/08/1994,0.16,0.16,0.16,0.16,0.16,4022400
30/08/1994,0.16,0.16,0.16,0.16,0.16,10992000
31/08/1994,0.16,0.16,0.16,0.16,0.16,4800000
01/09/1994,0.16,0.16,0.16,0.16,0.16,3292800
02/09/1994,0.16,0.16,0.16,0.16,0.16,960000
06/09/1994,0.16,0.16,0.16,0.16,0.16,38400
07/09/1994,0.16,0.16,0.16,0.16,0.16,19200
08/09/1994,0.16,0.16,0.16,0.16,0.16,3110400
09/09/1994,0.16,0.16,0.16,0.16,0.16,3216000
12/09/1994,0.16,0.16,0.16,0.16,0.16,480000
13/09/1994,0.16,0.16,0.16,0.16,0.16,1593600
14/09/1994,0.16,0.16,0.16,0.16,0.16,796800
15/09/1994,0.16,0.16,0.15,0.15,0.15,2611200
16/09/1994,0.15,0.15,0.15,0.15,0.15,864000
19/09/1994,0.15,0.15,0.15,0.15,0.15,1574400
20/09/1994,0.15,0.15,0.15,0.15,0.15,240000
21/09/1994,0.15,0.15,0.15,0.15,0.15,1497600
22/09/1994,0.15,0.15,0.15,0.15,0.15,441600
23/09/1994,0.15,0.15,0.15,0.15,0.15,710400
26/09/1994,0.15,0.15,0.15,0.15,0.15,115200
27/09/1994,0.15,0.15,0.15,0.15,0.15,8044800
28/09/1994,0.16,0.16,0.16,0.16,0.16,7238400
29/09/1994,0.16,0.16,0.16,0.16,0.16,10262400
30/09/1994,0.16,0.16,0.16,0.16,0.16,5971200
03/10/1994,0.16,0.16,0.16,0.16,0.16,1622400
04/10/1994,0.16,0.16,0.16,0.16,0.16,422400
05/10/1994,0.16,0.16,0.16,0.16,0.16,5923200
06/10/1994,0.16,0.16,0.16,0.16,0.16,3148800
07/10/1994,0.16,0.16,0.16,0.16,0.16,28800
10/10/1994,0.16,0.16,0.16,0.16,0.16,0
11/10/1994,0.16,0.17,0.16,0.17,0.17,6432000
12/10/1994,0.17,0.17,0.17,0.17,0.17,10348800
13/10/1994,0.17,0.17,0.17,0.17,0.17,10185600
14/10/1994,0.17,0.17,0.17,0.17,0.17,57600
17/10/1994,0.17,0.17,0.17,0.17,0.17,9907200
18/10/1994,0.17,0.17,0.17,0.17,0.17,316800
19/10/1994,0.17,0.17,0.17,0.17,0.17,844800
20/10/1994,0.17,0.17,0.17,0.17,0.17,1833600
21/10/1994,0.17,0.18,0.17,0.18,0.18,4924800
24/10/1994,0.18,0.18,0.18,0.18,0.18,1641600
25/10/1994,0.18,0.19,0.18,0.18,0.18,4214400
26/10/1994,0.19,0.19,0.18,0.19,0.19,7123200
27/10/1994,0.19,0.19,0.19,0.19,0.19,9964800
28/10/1994,0.19,0.19,0.19,0.19,0.19,211200
31/10/1994,0.19,0.19,0.19,0.19,0.19,8620800
01/11/1994,0.19,0.19,0.19,0.19,0.19,1430400
02/11/1994,0.19,0.19,0.19,0.19,0.19,3244800
03/11/1994,0.19,0.19,0.18,0.18,0.18,1651200
04/11/1994,0.18,0.18,0.18,0.18,0.18,1776000
07/11/1994,0.18,0.18,0.17,0.18,0.18,4329600
08/11/1994,0.18,0.18,0.18,0.18,0.18,1958400
09/11/1994,0.18,0.18,0.18,0.18,0.18,1603200
10/11/1994,0.18,0.18,0.18,0.18,0.18,2496000
11/11/1994,0.18,0.18,0.18,0.18,0.18,921600
14/11/1994,0.18,0.18,0.18,0.18,0.18,11529600
