Date,Open,High,Low,Close,Adj Close,Volume
23/06/2000,19.5,23.62,18.5,22.0,22.0,7986500
26/06/2000,21.75,21.88,20.88,21.88,21.88,1005000
27/06/2000,21.94,21.94,21.12,21.56,21.56,421000
28/06/2000,21.62,21.69,20.62,21.56,21.56,567500
29/06/2000,21.5,21.5,21.19,21.19,21.19,140300
30/06/2000,21.19,22.75,20.88,22.19,22.19,528300
03/07/2000,22.19,22.25,21.75,22.19,22.19,81800
05/07/2000,22.0,24.25,21.5,22.44,22.44,198800
06/07/2000,22.5,23.75,22.0,23.75,23.75,155000
07/07/2000,23.75,24.5,23.0,23.62,23.62,302900
10/07/2000,23.38,24.81,23.25,24.75,24.75,65200
11/07/2000,25.0,26.88,24.69,25.25,25.25,325000
12/07/2000,25.5,26.5,24.75,24.88,24.88,244500
13/07/2000,25.0,26.38,24.44,26.25,26.25,199100
14/07/2000,26.0,26.0,24.19,24.25,24.25,93900
17/07/2000,24.5,24.62,23.31,23.69,23.69,499600
18/07/2000,23.69,25.0,23.69,24.75,24.75,299500
19/07/2000,24.88,25.69,24.75,24.88,24.88,202700
20/07/2000,24.88,24.88,24.5,24.56,24.56,25900
21/07/2000,24.5,24.5,24.0,24.19,24.19,69400
24/07/2000,24.19,26.38,24.19,25.5,25.5,366400
25/07/2000,25.5,25.5,24.81,24.81,24.81,82200
26/07/2000,24.75,27.38,24.62,27.25,27.25,196700
27/07/2000,27.31,28.62,27.31,28.25,28.25,212200
28/07/2000,28.19,28.19,27.5,27.56,27.56,109000
31/07/2000,27.44,30.19,27.31,30.19,30.19,437600
01/08/2000,30.0,30.0,27.88,28.5,28.5,170000
02/08/2000,28.44,28.5,28.12,28.19,28.19,54500
03/08/2000,28.5,30.5,28.5,30.38,30.38,351900
04/08/2000,30.62,31.0,29.25,29.88,29.88,91700
07/08/2000,29.75,33.5,29.75,33.0,33.0,422500
08/08/2000,33.0,33.5,32.81,33.06,33.06,138100
09/08/2000,33.19,33.19,31.38,31.69,31.69,126100
10/08/2000,31.81,31.88,30.62,30.62,30.62,117500
11/08/2000,30.56,30.62,29.38,29.38,29.38,54500
14/08/2000,29.12,29.12,27.94,27.94,27.94,72300
15/08/2000,27.94,27.94,24.5,26.38,26.38,396200
16/08/2000,26.38,26.44,25.31,25.81,25.81,160700
17/08/2000,25.81,25.88,25.56,25.81,25.81,92200
18/08/2000,25.69,26.75,24.75,26.25,26.25,214500
21/08/2000,26.31,26.31,24.62,25.5,25.5,183200
22/08/2000,25.62,26.44,25.0,26.38,26.38,56000
23/08/2000,26.38,28.12,26.38,27.94,27.94,149200
24/08/2000,27.88,28.62,27.38,28.0,28.0,101800
25/08/2000,27.88,27.88,27.5,27.56,27.56,35000
28/08/2000,27.56,27.94,27.25,27.94,27.94,47600
29/08/2000,27.94,27.94,27.69,27.88,27.88,92100
30/08/2000,27.88,27.88,27.5,27.5,27.5,72500
31/08/2000,27.38,27.44,27.31,27.44,27.44,18200
01/09/2000,27.56,27.75,27.31,27.69,27.69,40800
05/09/2000,27.75,27.75,27.12,27.44,27.44,57400
06/09/2000,27.5,27.62,27.5,27.5,27.5,58300
07/09/2000,27.56,27.56,27.19,27.25,27.25,62200
08/09/2000,27.25,27.25,26.38,26.62,26.62,124500
11/09/2000,26.81,26.88,26.62,26.81,26.81,48000
12/09/2000,26.81,26.81,26.44,26.44,26.44,43900
13/09/2000,26.31,26.38,26.0,26.0,26.0,190600
14/09/2000,26.0,26.12,25.75,25.81,25.81,25200
15/09/2000,25.94,25.94,24.88,24.88,24.88,72200
18/09/2000,24.62,24.62,22.94,23.0,23.0,128000
19/09/2000,22.88,22.88,21.5,21.5,21.5,96800
20/09/2000,21.62,22.31,21.38,22.06,22.06,94700
21/09/2000,22.12,22.62,22.12,22.5,22.5,75000
22/09/2000,22.38,23.88,22.38,23.0,23.0,179400
25/09/2000,23.12,26.88,23.12,26.75,26.75,247300
26/09/2000,27.25,28.62,27.12,28.56,28.56,122900
27/09/2000,29.88,30.25,29.56,29.56,29.56,387300
28/09/2000,29.81,32.5,29.75,31.75,31.75,140800
29/09/2000,31.5,34.0,30.75,34.0,34.0,148000
02/10/2000,34.0,34.0,31.5,31.56,31.56,108100
03/10/2000,31.56,31.56,30.44,31.12,31.12,54500
04/10/2000,31.12,31.12,29.0,29.0,29.0,17600
05/10/2000,29.06,29.38,27.62,27.88,27.88,93500
06/10/2000,28.12,28.12,26.75,26.81,26.81,71000
09/10/2000,26.69,26.69,25.06,26.12,26.12,46600
10/10/2000,25.94,25.94,25.0,25.0,25.0,110300
11/10/2000,25.0,25.0,24.25,24.44,24.44,65200
12/10/2000,24.38,24.44,24.0,24.0,24.0,32200
13/10/2000,23.88,24.25,23.75,24.12,24.12,91900
16/10/2000,24.25,26.12,24.12,25.94,25.94,83200
17/10/2000,26.12,26.25,25.0,25.38,25.38,176700
18/10/2000,25.31,27.38,24.38,27.12,27.12,107300
19/10/2000,27.5,28.38,26.0,26.19,26.19,55800
20/10/2000,26.44,27.44,26.44,27.25,27.25,29500
23/10/2000,27.12,27.44,26.81,27.31,27.31,82700
24/10/2000,27.44,27.5,26.44,26.56,26.56,103300
25/10/2000,26.56,26.81,26.31,26.5,26.5,31500
26/10/2000,26.44,26.5,26.0,26.0,26.0,12600
27/10/2000,26.0,26.06,25.5,25.5,25.5,10200
30/10/2000,25.38,25.5,25.25,25.25,25.25,17200
31/10/2000,25.0,26.38,24.94,26.25,26.25,80700
01/11/2000,26.38,26.38,25.5,25.5,25.5,67300
02/11/2000,26.75,26.75,24.38,24.5,24.5,129500
03/11/2000,24.75,25.12,23.75,24.38,24.38,326700
06/11/2000,24.12,24.12,23.5,23.75,23.75,241300
07/11/2000,23.5,23.62,23.38,23.38,23.38,102100
08/11/2000,23.5,24.0,23.38,23.62,23.62,85000
09/11/2000,23.81,23.88,23.12,23.19,23.19,47400
10/11/2000,23.31,23.31,22.62,22.75,22.75,54000
13/11/2000,22.5,22.5,22.0,22.0,22.0,142600
14/11/2000,22.25,25.12,22.25,24.0,24.0,351400
15/11/2000,23.75,24.0,23.25,24.0,24.0,90300
16/11/2000,23.88,24.81,23.88,24.44,24.44,38800
17/11/2000,24.44,24.62,24.25,24.56,24.56,65600
20/11/2000,24.44,24.44,24.12,24.25,24.25,113500
21/11/2000,24.25,24.38,24.19,24.31,24.31,70900
22/11/2000,24.44,24.75,24.06,24.25,24.25,34300
24/11/2000,24.12,24.12,24.12,24.12,24.12,1000
27/11/2000,24.12,24.12,23.75,23.75,23.75,111300
28/11/2000,24.0,24.62,23.38,23.44,23.44,188700
29/11/2000,23.62,23.62,23.06,23.38,23.38,60700
30/11/2000,23.25,23.25,21.12,21.38,21.38,171300
01/12/2000,21.56,24.0,21.56,23.5,23.5,54800
04/12/2000,23.5,23.5,23.25,23.31,23.31,30900
05/12/2000,23.19,23.19,22.88,23.12,23.12,127900
06/12/2000,23.19,23.44,23.0,23.0,23.0,93000
07/12/2000,23.0,23.0,22.25,22.25,22.25,11100
08/12/2000,22.12,22.12,20.88,21.5,21.5,107200
11/12/2000,21.5,21.5,17.19,20.5,20.5,808600
12/12/2000,22.0,22.44,21.75,22.19,22.19,501500
