Date,Open,High,Low,Close,Adj Close,Volume
23/06/2004,3.75,4.32,3.69,4.3,4.29,43574400
24/06/2004,4.39,4.42,4.12,4.19,4.18,8887200
25/06/2004,4.13,4.19,3.95,3.95,3.94,6710000
28/06/2004,4.0,4.05,3.86,4.0,3.99,2270800
29/06/2004,4.0,4.18,3.96,4.1,4.09,2112000
30/06/2004,4.1,4.24,4.01,4.02,4.01,2087600
01/07/2004,4.02,4.05,3.97,4.01,4.0,1754800
02/07/2004,4.03,4.24,4.01,4.24,4.24,993200
06/07/2004,4.23,4.25,4.12,4.25,4.24,1216800
07/07/2004,4.22,4.22,4.01,4.08,4.07,1787600
08/07/2004,4.08,4.08,3.91,3.93,3.93,2179200
09/07/2004,3.98,4.14,3.97,4.1,4.09,596800
12/07/2004,4.15,4.21,4.04,4.19,4.18,780800
13/07/2004,4.18,4.18,4.02,4.02,4.01,1674000
14/07/2004,4.01,4.01,3.89,3.91,3.91,2366000
15/07/2004,3.94,3.95,3.73,3.84,3.83,1806000
16/07/2004,3.85,4.1,3.74,4.0,3.99,3278800
19/07/2004,4.01,4.04,3.96,4.0,4.0,954800
20/07/2004,4.0,4.05,3.88,4.01,4.01,2245200
21/07/2004,4.03,4.03,2.76,2.92,2.92,25415200
22/07/2004,2.89,3.3,2.83,3.24,3.24,9824800
23/07/2004,3.24,3.38,3.19,3.26,3.26,1674400
26/07/2004,3.39,3.39,3.22,3.32,3.32,1286000
27/07/2004,3.35,3.36,3.28,3.29,3.28,751200
28/07/2004,3.26,3.31,3.15,3.25,3.24,1534800
29/07/2004,3.25,3.34,3.24,3.24,3.24,908000
30/07/2004,3.24,3.3,3.14,3.25,3.25,815200
02/08/2004,3.24,3.27,3.14,3.2,3.2,1297600
03/08/2004,3.2,3.27,3.0,3.03,3.03,2944400
04/08/2004,3.03,3.04,2.99,2.99,2.99,2746800
05/08/2004,3.0,3.0,2.67,2.72,2.72,3030400
06/08/2004,2.72,2.75,2.68,2.69,2.69,1797200
09/08/2004,2.74,2.76,2.71,2.75,2.74,1121600
10/08/2004,2.75,2.76,2.72,2.75,2.75,733200
11/08/2004,2.74,2.74,2.65,2.65,2.65,628400
12/08/2004,2.68,2.68,2.48,2.5,2.49,1578000
13/08/2004,2.5,2.51,2.37,2.4,2.39,2496000
16/08/2004,2.4,2.46,2.25,2.43,2.43,2171200
17/08/2004,2.47,2.75,2.47,2.74,2.74,2968000
18/08/2004,2.72,3.04,2.67,2.99,2.98,1697600
19/08/2004,2.99,3.06,2.92,3.04,3.04,1309600
20/08/2004,3.12,3.3,2.97,3.15,3.15,4034800
23/08/2004,3.17,3.24,3.09,3.12,3.12,1127600
24/08/2004,3.15,3.19,3.11,3.19,3.19,1072400
25/08/2004,3.2,3.26,3.12,3.24,3.24,1200800
26/08/2004,3.24,3.25,3.2,3.22,3.22,471200
27/08/2004,3.25,3.3,3.22,3.29,3.28,463600
30/08/2004,3.31,3.32,3.27,3.29,3.29,606000
31/08/2004,3.3,3.31,3.17,3.25,3.25,874400
01/09/2004,3.3,3.33,3.29,3.33,3.33,512800
02/09/2004,3.32,3.49,3.32,3.47,3.47,998800
03/09/2004,3.47,3.48,3.4,3.44,3.43,924000
07/09/2004,3.44,3.44,3.35,3.36,3.35,1192000
08/09/2004,3.33,3.33,3.29,3.31,3.31,550000
09/09/2004,3.31,3.33,3.24,3.29,3.29,2529200
10/09/2004,3.29,3.58,3.29,3.56,3.56,2795200
13/09/2004,3.6,3.88,3.6,3.8,3.8,4345200
14/09/2004,3.8,4.02,3.75,3.98,3.97,2052000
15/09/2004,3.98,4.28,3.92,4.09,4.08,4147200
16/09/2004,4.09,4.12,4.01,4.07,4.06,2518400
17/09/2004,4.05,4.05,3.71,3.92,3.91,4487600
20/09/2004,3.94,4.03,3.92,4.0,4.0,597200
21/09/2004,4.01,4.22,4.01,4.09,4.08,2327200
22/09/2004,4.07,4.07,3.95,4.02,4.01,2076800
23/09/2004,4.02,4.02,3.91,3.93,3.92,1117600
24/09/2004,3.99,4.21,3.95,4.01,4.0,2796000
27/09/2004,4.0,4.02,3.88,3.9,3.89,1380000
28/09/2004,3.88,3.88,3.69,3.75,3.75,1862800
29/09/2004,3.76,3.97,3.76,3.94,3.93,1700400
30/09/2004,3.94,3.98,3.9,3.91,3.9,4521200
01/10/2004,3.91,4.2,3.88,4.16,4.16,2613600
