Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.0,1.05,0.99,1.05,0.52,14619600
03/01/1990,1.06,1.06,1.04,1.05,0.52,21034800
04/01/1990,1.04,1.04,1.02,1.03,0.51,10666800
05/01/1990,1.03,1.03,1.01,1.01,0.5,5727600
08/01/1990,1.01,1.02,1.0,1.02,0.5,6156000
09/01/1990,1.02,1.02,1.01,1.01,0.5,4784400
10/01/1990,1.0,1.01,0.98,1.0,0.49,5814000
11/01/1990,0.99,1.0,0.99,0.99,0.49,3092400
12/01/1990,0.99,0.99,0.97,0.98,0.48,5432400
15/01/1990,0.98,0.98,0.97,0.97,0.48,3704400
16/01/1990,0.96,0.98,0.96,0.98,0.48,6595200
17/01/1990,0.98,0.98,0.95,0.96,0.48,4741200
18/01/1990,0.95,0.96,0.95,0.96,0.48,6807600
19/01/1990,0.96,0.97,0.95,0.95,0.47,6310800
22/01/1990,0.96,0.96,0.93,0.93,0.46,5252400
23/01/1990,0.94,0.95,0.93,0.95,0.47,4554000
24/01/1990,0.93,0.93,0.92,0.93,0.46,5306400
25/01/1990,0.92,0.93,0.91,0.91,0.45,5176800
26/01/1990,0.91,0.91,0.9,0.9,0.45,9284400
29/01/1990,0.9,0.91,0.88,0.9,0.44,4676400
30/01/1990,0.9,0.9,0.87,0.88,0.44,9831600
31/01/1990,0.88,0.93,0.88,0.93,0.46,7768800
01/02/1990,0.93,0.93,0.92,0.92,0.45,6148800
02/02/1990,0.91,0.92,0.91,0.92,0.45,2786400
05/02/1990,0.92,0.92,0.9,0.9,0.45,4312800
06/02/1990,0.9,0.9,0.89,0.9,0.45,6292800
07/02/1990,0.9,0.92,0.89,0.92,0.46,7473600
08/02/1990,0.93,0.93,0.92,0.92,0.46,9072000
09/02/1990,0.93,0.94,0.92,0.94,0.47,4795200
12/02/1990,0.94,0.94,0.93,0.94,0.47,4982400
13/02/1990,0.94,0.95,0.94,0.95,0.47,6048000
14/02/1990,0.94,0.95,0.94,0.94,0.47,5241600
15/02/1990,0.94,0.97,0.94,0.96,0.48,4402800
16/02/1990,0.95,0.96,0.95,0.95,0.47,3801600
20/02/1990,0.94,0.94,0.93,0.93,0.47,3189600
21/02/1990,0.92,0.94,0.92,0.93,0.47,5598000
22/02/1990,0.94,0.94,0.93,0.93,0.47,2973600
23/02/1990,0.93,0.95,0.93,0.94,0.47,8251200
26/02/1990,0.94,0.95,0.94,0.95,0.48,6206400
27/02/1990,0.96,0.98,0.96,0.97,0.49,6948000
28/02/1990,0.97,0.98,0.97,0.98,0.49,5079600
01/03/1990,0.98,0.99,0.98,0.99,0.49,5342400
02/03/1990,0.98,1.0,0.98,0.99,0.49,5374800
05/03/1990,0.98,0.99,0.98,0.98,0.49,8906400
06/03/1990,0.97,0.98,0.96,0.97,0.49,10562400
07/03/1990,0.97,0.97,0.94,0.95,0.48,8265600
08/03/1990,0.95,0.96,0.94,0.95,0.48,7941600
09/03/1990,0.94,0.95,0.94,0.95,0.48,4557600
12/03/1990,0.94,0.94,0.93,0.94,0.47,5691600
13/03/1990,0.94,0.94,0.93,0.93,0.47,4449600
14/03/1990,0.93,0.95,0.93,0.95,0.48,12416400
