Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,4.97,4.86,4.94,3.51,61200
03/01/1990,0.0,4.97,4.86,4.94,3.51,250200
04/01/1990,0.0,4.94,4.94,4.94,3.51,900
05/01/1990,0.0,4.94,4.83,4.94,3.51,21600
08/01/1990,0.0,4.94,4.83,4.94,3.51,25200
09/01/1990,0.0,4.94,4.83,4.94,3.51,21600
10/01/1990,0.0,4.94,4.83,4.94,3.51,8100
11/01/1990,0.0,4.97,4.89,4.97,3.53,76500
12/01/1990,0.0,5.0,4.89,4.89,3.47,145800
15/01/1990,0.0,4.94,4.83,4.89,3.47,88200
16/01/1990,0.0,4.92,4.89,4.89,3.47,3600
17/01/1990,0.0,4.92,4.83,4.89,3.47,134100
18/01/1990,0.0,4.89,4.81,4.81,3.41,25200
19/01/1990,0.0,4.89,4.81,4.89,3.47,81000
22/01/1990,0.0,4.89,4.81,4.81,3.41,19800
23/01/1990,0.0,4.83,4.61,4.61,3.27,229500
24/01/1990,0.0,4.67,4.56,4.64,3.29,1162800
25/01/1990,0.0,4.67,4.56,4.56,3.23,18000
26/01/1990,0.0,4.69,4.56,4.64,3.29,85500
29/01/1990,0.0,4.69,4.61,4.69,3.33,74700
30/01/1990,0.0,4.69,4.61,4.61,3.27,95400
31/01/1990,0.0,4.69,4.61,4.67,3.31,322200
01/02/1990,0.0,4.69,4.61,4.62,3.28,72900
02/02/1990,0.0,4.67,4.61,4.67,3.31,146700
05/02/1990,0.0,4.67,4.64,4.65,3.3,513900
06/02/1990,0.0,4.72,4.64,4.67,3.31,1231200
07/02/1990,0.0,4.68,4.58,4.67,3.31,836100
08/02/1990,0.0,4.72,4.61,4.72,3.35,2876400
09/02/1990,0.0,4.72,4.67,4.69,3.33,3283200
12/02/1990,0.0,4.75,4.64,4.69,3.33,104400
13/02/1990,0.0,4.78,4.67,4.78,3.39,16200
14/02/1990,0.0,4.78,4.67,4.74,3.36,181800
15/02/1990,0.0,4.78,4.75,4.78,3.39,54000
16/02/1990,0.0,4.92,4.75,4.86,3.45,104400
20/02/1990,0.0,4.89,4.75,4.83,3.43,112500
21/02/1990,0.0,4.83,4.67,4.78,3.39,38700
22/02/1990,0.0,4.86,4.75,4.82,3.42,74700
23/02/1990,0.0,4.86,4.78,4.83,3.43,25200
26/02/1990,0.0,4.86,4.78,4.82,3.42,365400
27/02/1990,0.0,4.93,4.86,4.93,3.5,59400
28/02/1990,0.0,4.94,4.89,4.89,3.47,99900
01/03/1990,0.0,4.92,4.83,4.92,3.49,43200
02/03/1990,0.0,4.94,4.86,4.86,3.45,186300
05/03/1990,0.0,4.94,4.94,4.94,3.51,5400
06/03/1990,0.0,4.94,4.86,4.94,3.51,11700
07/03/1990,0.0,5.0,4.89,4.92,3.49,261000
08/03/1990,0.0,5.0,4.89,4.9,3.48,493200
09/03/1990,0.0,5.0,4.89,4.89,3.47,26100
12/03/1990,0.0,4.92,4.83,4.83,3.45,81000
13/03/1990,0.0,4.86,4.75,4.83,3.45,22500
14/03/1990,0.0,4.83,4.72,4.72,3.37,54000
15/03/1990,0.0,4.83,4.75,4.76,3.4,152100
16/03/1990,0.0,4.86,4.86,4.86,3.47,900
19/03/1990,0.0,4.83,4.72,4.78,3.41,90900
20/03/1990,0.0,4.86,4.83,4.83,3.45,29700
21/03/1990,0.0,4.94,4.89,4.89,3.49,248400
22/03/1990,0.0,4.89,4.81,4.83,3.45,274500
23/03/1990,0.0,4.86,4.78,4.78,3.41,122400
26/03/1990,4.78,4.83,4.78,4.83,3.45,279900
27/03/1990,4.78,4.83,4.78,4.82,3.44,92700
28/03/1990,4.82,4.83,4.78,4.83,3.45,17100
29/03/1990,4.83,4.83,4.83,4.83,3.45,3600
30/03/1990,4.81,4.89,4.78,4.81,3.43,96300
02/04/1990,4.89,4.89,4.83,4.83,3.45,8100
03/04/1990,4.75,4.75,4.75,4.75,3.39,75600
