Date,Open,High,Low,Close,Adj Close,Volume
31/07/2014,20.0,20.33,19.3,19.99,19.99,14208300
01/08/2014,20.0,20.1,19.34,19.85,19.85,2125600
04/08/2014,19.85,20.1,19.6,20.01,20.01,592800
05/08/2014,19.94,20.48,19.77,20.21,20.21,1077600
06/08/2014,20.2,20.33,20.05,20.33,20.33,900900
07/08/2014,20.33,20.49,20.3,20.42,20.42,546000
08/08/2014,20.49,20.68,20.4,20.53,20.53,402500
11/08/2014,20.51,20.6,20.44,20.5,20.5,442500
12/08/2014,20.45,20.55,20.45,20.5,20.5,240700
13/08/2014,20.5,20.6,20.47,20.53,20.53,438500
14/08/2014,20.5,20.59,20.45,20.5,20.5,200600
15/08/2014,20.68,20.68,20.45,20.51,20.51,143300
18/08/2014,21.2,21.2,20.41,20.66,20.66,186900
19/08/2014,20.5,20.68,20.5,20.63,20.63,404000
20/08/2014,20.51,20.75,20.5,20.58,20.58,291100
21/08/2014,20.54,20.74,20.54,20.72,20.72,221900
22/08/2014,20.75,20.91,20.67,20.85,20.85,259700
25/08/2014,20.74,21.31,20.55,21.2,21.2,558900
26/08/2014,21.15,21.45,21.15,21.32,21.32,691000
27/08/2014,21.2,21.35,21.15,21.27,21.27,265100
28/08/2014,21.1,21.7,21.02,21.5,21.5,3070200
29/08/2014,21.5,21.74,21.33,21.5,21.5,1271800
02/09/2014,21.35,21.79,21.33,21.7,21.7,665700
03/09/2014,21.64,21.8,21.52,21.68,21.68,329700
04/09/2014,21.59,21.95,21.21,21.5,21.5,445600
05/09/2014,21.5,22.55,21.5,22.4,22.4,835300
08/09/2014,22.35,22.8,22.26,22.5,22.5,654100
09/09/2014,22.53,23.09,22.19,22.48,22.48,945800
10/09/2014,22.48,23.18,22.4,22.99,22.99,976600
11/09/2014,22.81,23.7,22.6,23.25,23.25,930000
12/09/2014,23.0,23.9,23.0,23.49,23.49,691100
15/09/2014,23.58,24.88,23.58,24.84,24.84,1157500
16/09/2014,25.05,25.4,23.82,24.22,24.22,974600
17/09/2014,24.29,24.9,24.15,24.31,24.31,750600
18/09/2014,24.31,24.44,23.96,24.19,24.19,751300
19/09/2014,24.12,24.63,23.09,23.68,23.68,2784800
22/09/2014,23.64,24.06,23.41,23.99,23.99,713000
23/09/2014,24.12,24.2,23.58,23.97,23.97,1185700
24/09/2014,23.97,25.0,23.83,24.84,24.84,1333000
25/09/2014,24.91,25.15,24.65,24.68,24.68,1202600
26/09/2014,24.6,25.12,24.5,25.04,25.04,927500
29/09/2014,24.72,25.23,24.51,25.17,25.17,876200
30/09/2014,25.13,25.3,24.67,25.03,25.03,4606500
01/10/2014,24.93,25.1,23.21,23.85,23.85,1214500
02/10/2014,23.9,25.69,23.88,25.35,25.35,945400
03/10/2014,25.66,25.74,25.1,25.13,25.13,339000
06/10/2014,25.17,25.19,24.64,24.98,24.98,520500
07/10/2014,24.84,25.03,24.54,24.73,24.73,396000
08/10/2014,24.65,25.59,24.58,25.48,25.48,425500
09/10/2014,25.35,25.48,24.38,24.42,24.42,469100
10/10/2014,24.22,24.23,23.64,23.67,23.67,639800
13/10/2014,23.66,23.98,23.43,23.52,23.52,451000
14/10/2014,23.57,23.91,23.43,23.73,23.73,468500
15/10/2014,23.49,24.3,23.22,24.22,24.22,337600
16/10/2014,24.01,24.59,23.8,24.25,24.25,395200
17/10/2014,24.44,24.67,23.53,23.63,23.63,225300
20/10/2014,23.63,24.21,23.46,23.96,23.96,246900
21/10/2014,23.99,25.28,23.85,25.19,25.19,624800
22/10/2014,25.13,25.24,24.04,24.07,24.07,284300
23/10/2014,24.2,24.4,24.11,24.26,24.26,509900
24/10/2014,24.37,25.04,24.22,24.94,24.94,241800
27/10/2014,24.68,24.8,23.45,24.46,24.46,308600
28/10/2014,24.5,25.46,24.4,25.2,25.2,488700
29/10/2014,25.28,25.62,25.04,25.55,25.55,254100
30/10/2014,25.38,26.0,24.87,25.64,25.64,306000
31/10/2014,26.03,26.34,25.6,26.03,26.03,367100
03/11/2014,26.0,26.25,25.5,25.9,25.9,228200
04/11/2014,25.85,25.89,25.25,25.35,25.35,158000
05/11/2014,25.44,25.44,24.87,25.09,25.09,263000
06/11/2014,25.04,25.28,24.44,24.74,24.74,255100
07/11/2014,24.58,24.92,24.37,24.73,24.73,272100
10/11/2014,24.81,25.01,24.42,24.77,24.77,251100
11/11/2014,24.81,24.97,24.17,24.21,24.21,354700
12/11/2014,24.15,24.31,23.64,23.72,23.72,776500
13/11/2014,23.86,24.54,23.74,23.81,23.81,458400
14/11/2014,24.14,24.4,22.85,24.05,24.05,743800
17/11/2014,23.93,26.16,23.7,25.64,25.64,514300
18/11/2014,25.81,26.04,25.16,25.43,25.43,330600
19/11/2014,25.43,26.39,24.88,25.7,25.7,478700
20/11/2014,25.57,26.38,25.55,26.06,26.06,449800
21/11/2014,26.44,26.75,26.04,26.55,26.55,634900
24/11/2014,26.61,27.48,26.56,26.97,26.97,489200
25/11/2014,27.08,27.89,26.56,27.85,27.85,552900
26/11/2014,28.23,28.72,27.77,28.72,28.72,711300
28/11/2014,28.64,29.09,28.42,28.79,28.79,161200
01/12/2014,28.79,29.04,27.91,28.3,28.3,406500
02/12/2014,28.38,29.52,27.43,28.43,28.43,811900
03/12/2014,28.4,28.83,28.03,28.51,28.51,443000
04/12/2014,28.57,29.2,28.13,28.93,28.93,584700
05/12/2014,28.93,29.42,28.67,29.16,29.16,264100
08/12/2014,29.01,29.44,28.7,28.91,28.91,243700
09/12/2014,28.56,29.6,28.5,29.13,29.13,280300
10/12/2014,29.25,29.53,28.77,29.42,29.42,369000
11/12/2014,29.46,30.18,28.75,29.02,29.02,385400
12/12/2014,28.74,29.05,28.15,28.58,28.58,368900
15/12/2014,28.74,29.32,27.91,28.94,28.94,381000
16/12/2014,28.81,29.12,28.22,28.57,28.57,464200
17/12/2014,28.56,29.23,27.95,29.18,29.18,457200
18/12/2014,29.49,29.87,28.4,28.69,28.69,487900
19/12/2014,28.77,29.5,28.46,29.19,29.19,1718800
22/12/2014,29.17,29.98,28.55,28.63,28.63,279200
23/12/2014,28.71,28.71,27.06,27.15,27.15,424400
24/12/2014,27.23,27.63,26.62,27.38,27.38,186000
26/12/2014,27.54,28.68,27.54,28.49,28.49,169200
29/12/2014,28.41,28.64,27.49,27.94,27.94,200500
30/12/2014,27.71,28.26,27.66,28.06,28.06,145500
31/12/2014,28.05,28.88,27.78,27.88,27.88,186100
02/01/2015,28.04,28.04,27.17,27.51,27.51,187300
05/01/2015,27.43,28.5,27.22,28.08,28.08,455200
06/01/2015,28.08,28.23,26.32,26.55,26.55,622100
07/01/2015,26.73,27.9,26.64,27.81,27.81,457200
08/01/2015,28.02,28.55,27.84,27.99,27.99,183800
09/01/2015,28.02,28.02,27.55,27.57,27.57,426300
12/01/2015,27.65,28.56,27.54,27.67,27.67,449100
13/01/2015,27.9,28.39,27.54,28.13,28.13,504400
14/01/2015,27.87,28.28,27.7,27.97,27.97,231500
15/01/2015,27.94,28.16,27.34,27.4,27.4,391000
16/01/2015,27.2,28.37,27.18,28.07,28.07,450700
20/01/2015,27.99,28.6,27.8,27.99,27.99,453000
21/01/2015,27.94,28.25,27.19,27.53,27.53,333400
22/01/2015,27.69,28.24,27.17,27.91,27.91,425600
23/01/2015,27.84,28.22,27.14,27.2,27.2,443600
26/01/2015,27.09,28.62,27.03,28.33,28.33,344800
27/01/2015,28.14,28.84,28.04,28.2,28.2,309800
28/01/2015,28.23,28.45,27.61,27.74,27.74,527400
29/01/2015,27.85,28.0,27.35,27.72,27.72,406100
30/01/2015,27.56,28.0,27.46,27.62,27.62,394900
02/02/2015,27.62,27.75,27.25,27.64,27.64,243900
03/02/2015,27.72,27.89,27.39,27.78,27.78,278900
04/02/2015,27.58,27.9,27.3,27.55,27.55,282000
05/02/2015,27.68,27.72,27.41,27.49,27.49,244500
06/02/2015,27.44,27.72,27.26,27.44,27.44,343900
09/02/2015,27.44,27.82,27.28,27.55,27.55,258100
10/02/2015,27.79,27.98,27.52,27.88,27.88,272000
11/02/2015,27.8,30.32,27.66,29.32,29.32,751500
12/02/2015,29.42,29.43,27.67,28.58,28.58,470300
13/02/2015,28.5,28.78,27.4,27.52,27.52,421600
17/02/2015,27.5,27.66,27.06,27.34,27.34,508600
18/02/2015,27.42,27.91,27.19,27.74,27.74,281900
19/02/2015,27.73,29.03,27.73,29.01,29.01,344100
20/02/2015,28.74,29.22,28.0,28.15,28.15,384300
23/02/2015,28.16,28.29,27.79,28.19,28.19,222600
24/02/2015,28.26,28.38,27.61,28.35,28.35,213200
25/02/2015,28.41,28.9,28.13,28.87,28.87,201700
26/02/2015,28.84,29.67,28.8,29.6,29.6,205100
27/02/2015,29.59,29.79,27.92,27.97,27.97,372100
02/03/2015,27.5,28.59,26.74,28.46,28.46,431000
03/03/2015,28.33,30.65,28.16,29.99,29.99,864000
04/03/2015,29.51,29.79,29.35,29.77,29.77,9323200
05/03/2015,29.69,29.98,29.64,29.75,29.75,1323700
06/03/2015,29.75,30.01,29.69,29.76,29.76,819000
09/03/2015,29.8,30.05,29.57,29.82,29.82,699200
10/03/2015,29.63,29.98,29.34,29.8,29.8,768100
11/03/2015,29.82,30.48,29.8,30.23,30.23,789800
12/03/2015,30.4,30.49,29.91,30.02,30.02,561400
13/03/2015,30.06,30.35,29.68,30.35,30.35,1576100
16/03/2015,30.92,30.94,30.07,30.89,30.89,590100
17/03/2015,30.71,31.09,30.58,31.08,31.08,528800
18/03/2015,31.04,31.54,30.85,31.3,31.3,975200
19/03/2015,31.31,31.66,31.08,31.5,31.5,904300
20/03/2015,31.49,31.64,30.91,31.11,31.11,1189400
23/03/2015,31.01,31.07,30.68,30.85,30.85,251600
24/03/2015,30.77,31.03,30.5,30.65,30.65,301200
25/03/2015,30.7,30.92,30.31,30.44,30.44,662800
26/03/2015,30.25,30.5,29.9,30.1,30.1,248100
27/03/2015,30.14,30.73,29.96,30.1,30.1,408000
30/03/2015,30.31,31.2,29.9,31.17,31.17,360900
31/03/2015,31.11,31.36,30.84,31.15,31.15,357800
01/04/2015,31.02,31.02,30.19,30.86,30.86,525700
02/04/2015,30.89,31.22,30.45,30.63,30.63,344000
06/04/2015,30.48,30.76,30.33,30.54,30.54,270700
07/04/2015,30.5,30.83,30.38,30.46,30.46,241900
08/04/2015,30.53,30.93,30.4,30.8,30.8,197000
09/04/2015,30.92,31.65,30.61,30.98,30.98,241200
10/04/2015,31.08,31.14,30.68,30.73,30.73,328900
13/04/2015,30.62,31.04,30.5,30.53,30.53,241500
14/04/2015,30.51,30.77,30.49,30.72,30.72,266600
15/04/2015,30.88,31.12,30.64,31.01,31.01,205300
16/04/2015,30.85,31.62,30.85,31.09,31.09,146000
17/04/2015,30.99,31.08,30.51,30.57,30.57,225600
20/04/2015,30.59,31.0,30.5,30.99,30.99,210000
21/04/2015,31.21,31.29,30.94,31.02,31.02,159300
22/04/2015,31.04,31.35,30.74,31.06,31.06,251300
23/04/2015,30.99,31.23,30.76,31.05,31.05,318700
24/04/2015,31.09,31.13,30.94,31.0,31.0,226500
27/04/2015,30.95,31.06,29.93,29.99,29.99,286000
28/04/2015,30.04,30.3,29.35,29.77,29.77,262300
