Date,Open,High,Low,Close,Adj Close,Volume
08/02/1990,1.45,1.45,1.42,1.44,0.95,9012000
09/02/1990,1.46,1.46,1.43,1.43,0.94,3483600
12/02/1990,1.43,1.44,1.4,1.42,0.94,1982400
13/02/1990,1.42,1.42,1.41,1.41,0.93,2212800
14/02/1990,1.42,1.42,1.4,1.4,0.92,657600
15/02/1990,1.41,1.41,1.34,1.36,0.9,1494000
16/02/1990,1.38,1.38,1.35,1.36,0.9,638400
20/02/1990,1.36,1.36,1.33,1.33,0.88,1190400
21/02/1990,1.34,1.34,1.33,1.33,0.88,272400
22/02/1990,1.33,1.35,1.33,1.35,0.89,38400
23/02/1990,1.33,1.33,1.29,1.29,0.85,1143600
26/02/1990,1.3,1.3,1.28,1.28,0.85,316800
27/02/1990,1.28,1.29,1.28,1.29,0.85,325200
28/02/1990,1.29,1.34,1.29,1.34,0.89,475200
01/03/1990,1.33,1.36,1.33,1.36,0.9,428400
02/03/1990,1.35,1.38,1.35,1.38,0.91,1364400
05/03/1990,1.36,1.38,1.35,1.36,0.9,241200
06/03/1990,1.36,1.39,1.36,1.39,0.92,430800
07/03/1990,1.4,1.4,1.38,1.38,0.91,202800
08/03/1990,1.38,1.38,1.38,1.38,0.91,793200
09/03/1990,1.36,1.36,1.33,1.34,0.89,171600
12/03/1990,1.32,1.32,1.3,1.3,0.86,1059600
13/03/1990,1.31,1.33,1.31,1.33,0.88,90000
14/03/1990,1.33,1.33,1.32,1.32,0.87,127200
15/03/1990,1.31,1.33,1.31,1.32,0.87,571200
16/03/1990,1.32,1.35,1.32,1.35,0.89,302400
19/03/1990,1.34,1.35,1.34,1.35,0.89,14400
20/03/1990,1.35,1.35,1.32,1.32,0.87,228000
21/03/1990,1.31,1.31,1.29,1.29,0.85,328800
22/03/1990,1.29,1.29,1.29,1.29,0.85,48000
23/03/1990,1.3,1.3,1.3,1.3,0.86,0
26/03/1990,1.29,1.31,1.29,1.31,0.87,50400
27/03/1990,1.31,1.32,1.31,1.32,0.87,204000
28/03/1990,1.32,1.32,1.32,1.32,0.87,2400
29/03/1990,1.31,1.31,1.3,1.31,0.87,8400
30/03/1990,1.31,1.31,1.31,1.31,0.87,0
02/04/1990,1.29,1.29,1.28,1.28,0.85,160800
03/04/1990,1.29,1.3,1.29,1.3,0.86,36000
04/04/1990,1.31,1.33,1.31,1.32,0.87,162000
05/04/1990,1.31,1.33,1.3,1.3,0.86,151200
06/04/1990,1.3,1.32,1.28,1.31,0.87,273600
09/04/1990,1.31,1.33,1.31,1.33,0.88,64800
10/04/1990,1.33,1.33,1.33,1.33,0.88,60000
11/04/1990,1.33,1.33,1.29,1.31,0.87,297600
12/04/1990,1.31,1.31,1.29,1.29,0.85,19200
16/04/1990,1.29,1.29,1.28,1.28,0.85,289200
17/04/1990,1.28,1.28,1.28,1.28,0.85,0
18/04/1990,1.28,1.28,1.25,1.25,0.83,464400
19/04/1990,1.23,1.24,1.23,1.24,0.82,458400
20/04/1990,1.23,1.23,1.23,1.23,0.81,27600
23/04/1990,1.23,1.23,1.18,1.2,0.79,393600
24/04/1990,1.18,1.18,1.17,1.17,0.77,375600
25/04/1990,1.19,1.19,1.19,1.19,0.78,20400
26/04/1990,1.19,1.21,1.19,1.21,0.8,14400
27/04/1990,1.19,1.21,1.19,1.19,0.78,79200
30/04/1990,1.19,1.19,1.18,1.19,0.78,108000
01/05/1990,1.19,1.21,1.19,1.19,0.78,208800
02/05/1990,1.19,1.19,1.19,1.19,0.78,4800
03/05/1990,1.19,1.2,1.19,1.2,0.79,188400
04/05/1990,1.19,1.19,1.19,1.19,0.78,42000
07/05/1990,1.2,1.22,1.2,1.21,0.8,52800
08/05/1990,1.2,1.2,1.2,1.2,0.79,30000
09/05/1990,1.2,1.21,1.2,1.21,0.8,73200
10/05/1990,1.21,1.21,1.21,1.21,0.8,48000
11/05/1990,1.21,1.24,1.21,1.22,0.81,202800
14/05/1990,1.24,1.26,1.24,1.25,0.83,82800
15/05/1990,1.25,1.25,1.24,1.24,0.82,121200
16/05/1990,1.26,1.28,1.26,1.28,0.85,36000
17/05/1990,1.28,1.32,1.28,1.31,0.87,133200
18/05/1990,1.31,1.31,1.31,1.31,0.87,0
21/05/1990,1.31,1.33,1.31,1.33,0.88,60000
22/05/1990,1.35,1.36,1.33,1.33,0.88,160800
23/05/1990,1.33,1.35,1.33,1.33,0.88,200400
24/05/1990,1.33,1.33,1.32,1.33,0.88,1267200
25/05/1990,1.3,1.31,1.3,1.31,0.87,111600
29/05/1990,1.31,1.32,1.31,1.32,0.88,372000
30/05/1990,1.33,1.33,1.33,1.33,0.88,180000
31/05/1990,1.34,1.35,1.33,1.33,0.88,306000
01/06/1990,1.33,1.33,1.33,1.33,0.88,196800
04/06/1990,1.34,1.35,1.34,1.35,0.9,30000
05/06/1990,1.35,1.38,1.35,1.36,0.9,14400
06/06/1990,1.35,1.36,1.35,1.36,0.9,187200
07/06/1990,1.36,1.36,1.35,1.35,0.9,87600
08/06/1990,1.35,1.38,1.35,1.36,0.9,318000
11/06/1990,1.38,1.38,1.38,1.38,0.91,6000
12/06/1990,1.38,1.4,1.38,1.4,0.92,40800
13/06/1990,1.41,1.41,1.39,1.39,0.92,54000
14/06/1990,1.39,1.39,1.39,1.39,0.92,13200
15/06/1990,1.39,1.39,1.39,1.39,0.92,6000
18/06/1990,1.39,1.4,1.39,1.4,0.92,70800
19/06/1990,1.39,1.4,1.39,1.4,0.92,21600
20/06/1990,1.39,1.39,1.38,1.38,0.91,27600
21/06/1990,1.39,1.39,1.39,1.39,0.92,120000
22/06/1990,1.39,1.4,1.38,1.4,0.92,363600
